source_headword	SW	example_SW
stranger	mgeni	Mgeni aliuliza njia.
strength	nguvu	Nguvu zake zilisaidia timu.
string	kamba	Funga sanduku kwa kamba.
strongly	sana	Sikubaliani sana na wazo hilo.
studio	studio	Msanii anafanya kazi katika studio ndogo.
stuff	vitu	Weka vitu vyako kwenye rafu.
substance	dutu	Polisi walipata dutu ya ajabu.
successfully	kwa mafanikio	Walimaliza mradi kwa mafanikio.
sudden	-a ghafla	Sauti ya ghafla ilituamsha.
suffer	kuteseka	Mimea mingi huteseka katika hali ya hewa kavu.
suitable	-nayofaa	Jaketi hili linafaa kwa shule.
summarize	kufupisha	Unaweza kufupisha makala hii?
summary	muhtasari	Andika muhtasari mfupi usiku huu.
supply	ugavi	Mji unahitaji ugavi wa maji safi.
supporter	mshabiki	Kila mshabiki alishangilia kwa sauti.
surely	hakika	Hakika tunaweza kutatua hili.
surface	uso	Uso wake ulihisi baridi na laini.
survive	kuishi	Wanyama hawa huishi katika majira ya baridi.
switch	kuzima	Zima taa ya jikoni.
symptom	dalili	Kikohozi kinaweza kuwa dalili.
tail	mkia	Mbwa ana mkia mrefu.
talent	kipaji	Ana kipaji cha muziki.
talented	-enye kipaji	Yeye ni mwigizaji kijana mwenye kipaji.
tape	tepe	Tumia tepe kufunga sanduku.
tax	kodi	Kila mtu lazima alipe kodi hii.
technical	-a kiufundi	Tulipata tatizo la kiufundi.
technique	mbinu	Mbinu hii inaokoa wakati.
tend	kuwa na tabia	Watoto huwa na tabia ya kujifunza haraka.
tent	hema	Tulilala katika hema dogo.
theirs	-ao	Baiskeli za bluu ni zao.
theme	mandhari	Sherehe ilikuwa na mandhari ya ufukweni.
theory	nadharia	Nadharia yake inaeleza tatizo.
therefore	kwa hivyo	Mvua ilinyesha, kwa hivyo tulikaa ndani.
though	ingawa	Ingawa alikuwa amechoka, aliendelea kufanya kazi.
throat	koo	Koo langu linauma asubuhi hii.
throughout	jioni nzima	Watu walicheza muziki jioni nzima.
tight	-enye kubana	Viatu hivi vinabana sana.
till	hadi	Subiri hapa hadi nirudi.
tin	mkebe	Fungua mkebe wa maharage.
tiny	dogo sana	Ndege mdogo sana alitua karibu.
toe	kidole cha mguu	Niliumia kidole cha mguu jana.
tongue	ulimi	Aliunguza ulimi wake kwa chai.
total	jumla	Gharama ya jumla ilikuwa ndogo.
totally	kabisa	Ninaelewa kabisa wasiwasi wako.
trade	biashara	Biashara ya kimataifa hutengeneza ajira.
translate	kutafsiri	Tafadhali tafsiri sentensi hii.
translation	tafsiri	Tafsiri inasikika ya asili.
treat	kutendea	Mtendee kila mtu kwa heshima.
treatment	matibabu	Mgonjwa anahitaji matibabu leo.
trend	mwelekeo	Mwelekeo huu unakua duniani kote.
trick	ujanja	Ujanja huo wa kadi ulinishangaza.
truth	ukweli	Tafadhali sema ukweli.
tube	neli	Kamua neli polepole.
typically	kwa kawaida	Kwa kawaida wanafunzi hufika kabla ya saa tatu.
tyre	tairi	Gari linahitaji tairi jipya.
ugly	baya	Rangi hiyo ya ukuta inaonekana mbaya.
unable	kushindwa	Alishindwa kujibu.
uncomfortable	-siostarehesha	Kiti hiki hakistareheshi.
underwear	chupi	Funga chupi safi kwa ajili ya safari.
unemployed	asiye na kazi	Alikuwa hana kazi kwa miezi miwili.
unemployment	ukosefu wa ajira	Ukosefu wa ajira uliongezeka wakati wa majira ya baridi.
unfair	-si haki	Uamuzi ulionekana kutokuwa wa haki.
union	chama	Chama kiliomba kazi salama zaidi.
unless	isipokuwa	Usiondoke isipokuwa nikupigie simu.
unlike	tofauti na	Tofauti na Tom, Ana anapenda majira ya baridi.
unlikely	-siowezekana	Theluji haiwezekani wiki hii.
unnecessary	-sio lazima	Mifuko ya ziada si ya lazima.
unpleasant	-siyopendeza	Chumba kilikuwa na harufu isiyopendeza.
update	kusasisha	Ninahitaji kusasisha simu yangu.
upon	hapo zamani	Hapo zamani za kale, palikuwa na mfalme.
upset	-liyokasirika	Alijisikia kukasirika baada ya simu.
used1	kutumika	Chumba hiki kinatumika kwa mikutano.
used2	kuzoea	Nimezoea kuamka asubuhi na mapema.
valuable	-a thamani	Saa hii ina thamani.
value	thamani	Nyumba ilipoteza thamani mwaka jana.
various	mbalimbali	Tulijaribu vyakula mbalimbali vya kienyeji.
version	toleo	Toleo hili linafanya kazi vizuri zaidi.
victim	mwathiriwa	Mwathiriwa aliwaita polisi.
viewer	mtazamaji	Mtazamaji mmoja aliuliza swali.
violent	-enye ukatili	Filamu ilikuwa na ukatili sana.
volunteer	kujitolea	Ninajitolea katika maktaba.
vote	kupiga kura	Kumbuka kupiga kura kesho.
warn	kuonya	Nilijaribu kumuonya.
warning	onyo	Onyo lilitokea kwenye skrini.
waste	kupoteza	Usipoteze maji safi.
weapon	silaha	Kisu kilikuwa silaha.
weigh	kupima uzito	Pima uzito wa unga kwa uangalifu.
western	-a magharibi	Walitazama filamu ya magharibi.
whatever	chochote	Chagua chochote unachopenda.
whenever	wakati wowote	Piga simu wakati wowote unahitaji msaada.
whether	ikiwa	Sijui ikiwa anakubali.
wing	bawa	Ndege aliumia bawa moja.
within	ndani ya	Tafadhali jibu ndani ya siku mbili.
wonder	kujiuliza	Ninajiuliza nini kilitokea.
wool	sufu	Koti hili limetengenezwa kwa sufu.
worldwide	duniani kote	Wimbo ulijulikana duniani kote.
worth	thamani ya	Kitabu hiki kina thamani ya kusomwa.
written	-andishi	Tafadhali tuma maelekezo ya maandishi.
yard	uwanja	Watoto walicheza uwanjani.
youth	vijana	Klabu za vijana zinasaidia matineja wa ndani.
