simplified	SK	example_SK
哎	hej; ej	Ej, čo ťa sem privádza?
唉	ach	Ach, zase meškám.
爱护	chrániť	Mali by sme chrániť životné prostredie.
爱惜	vážiť si	Vážte si, prosím, svoj čas.
爱心	súcit	Je veľmi starostlivá.
安慰	utešiť	Priateľ ma utešil.
安装	nainštalovať	Robotník inštaluje klimatizáciu.
岸	breh	Loď sa pomaly približuje k brehu.
暗	tmavý	V izbe je veľmi tma.
熬夜	ponocovať	Ponocovanie škodí zdraviu.
把握	istota	Nie som si istý, že to zvládnem dobre.
摆	usporiadať	Usporiadajte, prosím, stoličky úhľadne.
办理	vybaviť	Idem do banky vybaviť záležitosť.
傍晚	podvečer	Podvečer pôjdeme na prechádzku.
包裹	balík	Dostal som balík.
包含	obsahovať	Cena zahŕňa raňajky.
包括	zahŕňať	Poplatok zahŕňa obed.
薄	tenký	Táto kniha je veľmi tenká.
保持	udržať	Zachovajte, prosím, ticho.
保存	uložiť	Uložte, prosím, tento súbor.
保留	rezervovať	Rezervujte mi, prosím, jedno miesto.
保险	poistenie	Kúpil som si cestovné poistenie.
宝贝	poklad	Toto je môj poklad.
宝贵	cenný	Čas je veľmi cenný.
报到	zaregistrovať sa	Noví študenti sa dnes prichádzajú zaregistrovať do školy.
报道	informovať	Správy o tejto veci informovali.
报告	správa; referát	Práve prednáša správu.
报社	redakcia novín	Pracuje v redakcii novín.
抱怨	sťažovať sa	Stále sa sťažuje, že má priveľa práce.
悲观	pesimistický	Nebuď taký pesimistický.
背	chrbát	Sedí chrbtom k dverám.
背景	pozadie	Predstavte, prosím, stručne svoje pozadie.
被子	paplon	Paplon je veľmi teplý.
本科	bakalárske štúdium	Je študentom bakalárskeho štúdia.
本领	zručnosť	Naučil sa novú zručnosť.
本质	podstata	Podstata problému je veľmi jednoduchá.
彼此	navzájom	Mali by sme sa navzájom rešpektovať.
比例	pomer	Pomer mužov a žien je približne rovnaký.
必然	nevyhnutne	Úsilie nevyhnutne prinesie výsledky.
必要	potrebný	Nie je potrebné sa obávať.
毕竟	koniec koncov	Koniec koncov je ešte dieťa.
避免	vyhnúť sa	Vyhnite sa, prosím, meškaniu.
编辑	upravovať	Je zodpovedný za úpravu tohto článku.
鞭炮	petardy	Počas Sviatku jari niektorí ľudia odpaľujú petardy.
便	potom	Po jedle išiel na hodinu.
辩论	debatovať	Debatujú o tejto otázke.
标点	interpunkcia	Venujte, prosím, pozornosť interpunkcii.
标志	znak	Červené svetlo je znakom na zastavenie.
表达	vyjadriť	Vyjadril svoj názor.
表面	povrch	Povrch stola je veľmi čistý.
表明	ukázať	Výsledok ukázal, že mal pravdu.
表情	výraz	Jej výraz bol veľmi vážny.
表现	výkon	Dnes podal veľmi dobrý výkon.
冰激凌	zmrzlina	Deti rady jedia zmrzlinu.
病毒	vírus	Tento vírus sa šíri veľmi rýchlo.
播放	pustiť	Pustite, prosím, túto pieseň.
玻璃	sklo	Sklenený pohár sa rozbil.
博物馆	múzeum	Cez víkend pôjdeme do múzea.
脖子	krk	Trochu ma bolí krk.
不断	neustále	Ceny neustále rastú.
不见得	nie nevyhnutne	Nemusí to byť zlá vec.
不耐烦	netrpezlivý	Po dlhom čakaní začal byť trochu netrpezlivý.
不要紧	nevadí	Je to v poriadku, nevadí.
补充	doplniť	Chcel by som doplniť jeden názor.
不安	nepokojný	Keď tú správu počula, cítila sa nepokojne.
不得了	vážny	Táto vec je naozaj vážna.
不然	inak	Ponáhľaj sa, inak budeš meškať.
不如	je lepšie	Radšej pôjdeme pešo, než by sme išli autom.
不足	nedostatok	Tu nie je dosť vody.
布	látka	Tento kus látky je veľmi mäkký.
步骤	krok	Postupujte, prosím, podľa krokov.
部门	oddelenie	Pracujem v obchodnom oddelení.
财产	majetok	Tento dom je jeho majetok.
彩虹	dúha	Po daždi sa objavila dúha.
踩	stúpiť	Nestúpaj na trávu.
采访	robiť rozhovor	Novinár robí rozhovor s lekárom.
采取	prijať	Prijali sme novú metódu.
参考	pozrieť si; odkázať	Pozrite si, prosím, túto knihu.
参与	zúčastniť sa	Aktívne sa zúčastňuje aktivít.
惭愧	hanbiť sa	Hanbím sa za svoju chybu.
操场	ihrisko	Študenti bežia na ihrisku.
