source_headword	DA	example_DA
abandon	forlade	De forlod planen i går.
absolute	absolut	Vi har brug for absolut ærlighed her.
acceptable	acceptabel	Hans svar var acceptabelt.
accompany	følge	Hendes bror fulgte hende hjem.
accurate	nøjagtig	Rapporten virker nøjagtig.
accuse	anklage	De anklagede ham for at lyve.
acknowledge	erkende	Erkend fejlen, tak.
acquire	tilegne sig	Hun tilegnede sig hurtigt nye færdigheder.
actual	faktisk	Den faktiske pris var lavere.
adapt	tilpasse sig	Vi tilpassede os ændringen.
additional	yderligere	Yderligere hjælp kom i dag.
administration	en administration	Administrationen ændrede politikken.
adopt	vedtage	De vedtog en ny metode.
advance	et fremskridt	Vi gjorde et lille fremskridt.
affair	en sag	Sagen skadede offentlig tillid.
afterwards	bagefter	Bagefter følte alle sig roligere.
agency	et bureau	Bureauet ansatte tre oversættere.
agenda	en dagsorden	Sikkerhed står på dagsordenen.
aggressive	aggressiv	Hans tone lød aggressiv.
aid	hjælp	Medicinsk hjælp kom hurtigt.
aircraft	et fly	Flyet landede sikkert.
alter	ændre	Ændr ikke aftalen.
anger	vrede	Hans vrede overraskede alle.
angle	en vinkel	Prøv en anden kameravinkel.
anniversary	en årsdag	Deres årsdag er i morgen.
annual	årlig	Det årlige møde begynder mandag.
anxious	ængstelig	Hun følte sig ængstelig før operationen.
apparent	tydelig	Hans skuffelse var tydelig.
apparently	tilsyneladende	Tilsyneladende er toget forsinket.
appeal	en appel	Afgørelsen kan føre til en appel.
approach	en tilgang	Hendes tilgang løste problemet.
appropriate	passende	Vælg et passende svar.
approval	en godkendelse	Projektet kræver godkendelse.
approve	godkende	Bestyrelsen godkendte budgettet.
arise	opstå	Problemer kan opstå senere.
armed	bevæbnet	Bevæbnede vagter stod udenfor.
arms	våben	De lagde våbnene ned.
artificial	kunstig	Blomsterne så kunstige ud.
artistic	kunstnerisk	Han har kunstnerisk talent.
ashamed	flov	Senere følte han sig flov.
aspect	et aspekt	Overvej hvert aspekt nøje.
assess	vurdere	Vi må vurdere skaden.
assessment	en vurdering	Vurderingen tog to timer.
associate	forbinde	Folk forbinder røg med fare.
associated	forbundet	Stress er forbundet med sygdom.
association	en forening	Foreningen støtter unge kunstnere.
assume	antage	Jeg antager, at du er enig.
attempt	et forsøg	Hans første forsøg mislykkedes.
bacteria	bakterier	Bakterier kan sprede sig hurtigt.
barrier	en barriere	Sproget var en barriere.
basically	grundlæggende	Grundlæggende har vi brug for mere tid.
bear (deal with)	udholde	Jeg kan ikke udholde den støj.
beg	tigge	Han tiggede om hjælp.
being	et væsen	Hvert væsen har brug for vand.
bent	bøjet	Metalstangen var bøjet.
bet	vædde	Jeg vædder på, at han ved det.
beyond	hinsides	Landsbyen ligger hinsides floden.
bitter	bitter	Medicinen smagte bittert.
