source_headword	PT	example_PT
absorb	absorver	A toalha absorve a água rapidamente.
abstract	abstrato	A palestra discutiu ideias abstratas.
accent	o sotaque	O sotaque dela é fácil de entender.
accidentally	acidentalmente	Apaguei acidentalmente o ficheiro.
accommodate	acomodar	O hotel pode acomodar famílias numerosas.
accomplish	realizar	Ela alcançou o seu objetivo antes de junho.
accountant	o contador	O contabilista verificou a fatura.
accuracy	a precisão	O teste mede a precisão de leitura.
accurately	com precisão	O mapa mostra a rota com precisão.
acid	o ácido	O ácido danificou a superfície de metal.
activate	ativar	Pressione o botão para ativar o alarme.
addiction	o vício	A sua dependência afetou o seu trabalho.
additionally	adicionalmente	Adicionalmente, precisamos de mais cadeiras.
adequate	adequado	O quarto tem luz adequada.
adequately	adequadamente	O relatório explicou o problema adequadamente.
adjust	ajustar	Ajuste o assento antes de conduzir.
affordable	acessível	O apartamento é acessível para estudantes.
agriculture	a agricultura	A agricultura apoia muitas famílias rurais.
AIDS	a AIDS	Os médicos tratam a SIDA com medicamentos modernos.
alien	o alienígena	O filme mostra um planeta alienígena.
alongside	ao lado de	A ciclovia corre ao longo do rio.
altogether	totalmente	No total, o projeto demorou seis semanas.
ambulance	a ambulância	A ambulância chegou em poucos minutos.
amusing	divertido	A história era divertida e leve.
analyst	o analista	O analista analisou os dados de vendas.
ancestor	o ancestral	O meu antepassado viveu perto desta aldeia.
animation	a animação	A animação tornou a lição mais clara.
annually	anualmente	O festival realiza-se anualmente.
anticipate	antecipar	Prevemos trânsito intenso amanhã.
anxiety	a ansiedade	A ansiedade pode dificultar o sono.
apology	o pedido de desculpas	Ela ofereceu um pedido de desculpas sincero.
applicant	o candidato	O candidato enviou um novo currículo.
appropriately	apropriadamente	Por favor, vista-se apropriadamente para a entrevista.
arrow	a flecha	A seta aponta para a saída.
artwork	a obra de arte	O museu expôs obras de arte locais.
aside	à parte	Ela desviou-se para o lado para o deixar passar.
asset	o ativo	A experiência é um recurso valioso.
assign	atribuir	O professor atribuiu os trabalhos de casa hoje.
assistance	a assistência	Por favor, peça assistência aos funcionários.
assumption	a suposição	Essa suposição pode estar errada.
assure	garantir	Garanto-lhe que a porta está trancada.
astonishing	surpreendente	A vista da falésia era surpreendente.
attachment	o anexo	O e-mail inclui um anexo.
auction	o leilão	A pintura foi vendida em leilão.
audio	de áudio	A gravação de áudio soa nítida.
automatic	automático	A porta tem uma fechadura automática.
automatically	automaticamente	As luzes acendem-se automaticamente.
awareness	a conscientização	A campanha aumentou a consciencialização pública.
awkward	estranho	O silêncio pareceu constrangedor.
badge	o crachá	Os visitantes devem usar um crachá.
balanced	equilibrado	Uma dieta equilibrada inclui vegetais.
ballet	o balé	Ela estuda ballet depois das aulas.
balloon	o balão	O balão flutuou sobre a mesa.
barely	mal	Ele mal ouviu o anúncio.
bargain	a pechincha	Esse casaco foi uma verdadeira pechincha.
basement	o porão	As caixas estão na cave.
basket	a cesta	Ela pôs as maçãs no cesto.
bat	o bastão	O morcego voou para fora da caverna.
beneficial	benéfico	O exercício regular é benéfico para a saúde.
beside	ao lado de	O candeeiro está ao lado do sofá.
besides	além disso	Além de matemática, ele estuda química.
bias	o viés	O artigo mostrou um claro viés.
bid	o lance	A empresa fez uma oferta mais alta.
biological	biológico	O teste biológico confirmou o resultado.
blanket	o cobertor	A criança dormiu debaixo de um cobertor.
blow	o golpe	O forte golpe partiu a janela.
bold	audacioso	O título usou letras em negrito.
bombing	o bombardeio	O bombardeamento danificou vários edifícios.
booking	a reserva	Confirmei a reserva do hotel.
boost	impulsionar	A vitória impulsionou a confiança da equipa.
bound	vinculativo	A encomenda estava atada com um fio.
brick	o tijolo	O muro é feito de tijolo.
briefly	brevemente	Ela falou brevemente depois do almoço.
broadcaster	o locutor	O apresentador entrevistou o presidente da câmara.
broadly	amplamente	Os dois planos são amplamente semelhantes.
bug	o bug	A aplicação falhou por causa de um bug.
cabin	a cabana	Ficámos numa pequena cabana.
canal	o canal	Os barcos moviam-se lentamente ao longo do canal.
candle	a vela	A vela ardia em cima da mesa.
carbon	o carbono	As árvores absorvem o carbono do ar.
casual	informal	Ele usava roupas casuais para o trabalho.
cave	a caverna	Os caminhantes entraram na gruta.
certainty	a certeza	Não podemos saber com certeza.
certificate	o certificado	Ela recebeu um certificado de formação.
challenging	desafiador	O curso foi desafiante, mas útil.
championship	o campeonato	A nossa equipa chegou à final do campeonato.
charming	encantador	A rua antiga parecia encantadora.
chase	perseguir	O cão perseguiu a bola.
cheek	a bochecha	Uma lágrima escorreu pela sua bochecha.
cheer	animar	A multidão começou a aplaudir ruidosamente.
choir	o coro	O coro cantou lindamente.
chop	cortar	Pique as cebolas em pedaços pequenos.
circuit	o circuito	O corredor completou o circuito.
civilization	a civilização	A civilização antiga moldou esta região.
clarify	esclarecer	Por favor, esclareça o último ponto.
classify	classificar	Os cientistas classificam os animais por espécies.
clerk	o funcionário	O funcionário imprimiu o recibo.
cliff	o penhasco	O caminho termina perto de uma falésia.
clinic	a clínica	A clínica abre às oito.
clip	o clipe	Ela prendeu o clipe ao papel.
coincidence	a coincidência	Encontrá-lo lá foi uma coincidência.
collector	o colecionador	O colecionador comprou moedas raras.
colony	a colônia	As formigas construíram uma grande colónia.
colourful	colorido	O mercado era brilhante e colorido.
comic	o quadrinho	A cena cómica fez-nos rir.
commander	o comandante	O comandante deu ordens claras.
comparative	comparativo	O ensaio usa dados comparativos.
completion	a conclusão	A ponte está perto da conclusão.
compose	compor	Ele vai compor a música para o filme.
composer	o compositor	O compositor escreveu uma nova canção.
compound	o composto	O composto contém dois químicos.
comprehensive	abrangente	O guia dá instruções abrangentes.
comprise	abranger	A equipa compreende cinco membros.
compulsory	obrigatório	A presença é obrigatória para esta aula.
concrete	o concreto	O chão é feito de betão.
confess	confessar	Ele confessou o erro ao seu professor.
confusion	a confusão	O atraso causou confusão.
consequently	consequentemente	Choveu; consequentemente, o jogo parou.
conservation	a conservação	A conservação protege animais raros.
considerable	considerável	A reparação levou um tempo considerável.
considerably	consideravelmente	Os preços subiram consideravelmente este ano.
consistently	consistentemente	Ela tem um desempenho consistentemente bom.
conspiracy	a conspiração	A polícia investigou a conspiração.
consult	consultar	Consulte o seu médico antes de tomar a medicação.
consultant	o consultor	O consultor sugeriu uma nova estratégia.
consumption	o consumo	O consumo de energia caiu no mês passado.
controversial	controverso	A política permanece controversa.
controversy	a controvérsia	A decisão causou controvérsia.
convenience	a conveniência	A loja oferece grande conveniência.
convention	a convenção	A convenção anual começa na segunda-feira.
conventional	convencional	Ele escolheu um design convencional.
convey	transmitir	A mensagem transmitiu simpatia.
convincing	convincente	A explicação dela foi convincente.
cope	lidar	Ela aprendeu a lidar com o stress.
corporation	a corporação	A corporação abriu um novo escritório.
corridor	o corredor	O corredor era estreito e silencioso.
counter (long flat surface)	o balcão	As chaves estão no balcão da cozinha.
coverage	a cobertura	A cobertura de notícias durou a noite toda.
crack	a rachadura	Uma fenda apareceu na parede.
craft	o ofício	Ela vende artesanato feito à mão online.
creativity	a criatividade	A criatividade ajuda a resolver problemas.
critically	criticamente	O artigo era criticamente importante.
cruise	o cruzeiro	Eles reservaram um cruzeiro para a Grécia.
cue	a deixa	O ator perdeu a sua deixa.
curious	curioso	A criança estava curiosa sobre o espaço.
curriculum	o currículo	A escola atualizou o seu currículo.
cute	fofo	O cachorrinho parecia fofo.
dairy	a leiteria	A fazenda produz laticínios.
dare	ousar	Desafio-te a tentar.
darkness	a escuridão	A sala encheu-se de escuridão.
database	a base de dados	A base de dados armazena os registos dos clientes.
deadline	o prazo	O prazo é sexta-feira.
deadly	mortal	A cobra tem veneno mortal.
dealer	o revendedor	O concessionário de carros ofereceu um desconto.
deck	o convés	As cadeiras estão no deque.
defender	o defensor	O defesa bloqueou o remate.
delete	apagar	Apaga a mensagem antiga.
democracy	a democracia	A democracia depende de eleições livres.
democratic	democrático	A votação seguiu regras democráticas.
demonstration	a manifestação	Os estudantes juntaram-se a uma manifestação.
depart	partir	O comboio partirá ao meio-dia.
dependent	dependente	A criança é dependente de adultos.
deposit	o depósito	Ela pagou um depósito para o apartamento.
depression	a depressão	A depressão requer apoio profissional.
derive	derivar	Muitas palavras derivam do latim.
desperately	desesperadamente	Ele precisava desesperadamente de água.
destruction	a destruição	A tempestade causou destruição generalizada.
determination	a determinação	A determinação dela impressionou o treinador.
devote	dedicar	Ela dedica os fins de semana ao estudo.
differ	diferir	As opiniões deles diferem fortemente.
disability	a deficiência	O edifício tem acesso para deficientes.
disabled	deficiente	O atleta deficiente ganhou uma medalha.
disagreement	o desacordo	A reunião terminou em desacordo.
disappoint	decepcionar	O resultado pode desiludir os fãs.
disappointment	a decepção	Ele sentiu uma profunda desilusão.
discourage	desencorajar	Não desencoraje os jovens estudantes.
disorder	o transtorno	O médico diagnosticou uma perturbação do sono.
distant	distante	As montanhas pareciam distantes.
distinct	distinto	Os dois sons são distintos.
distinguish	distinguir	Consegues distinguir estas cores?
distract	distrair	O barulho pode distrair os estudantes.
disturb	perturbar	Por favor, não incomode o paciente.
dive	mergulhar	Eles vão mergulhar perto do recife.
diverse	diverso	A cidade tem diversas culturas.
diversity	a diversidade	Celebramos a diversidade cultural.
divorce	o divórcio	O divórcio foi difícil para todos.
dominant	dominante	A equipa dominante controlou o jogo.
donation	a doação	A instituição de caridade recebeu uma doação.
dot	o ponto	Põe um ponto depois do número.
downtown	o centro da cidade	Encontrámo-nos no centro da cidade depois do trabalho.
dramatically	dramaticamente	O preço caiu drasticamente.
drought	a seca	A seca danificou as colheitas.
dull	chato	A palestra foi aborrecida.
dump	descartar	Não despejes o lixo aqui.
duration	a duração	A duração do voo é de três horas.
dynamic	dinâmico	A sala de aula parecia dinâmica.
economics	a economia	Ela estuda economia na universidade.
economist	o economista	O economista previu um crescimento mais lento.
editorial	editorial	O editorial criticou a lei.
efficiently	eficientemente	A equipa trabalhou eficientemente.
elbow	o cotovelo	Ele magoou o cotovelo.
electronics	a eletrônica	A loja vende eletrónica.
elegant	elegante	O vestido parecia elegante.
elementary	elementar	O livro explica a gramática elementar.
eliminate	eliminar	A equipa eliminou vários erros.
embrace	abraçar	Ela abraçou a nova ideia.
emission	a emissão	Os níveis de emissões dos carros caíram.
emotionally	emocionalmente	Ele falou emocionalmente sobre a sua família.
empire	o império	O império durou séculos.
enjoyable	agradável	A viagem foi agradável.
entertaining	divertido	O espetáculo foi divertido.
entrepreneur	o empreendedor	O empreendedor abriu um café.
envelope	o envelope	Põe a carta num envelope.
equip	equipar	A escola vai equipar o laboratório.
equivalent	o equivalente	Um dólar não é equivalente aqui.
era	a era	A descoberta iniciou uma nova era.
erupt	explodir	O vulcão pode entrar em erupção em breve.
essentially	essencialmente	Os dois métodos são essencialmente idênticos.
ethic	a ética	A sua ética de trabalho é forte.
ethnic	étnico	O festival celebra as tradições étnicas.
evaluation	a avaliação	O curso inclui uma avaliação final.
evident	evidente	O seu nervosismo era evidente.
evolution	a evolução	A evolução explica muitas mudanças biológicas.
evolve	evoluir	As línguas evoluem ao longo do tempo.
exceed	exceder	A procura pode exceder a oferta.
exception	a exceção	Existe uma exceção.
excessive	excessivo	O ruído excessivo perturba os vizinhos.
exclude	excluir	A lista exclui trabalhadores temporários.
exhibit	a exposição	O museu vai exibir fotografias raras.
exit	a saída	A saída fica atrás do palco.
exotic	exótico	A loja vende frutas exóticas.
expansion	a expansão	A empresa planeou uma expansão.
expertise	a especialidade	Os seus conhecimentos melhoraram o projeto.
exploit	explorar	Os criminosos exploram palavras-passe fracas.
exposure	a exposição	A exposição solar pode danificar a pele.
extension	a extensão	A extensão do prazo ajudou todos.
extensive	extenso	A biblioteca tem recursos extensos.
extensively	extensivamente	O tópico foi estudado extensamente.
extract	o extrato	O extrato de baunilha dá sabor.
fabric	o tecido	O tecido é macio ao toque.
fabulous	fabuloso	A refeição foi fabulosa.
failed	fracassado	A tentativa falhada ensinou-nos algo.
fake	falso	O site vendeu bilhetes falsos.
fame	a fama	A fama mudou a sua vida privada.
fantasy	a fantasia	O romance é uma fantasia.
fare	a tarifa	A tarifa do autocarro aumentou.
federal	federal	O governo federal anunciou financiamento.
fever	a febre	A criança tem febre.
firefighter	o bombeiro	O bombeiro resgatou o cão.
firework	o fogo de artifício	Um fogo de artifício explodiu sobre o parque.
firm	firme	O colchão é firme.
firmly	firmemente	Ela fechou a porta firmemente.
flavour	o sabor	A sopa tem um sabor rico.
fond	afetuoso	Ele é afeiçoado ao jazz.
fool	o tolo	Não ajas como um tolo.
forbid	proibir	A lei proíbe fumar aqui.
forecast	a previsão	A previsão aponta para chuva.
format	o formato	Usa o formato de ficheiro correto.
formation	a formação	A formação das nuvens muda rapidamente.
formerly	anteriormente	O edifício era anteriormente uma escola.
fortunate	afortunado	Fomos afortunados por chegar cedo.
forum	o fórum	O fórum discutiu a política climática.
fossil	o fóssil	O fóssil foi encontrado na pedra.
foundation	a fundação	A casa tem uma fundação forte.
founder	o fundador	O fundador deu as boas-vindas aos convidados.
fraction	a fração	Apenas uma fração dos alunos veio.
fragment	o fragmento	Um fragmento de vidro estava no chão.
framework	o quadro	A lei cria um enquadramento claro.
fraud	a fraude	O banco detetou uma fraude.
freely	livremente	As crianças brincaram livremente na rua.
frequent	frequente	Pausas frequentes melhoram a concentração.
fulfil	cumprir	Espero cumprir a minha promessa.
full-time	a tempo inteiro	Ela tem um emprego a tempo inteiro.
fundamentally	fundamentalmente	O plano é fundamentalmente diferente.
furious	furioso	Ele estava furioso com o atraso.
gaming	o jogo	Os videojogos podem melhorar a velocidade de reação.
gay	homossexual	Ele apoia os direitos gay.
gender	o género	O inquérito perguntava sobre o género.
gene	o gene	O gene afeta a cor dos olhos.
genetic	genético	A doença tem causas genéticas.
genius	o génio	O jovem pianista é um génio.
genuine	genuíno	O seu sorriso pareceu genuíno.
genuinely	genuinamente	Ele queria genuinamente ajudar.
gesture	o gesto	Ela fez um gesto amigável.
gig	o concerto	A banda deu um concerto na baixa.
globalization	a globalização	A globalização afeta os negócios locais.
globe	o globo	O globo mostra todos os continentes.
golden	dourado	O pôr do sol ficou dourado.
goodness	a bondade	Ela acredita na bondade humana.
gorgeous	lindo	O jardim parecia deslumbrante.
governor	o governador	O governador assinou a lei.
graphic	gráfico	A imagem gráfica chocou os espectadores.
graphics	os gráficos	O jogo tem gráficos simples.
greatly	grandemente	O teu conselho ajudou imensamente.
greenhouse	a estufa	Os tomates crescem dentro da estufa.
grocery	a mercearia	Ela comprou mercearias depois do trabalho.
guideline	a diretriz	A diretriz explica a prática segura.
habitat	o habitat	A floresta é um habitat de pássaros.
harbour	o porto	O barco entrou no porto.
headquarters	a sede	A sede da empresa mudou-se para a baixa.
