source_headword	KA	example_KA
stranger	უცხო ადამიანი	უცხო ადამიანმა გზა იკითხა.
strength	ძალა	მისმა ძალამ გუნდს დაეხმარა.
string	ძაფი	შეკარით ყუთი ძაფით.
strongly	კატეგორიულად	მე კატეგორიულად არ ვეთანხმები ამ იდეას.
studio	სტუდია	მხატვარი პატარა სტუდიაში მუშაობს.
stuff	ნივთები	დადე შენი ნივთები თაროზე.
substance	ნივთიერება	პოლიციამ უცნაური ნივთიერება იპოვა.
successfully	წარმატებით	მათ წარმატებით დაასრულეს პროექტი.
sudden	უეცარი	უეცარმა ხმაურმა გაგვაღვიძა.
suffer	ტანჯვა	ბევრი მცენარე იტანჯება მშრალ ამინდში.
suitable	შესაფერისი	ეს ქურთუკი სკოლისთვის შესაფერისია.
summarize	შეჯამება	შეგიძლიათ შეაჯამოთ სტატია?
summary	მოკლე შინაარსი	დაწერეთ მოკლე რეზიუმე ამაღამ.
supply	მარაგი	ქალაქს სუფთა წყლის მარაგი სჭირდება.
supporter	მხარდამჭერი	თითოეული მხარდამჭერი ხმამაღლა ყიჟინებდა.
surely	უეჭველად	უეჭველად შეგვიძლია ამის მოგვარება.
surface	ზედაპირი	ზედაპირი ცივი და გლუვი იყო.
survive	გადარჩენა	ეს ცხოველები ცივ ზამთარს გადაურჩებიან.
switch	გადართვა	გამორთე შუქი სამზარეულოში.
symptom	სიმპტომი	ხველა შეიძლება იყოს სიმპტომი.
tail	კუდი	ძაღლს გრძელი კუდი აქვს.
talent	ნიჭი	მას მუსიკის ნიჭი აქვს.
talented	ნიჭიერი	ის ნიჭიერი ახალგაზრდა მსახიობია.
tape	წებოვანი ლენტი	გამოიყენეთ წებოვანი ლენტი ყუთის დასახურად.
tax	გადასახადი	ყველამ უნდა გადაიხადოს ეს გადასახადი.
technical	ტექნიკური	ჩვენ ტექნიკური პრობლემა გვქონდა.
technique	ტექნიკა	ეს ტექნიკა ზოგავს დროს.
tend	მიდრეკილება	ბავშვებს აქვთ მიდრეკილება სწრაფად სწავლისკენ.
tent	კარავი	ჩვენ პატარა კარავში გვეძინა.
theirs	მათი	ლურჯი ველოსიპედები მათია.
theme	თემა	წვეულებას პლაჟის თემა ჰქონდა.
theory	თეორია	მისი თეორია ხსნის პრობლემას.
therefore	ამიტომ	წვიმდა, ამიტომ შიგნით დავრჩით.
though	თუმცა	თუმცა დაღლილი იყო, მაინც აგრძელებდა მუშაობას.
throat	ყელი	დღეს დილით ყელი მტკივა.
throughout	განმავლობაში	ხალხი მთელი საღამოს განმავლობაში ცეკვავდა.
tight	ვიწრო	ეს ფეხსაცმელი ძალიან ვიწროა.
till	სანამ	დამელოდე აქ, სანამ დავბრუნდები.
tin	კონსერვის ქილა	გახსენი ლობიოს კონსერვის ქილა.
tiny	პაწაწინა	იქვე პაწაწინა ჩიტი დაეშვა.
toe	ფეხის თითი	გუშინ ფეხის თითი ვიტკინე.
tongue	ენა	მან ჩაიზე ენა დაიწვა.
total	საერთო	საერთო ღირებულება დაბალი იყო.
totally	სრულიად	მე სრულიად მესმის შენი წუხილი.
trade	ვაჭრობა	საერთაშორისო ვაჭრობა ქმნის სამუშაო ადგილებს.
translate	თარგმნა	გთხოვთ, თარგმნეთ ეს წინადადება.
translation	თარგმანი	თარგმანი ბუნებრივად ჟღერს.
treat	მოპყრობა	ყველას პატივისცემით მოეპყარით.
treatment	მკურნალობა	პაციენტს დღეს მკურნალობა სჭირდება.
trend	ტენდენცია	ეს ტენდენცია იზრდება მთელ მსოფლიოში.
trick	ფოკუსი	ამ კარტის ფოკუსმა გამაკვირვა.
truth	სიმართლე	გთხოვთ, თქვით სიმართლე.
tube	ტუბი	ფრთხილად მოუჭირეთ ტუბს.
typically	ჩვეულებრივ	სტუდენტები ჩვეულებრივ ცხრამდე მოდიან.
tyre	საბურავი	მანქანას ახალი საბურავი სჭირდება.
ugly	მახინჯი	კედლის ის ფერი შეუხედავად გამოიყურება.
unable	უუნარო	მან პასუხის გაცემა ვერ შეძლო.
