source_headword	KK	example_KK
incur	әкеп соғу	Кешігулер қосымша шығындарға әкеп соғуы мүмкін.
indicator	көрсеткіш	Жұмыссыздық - бір экономикалық көрсеткіш.
indictment	айыптау актісі	Айыптау актісінде үш айып көрсетілген.
indigenous	жергілікті	Жергілікті өсімдіктер мұнда жақсы өседі.
induce	тудыру	Дәрі ұйқыны тудыруы мүмкін.
indulge	ерік беру	Ол қымбат әдеттерге ерік бермейді.
inequality	теңсіздік	Табыс теңсіздігі басты мәселе болып қала береді.
infamous	атышулы	Түрме бүкіл әлемге атышулы болды.
infant	сәби	Сәби бесікте ұйықтады.
infect	жұқтыру	Вирус сау жасушаларды жұқтыра алады.
inflict	келтіру	Жануарларға ауырсыну келтірмеңіз.
influential	ықпалды	Ол ықпалды заңгер ғалым.
inherent	тән	Дизайнның тән тәуекелдері бар.
inhibit	тежеу	Қорқыныш адал талқылауды тежеуі мүмкін.
initiate	бастау	Менеджер тексеруді бастайды.
inject	егу	Мейірбике вакцинаны егеді.
injection	инъекция	Инъекция ауырсынуды азайтты.
injustice	әділетсіздік	Шешім анық әділетсіздікті көрсетті.
inmate	тұтқын	Тұтқын заңгерлік кеңес сұрады.
insertion	кірістіру	Формаға бір мәтінді кірістіру қажет.
insider	инсайдер	Инсайдер есепті жариялап жіберді.
inspect	тексеру	Шенеуніктер көпірді жыл сайын тексереді.
inspection	тексеріс	Тексеріс ауыр зақым тапты.
inspiration	шабыт	Оның сөзі маған шабыт берді.
instinct	түйсік	Оның алғашқы түйсігі көмектесу болды.
institutional	институционалдық	Институционалдық ережелер шешімді қалыптастырды.
instruct	нұсқау беру	Нұсқаулық жаңа қызметкерлерге нұсқау береді.
instrumental	маңызды	Оның кеңесі келіссөздерде маңызды болды.
insufficient	жеткіліксіз	Дәлелдер айыптау үшін жеткіліксіз болды.
insult	қорлау	Оның қорлауы әңгімені аяқтады.
intact	бүтін	Ежелгі қабырға бүтін қалды.
intake	тұтыну	Қантты тұтыну қалыпты деңгейде болуы керек.
integral	ажырамас	Сенім команданың ажырамас бөлігі болып табылады.
integrated	біріктірілген	Мектеп біріктірілген қолдау ұсынады.
integration	интеграция	Интеграция бүкіл жүйені жақсартты.
integrity	адалдық	Судья үлкен адалдық танытты.
intensify	күшею	Дауыл түнде күшеюі мүмкін.
intensity	қарқындылық	Жаттығудың қарқындылығы артты.
intensive	қарқынды	Олар қарқынды тілдік оқытуды аяқтады.
intent	ниет	Оның ниетін дәлелдеу қиын болды.
interactive	интерактивті	Музейде интерактивті дисплейлер бар.
interface	интерфейс	Интерфейсті басқару оңай.
interfere	араласу	Тергеуге араласпаңыз.
interference	кедергі	Сигналдың кедергісі қоңырауды үздi.
interim	аралық	Аралық есеп ертең келеді.
interior	ішкі	Ішкі қабырғаларды бояу қажет.
intermediate	орта	Ол орта сыныпқа қосылды.
intervene	араласу	Полиция тез араласуға мәжбүр болды.
intervention	араласу	Ерте араласу науқасқа көмектесті.
intimate	шағын	Олар шағын отбасылық рәсім өткізді.
intriguing	қызықты	Деректер қызықты заңдылықты көрсетті.
investigator	тергеуші	Тергеуші әр куәгерден жауап алды.
invisible	көрінбейтін	Газ көрінбейтін және қауіпті.
invoke	сүйену	Заңгер прецедентке сүйенуге тырысты.
involvement	қатысу	Оның қатысуы түсініксіз болып қалды.
ironic	мысқылды	Мысқылды пікір барлығын күлдіртті.
ironically	қызық болғанда	Қызық болғанда, маршрут көбірек уақыт алды.
irony	ирония	Ирония барлығына түсінікті болды.
irrelevant	қатыссыз	Бұл бөлшек мұнда қатыссыз.
isolation	оқшаулау	Оқшаулау психикалық денсаулыққа зиян тигізуі мүмкін.
judicial	сот	Соттық тексеру дүйсенбіде басталады.
junction	қиылыс	Қиылыстан солға бұрылыңыз.
jurisdiction	құзырет	Соттың құзыреті шектеулі.
just	әділ	Судья әділ шешім қабылдады.
justification	негіздеме	Бізге шығындар үшін нақты негіздеме қажет.
kidnap	ұрлап әкету	Қылмыскерлер дипломатты ұрлап әкетуге тырысты.
kidney	бүйрек	Оның бүйрегінің қызметі жақсарды.
kingdom	патшалық	Патшалық оның басқаруымен кеңейді.
lad	бозбала	Жас бозбала сөмкелерді көтерді.
landlord	үй иесі	Үй иесі жылытуды жөндеді.
landmark	көрнекті орын	Мұнара қаланың көрнекті орнына айналды.
lap	тізе	Бала оның тізесіне отырды.
large-scale	ауқымды	Қала ауқымды жөндеу жұмыстарын жоспарлады.
laser	лазер	Лазер қашықтықты өлшеді.
latter	соңғысы	Соңғы нұсқа қауіпсізірек көрінеді.
lawn	көгал	Балалар көгалда ойнады.
lawsuit	сот ісі	Компания сот ісін реттеді.
layout	макет	Бет макеті анығырақ көрінеді.
leak	ағу	Құбырдың ағуы асүйді су басуына әкелді.
leap	секіріс	Сатылымдар кенеттен секіріс жасады.
legacy	мұра	Оның мұрасы университетті қалыптастырды.
legendary	аты аңызға айналған	Аты аңызға айналған әнші сахнаға оралды.
legislation	заңнама	Жаңа заңнама жалға алушыларды қорғайды.
legislative	заң шығарушы	Заң шығарушы комитет бүгін жиналды.
legislature	заң шығарушы орган	Заң шығарушы орган бюджетті бекітті.
legitimate	заңды	Олар заңды алаңдаушылық білдірді.
lengthy	ұзақ	Ұзақ пікірталас дауыс беруді кешіктірді.
lesbian	лесбиян	Лесбиян белсенді форумда сөз сөйледі.
lesser	азырақ	Азырақ тәуекелді таңдаңыз.
lethal	өлімге әкелетін	Химиялық зат өлімге әкелуі мүмкін.
liable	жауапты	Жүргізушілер шығындар үшін жауапты.
liberal	либералды	Ол либералды әлеуметтік саясатты қолдайды.
liberation	азат ету	Азат ету елдің болашағын өзгертті.
liberty	бостандық	Заң жеке бостандықтарды қорғайды.
license	лицензия беру	Мемлекет жаңа клиникаларға лицензия бере алады.
lifelong	өмірлік	Ол онда өмірлік достар тапты.
likelihood	ықтималдық	Жаңбыр жауу ықтималдығы артты.
limb	аяқ-қол	Жарақаттанған аяқ-қол баяу жазылды.
linear	сызықтық	График сызықтық трендті көрсетеді.
line-up	құрам	Фестиваль құрамына жергілікті топтар кіреді.
linger	сақталу	Иіс бірнеше сағат бойы сақталуы мүмкін.
listing	хабарландыру	Пәтер хабарландыруы дәл көрінді.
literacy	сауаттылық	Ересектердің сауаттылығын арттыру бағдарламалары кеңейді.
liver	бауыр	Бауыр зиянды заттарды сүзеді.
lobby	вестибюль	Түстен кейін вестибюль адамдарға толы болды.
log	журнал	Жүйе күнделікті журнал жүргізеді.
logic	логика	Оның дәлелінің логикасы сәтсіз болды.
long-standing	көптен бергі	Олар көптен бергі дауды шешті.
long-time	көптен бергі	Ол көптен бергі ерікті.
loom	төну	Аңғарға қара бұлт төніп тұр.
loop	шеңбер	Соқпақ шеңбер құрайды.
loyalty	адалдық	Оның адалдығы командаға әсер етті.
machinery	техника	Зауыт жаңа техника орнатты.
magical	сиқырлы	Бақ түнде сиқырлы болып көрінді.
magistrate	судья	Судья істі қарады.
magnetic	магниттік	Магнит өрісі компасқа әсер етті.
magnitude	ауқым	Зақымның ауқымы анық болды.
mainland	материк	Паром аралдарды материкпен байланыстырады.
mainstream	негізгі ағым	Бұл идея негізгі саясатқа енді.
maintenance	техникалық қызмет көрсету	Тұрақты техникалық қызмет көрсету бұзылулардың алдын алады.
mandate	мандат	Президент мықты мандатқа ие екенін мәлімдеді.
mandatory	міндетті	Тағылымдамадан өтушілер үшін қатысу міндетті.
manifest	біліну	Белгілер бірнеше аптадан кейін білінуі мүмкін.
manipulate	бұрмалау	Сауалнама нәтижелерін бұрмаламаңыз.
manipulation	бұрмалау	Деректерді бұрмалау анықталды.
manuscript	қолжазба	Баспагер оның қолжазбасын қабылдады.
march	шеру	Шерушілер қала орталығымен жүріп өтеді.
marginal	шамалы	Өзгерістің шамалы пайдасы болды.
marine	теңіз	Теңіз тіршілігі таза суды қажет етеді.
marketplace	сауда алаңы	Онлайн сауда алаңы тез кеңейді.
mask	бетперде	Жұмысшылар бетперде киюі керек.
massacre	қырғын	Қырғын бүкіл аймақты дүрбелеңге түсірді.
mathematical	математикалық	Математикалық модель сұранысты болжады.
mature	жетілген	Жетілген ағаштар көлеңке береді.
maximize	барынша арттыру	Жаңарту батареяның қызмет ету мерзімін барынша арттырады.
meaningful	мағыналы	Олар мағыналы әңгімелесті.
meantime	осы арада	Осы арада далада күте тұрыңыз.
medieval	ортағасырлық	Қамалда ортағасырлық қабырғалар бар.
meditation	медитация	Күнделікті медитация оның санасын тыныштандырады.
melody	әуен	Бұл әуен есімде сақталып қалды.
memo	қызметтік хат	Қызметтік хат саясатты түсіндірді.
memoir	мемуар	Оның мемуарында балалық шақтағы жер аудару суреттеледі.
memorial	ескерткіш	Ескерткіш жергілікті сарбаздарды еске алады.
mentor	тәлімгер	Оның тәлімгері ұсынысты қарап шықты.
merchant	саудагер	Саудагер жібек пен дәмдеуіштер сатты.
mercy	мейірімділік	Судья мейірімділік танытты.
mere	жай ғана	Жай ғана көзқарас қатені көрсетті.
merely	тек	Ол тек нұсқауларды қайталады.
merge	бірігу	Екі компания бірігеді.
merger	бірігу	Бірігу нәтижесінде ірі банк пайда болды.
merit	артықшылық	Ұсыныстың айқын артықшылығы бар.
methodology	әдіснама	Зерттеу өз әдіснамасын түсіндіреді.
midst	ортасы	Олар хаостың ортасында жұмыс істеді.
migration	көші-қон	Маусымдық көші-қон жергілікті жұмыс орындарына әсер етеді.
militant	содыр	Содырлар тобы келіссөздерден бас тартты.
militia	халық жасағы	Халық жасағы жолды бақылауда ұстады.
mill	диірмен	Ескі диірмен мұражайға айналды.
minimal	ең аз	Жоспар ең аз күш-жігерді қажет етеді.
minimize	барынша азайту	Біз қажетсіз тәуекелді барынша азайтуымыз керек.
mining	тау-кен өндірісі	Тау-кен өндірісі өзен аңғарына зақым келтірді.
ministry	министрлік	Министрлік жаңа ережелерді жариялады.
minute2	ұсақ	Шыныда ұсақ жарықшақ пайда болды.
miracle	ғажайып	Оның сауығып кетуі ғажайып сияқты көрінді.
misery	азап	Босқындар бірнеше жылдық азапты бастан өткерді.
misleading	жаңылыстыратын	Жаңылыстыратын диаграмма оқырмандарды шатастырды.
missile	зымыран	Зымыран сынағы шиеленісті күшейтті.
mob	тобыр	Ашулы тобыр қозғалысты бөгеді.
mobility	ұтқырлық	Жақсырақ автобустар қалалық ұтқырлықты жақсартады.
mobilize	жұмылдыру	Көшбасшылар еріктілерді тез жұмылдырады.
moderate	байсалды	Үміткер байсалды көзқарастарды ұстанады.
modification	өзгерту	Дизайнға бір өзгерту қажет.
momentum	серпін	Науқан тез серпін алды.
monk	монах	Монах үнсіз өмір сүрді.
monopoly	монополия	Фирма монополияға ие болды.
morality	мораль	Курс қоғамдық моральды зерттейді.
motive	себеп	Полиция оның себебін сұрады.
motorist	көлік жүргізушісі	Көлік жүргізушісі қызыл бағдаршамға тоқтады.
municipal	қалалық	Биыл қалалық қызметтер жақсарды.
mutual	өзара	Олар өзара келісімге келді.
namely	атап айтқанда	Бір мәселе қалды, атап айтқанда қаржыландыру.
nationwide	жалпыұлттық	Ереуіл жалпыұлттық кідірістерге әкелді.
naval	әскери-теңіз	Әскери-теңіз базасы өткен жылы жабылды.
neglect	елемеу	Қарапайым қауіпсіздік ережелерін елемеуге болмайды.
neighbouring	көршілес	Көршілес қалалар аурухананы ортақ пайдаланды.
nest	ұя	Құс ұя салды.
net	таза	Таза пайда күрт өсті.
newsletter	ақпараттық бюллетень	Ақпараттық бюллетень әр жұма сайын келеді.
niche	тауаша	Компания табысты тауашаны тапты.
noble	игі	Оның игі әрекеті барлығын тәнті етті.
nod	бас изеу	Егер түсінсеңіз, басыңызды изеңіз.
nominate	ұсыну	Олар жаңа төрағаны ұсынады.
nomination	кандидатураны ұсыну	Оның кандидатурасының ұсынылуы комитетті таң қалдырды.
nominee	үміткер	Үміткер қиын сұрақтарға жауап берді.
nonetheless	соған қарамастан	Соған қарамастан жоспар алға жылжыды.
non-profit	коммерциялық емес	Ол коммерциялық емес емханада жұмыс істейді.
nonsense	сандырақ	Бұл қауесет мүлдем сандырақ.
noon	түс	Жиналыс түсте басталады.
notable	айтарлықтай	Есеп айтарлықтай прогреске қол жеткізді.
notably	атап айтқанда	Атап айтқанда, шығындар мамыр айында төмендеді.
notify	хабарлау	Кетпес бұрын қызметкерлерге хабарлаңыз.
notorious	аты шыққан	Бұл жол апаттарымен аты шыққан.
novel	жаңа	Олар жаңа шешім ұсынды.
nursery	балабақша	Балабақша сәбилерге күтім жасайды.
objection	қарсылық	Заңгер қарсылық білдірді.
oblige	міндеттеу	Ережелер жүргізушілерді тоқтауға міндеттейді.
obsess	қатты уайымдау	Ұсақ қателіктерге қатты уайымдамаңыз.
obsession	әуестік	Оның әуестігі жұмысына зиян тигізді.
occasional	кейде болатын	Кейде кешігулер болуы мүмкін.
occurrence	оқиға	Мұндай оқиға сирек кездеседі.
odds	мүмкіндіктер	Сәттілік мүмкіндіктері артты.
offering	ұсыныс	Университет өз ұсыныстарын кеңейтті.
offspring	ұрпақ	Түлкі өз ұрпағын қорғады.
operational	жұмыс істеп тұрған	Жаңа жүйе жұмыс істеп тұр.
opt	таңдау	Көптеген студенттер онлайн сабақтарды таңдайды.
optical	оптикалық	Оптикалық линзаны тазалау қажет.
optimism	оптимизм	Хабарландырудан кейін оптимизм қайта оралды.
oral	ауызша	Ауызша емтихан ертең басталады.
organizational	ұйымдастырушылық	Ұйымдастырушылық өзгерістер дереу басталды.
orientation	бағдар беру	Семинар қызметкерлерге бағдар беруді қамтыды.
originate	бастау алу	Көптеген дәстүрлер ауылдардан бастау алады.
outbreak	таралу	Аурудың таралуы бүкіл қаланы қамтыды.
outing	серуен	Сынып мұражайға серуендеп қайтты.
outlet	дүкен	Сауда нүктесі жеңілдетілген киімдер сатады.
outlook	болжам	Экономикалық болжам белгісіз болып қалуда.
outrage	наразылық	Шешім қоғамдық наразылық тудырды.
outsider	сырттағы адам	Ол сырттағы адам ретінде проблемаларды байқады.
overlook	елемеу	Ұсақ бөлшектерді назардан тыс қалдырмаңыз.
overly	тым	Нұсқаулар тым күрделі болды.
oversee	қадағалау	Ол жобаны қадағалайтын болады.
overturn	бұзу	Сот үкімді бұзуы мүмкін.
overwhelm	ауыртпалық түсіру	Тым көп ақпарат оқушыларға ауыртпалық түсіруі мүмкін.
overwhelming	өте үлкен	Дәлелдер өте үлкен болды.
pad	жастықша	Тізені қорғау үшін жастықшаны қолданыңыз.
parameter	параметр	Бір уақытта бір параметрді реттеңіз.
parental	ата-аналық	Ата-ананың қолдауы қатысуды жақсартты.
parish	шіркеу қауымы	Шіркеу қауымы қайырымдылық кешкі асын ұйымдастырды.
parliamentary	парламенттік	Парламенттік пікірталас бірнеше сағатқа созылды.
partial	ішінара	Есеп ішінара жауап берді.
partially	ішінара	Терезе ішінара ашық болды.
passing	қайтыс болу	Оның қайтыс болуы кенеттен болды.
passive	пассивті	Пассивті инвесторлар тұрақты кірісті қабылдады.
pastor	пастор	Пастор отбасына барды.
patch	жамау	Пиджакқа кішкентай жамау керек.
patent	патент	Компания патентке өтінім берді.
pathway	жол	Бұл жол сертификаттауға апарады.
patrol	патрульдеу	Полиция түнде аумақты патрульдейді.
patron	демеуші	Мұражай өз демеушісіне алғыс айтты.
peak	ең жоғарғы шек	Сұраныс қысқы шыңына жетті.
peasant	шаруа	Шаруаның жері аз болды.
peculiar	оғаш	Бөлмеде оғаш иіс болды.
persist	сақталу	Симптомдар бірнеше күн сақталуы мүмкін.
persistent	созылмалы	Созылмалы жөтел назар аударуды қажет етеді.
personnel	персонал	Персонал жазбалары құпия.
