simplified	KK	example_KK
挨	шыдау	Ол түні бойы шыдап, ақыры таңның атуын күтті.
癌症	қатерлі ісік	Қатерлі ісікті ерте анықтау өте маңызды.
暧昧	екіұшты	Оның жауабы өте екіұшты болды.
爱不释手	қолынан тастай алмау	Ол бұл кітапты қатты ұнатып, қолынан тастай алмады.
爱戴	сүйіспеншілікпен құрметтеу	Бұл мұғалімді оқушылар қатты құрметтейді.
安宁	тыныштық	Бұл жерде түн өте тыныш.
安详	сабырлы	Қарт адамның жүзі сабырлы еді.
安置	орналастыру	Үкімет апаттан зардап шеккен халықты орналастырды.
按摩	массаж	Мен массажға жазылдым.
暗示	тұспалдау	Ол маған енді сұрамауымды тұспалдады.
案件	іс	Полиция бұл істі тергеп жатыр.
案例	мысал іс	Бұл мысал іс өте өкілдік сипатқа ие.
昂贵	қымбат	Бұл жабдық өте қымбат.
凹凸	ойлы-қырлы	Бұл жолдың беті ойлы-қырлы.
熬	шыдап өткізу	Ол есепті бітіру үшін үш күн қиналып шыдады.
奥秘	құпия	Ғалым бұл құпияны ашқысы келеді.
巴不得	асыға қалау	Мен дереу жолға шықсам деп асыға қалап тұрмын.
巴结	жағымпаздану	Ол басшыларға жағымпазданғысы келмейді.
扒	жармасу	Бала есікке жабысып, сыртқа қарады.
疤	тыртық	Оның қолында бір тыртық бар.
拔苗助长	асығыстықпен істі бүлдіру	Баланы осылай оқуға қыса беру тек істі асығыстықпен бүлдіреді.
把关	тексеріп қадағалау	Бұл келісімшартты заңгер тексеріп қадағалауы керек.
把手	тұтқа	Есіктің тұтқасы сынып қалды.
罢工	ереуіл	Жұмысшылар ертең ереуілге шығуға шешім қабылдады.
霸道	өктем	Ол тым өктем сөйлейді.
掰	қолмен бөлу	Ол нанды екіге бөліп алды.
摆脱	құтылу	Ол ақыры жаман әдетінен құтылды.
拜访	барып көру	Біз демалыста мұғалімге барып көреміз.
拜年	жаңа жылмен құттықтап бару	Көктем мерекесінде біз ата-әжемізге барып, жаңа жылмен құттықтаймыз.
拜托	өтініп тапсыру	Бұл істі саған өтініп тапсырамын.
败坏	нұқсан келтіру	Мұндай әрекет компанияның беделіне нұқсан келтіреді.
斑	дақ	Мысықтың денесінде бір қара дақ бар.
颁布	жариялау	Жаңа ережелер келесі аптада жарияланады.
颁发	табыстау	Мектеп үздік оқушыларға мақтау қағаздарын табыстады.
版本	нұсқа	Бұл бағдарламаның жаңа нұсқасы бар.
伴侣	серік	Ол итін өз серігі санайды.
伴随	қатар жүру	Табыс көбіне қысыммен қатар жүреді.
半途而废	жарты жолда тастау	Зерттеу жасағанда істі жарты жолда тастауға болмайды.
扮演	рөл ойнау	Ол фильмде дәрігердің рөлін ойнайды.
榜样	үлгі	Ата-ана балаға үлгі болады.
绑架	ұрлау	Полиция бір адам ұрлау оқиғасының алдын алды.
磅	фунт	Бұл қораптың салмағы жиырма фунт.
包庇	жасырып қорғау	Ешкім қылмысты жасырып қорғай алмайды.
包袱	жүк	Ол жүгін қойған соң өзін әлдеқайда жеңіл сезінді.
包围	қоршау	Тілшілер актерді қоршап алды.
包装	қаптама	Бұл сыйлықтың қаптамасы өте әдемі.
保管	сақтау	Бұл құжаттарды мен сақтаймын.
保密	құпия сақтау	Жиналыстың мазмұнын құпия сақтау керек.
保姆	бала күтуші	Олар бір бала күтуші жалдады.
保守	консервативті	Оның ойлары біршама консервативті.
保卫	қорғау	Сарбаздар шекараны қорғайды.
保养	күтіп ұстау	Бұл көлікті тұрақты түрде күтіп ұстау керек.
保障	қамтамасыз ету	Заң азаматтардың құқықтарын қамтамасыз етеді.
保重	өзіңді күту	Жолда жүргенде өзіңді жақсы күт.
