source_headword	ID	example_ID
prey	mangsa	Burung hantu memburu mangsa di malam hari.
privatization	privatisasi	Privatisasi mengubah sistem kereta api.
privilege	hak istimewa	Pendidikan tidak seharusnya menjadi hak istimewa.
probe	penyelidikan	Penyelidikan tersebut mengungkapkan kesalahan serius.
problematic	bermasalah	Kesepakatan tersebut tetap bermasalah.
proceedings	proses pengadilan	Proses pengadilan dimulai pada hari Senin.
proceeds	hasil	Hasilnya akan mendukung sekolah setempat.
processing	pemrosesan	Pemrosesan gambar memakan waktu.
processor	prosesor	Prosesor itu gagal selama pengujian.
proclaim	memproklamasikan	Para pemimpin memproklamasikan kemenangan terlalu dini.
productive	produktif	Pertemuan itu produktif.
productivity	produktivitas	Produktivitas meningkat setelah pelatihan.
profitable	menguntungkan	Toko itu menjadi menguntungkan tahun ini.
profound	mendalam	Pidato itu memiliki efek yang mendalam.
projection	proyeksi	Proyeksi itu menunjukkan pertumbuhan yang stabil.
prominent	terkemuka	Dia menjadi ilmuwan terkemuka.
pronounced	kentara	Aksennya menjadi lebih kentara.
propaganda	propaganda	Kampanye itu menggunakan propaganda secara daring.
proposition	usulan	Usulan itu adalah proposisi yang berisiko.
prosecute	menuntut	Para pejabat menuntut kasus penipuan serius.
prosecution	pihak penuntut	Pihak penuntut menyajikan bukti baru.
prosecutor	jaksa	Jaksa menanyai saksi itu.
prospective	calon	Calon mahasiswa berkeliling kampus.
prosperity	kemakmuran	Perdagangan membawa kemakmuran ke wilayah tersebut.
protective	pelindung	Dia mengenakan sarung tangan pelindung.
protocol	protokol	Protokol tersebut memerlukan persetujuan tertulis.
province	provinsi	Provinsi itu berinvestasi dalam transportasi.
provincial	provinsi	Para pejabat provinsi mengumumkan rencana tersebut.
provision	ketentuan	Kontrak itu mencakup ketentuan keselamatan.
provoke	memancing	Pidato itu dapat memancing reaksi keras.
psychiatric	psikiatris	Rumah sakit itu membuka unit psikiatris.
pulse	denyut nadi	Perawat memeriksa denyut nadinya.
pump	pompa	Pompa itu menaikkan air.
punch	pukulan	Dia melontarkan pukulan karena marah.
query	pertanyaan	Kirimkan pertanyaan Anda ke dukungan.
quest	pencarian	Pencarian keadilan mereka berlanjut.
quota	kuota	Tim itu memenuhi kuota penjualannya.
radar	radar	Badai itu muncul di radar.
radical	radikal	Kelompok tersebut mengusulkan reformasi radikal.
rage	kemarahan	Kemarahannya memudar dengan cepat.
raid	penggerebekan	Polisi melakukan penggerebekan saat subuh.
rally	rapat umum	Para pendukung bergabung dalam rapat umum di pusat kota.
ranking	peringkat	Universitas itu meningkatkan peringkatnya.
rape	pemerkosaan	Kasus pemerkosaan memerlukan penyelidikan yang cermat.
ratio	rasio	Kelas itu memiliki rasio guru yang rendah.
rational	rasional	Keputusannya rasional.
ray	sinar	Sebercak sinar matahari masuk.
readily	dengan senang hati	Dia dengan senang hati menerima tawaran itu.
realization	kesadaran	Kesadaran itu mengubah rencananya.
realm	ranah	Pertanyaan ini milik ranah lain.
rear	belakang	Gunakan pintu masuk belakang hari ini.
reasoning	penalaran	Penalarannya jelas.
reassure	meyakinkan	Dokter berusaha meyakinkannya.
rebel	pemberontak	Pemimpin pemberontak itu lolos dari penangkapan.
rebellion	pemberontakan	Pemberontakan berakhir setelah negosiasi.
recipient	penerima	Penerima menandatangani formulir tersebut.
reconstruction	pembangunan kembali	Pembangunan kembali dimulai setelah banjir.
recount1	menceritakan	Dia dapat menceritakan peristiwa itu dengan jelas.
referendum	referendum	Referendum itu memecah belah negara.
reflection	refleksi	Esai itu membutuhkan refleksi yang lebih dalam.
reform	reformasi	Reformasi itu meningkatkan layanan publik.
refuge	tempat berlindung	Keluarga itu mencari tempat berlindung di luar negeri.
refusal	penolakan	Penolakannya mengejutkan komite.
regain	mendapatkan kembali	Dia bekerja keras untuk mendapatkan kembali kepercayaan.
regardless	terlepas dari itu	Mereka terus melangkah terlepas dari kritik.
regime	rezim	Rezim tersebut membatasi kebebasan berbicara.
regulator	regulator	Regulator mendenda perusahaan itu.
