source_headword	KM	example_KM
fridge	ទូទឹកកក	ទឹកដោះគោនៅក្នុងទូទឹកកក។
frog	កង្កែប	កង្កែបលោតចូលស្រះ។
furniture	គ្រឿងសង្ហារឹម	គ្រឿងសង្ហារឹមនេះចាស់ប៉ុន្តែរឹងមាំ។
further	បន្ថែម;ឆ្ងាយជាង	យើងត្រូវការព័ត៌មានបន្ថែម។
gallery	វិចិត្រសាល	វិចិត្រសាលបើកថ្ងៃនេះ។
gap	ចន្លោះ;គម្លាត	មានចន្លោះមួយក្នុងជញ្ជាំង។
gas	ប្រេងសាំង;ឧស្ម័ន	រថយន្តត្រូវការប្រេងសាំង។
gate	ទ្វារ	សូមបិទទ្វារ។
general	ទូទៅ	នេះជាវិធានទូទៅមួយ។
gift	អំណោយ	នាងបានទិញអំណោយមួយ។
goal	គោលដៅ	គោលដៅរបស់យើងសាមញ្ញ។
god	ព្រះ	មនុស្សជាច្រើនអធិស្ឋានទៅព្រះ។
gold	មាស;ពណ៌មាស	ចិញ្ចៀននេះជាមាស។
golf	កីឡាវាយកូនហ្គោល	គាត់លេងកីឡាវាយកូនហ្គោលថ្ងៃនេះ។
government	រដ្ឋាភិបាល	រដ្ឋាភិបាលបានប្ដូរច្បាប់។
grass	ស្មៅ	ស្មៅសើម។
greet	ស្វាគមន៍;ជំរាបសួរ	ស្វាគមន៍ភ្ញៀវរាល់គ្នាយ៉ាងសុភាព។
ground	ដី;ផ្ទៃដី	អង្គុយលើដី។
guest	ភ្ញៀវ	ភ្ញៀវរបស់យើងមកដល់លឿន។
guide	មគ្គុទ្ទេសក៍;ណែនាំ	មគ្គុទ្ទេសក៍បានបង្ហាញសារមន្ទីរ។
gun	កាំភ្លើង	ប៉ូលិសបានរកឃើញកាំភ្លើងមួយ។
guy	បុរសម្នាក់	បុរសនោះជាបងប្រុសខ្ញុំ។
habit	ទម្លាប់	ការអានរាល់ថ្ងៃជាទម្លាប់ល្អ។
hall	សាល;ច្រកដើរ	រង់ចាំនៅក្នុងសាល។
happily	យ៉ាងរីករាយ	ពួកគេរស់នៅជាមួយគ្នាយ៉ាងរីករាយ។
headache	ឈឺក្បាល	ខ្ញុំឈឺក្បាល។
heart	បេះដូង	បេះដូងនាងលោតលឿន។
heat	កម្តៅ;កំដៅ	កំដៅស៊ុបយឺតៗ។
heavy	ធ្ងន់	កាបូបនេះធ្ងន់។
height	កម្ពស់	វាស់កម្ពស់តុ។
helpful	មានប្រយោជន៍	ដំបូន្មានរបស់អ្នកមានប្រយោជន៍។
hero	វីរបុរស	គាត់ជាវីរបុរសរបស់ខ្ញុំ។
hers	របស់នាង	អាវពណ៌ខៀវជារបស់នាង។
herself	ខ្លួននាងផ្ទាល់	នាងធ្វើអាហារពេលល្ងាចដោយខ្លួននាង។
hide	លាក់	លាក់កូនសោក្រោមប្រអប់។
hill	ភ្នំតូច	យើងបានឡើងភ្នំតូច។
himself	ខ្លួនគាត់ផ្ទាល់	គាត់បានជួសជុលវាដោយខ្លួនគាត់។
hit	វាយ;ប៉ះទង្គិច	កុំវាយទ្វារ។
hockey	កីឡាហុកគី	យើងបានមើលកីឡាហុកគីយប់មិញ។
hold	កាន់	កាន់ដៃខ្ញុំ។
hole	រន្ធ	មានរន្ធមួយក្នុងស្រោមជើងខ្ញុំ។
huge	ធំសម្បើម	បន្ទប់នេះធំសម្បើម។
human	មនុស្ស	មនុស្សគ្រប់រូបត្រូវការទឹក។
hurt	ឈឺ;ធ្វើឲ្យឈឺ	ជង្គង់ខ្ញុំឈឺ។
ideal	ល្អឥតខ្ចោះ;សមស្រប	បន្ទប់នេះសមស្របសម្រាប់រៀន។
identify	សម្គាល់អត្តសញ្ញាណ	អ្នកអាចសម្គាល់បក្សីនេះបាន។
ill	ឈឺ;មិនស្រួលខ្លួន	នាងមិនស្រួលខ្លួនថ្ងៃនេះ។
illness	ជំងឺ	ជំងឺបានបន្តមួយសប្តាហ៍។
image	រូបភាព	រូបភាពនេះច្បាស់។
immediately	ភ្លាមៗ	មកទីនេះភ្លាមៗ។
