source_headword	TR	example_TR
toss	fırlatmak	Anahtarları masaya fırlattı.
total	tutmak	Onarımlar beklenenden daha fazla tuttu.
toxic	zehirli	Zehirli duman herkesi dışarı çıkmaya zorladı.
trademark	ticari marka	Logo şirketin ticari markası oldu.
trail	patika	Patika ormanın içinden geçiyordu.
trailer	fragman	Fragman filmin sonunu gösterdi.
transaction	işlem	İşlem banka dökümümde göründü.
transcript	transkript	Öğrenci resmi bir transkript talep etti.
transformation	dönüşüm	Şehir büyük bir dönüşüm geçirdi.
transit	taşıma	Paket taşıma sırasında hasar gördü.
transmission	iletim	Veri iletimi güvenliydi.
transparency	şeffaflık	Rapor daha fazla şeffaflık çağrısında bulundu.
transparent	şeffaf	Süreç herkes için şeffaf olmalıdır.
trauma	travma	Kaza derin bir travma bıraktı.
treaty	antlaşma	Ülkeler bir barış antlaşması imzaladı.
tremendous	muazzam	Takım muazzam bir ilerleme kaydetti.
tribal	kabile	Müze kabile sanatını sergiledi.
tribunal	mahkeme	Mahkeme tüm hafta boyunca delilleri dinledi.
tribute	anma	Konser ona bir saygı duruşuydu.
trio	üçlü	Üçlü festivalde sahne aldı.
triumph	zafer	Galibiyet kişisel bir zaferdi.
trophy	kupa	Kaptan kupayı gururla kaldırdı.
troubled	sorunlu	Sorunlu şirketin yeni bir liderliğe ihtiyacı vardı.
trustee	mütevelli	Mütevelli burs fonunu yönetiyor.
tuition	okul ücreti	Okul ücreti bu yıl arttı.
turnout	katılım	Seçmen katılımı beklenenden yüksekti.
turnover	personel devri	Değişikliklerden sonra personel devri düştü.
twist	çevirmek	Kapağı çevirerek açtı.
undergraduate	lisans öğrencisi	Lisans öğrencisi bir araştırma projesine katıldı.
underlying	temelinde yatan	Rapor temelinde yatan nedenleri açıkladı.
undermine	baltalamak	Skandal kamuoyunun güvenini baltaladı.
undoubtedly	şüphesiz	O şüphesiz en iyi adaydır.
unify	birleştirmek	Plan takımları birleştirmeyi amaçlıyor.
