part_of_speech	source_lemma	display_ES	display_ES_419	article_ES	article_ES_419	gender	number_policy	verb_infinitive	verb_group	meaning_note	semantic_scene	topic_domain	example_ES	example_ES_419
verb	charlar	charlar	charlar	not_applicable	not_applicable	not_applicable	not_applicable	charlar	-ar	to chat	informal talk	actions_part006	Charlo con mi hermana.	Charlo con mi hermana.
verb	narrar	narrar	narrar	not_applicable	not_applicable	not_applicable	not_applicable	narrar	-ar	to narrate	telling a story	actions_part006	Narro una historia sencilla.	Narro una historia sencilla.
verb	describir	describir	describir	not_applicable	not_applicable	not_applicable	not_applicable	describir	-ir	to describe	describing a place	actions_part006	Describo la casa.	Describo la casa.
verb	informar	informar	informar	not_applicable	not_applicable	not_applicable	not_applicable	informar	-ar	to inform	giving information	actions_part006	Informo al cliente.	Informo al cliente.
verb	anunciar	anunciar	anunciar	not_applicable	not_applicable	not_applicable	not_applicable	anunciar	-ar	to announce	public notice	actions_part006	Anuncio la salida del tren.	Anuncio la salida del tren.
verb	publicar	publicar	publicar	not_applicable	not_applicable	not_applicable	not_applicable	publicar	-ar	to publish	posting information	actions_part006	Publico una foto.	Publico una foto.
verb	compartir	compartir	compartir	not_applicable	not_applicable	not_applicable	not_applicable	compartir	-ir	to share	sharing food	actions_part006	Comparto el pan.	Comparto el pan.
verb	unir	unir	unir	not_applicable	not_applicable	not_applicable	not_applicable	unir	-ir	to join	joining parts	actions_part006	Uno las dos partes.	Uno las dos partes.
verb	separar	separar	separar	not_applicable	not_applicable	not_applicable	not_applicable	separar	-ar	to separate	separating items	actions_part006	Separo la ropa blanca.	Separo la ropa blanca.
verb	hornear	hornear	hornear	not_applicable	not_applicable	not_applicable	not_applicable	hornear	-ar	to bake	baking food	actions_part006	Horneo pan por la mañana.	Horneo pan por la mañana.
verb	doblar	doblar	doblar	not_applicable	not_applicable	not_applicable	not_applicable	doblar	-ar	to fold	folding clothes	actions_part006	Doblo la camisa.	Doblo la camisa.
verb	saltar	saltar	saltar	not_applicable	not_applicable	not_applicable	not_applicable	saltar	-ar	to jump	jumping	actions_part006	Salto sobre la piedra.	Salto sobre la piedra.
verb	esquiar	esquiar	esquiar	not_applicable	not_applicable	not_applicable	not_applicable	esquiar	-ar	to ski	winter sport	actions_part006	Esquío en la montaña.	Esquío en la montaña.
verb	bucear	bucear	bucear	not_applicable	not_applicable	not_applicable	not_applicable	bucear	-ar	to dive	water sport	actions_part006	Buceo en el mar.	Buceo en el mar.
adjective	honesto	honesto	honesto	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	honest	honest person	adjectives_part006	El empleado es honesto.	El empleado es honesto.
adjective	sincero	sincero	sincero	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	sincere	sincere person	adjectives_part006	La amiga es sincera.	La amiga es sincera.
adjective	cruel	cruel	cruel	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	cruel	bad behavior	adjectives_part006	El comentario es cruel.	El comentario es cruel.
adjective	justo	justo	justo	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	fair	fair price	adjectives_part006	El precio es justo.	El precio es justo.
adjective	injusto	injusto	injusto	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	unfair	unfair situation	adjectives_part006	La situación es injusta.	La situación es injusta.
adjective	legal	legal	legal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	legal	legal document	adjectives_part006	El contrato es legal.	El contrato es legal.
adjective	ilegal	ilegal	ilegal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	illegal	illegal action	adjectives_part006	La venta es ilegal.	La venta es ilegal.
adjective	urgente	urgente	urgente	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	urgent	urgent problem	adjectives_part006	El problema es urgente.	El problema es urgente.
adjective	básico	básico	básico	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	basic	basic course	adjectives_part006	El curso es básico.	El curso es básico.
adjective	avanzado	avanzado	avanzado	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	advanced	advanced class	adjectives_part006	La clase es avanzada.	La clase es avanzada.
adjective	central	central	central	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	central	central location	adjectives_part006	La oficina es central.	La oficina es central.
adjective	principal	principal	principal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	main	main door	adjectives_part006	La puerta principal está abierta.	La puerta principal está abierta.
adjective	secundario	secundario	secundario	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	secondary	secondary option	adjectives_part006	La opción secundaria es barata.	La opción secundaria es barata.
adjective	familiar	familiar	familiar	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	family-related	family situation	adjectives_part006	La reunión es familiar.	La reunión es familiar.
adjective	laboral	laboral	laboral	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	work-related	work issue	adjectives_part006	El horario laboral termina a las seis.	El horario laboral termina a las seis.
adjective	escolar	escolar	escolar	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	school-related	school item	adjectives_part006	El calendario escolar empieza en septiembre.	El calendario escolar empieza en septiembre.
adjective	médico	médico	médico	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	medical	medical visit	adjectives_part006	La cita médica es mañana.	La cita médica es mañana.
adjective	dental	dental	dental	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	dental	dental appointment	adjectives_part006	La consulta dental dura poco.	La consulta dental dura poco.
adjective	turístico	turístico	turístico	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	tourist	tourist place	adjectives_part006	El mapa turístico es útil.	El mapa turístico es útil.
adjective	cultural	cultural	cultural	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	cultural	cultural event	adjectives_part006	El evento cultural empieza hoy.	El evento cultural empieza hoy.
adjective	natural	natural	natural	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	natural	natural place	adjectives_part006	El parque natural es grande.	El parque natural es grande.
adjective	artificial	artificial	artificial	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	artificial	artificial light	adjectives_part006	La luz artificial está encendida.	La luz artificial está encendida.
adjective	eléctrico	eléctrico	eléctrico	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	electric	electric device	adjectives_part006	El coche eléctrico está cargado.	El coche eléctrico está cargado.
adjective	electrónico	electrónico	electrónico	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	electronic	electronic device	adjectives_part006	El documento electrónico llega por correo.	El documento electrónico llega por correo.
adjective	manual	manual	manual	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	manual	manual work	adjectives_part006	El trabajo manual es lento.	El trabajo manual es lento.
adjective	digital	digital	digital	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	digital	digital file	adjectives_part006	El archivo digital está guardado.	El archivo digital está guardado.
noun	voz	voz	voz	la	la	feminine	singular_default	not_applicable	not_applicable	A spoken voice in a learning audio example	learning_help_word	ordinary_reuse_part006_learning_help_words	La voz es clara.	La voz es clara.
noun	chai	chai	chai	el	el	masculine	singular_default	not_applicable	not_applicable	Spiced or milk tea in many cafe contexts	beverage	ordinary_reuse_part006_beverages	El chai está caliente.	El chai está caliente.
noun	lima	lima	lima	la	la	feminine	singular_default	not_applicable	not_applicable	A small green citrus fruit	fruit_food	ordinary_reuse_part006_produce	La lima está cerca del limón.	La lima está cerca del limón.
noun	mora	mora	mora	la	la	feminine	singular_default	not_applicable	not_applicable	A small dark berry fruit, not a phone brand	fruit_food	ordinary_reuse_part006_produce	La mora está en el bol.	La mora está en el tazón.
noun	raya	raya	raya	la	la	feminine	singular_default	not_applicable	not_applicable	A long narrow band of color	visual_pattern_noun	ordinary_reuse_part006_colors_shapes	La raya es azul.	La raya es azul.
noun	taco	taco	taco	el	el	masculine	singular_default	not_applicable	not_applicable	A folded tortilla with filling	fast_food_main_item	ordinary_reuse_part006_fast_food	El taco está en la cesta.	El taco está en la canasta.
noun	uvas	uvas	uvas	las	las	feminine	plural_default	not_applicable	not_applicable	Small round fruits that grow in bunches	fruit_food	ordinary_reuse_part006_produce	Las uvas están en el bol.	Las uvas están en el tazón.
noun	wrap	wrap	wrap	el	el	masculine	singular_default	not_applicable	not_applicable	A soft flatbread rolled around food filling	fast_food_main_item	ordinary_reuse_part006_fast_food	El wrap está en el envoltorio.	El wrap está en el envoltorio.
noun	ayuda	ayuda	ayuda	la	la	feminine	singular_default	not_applicable	not_applicable	Assistance available to a learner	learning_help_word	ordinary_reuse_part006_learning_help_words	La ayuda está en la pantalla.	La ayuda está en la pantalla.
noun	chica	chica	chica	la	la	feminine	singular_default	not_applicable	not_applicable	A female child	people_noun	ordinary_reuse_part006_pronouns_people	La chica está en la mesa.	La chica está en la mesa.
noun	chico	chico	chico	el	el	masculine	singular_default	not_applicable	not_applicable	A male child	people_noun	ordinary_reuse_part006_pronouns_people	El chico está en la escuela.	El chico está en la escuela.
noun	color	color	color	el	el	masculine	singular_default	not_applicable	not_applicable	A visible color category, not paint material or skin tone	visual_category_noun	ordinary_reuse_part006_colors_shapes	El color está en la tarjeta.	El color está en la tarjeta.
noun	error	error	error	el	el	masculine	singular_default	not_applicable	not_applicable	An incorrect answer or learning error	learning_help_word	ordinary_reuse_part006_learning_help_words	El error está en la página.	El error está en la página.
