simplified	CS	example_CS
挨	vydržet	Vydržel celou noc a nakonec se dočkal úsvitu
癌症	rakovina	Včasné odhalení rakoviny je velmi důležité
暧昧	nejasný	Jeho odpověď byla velmi nejasná
爱不释手	nemoci se odtrhnout od něčeho	Kniha se jí tak líbila že ji skoro nemohla odložit
爱戴	milovat a vážit si	Studenti si tohoto učitele hluboce váží
安宁	klidný	Noci jsou tady velmi klidné
安详	pokojný	Výraz starého člověka byl velmi pokojný
安置	ubytovat	Vláda ubytovala lidi postižené katastrofou
按摩	masáž	Objednal jsem se na masáž
暗示	naznačit	Naznačila mi abych se už neptal
案件	případ	Policie tento případ vyšetřuje
案例	příkladový případ	Tento případ je velmi názorný
昂贵	drahý	Toto zařízení je velmi drahé
凹凸	nerovný	Povrch této silnice je nerovný
熬	vydržet těžké období	Tři těžké dny vydržel a pak dokončil zprávu
奥秘	tajemství	Vědec chce toto tajemství odhalit
巴不得	nemoci se dočkat	Nejraději bych hned vyrazil
巴结	podbízet se	Nechce se podbízet vedoucím
扒	držet se	Dítě se drželo dveří a dívalo se ven
疤	jizva	Na paži má jizvu
拔苗助长	škodit přílišným spěchem	Nutit dítě takto studovat jen škodí přílišným spěchem
把关	kontrolovat	Tuto smlouvu musí zkontrolovat právník
把手	klika	Klika u dveří je rozbitá
罢工	stávkovat	Dělníci se rozhodli zítra stávkovat
霸道	panovačný	Mluví velmi panovačně
掰	rozlomit	Rozlomila chléb na dvě poloviny
摆脱	zbavit se	Nakonec se zbavil špatného zvyku
拜访	navštívit	O víkendu navštívíme učitele
拜年	popřát k Novému roku	Během Svátků jara chodíme prarodičům popřát k Novému roku
拜托	spoléhat se na někoho	V této věci na tebe spoléhám
败坏	poškodit	Takové chování poškodí pověst firmy
斑	skvrna	Na kočce je černá skvrna
颁布	vyhlásit	Nová pravidla budou vyhlášena příští týden
颁发	udělit	Škola udělila vynikajícím studentům certifikáty
版本	verze	Tento software má novou verzi
伴侣	společník	Psa bere jako svého společníka
伴随	doprovázet	Úspěch často doprovází tlak
半途而废	vzdat to v půli cesty	Při výzkumu to nesmíš vzdát v půli cesty
扮演	hrát roli	Ve filmu hraje lékaře
榜样	vzor	Rodiče jsou pro děti vzorem
绑架	únos	Policie zabránila případu únosu
磅	libra	Tato krabice váží dvacet liber
包庇	krýt	Nikdo nesmí krýt zločin
包袱	břemeno	Když odložil břemeno cítil se mnohem uvolněněji
包围	obklopit	Reportéři herce obklopili
包装	obal	Obal tohoto dárku je velmi pěkný
保管	uchovávat	Tyto dokumenty uchovávám já
保密	zachovat mlčenlivost	Obsah schůzky musí zůstat důvěrný
保姆	chůva	Najali si chůvu
保守	konzervativní	Jeho názory jsou poměrně konzervativní
保卫	bránit	Vojáci brání hranici
保养	udržovat	Toto auto potřebuje pravidelnou údržbu
保障	zajistit	Zákon chrání práva občanů
保重	dávat na sebe pozor	Na cestách na sebe dávej pozor
饱和	nasycení	Tento trh se už blíží nasycení
饱经沧桑	projít mnoha změnami	Tento starý člověk prošel mnoha těžkostmi a změnami
报酬	odměna	Dostal přiměřenou odměnu
报仇	pomstít se	Nechce se pomstít chce jen začít znovu
报答	oplatit	Svou pomoc ti oplatím činy
报复	odplata	Odplata konflikt jen prohloubí
报警	zavolat policii	Po zjištění požáru je třeba okamžitě zavolat policii
报销	proplatit	Cestovní výdaje lze proplatit
抱负	ambice	Od dětství má velké ambice
暴力	násilí	Odmítáme násilí v jakékoli podobě
暴露	odhalit	Tento problém se postupně odhalil
曝光	zveřejnění	Po zveřejnění této fotografie vzbudila pozornost
爆发	propuknout	Sopka náhle vybuchla
爆炸	výbuch	V laboratoři došlo k výbuchu
卑鄙	podlý	Tento podlý způsob jednání lidi rozčiluje
悲哀	smutný	Po vyslechnutí zprávy se cítil velmi smutně
悲惨	tragický	Bylo to tragické období dějin
北极	Arktida	Vědci provádějí výzkum v Arktidě
备份	záloha	Nejdřív si prosím zálohuj důležité soubory
备忘录	poznámka	Zapsala hlavní body do poznámky
背叛	zrada	Nedokázal přijmout zradu svého přítele
背诵	odříkávat zpaměti	Studenti odříkávají text zpaměti
被动	pasivní	Při vyjednávání nesmíme být příliš pasivní
被告	obžalovaný	Obžalovaný všechna obvinění popřel
贝壳	mušle	Dítě u moře sbíralo mušle
奔波	lítat sem a tam	Kvůli práci lítá všude sem a tam
奔驰	řítit se	Auto se řítilo po dálnici
本能	instinkt	Chránit děti je rodičovský instinkt
本钱	kapitál	Podnikání vyžaduje kapitál
本人	osobně	Já osobně jsem ochoten převzít odpovědnost
本身	sám o sobě	S plánem samotným není žádný problém
本事	schopnost	Je velmi schopný
笨拙	neohrabaný	Jeho pohyby jsou trochu neohrabané
崩溃	zhroutit se	Systém se náhle zhroutil
甭	nemuset	Tímhle si nemusíš dělat starosti
蹦	poskakovat	Štěně poskakovalo po trávě
迸发	propuknout	Z davu propukl potlesk
逼迫	donutit	Donutili ho podepsat smlouvu
鼻涕	rýma	Dítě je nachlazené a pořád má rýmu
比方	například	Například to můžeme nejdřív zkusit na jeden měsíc
比喻	přirovnání	Toto přirovnání je velmi živé
比重	podíl	Podíl sektoru služeb je stále vyšší
鄙视	opovrhovat	Neopovrhuj úsilím druhých lidí
弊病	neduh	Tento systém má nemálo neduhů
弊端	nevýhoda	Nový plán vyřešil nevýhody starého systému
臂	paže	Poranil si pravou paži
闭塞	izolovaný	Doprava v této horské vesnici bývala velmi izolovaná
编织	plést	Babička plete svetr
边疆	pohraničí	Mnoho vojáků střeží pohraničí země
边界	hranice	Obě země znovu vymezily hranici
边境	pohraniční oblast	Pohraniční oblasti zpřísnily bezpečnostní kontroly
边缘	okraj	Šálek je položený na okraji stolu
鞭策	povzbuzovat	Učitelova slova mě vždy povzbuzovala
扁	plochý	Tato krabice je široká a plochá
贬低	snižovat	Nezlehčuj jen tak úsilí druhých lidí
贬义	hanlivý význam	Toto slovo zde má hanlivý význam
便利	pohodlný	Metro činí cestování pohodlnějším
便条	lístek	Nechal na stole lístek
便于	usnadnit	Tento návrh usnadňuje používání starším lidem
变故	nečekaná událost	V rodině náhle došlo k nečekané nešťastné události
变迁	proměny	Proměny města na něj hluboce zapůsobily
变质	zkazit se	Mléko se zkazí když se nechá příliš dlouho stát
辨认	identifikovat	Policie ho požádala aby identifikoval osobu na fotografii
辩护	obhajovat	Advokát obhajoval obžalovaného
辩解	ospravedlňovat se	Pokoušel se ospravedlnit svou chybu
辩证	dialektický	Na tento problém bychom se měli dívat dialekticky
辫子	cop	Malá dívka má dva copy
遍布	být rozšířený	Tato rostlina je rozšířená po celé zemi
标本	exemplář	V muzeu jsou vystaveny zvířecí exempláře
标记	označení	U důležitých odstavců prosím udělej označení
标题	název	Název tohoto článku je velmi poutavý
表决	hlasovat	Zástupci budou o návrhu hlasovat
表态	vyjádřit stanovisko	Zatím veřejně nevyjádřil své stanovisko
表彰	ocenit	Firma ocenila vynikající zaměstnance
憋	zadržovat	Zadržel smích a nic neřekl
别墅	vila	Koupili si vilu na předměstí
别致	osobitý	Výzdoba této kavárny je velmi osobitá
别扭	nepřirozený	Tato věta zní trochu nepřirozeně
濒临	na pokraji	Toto zvíře je na pokraji vyhynutí
冰雹	kroupy	Včera odpoledne padaly silné kroupy
丙	skupina C	Zápas skupiny C začíná odpoledne
并非	vůbec ne	Věci vůbec nejsou takové jak si představuješ
并列	dělit se o místo	Tyto dva projekty se dělí o první místo
剥削	vykořisťovat	Ve staré společnosti existovalo vážné vykořisťování
拨	vytočit	Prosím vytoč toto telefonní číslo
播种	sít	Zemědělci na jaře začínají sít
波浪	vlna	Na moři se zvedly obrovské vlny
波涛	vlnobití	Loď postupovala vpřed vlnobitím
伯母	teta	O víkendu navštívím tetu
博大精深	široký a hluboký	Čínská kultura je široká a hluboká
博览会	veletrh	Mezinárodní veletrh přilákal mnoho firem
搏斗	zápasit	Policie zápasila se zločincem
薄弱	slabý	Jeho gramatický základ je poměrně slabý
不顾	bez ohledu na	Vběhl dovnitř bez ohledu na nebezpečí
不愧	zasloužit si	Opravdu si zaslouží být nazýván zkušeným odborníkem
不料	nečekaně	Nečekaně byla schůzka náhle zrušena
不像话	pobuřující	Je pobuřující že se k hostům chováš takto
不屑一顾	opovržlivě odmítnout	Tyto fámy opovržlivě odmítl
哺乳	kojit	Matka kojí dítě
捕捉	zachytit	Fotograf zachytil nádherný okamžik
补偿	odškodnit	Firma ti nahradí ztrátu
补救	napravit	Ještě máme čas to napravit
补贴	dotace	Vláda poskytuje dotace rodinám s nízkými příjmy
不得已	nemít jinou možnost	Rodné město opustil jen proto že neměl jinou možnost
不妨	klidně můžeš	Klidně si nejdřív poslechni jeho vysvětlení
不敢当	to si nezasloužím	Takovou chválu si opravdu nezasloužím
不禁	nemoci si pomoct	Když tu zprávu uslyšel nemohl si pomoct a zasmál se
不堪	nesnesitelný	Hluk je tady nesnesitelný
不可思议	neuvěřitelný	Tento výsledek je opravdu neuvěřitelný
不免	nevyhnutelně	Poprvé na jevišti byl nevyhnutelně trochu nervózní
不时	čas od času	Čas od času se podíval na hodiny
不惜	neváhat	Aby někoho zachránil neváhal riskovat
不相上下	vyrovnaný	Oba týmy jsou vyrovnané
