source_headword	BG	example_BG
toss	хвърлям	Тя хвърли ключовете на масата.
total	възлизам на	Ремонтите възлизат на повече от очакваното.
toxic	токсичен	Токсичният дим принуди всички да излязат навън.
trademark	търговска марка	Логото стана търговска марка на компанията.
trail	пътека	Пътеката водеше през гората.
trailer	трейлър	Трейлърът показа края на филма.
transaction	транзакция	Транзакцията се появи в банковото ми извлечение.
transcript	академична справка	Студентът поиска официална академична справка.
transformation	трансформация	Градът претърпя голяма трансформация.
transit	транзит	Пакетът беше повреден по време на транзита.
transmission	предаване	Предаването на данни беше сигурно.
transparency	прозрачност	Докладът призова за по-голяма прозрачност.
transparent	прозрачен	Процесът трябва да бъде прозрачен за всички.
trauma	травма	Инцидентът остави дълбока травма.
treaty	договор	Държавите подписаха мирен договор.
tremendous	огромен	Отборът постигна огромен напредък.
tribal	племенен	Музеят изложи племенно изкуство.
tribunal	трибунал	Трибуналът изслушваше доказателства цяла седмица.
tribute	почит	Концертът беше в нейна чест.
trio	трио	Триото свири на фестивала.
triumph	триумф	Победата беше личен триумф.
trophy	трофей	Капитанът гордо вдигна трофея.
troubled	проблемен	Проблемната компания се нуждаеше от ново ръководство.
trustee	попечител	Попечителят управлява стипендиантския фонд.
tuition	такса за обучение	Таксата й за обучение се увеличи тази година.
turnout	избирателна активност	Избирателната активност беше по-висока от очакваното.
turnover	текучество	Текучеството на персонала спадна след промените.
twist	завъртам	Тя завъртя капака, за да го отвори.
undergraduate	студент	Студентът се присъедини към изследователски проект.
underlying	основен	Докладът обясни основните причини.
undermine	подкопавам	Скандалът подкопа общественото доверие.
undoubtedly	несъмнено	Тя несъмнено е най-добрият кандидат.
unify	обединявам	Планът има за цел да обедини екипите.
unprecedented	безпрецедентен	Бурята причини безпрецедентни щети.
unveil	разкривам	Компанията ще разкрие дизайна утре.
upcoming	предстоящ	Предстоящите избори привлякоха общественото внимание.
upgrade	надграждам	Снощи надградихме софтуера.
uphold	потвърждавам	Ние потвърждаваме първоначалното решение.
utility	комунална услуга	Апартаментът включва всички битови сметки.
utilize	използвам	Екипът използва наличните данни.
utterly	напълно	Обяснението беше напълно объркващо.
vacuum	вакуум	Вакуумът в ръководството създаде напрежение.
vague	неясен	Отговорът му беше неясен и слаб.
validity	валидност	Проучването постави под въпрос валидността на теста.
vanish	изчезвам	Файлът изчезна от папката.
variable	променлива	Цената е една важна променлива.
varied	разнообразен	Курсът предлага разнообразни задачи.
vein	вена	Медицинската сестра бързо намери вена.
venture	начинание	Новото начинание привлече инвеститори.
verbal	устен	Те постигнаха устно споразумение.
verdict	присъда	Журито произнесе своята присъда.
verify	потвърждавам	Моля, потвърдете своя имейл адрес.
verse	стих	Тя цитира стих от стихотворението.
versus	срещу	Дебатът беше поверителност срещу сигурност.
vessel	плавателен съд	Плавателният съд превозваше зърно през морето.
veteran	ветеран	Ветеранът обучи новия персонал.
viable	жизнеспособен	Предложението е финансово жизнеспособно.
vibrant	оживен	Градът има оживена арт сцена.
vice	порок	Алчността беше най-големият му порок.
vicious	жесток	Жестоката атака шокира града.
villager	селянин	Един селянин ни заведе до реката.
violate	нарушавам	Компанията може да наруши правилата за безопасност.
violation	нарушение	Инспекторът докладва за сериозно нарушение.
virtue	добродетел	Търпението е важна добродетел.
vocal	гласовит	Тя беше гласовита относно решението.
vow	заклевам се	Той се закле да довърши работата.
vulnerability	уязвимост	Одитът разкри уязвимост в сигурността.
vulnerable	уязвим	Децата са уязвими по време на екстремни горещини.
ward	отделение	Пациентът беше преместен в друго отделение.
warehouse	склад	Складът съхранява резервни части.
warfare	военно дело	Модерното военно дело разчита на технологиите.
warrant	заповед	Полицията показа заповед за обиск.
warrior	воин	Воинът защити селото.
weaken	отслабвам	Нараняването отслаби хвата му.
weave	тъка	Тя се научи да плете кошници.
weed	плевел	Между камъните поникна плевел.
well	кладенец	Селският кладенец пресъхна.
well-being	благополучие	Сънят е жизненоважен за благополучието.
whatsoever	въобще	Той не прояви абсолютно никакъв интерес.
whereby	посредством което	Законът създаде система, посредством която семействата можеха да обжалват.
whilst	докато	Тя работеше, докато той си почиваше.
whip	плющя	Вятърът може да накара знамената да плющят.
wholly	напълно	Решението беше напълно неочаквано.
widen	разширявам	Градът планира да разшири пътя.
widow	вдовица	Вдовицата живее близо до училището.
width	ширина	Измерете ширината на вратата.
willingness	готовност	Нейната готовност да помогне впечатли всички.
wipe	бърша	Избършете екрана с кърпа.
wit	остроумие	Неговото остроумие направи речта жива.
withdrawal	оттегляне	Оттеглянето на финансирането забави проекта.
workout	тренировка	Тренировката продължи четиридесет минути.
worship	богослужение	Хората се събраха за богослужение на разсъмване.
worthwhile	заслужаващ си	Пътуването си заслужаваше.
worthy	достоен	Благотворителната организация е достойна за подкрепа.
yell	викам	Не викайте на персонала.
yield	добив	Добивът на фермата се подобри този сезон.
youngster	младеж	Младежът зададе много въпроси.
