simplified	UZ	example_UZ	KK	example_KK	AZ	example_AZ
爱情	sevgi; muhabbat	Bu ta'sirli sevgi hikoyasi.	махаббат; сүйіспеншілік	Бұл әсерлі махаббат хикаясы.	sevgi; məhəbbət	Bu təsirli bir sevgi hekayəsidir.
安排	reja; tartibga solmoq	Bu dam olish kunlari qanday rejalaringiz bor?	жоспар; ұйымдастыру	Осы демалыс күндеріне қандай жоспарыңыз бар?	plan; təşkil etmək	Bu həftəsonu üçün nə planınız var?
安全	xavfsiz; xavfsizlik	Iltimos, ehtiyot bo'ling.	қауіпсіз; қауіпсіздік	Өтінемін, сақ болыңыз.	təhlükəsiz; təhlükəsizlik	Zəhmət olmasa, ehtiyatlı olun.
按时	o'z vaqtida	Men vazifani o'z vaqtida bajardim.	уақтылы; уақытында	Мен тапсырманы уақытында аяқтадым.	vaxtında	Mən tapşırığı vaxtında tamamladım.
按照	...ga ko'ra; ...bo'yicha	Bu reja juda yaxshi, shunga amal qiling.	бойынша; сәйкес	Бұл жоспар өте жақсы, соны орындаңыз.	... görə; ... əsasında	Bu plan çox yaxşıdır, sadəcə ona əməl edin.
百分之	foiz	Vazifaning sakson foizi bajarildi.	пайыз	Тапсырманың сексен пайызы орындалды.	faiz	Tapşırığın səksən faizi tamamlandı.
棒	ajoyib; zo'r	Yozuvingiz juda zo'r!	керемет; тамаша	Жазуың өте керемет!	əla; möhtəşəm	Xəttin çox əladır!
包子	bug'da pishirilgan ichli kulcha; baozi	Bu restoranning baozilari juda mazali.	буға піскен салмасы бар тоқаш; баоцзы	Бұл мейрамхананың баоцзысы өте дәмді.	buxarda bişən içli kökə; baozi	Bu restoranın baoziləri çox dadlıdır.
保护	himoya qilmoq; asramoq	Odamlar atrof-muhitni himoya qilishi kerak.	қорғау; сақтау	Адамдар қоршаған ортаны қорғауы керек.	qorumaq; mühafizə etmək	İnsanlar ətraf mühiti qorumalıdır.
保证	kafolat; va'da bermoq	Va'da beraman, bundan keyin kechikmayman.	кепілдік; уәде беру	Уәде беремін, енді кешікпеймін.	zəmanət; söz vermək	Söz verirəm, bundan sonra gecikməyəcəyəm.
报名	ro'yxatdan o'tmoq; ariza bermoq	Ro'yxatdan o'tish uchun qanday hujjatlar kerak?	тіркелу; өтініш беру	Тіркелу үшін қандай құжаттар керек?	qeydiyyatdan keçmək; müraciət etmək	Qeydiyyat üçün hansı sənədlər lazımdır?
抱	quchoqlamoq; qo'lda ko'tarmoq	U bolani ko'tarib oldi.	құшақтау; қолға көтеру	Ол баланы көтеріп алды.	qucaqlamaq; qolda daşımaq	O, uşağı qucağına götürdü.
抱歉	uzr; afsuslanmoq	Juda uzr, sizni shuncha kutdirib qo'ydim.	кешіріңіз; өкіну	Өте кешіріңіз, сізді осынша күттірдім.	üzr; təəssüflənmək	Çox üzr istəyirəm, sizi bu qədər gözlətdim.
倍	baravar; marta	Maktabimizdagi chet ellik talabalar soni o'tgan yilga qaraganda ikki baravar ko'paydi.	есе; рет	Мектебіміздегі шетелдік студенттер саны өткен жылмен салыстырғанда екі есе көбейді.	dəfə; qat	Məktəbimizdəki xarici tələbələrin sayı keçən illə müqayisədə iki dəfə artdı.
本来	aslida; avval	Men aslida spektakl ko'rgani bormoqchi edim, lekin birdan ishim chiqib qoldi.	бастапқыда; негізінде	Мен бастапқыда қойылым көруге бармақ едім, бірақ кенеттен шаруам шығып қалды.	əslində; əvvəlcə	Mən əslində tamaşaya baxmağa gedəcəkdim, amma qəfil işim çıxdı.
