simplified	PT	example_PT
挨	aguentar	Ele aguentou a noite inteira e finalmente esperou pelo amanhecer.
癌症	cancro	Detectar o cancro cedo é muito importante.
暧昧	ambíguo	A resposta dele foi muito ambígua.
爱不释手	não conseguir largar	Ela gostou tanto do livro que quase não conseguia largá-lo.
爱戴	amar e respeitar	Este professor é profundamente amado e respeitado pelos alunos.
安宁	pacífico	As noites aqui são muito pacíficas.
安详	sereno	A expressão do idoso era muito serena.
安置	realojar	O governo realojou as pessoas afectadas pelo desastre.
按摩	massagem	Marquei uma massagem.
暗示	sugerir	Ela sugeriu que eu não perguntasse mais.
案件	caso	A polícia está a investigar este caso.
案例	caso	Este caso é muito representativo.
昂贵	caro	Este equipamento é muito caro.
凹凸	irregular	A superfície desta estrada é irregular.
熬	aguentar	Ele aguentou três dias difíceis até terminar o relatório.
奥秘	mistério profundo	O cientista quer desvendar este mistério profundo.
巴不得	estar ansioso por	Estou ansioso por partir imediatamente.
巴结	bajular	Ele não quer bajular os chefes.
扒	agarrar-se	A criança agarrou-se à porta e olhou para fora.
疤	cicatriz	Ele tem uma cicatriz no braço.
拔苗助长	apressar demais	Obrigar a criança a estudar assim só vai apressar demais as coisas.
把关	verificar	Este contrato precisa de ser verificado por um advogado.
把手	pega	A pega da porta está partida.
罢工	greve	Os trabalhadores decidiram fazer greve amanhã.
霸道	autoritário	Ele fala de uma forma demasiado autoritária.
掰	partir com as mãos	Ela partiu o pão em duas metades com as mãos.
摆脱	livrar-se	Ele finalmente se livrou do mau hábito.
拜访	visitar	Vamos visitar o professor no fim de semana.
拜年	dar cumprimentos de Ano Novo	Durante a Festa da Primavera, visitamos os avós para dar cumprimentos de Ano Novo.
拜托	contar com	Conto contigo para este assunto.
败坏	prejudicar	Este tipo de comportamento prejudica a reputação da empresa.
斑	mancha	Há uma mancha preta no gato.
颁布	promulgar	As novas regras serão promulgadas na próxima semana.
颁发	atribuir	A escola atribuiu certificados aos alunos excelentes.
版本	versão	Este software tem uma nova versão.
伴侣	companheiro	Ela trata o cão como seu companheiro.
伴随	acompanhar	O sucesso costuma vir acompanhado de pressão.
半途而废	desistir a meio	Não se pode desistir a meio quando se faz investigação.
扮演	desempenhar	Ele desempenha o papel de médico no filme.
榜样	modelo	Os pais são modelos para os filhos.
绑架	raptar	A polícia impediu um caso de rapto.
磅	libra	Esta caixa pesa vinte libras.
包庇	encobrir	Ninguém pode encobrir um crime.
包袱	fardo	Depois de largar o fardo, ele sentiu-se muito mais leve.
包围	cercar	Os jornalistas cercaram o actor.
包装	embalagem	A embalagem deste presente é muito bonita.
保管	guardar	Estes documentos ficam à minha guarda.
保密	manter confidencial	O conteúdo da reunião deve ser mantido confidencial.
保姆	ama	Eles contrataram uma ama.
保守	conservador	As ideias dele são relativamente conservadoras.
保卫	defender	Os soldados defendem a fronteira.
保养	manutenção	Este carro precisa de manutenção regular.
保障	proteger	A lei protege os direitos dos cidadãos.
保重	cuidar de si	Cuide bem de si quando estiver fora.
饱和	saturação	Este mercado já está perto da saturação.
饱经沧桑	ter vivido muitas mudanças	Este idoso viveu muitas dificuldades e mudanças.
报酬	remuneração	Ele recebeu uma remuneração razoável.
报仇	vingar-se	Ele não quer vingar-se; só quer recomeçar.
报答	retribuir	Vou retribuir a tua ajuda com acções.
报复	retaliação	A retaliação só aprofunda o conflito.
报警	chamar a polícia	Depois de descobrir um incêndio, deve chamar a polícia imediatamente.
报销	reembolsar	As despesas de viagem podem ser reembolsadas.
抱负	ambição	Ele tem grandes ambições desde pequeno.
暴力	violência	Opomo-nos à violência em qualquer forma.
暴露	revelar	Este problema revelou-se gradualmente.
曝光	exposição	Depois da exposição desta fotografia, ela chamou a atenção.
爆发	irromper	O vulcão irrompeu subitamente.
爆炸	explosão	Ocorreu uma explosão no laboratório.
卑鄙	desprezível	Esta prática desprezível causa indignação.
悲哀	triste	Ao ouvir a notícia, ele sentiu-se muito triste.
悲惨	trágico	Aquele foi um período trágico da história.
北极	Árctico	Os cientistas estão a fazer investigação no Árctico.
备份	cópia de segurança	Por favor, faça primeiro uma cópia de segurança dos ficheiros importantes.
备忘录	memorando	Ela escreveu os pontos principais no memorando.
背叛	traição	Ele não conseguiu aceitar a traição do amigo.
背诵	recitar	Os alunos estão a recitar o texto.
被动	passivo	Na negociação não podemos ser demasiado passivos.
被告	arguido	O arguido negou todas as acusações.
贝壳	concha	A criança apanhou conchas à beira-mar.
奔波	andar numa correria	Ele anda numa correria por causa do trabalho.
奔驰	avançar rapidamente	O carro avançava rapidamente na auto-estrada.
本能	instinto	Proteger os filhos é um instinto dos pais.
本钱	capital	Fazer negócios exige capital.
本人	eu próprio	Eu próprio estou disposto a assumir a responsabilidade.
本身	em si	Este plano em si não tem problema.
本事	capacidade	Ele tem muita capacidade.
笨拙	desajeitado	Os movimentos dele são um pouco desajeitados.
崩溃	colapsar	O sistema colapsou subitamente.
甭	não ser preciso	Não precisas de te preocupar com isso.
蹦	saltar	O cachorrinho saltava pela relva.
迸发	rebentar	Os aplausos rebentaram no meio da multidão.
逼迫	forçar	Eles forçaram-no a assinar o contrato.
鼻涕	pingo no nariz	A criança está constipada e está sempre com pingo no nariz.
比方	por exemplo	Por exemplo, podemos experimentar primeiro durante um mês.
比喻	metáfora	Esta metáfora é muito expressiva.
比重	proporção	A proporção do sector dos serviços está cada vez maior.
鄙视	desprezar	Não desprezes os esforços dos outros.
弊病	problema	Este sistema tem bastantes problemas.
弊端	inconveniente	O novo plano resolveu os inconvenientes do sistema antigo.
臂	braço	O braço direito dele ficou ferido.
闭塞	isolado	Os transportes nesta aldeia de montanha eram muito isolados no passado.
编织	tricotar	A avó está a tricotar uma camisola.
边疆	fronteira	Muitos soldados guardam a fronteira do país.
边界	fronteira	Os dois países redesenharam a fronteira.
边境	zona fronteiriça	As zonas fronteiriças reforçaram as verificações de segurança.
边缘	borda	O copo está colocado na borda da mesa.
鞭策	incentivar	As palavras do professor sempre me incentivaram.
扁	achatado	Esta caixa é larga e achatada.
贬低	menosprezar	Não menosprezes casualmente os esforços dos outros.
贬义	sentido depreciativo	Esta palavra tem aqui um sentido depreciativo.
便利	conveniente	O metro torna as deslocações mais convenientes.
便条	recado	Ele deixou um recado na mesa.
便于	conveniente para	Este desenho é conveniente para idosos.
变故	imprevisto	Um imprevisto aconteceu subitamente na família.
变迁	mudanças	As mudanças da cidade deixaram-no muito emocionado.
变质	estragar-se	O leite estraga-se se ficar muito tempo fora.
辨认	identificar	A polícia pediu-lhe para identificar a pessoa na fotografia.
辩护	defender	O advogado defendeu o arguido.
辩解	justificar	Ele tentou justificar o seu erro.
辩证	dialéctico	Devemos olhar para este problema de forma dialéctica.
辫子	trança	A menina tem duas tranças.
遍布	espalhar-se	Esta planta encontra-se espalhada por todo o país.
标本	espécime	No museu estão expostos espécimes de animais.
标记	marca	Faz marcas junto dos parágrafos importantes.
标题	título	O título deste artigo é muito atraente.
表决	votar	Os representantes vão votar a proposta.
表态	tomar posição	Ele ainda não tomou posição publicamente.
表彰	elogiar	A empresa elogiou os funcionários excelentes.
憋	conter	Ele conteve o riso e não disse nada.
