source_headword	SK	example_SK
absolutely	absolútne	Absolútne s tebou súhlasím.
academic	akademický	Akademický rok sa začína v septembri.
access	prístup	Študenti potrebujú prístup do knižnice.
accommodation	ubytovanie	Rezervovali sme ubytovanie blízko stanice.
account	účet	Otvorila si nový bankový účet.
achievement	úspech	Dokončenie kurzu bol veľký úspech.
ad	reklama	Reklama ukazovala nový telefón.
addition	doplnok	Bazén je užitočný doplnok.
admire	obdivovať	Obdivujem jej pokojný prístup.
admit	priznať	Priznal svoju chybu.
advanced	pokročilý	Toto je pokročilý kurz angličtiny.
advise	radiť	Lekári radia pravidelný pohyb.
afford	dovoliť si	Nemôžeme si dovoliť taxík.
aged	vo veku	Kurz je pre deti vo veku desať rokov.
agent	agent	Cestovný agent zmenil naše lístky.
agreement	dohoda	Dnes dosiahli dohodu.
ahead	pred nami	Cesta pred nami je voľná.
aim	usilovať sa	Usilujeme sa skončiť čoskoro.
alarm	budík	Budík zazvonil o šiestej.
album	album	Tento album má desať piesní.
alcohol	alkohol	Hotel nepodáva alkohol.
alcoholic	alkoholický	Tento nápoj nie je alkoholický.
amazed	ohromený	Bola ohromená výsledkom.
ambition	ambícia	Jeho ambíciou je stať sa pilotom.
ambitious	ambiciózny	Má ambiciózny plán.
analyse	analyzovať	Musíme analyzovať výsledky.
analysis	analýza	Jej analýza bola jasná a dôkladná.
announce	oznámiť	Víťaza oznámia zajtra.
announcement	oznámenie	Oznámenie všetkých prekvapilo.
annoy	otravovať	Hlasná hudba môže otravovať susedov.
annoyed	nahnevaný	Po zdržaní vyzeral nahnevane.
annoying	otravný	Ten zvuk je naozaj otravný.
apart	od seba	Domy sú dva metre od seba.
apologize	ospravedlniť sa	Ospravedlňujem sa za meškanie.
application	žiadosť	Vyplňte žiadosť online.
appointment	termín	Zajtra mám termín u zubára.
appreciate	oceniť	Cením si tvoju pomoc.
approximately	približne	Chôdza trvá približne dvadsať minút.
arrest	zatknúť	Polícia zatkla vodiča.
arrival	príchod	Náš príchod bol neskorší, než sa čakalo.
assignment	úloha	Úloha sa odovzdáva v piatok.
assist	pomáhať	Zdravotné sestry pomáhajú lekárovi.
atmosphere	atmosféra	Kaviareň má uvoľnenú atmosféru.
attach	pripojiť	Pripoj súbor k svojmu e-mailu.
attitude	postoj	Jej postoj sa po stretnutí zmenil.
attract	prilákať	Jasné kvety prilákajú včely.
attraction	atrakcia	Hrad je obľúbená atrakcia.
authority	úrad	Miestny úrad opravil cestu.
aware	vedomý	Je si vedomá rizika.
backwards	dozadu	Opatrne kráčal dozadu.
bake	piecť	Každú nedeľu pečiem chlieb.
balance	rovnováha	Dobré topánky pomáhajú udržať rovnováhu.
ban	zakázať	Mesto zakáže autá.
bank (river)	breh	Sedeli sme na brehu rieky.
base	základňa	Tím sa vrátil na základňu.
basic	základný	Každý potrebuje základné počítačové zručnosti.
basis	základ	Dôvera je základ priateľstva.
battery	batéria	Batéria môjho telefónu je slabá.
battle	bitka	Bitka trvala celú noc.
beauty	krása	Obdivovali sme krásu hôr.
bee	včela	Včela pristála na kvete.
belief	viera	Jeho viera mu dodala odvahu.
bell	zvonček	Školský zvonček hlasno zazvonil.
bend	ohnúť	Pri zdvíhaní ohni kolená.
bite	uhryznúť	Pes môže uhryznúť cudzích ľudí.
block	zablokovať	Spadnutý strom zablokoval cestu.
bomb	bomba	Bomba poškodila niekoľko budov.
border	hranica	Hranicu prekročili v noci.
bother	otravovať	Prosím, neotravuj svoju sestru.
branch	konár	Konár sa zlomil v búrke.
brand	značka	Táto značka je obľúbená medzi študentmi.
brave	statočný	Statočný muž zachránil dieťa.
breath	dych	Zhlboka sa nadýchni.
breathe	dýchať	V tomto dyme nemôžem dýchať.
breathing	dýchanie	Jej dýchanie bolo pomalé.
bride	nevesta	Nevesta mala biele šaty.
bubble	bublina	Nad pohárom sa vznášala bublina.
bury	pochovať	Krabicu pochovali do piesku.
calm	pokojný	Počas skúšky zostaň pokojný.
campaign	kampaň	Kampaň vyzbierala peniaze pre školy.
campus	kampus	Študenti bývajú blízko kampusu.
