source_headword	SI	example_SI
stranger	ආගන්තුකයා	ආගන්තුකයෙක් පාර ඇහුවා.
strength	ශක්තිය	ඇගේ ශක්තිය කණ්ඩායමට උදව් වුණා.
string	නූල	නූලකින් පෙට්ටිය ගැටගසන්න.
strongly	තදින්ම	මම ඒ අදහසට තදින්ම විරුද්ධයි.
studio	චිත්‍රාගාරය	කලාකරුවා කුඩා චිත්‍රාගාරයක වැඩ කරනවා.
stuff	දේවල්	ඔයාගේ බඩු රාක්කයෙන් තියන්න.
substance	ද්‍රව්‍යය	පොලිසියට අමුතු ද්‍රව්‍යයක් හමුවුණා.
successfully	සාර්ථකව	ඔවුන් ව්‍යාපෘතිය සාර්ථකව අවසන් කළා.
sudden	හදිසි	හදිසි ශබ්දයක් අපිව ඇහැරෙව්වා.
suffer	දුක් විඳිනවා	වියළි කාලගුණය නිසා බොහෝ ශාක පීඩා විඳිනවා.
suitable	සුදුසු	මේ ජැකට් එක පාසලට සුදුසුයි.
summarize	සාරාංශ කරනවා	ඔයාට ලිපිය සාරාංශ කරන්න පුළුවන්ද?
summary	සාරාංශය	අද රෑ කෙටි සාරාංශයක් ලියන්න.
supply	සැපයුම	නගරයට පිරිසිදු ජල සැපයුමක් අවශ්‍යයි.
supporter	ආධාරකරුවා	සෑම ආධාරකරුවෙක්ම ශබ්ද නඟා ප්‍රීතිඝෝෂා කළා.
surely	නිසැකවම	නිසැකවම අපිට මේක විසඳන්න පුළුවන්.
surface	පෘෂ්ඨය	මතුපිට සීතලයි වගේම සුමටයි කියලා දැනුණා.
survive	බේරෙනවා	මේ සත්තු සීතල ශීත ඍතුවලදීත් ජීවත් වෙනවා.
switch	ස්විචය	මුළුතැන්ගෙයි ලයිට් එක නිවන්න.
symptom	රෝග ලක්ෂණය	කැස්ස රෝග ලක්ෂණයක් වෙන්න පුළුවන්.
tail	වලිගය	බල්ලාට දිග වලිගයක් තියෙනවා.
talent	දක්ෂතාවය	ඇයට සංගීතය සඳහා දක්ෂතාවයක් තියෙනවා.
talented	දක්ෂ	ඔහු දක්ෂ තරුණ නළුවෙක්.
tape	ටේප් එක	පෙට්ටිය වහන්න ටේප් එක පාවිච්චි කරන්න.
tax	බද්ද	හැමෝම මේ බද්ද ගෙවන්න ඕනේ.
technical	තාක්ෂණික	අපිට තාක්ෂණික ප්‍රශ්නයක් ඇති වුණා.
technique	තාක්ෂණය	මේ ක්‍රමවේදය කාලය ඉතිරි කරනවා.
tend	නැඹුරු වෙනවා	ළමයි ඉක්මනින් ඉගෙන ගන්න නැඹුරු වෙනවා.
tent	කූඩාරම	අපි කුඩා කූඩාරමක නිදාගත්තා.
theirs	ඔවුන්ගේ	නිල් පාට බයිසිකල් ඔවුන්ගේ.
theme	තේමාව	සාදයට වෙරළ තේමාවක් තිබුණා.
theory	න්‍යාය	ඔහුගේ න්‍යාය ප්‍රශ්නය පැහැදිලි කරනවා.
therefore	එමනිසා	වැස්ස, එමනිසා අපි ඇතුළට වෙලා හිටියා.
though	වුවත්	මහන්සි වුවත්, ඇය දිගටම වැඩ කළා.
throat	උගුර	අද උදේ මගේ උගුර රිදෙනවා.
throughout	පුරාවට	මිනිසුන් හැන්දෑව පුරාවටම නැටුවා.
tight	තද	මේ සපත්තු ගොඩක් තදයි වගේ දැනෙනවා.
till	තෙක්	මම එන තෙක් මෙතන ඉන්න.
tin	ටින් එක	බෝංචි ටින් එකක් අරින්න.
tiny	කුඩා	කුඩා කුරුල්ලෙක් ළඟින් වැහුවා.
toe	කකුලේ ඇඟිල්ල	ඊයේ මගේ කකුලේ ඇඟිල්ලක් තුවාල වුණා.
tongue	දිව	තේ බීලා ඇගේ දිව පිච්චුණා.
total	මුළු	මුළු වියදම අඩුයි.
totally	සම්පූර්ණයෙන්ම	ඔයාගේ කනස්සල්ල මට සම්පූර්ණයෙන්ම තේරෙනවා.
trade	වෙළඳාම	ජාත්‍යන්තර වෙළඳාම රැකියා බිහි කරනවා.
translate	පරිවර්තනය කරනවා	කරුණාකර මේ වාක්‍යය පරිවර්තනය කරන්න.
translation	පරිවර්තනය	පරිවර්තනය ස්වාභාවිකයි වගේ ඇහෙනවා.
treat	සලකනවා	හැමෝටම ගෞරවයෙන් සලකන්න.
treatment	ප්‍රතිකාරය	රෝගියාට අද ප්‍රතිකාර අවශ්‍යයි.
trend	ප්‍රවණතාවය	මේ ප්‍රවණතාවය ලොව පුරා වර්ධනය වෙනවා.
trick	උපක්‍රමය	ඒ කාඩ් මැජික් එක මාව පුදුම කළා.
truth	සත්‍යය	කරුණාකර සත්‍යය කියන්න.
tube	ටියුබ් එක	ටියුබ් එක මෘදුව මිරිකන්න.
typically	සාමාන්‍යයෙන්	සිසුන් සාමාන්‍යයෙන් නවයට පෙර පැමිණෙනවා.
tyre	ටයරය	කාර් එකට අලුත් ටයරයක් ඕනේ.
ugly	අවලස්සන	ඒ බිත්තියේ පාට අවලස්සනයි වගේ පේනවා.
unable	නොහැකි	ඔහුට උත්තර දෙන්න නොහැකි වුණා.
uncomfortable	අපහසු	මේ පුටුව අපහසුයි.
underwear	යට ඇඳුම්	ගමන සඳහා පිරිසිදු යට ඇඳුම් අසුරන්න.
unemployed	රැකියා විරහිත	ඇය මාස දෙකක් රැකියා විරහිතව හිටියා.
unemployment	රැකියා වියුක්තිය	ශීත ඍතුවේදී රැකියා වියුක්තිය වැඩි වුණා.
unfair	අසාධාරණ	තීරණය අසාධාරණයි වගේ පෙනුණා.
union	සංගමය	සංගමය ආරක්ෂිත රැකියාවක් ඉල්ලා සිටියා.
unless	නැත්නම්	මම කතා කළොත් මිසක් යන්න එපා.
unlike	වෙනස්ව	ටොම් වගේ නෙවෙයි, ඇනා ශීත ඍතුවට ආසයි.
unlikely	ඉඩක් නැහැ	මේ සතියේ හිම වැටෙන්න ඉඩක් නැහැ.
unnecessary	අනවශ්‍ය	අමතර බෑග් අනවශ්‍යයි.
unpleasant	අප්‍රසන්න	කාමරයේ අප්‍රසන්න සුවඳක් තිබුණා.
update	යාවත්කාලීන කරනවා	මට මගේ දුරකථනය යාවත්කාලීන කරන්න ඕනේ.
upon	මත	එකමත් එක කාලෙක රජෙක් හිටියා.
upset	කණගාටුවෙන්	ඇමතුමෙන් පස්සේ ඇයට කණගාටුවක් දැනුණා.
used1	භාවිතා කරනවා	මේ කාමරය රැස්වීම් සඳහා භාවිතා කරනවා.
used2	පුරුදු වෙලා	මම පාන්දරින් අවදි වෙන්න පුරුදු වෙලා.
valuable	වටිනා	මේ ඔරලෝසුව වටිනවා.
value	වටිනාකම	ගිය අවුරුද්දේ නිවසේ වටිනාකම අඩු වුණා.
various	විවිධ	අපි විවිධ දේශීය කෑම වර්ග උත්සාහ කළා.
version	අනුවාදය	මේ අනුවාදය වඩා හොඳින් වැඩ කරනවා.
victim	වින්දිතයා	වින්දිතයා පොලිසියට කතා කළා.
viewer	නරඹන්නා	එක් නරඹන්නෙක් ප්‍රශ්නයක් ඇහුවා.
violent	ප්‍රචණ්ඩ	චිත්‍රපටිය ගොඩක් ප්‍රචණ්ඩයි.
volunteer	ස්වේච්ඡාවෙන් ඉදිරිපත් වෙනවා	මම පුස්තකාලයේ ස්වේච්ඡාවෙන් වැඩ කරනවා.
vote	ඡන්දය දෙනවා	හෙට ඡන්දය දෙන්න අමතක කරන්න එපා.
warn	අනතුරු අඟවනවා	මම ඔහුට අනතුරු අඟවන්න උත්සාහ කළා.
warning	අනතුරු ඇඟවීම	අනතුරු ඇඟවීම තිරය මත දිස් වුණා.
waste	අපතේ යවනවා	පිරිසිදු ජලය අපතේ යවන්න එපා.
weapon	ආයුධය	පිහිය ආයුධයක් බවට පත් වුණා.
weigh	කිරනවා	පිටි ප්‍රවේශමෙන් කිරන්න.
western	බටහිර	ඔවුන් බටහිර චිත්‍රපටයක් නැරඹුවා.
whatever	ඕනෑම දෙයක්	ඔබ කැමති ඕනෑම දෙයක් තෝරාගන්න.
whenever	ඕනෑම වෙලාවක	උදව් අවශ්‍ය ඕනෑම වෙලාවක කතා කරන්න.
whether	ද කියලා	ඇය එකඟ වෙනවද කියලා මම දන්නේ නැහැ.
wing	පියපත	කුරුල්ලාගේ එක් පියපතක් තුවාල වුණා.
within	ඇතුළත	කරුණාකර දින දෙකක් ඇතුළත පිළිතුරු දෙන්න.
wonder	කල්පනා කරනවා	මොකද වුණේ කියලා මම කල්පනා කරනවා.
wool	ලොම්	මේ කබාය ලොම්වලින් හදලා තියෙන්නේ.
worldwide	ලොව පුරා	ගීතය ලොව පුරා ජනප්‍රිය වුණා.
worth	වටිනවා	මේ පොත කියවන්න වටිනවා.
written	ලිඛිත	කරුණාකර ලිඛිත උපදෙස් එවන්න.
yard	මිදුල	ළමයි මිදුලේ සෙල්ලම් කළා.
youth	තරුණ	තරුණ සමාජ ප්‍රාදේශීය යෞවනයන්ට සහාය වෙනවා.
