source_headword	IS	example_IS
institute	stofnun	Stofnunin hóf nýja rannsóknaráætlun.
institution	stofnun	Stofnunin breytti inntökureglum sínum.
insurance	trygging	Trygging hennar greiddi sjúkrahúskostnaðinn.
intended	ætlaður	Skilaboðin náðu til ætlaðs markhóps.
intense	ákafur	Umræðan varð mjög áköf fljótt.
internal	innri	Fyrirtækið hóf innri endurskoðun.
interpret	túlka	Vinsamlegast túlkaðu niðurstöðurnar vandlega.
interrupt	trufla	Ekki trufla ræðumanninn núna.
investigation	rannsókn	Rannsóknin leiddi í ljós alvarleg mistök.
investment	fjárfesting	Fjárfestingin skapaði mörg staðbundin störf.
joy	gleði	Velgengni þeirra færði mikla gleði.
judgement	dómgreind	Dómgreind hans batnaði með reynslunni.
junior	yngri	Hún gekk til liðs við teymið sem yngri sérfræðingur.
justice	réttlæti	Fjölskyldan krafðist réttlætis eftir réttarhöldin.
justify	réttlæta	Þú verður að réttlæta þessa ákvörðun skýrt.
labour	vinnuafl	Verkefnið krefst faglærðs vinnuafls.
landscape	landslag	Landslagið breyttist eftir storminn.
largely	að mestu leyti	Áætlunin var að mestu leyti farsæl.
launch	setja á markað	Þeir munu setja vöruna á markað á morgun.
leadership	forysta	Sterk forysta hjálpaði teyminu að jafna sig.
league	deild	Klúbburinn okkar gekk í svæðisbundna deild.
lean	halla sér	Ekki halla þér upp að blauta veggnum.
licence	leyfi	Leyfið rennur út í næsta mánuði.
limited	takmarkaður	Við höfum takmarkaðan tíma í dag.
lively	fjörugur	Fundurinn varð fjörugur eftir hádegismat.
load	farmur	Vörubíllinn bar þungan farm.
loan	lán	Bankinn samþykkti lánið.
logical	rökréttur	Rök hennar voru skýr og rökrétt.
long-term	til langs tíma	Þetta er lausn til langs tíma.
loose	laus	Handfangið virðist laust.
lord	lávarður	Lávarðurinn átti nokkur þorp.
lower	lækka	Þeir lækka verð á veturna.
lung	lunga	Reykingar geta skemmt lunga.
maintain	viðhalda	Við viðhöldum reglulegum samskiptum.
majority	meirihluti	Meirihlutinn studdi tillöguna.
mass	mergð	Mergð skýja huldi himininn.
massive	gríðarlegur	Jarðskjálftinn olli gríðarlegu tjóni.
master	meistari	Hún varð meistari í samningaviðræðum.
matching	samstæður	Hann var í samstæðum skóm og belti.
maximum	hámarks	Herbergið náði hámarksrými.
means	leið	Tölvupóstur er okkar helsta samskiptaleið.
measurement	mæling	Mælingin var aðeins röng.
melt	bráðna	Snjórinn mun bráðna fyrir hádegi.
military	hernaðarlegur	Hernaðarstöðinni var lokað á síðasta ári.
mineral	steinefni	Járn er mikilvægt steinefni.
minimum	lágmarks	Lágmarksaldur er átján ára.
minister	ráðherra	Ráðherrann svaraði erfiðum spurningum.
minor	minniháttar	Slysið olli minniháttar tjóni.
minority	minnihluti	Minnihluti var á móti nýju reglunni.
mission	leiðangur	Leiðangri þeirra lauk heilu og höldnu.
mixed	blandaður	Fréttirnar fengu blendin viðbrögð.
modify	breyta	Við getum breytt hönnuninni seinna.
monitor	fylgjast með	Hjúkrunarfræðingurinn mun fylgjast með ástandi hans.
moral	siðferðilegur	Sagan hefur siðferðilegan boðskap.
motor	mótor	Mótorinn stoppaði án viðvörunar.
mount	festa upp	Þeir setja upp myndavélar nálægt innganginum.
multiple	margir	Margvíslegir þættir ollu seinkuninni.
multiply	margfalda	Margfaldaðu töluna með tíu.
mysterious	dularfullur	Dularfullt ljós birtist úti.
neat	snyrtilegur	Skrifborðið hennar er alltaf snyrtilegt.
nerve	taug	Meiðslin skemmdu taug.
nevertheless	samt sem áður	Verkefnið var erfitt, samt sem áður kláruðum við það.
nightmare	martröð	Ferðin varð að martröð.
notion	hugmynd	Hafnaðu þeirri hugmynd að breytingar séu ómögulegar.
numerous	fjölmargir	Fjölmargar rannsóknir styðja þessa hugmynd.
obey	hlýða	Ökumenn verða að hlýða merkjunum.
objective	markmið	Markmið okkar er að draga úr sóun.
obligation	skylda	Foreldrar bera skyldu til að vernda börn.
observation	athugun	Athugun hans breytti umræðunni.
observe	fylgjast með	Vísindamenn fylgjast með fuglunum hvert vor.
obtain	fá	Þú verður að fá skriflegt leyfi.
occasionally	stundum	Hún vinnur stundum heiman að frá sér.
offence	móðgun	Athugasemdin olli alvarlegri móðgun.
offend	móðga	Ég ætlaði ekki að móðga neinn.
offensive	móðgandi	Plakatið innihélt móðgandi orðbragð.
opening	laust starf	Starfið sem var laust laðaði að marga umsækjendur.
operate	starfa	Vélin getur starfað sjálfvirkt.
opponent	andstæðingur	Andstæðingur hennar gagnrýndi stefnuna.
oppose	vera á móti	Margir íbúar eru á móti áætluninni.
opposed	andsnúinn	Hóparnir höfðu andstæðar skoðanir.
opposition	andstaða	Tillagan mætti mikilli andstöðu.
organ	líffæri	Hjartað er lífsnauðsynlegt líffæri.
origin	uppruni	Uppruni eldsins er óþekktur.
otherwise	annars	Farðu núna, annars verður þú of sein.
outcome	niðurstaða	Niðurstaðan kom öllum á óvart.
outer	ytri	Ytri veggurinn þarfnast viðgerðar.
outline	gera grein fyrir	Vinsamlegast gerðu grein fyrir helstu rökum þínum.
overall	heildar	Heildarárangurinn var jákvæður.
owe	skulda	Ég skulda þér afsökunarbeiðni.
pace	hraði	Gengu á jöfnum hraða.
panel	pallborð	Pallborðið ræddi loftslagsstefnuna.
parliament	þing	Þingið samþykkti nýju lögin.
participant	þátttakandi	Hver þátttakandi skrifaði undir eyðublaðið.
partly	að hluta til	Seinkunin var að hluta til okkur að kenna.
passage	textabrot	Lestu textabrotið áður en þú svarar.
pension1	lífeyrir	Lífeyririnn styður hann eftir starfslok.
permanent	varanlegur	Þau þurfa varanlega lausn.
permit	leyfa	Reglurnar leyfa stuttar heimsóknir.
perspective	sjónarhorn	Reyndu að sjá hennar sjónarhorn.
phase	áfangi	Verkefnið fór í sinn lokaáfanga.
phenomenon	fyrirbæri	Þetta fyrirbæri á sér stað í mörgum menningarheimum.
philosophy	heimspeki	Heimspeki hennar metur hagnýtar aðgerðir.
pile	haugur	Haugur af skjölum huldi skrifborðið.
pitch	völlur	Liðið undirbjó völlinn vandlega.
plain	einfaldur	Leiðbeiningarnar voru skýrar og beinar.
pointed	ákveðinn	Hann kom með ákveðna athugasemd.
popularity	vinsældir	Söngvarinn öðlaðist vinsældir á netinu.
pose	valda	Spurningin gæti valdið vandamáli.
possess	búa yfir	Fáir nemendur búa yfir þeirri færni.
potential	möguleiki	Hugmyndin hefur mikinn möguleika.
praise	hrós	Kennarinn gaf hreinskilnislegt hrós.
pregnant	ófrísk	Hún er komin sex mánuði á leið.
preparation	undirbúningur	Góður undirbúningur dregur úr streitu.
presence	viðvera	Viðvera hans breytti stemningunni.
preserve	varðveita	Við verðum að varðveita þessa sögufrægu byggingu.
prime	helsti	Helsta orsökin var léleg áætlanagerð.
principle	meginregla	Ákvörðunin fylgdi skýrri meginreglu.
priority	forgangsatriði	Öryggi er okkar helsta forgangsatriði.
privacy	einkalíf	Viðskiptavinir búast við friðhelgi einkalífs á netinu.
procedure	málsmeðferð	Aðgerðin tekur þrjátíu mínútur.
proof	sönnun	Við þurfum sönnun áður en við bregðumst við.
proposal	tillaga	Tillagan þarfnast meiri smáatriða.
propose	stinga upp á	Ég sting upp á annarri lausn.
prospect	horfur	Tilhugsunin um að mistakast olli þeim áhyggjum.
protection	vernd	Hjálmurinn veitir grunnvernd.
psychologist	sálfræðingur	Sálfræðingurinn útskýrði niðurstöður prófsins.
psychology	sálfræði	Hún lærir sálfræði í háskóla.
publication	útgáfa	Útgáfan vakti athygli almennings.
pupil	nemandi	Hver nemandi fékk nýja kennslubók.
purchase	kaupa	Þau kaupa birgðir í hverjum mánuði.
pure	hreinn	Vatnið var hreint og kalt.
pursue	stunda	Hann mun stunda læknisfræðilegan feril.
rank	staða	Hún gegnir hárri stöðu.
rapid	hraður	Landið sá hraðan vöxt.
rapidly	hratt	Verð hækkaði hratt á þessu ári.
raw	hrár	Matreiðslumaðurinn bjó til hrátt grænmeti.
realistic	raunhæfur	Settu raunhæfan frest.
reasonable	sanngjarn	Það virðist vera sanngjörn beiðni.
recall	muna	Ég man nákvæmlega orð hans.
recover	jafna sig	Hún mun jafna sig eftir meðferðina.
reduction	lækkun	Lækkunin sparaði peninga.
regard	líta á	Margir líta á hana sem heiðarlega.
regional	svæðisbundinn	Svæðisbundna skrifstofan lokaði í dag.
register	skrá sig	Vinsamlegast skráðu þig fyrir ráðstefnuna.
regret	sjá eftir	Ég sé eftir fyrri ákvörðun minni.
regulation	reglugerð	Nýja reglugerðin hefur áhrif á alla ökumenn.
relatively	tiltölulega	Prófið var tiltölulega auðvelt.
relevant	viðeigandi	Veldu aðeins viðeigandi smáatriði.
relief	léttir	Fréttirnar færðu mikinn létti.
rely	treysta	Börn treysta á stuðning fullorðinna.
remark	athugasemd	Athugasemd hans batt enda á umræðuna.
representative	fulltrúi	Fulltrúinn hitti verkamenn á staðnum.
reputation	orðspor	Hótelið hefur gott orðspor.
requirement	krafa	Reynsla er grunnkrafa.
rescue	bjarga	Þeir bjarga fólki úr flóðum.
reserve	taka frá	Við tökum frá sæti fyrir gesti.
resident	íbúi	Hver íbúi fékk tilkynningu.
resist	standast	Reyndu að standast þrýstinginn.
resolve	leysa	Þeir leystu deiluna friðsamlega.
resort	dvalarstaður	Dvalarstaðurinn á eyjunni opnaði í maí.
retain	halda	Fyrirtækið vill halda starfsfólki.
reveal	afhjúpa	Skýrslan mun afhjúpa sannleikann.
revolution	bylting	Byltingin breytti landinu.
reward	verðlaun	Mikil vinna verðskuldar verðlaun.
rhythm	taktur	Lagið er með jafnan takt.
rid	losna við	Losnaðu við þessar gömlu skrár.
