source_headword	ML	example_ML
stranger	അപരിചിതൻ	ഒരു അപരിചിതൻ വഴി ചോദിച്ചു.
strength	ശക്തി	അവളുടെ ശക്തി ടീമിനെ സഹായിച്ചു.
string	ചരട്	ചരട് ഉപയോഗിച്ച് പെട്ടി കെട്ടുക.
strongly	ശക്തമായി	ആ ആശയത്തോട് ഞാൻ ശക്തമായി വിയോജിക്കുന്നു.
studio	സ്റ്റുഡിയോ	കലാകാരൻ ഒരു ചെറിയ സ്റ്റുഡിയോയിൽ ജോലി ചെയ്യുന്നു.
stuff	സാധനങ്ങൾ	നിങ്ങളുടെ സാധനങ്ങൾ ഷെൽഫിൽ വയ്ക്കുക.
substance	പദാർത്ഥം	പോലീസ് ഒരു അപരിചിതമായ പദാർത്ഥം കണ്ടെത്തി.
successfully	വിജയകരമായി	അവർ പ്രൊജക്റ്റ് വിജയകരമായി പൂർത്തിയാക്കി.
sudden	പെട്ടെന്നുള്ള	പെട്ടെന്നുള്ള ഒരു ശബ്ദം ഞങ്ങളെ ഉണർത്തി.
suffer	കഷ്ടപ്പെടുക	വരണ്ട കാലാവസ്ഥയിൽ പല ചെടികളും കഷ്ടപ്പെടുന്നു.
suitable	അനുയോജ്യമായ	ഈ ജാക്കറ്റ് സ്കൂളിന് അനുയോജ്യമാണ്.
summarize	സംഗ്രഹിക്കുക	നിങ്ങൾക്ക് ലേഖനം സംഗ്രഹിക്കാമോ?
summary	സംഗ്രഹം	ഇന്ന് രാത്രി ഒരു ചെറിയ സംഗ്രഹം എഴുതുക.
supply	വിതരണം	നഗരത്തിന് ശുദ്ധജല വിതരണം ആവശ്യമാണ്.
supporter	പിന്തുണക്കാരൻ	ഓരോ പിന്തുണക്കാരനും ഉച്ചത്തിൽ ആർത്തുവിളിച്ചു.
surely	തീർച്ചയായും	തീർച്ചയായും നമുക്ക് ഇത് പരിഹരിക്കാനാകും.
surface	ഉപരിതലം	ഉപരിതലം തണുപ്പും മിനുസമുള്ളതുമായി തോന്നി.
survive	അതിജീവിക്കുക	ഈ മൃഗങ്ങൾ തണുപ്പുകാലം അതിജീവിക്കുന്നു.
switch	സ്വിച്ച്	അടുക്കളയിലെ ലൈറ്റ് ഓഫ് ചെയ്യുക.
symptom	ലക്ഷണം	ചുമ ഒരു ലക്ഷണമാകാം.
tail	വാൽ	നായയ്ക്ക് നീളമുള്ള വാലുണ്ട്.
talent	കഴിവ്	അവൾക്ക് സംഗീതത്തിൽ കഴിവുണ്ട്.
talented	കഴിവുള്ള	അവൻ കഴിവുള്ള ഒരു യുവ നടനാണ്.
tape	ടേപ്പ്	പെട്ടി അടയ്ക്കാൻ ടേപ്പ് ഉപയോഗിക്കുക.
tax	നികുതി	എല്ലാവരും ഈ നികുതി അടയ്ക്കണം.
technical	സാങ്കേതികമായ	ഞങ്ങൾക്ക് ഒരു സാങ്കേതിക പ്രശ്നമുണ്ടായിരുന്നു.
technique	രീതി	ഈ രീതി സമയം ലാഭിക്കുന്നു.
tend	പ്രവണത കാണിക്കുക	കുട്ടികൾ വേഗത്തിൽ പഠിക്കുന്ന പ്രവണത കാണിക്കുന്നു.
tent	കൂടാരം	ഞങ്ങൾ ഒരു ചെറിയ കൂടാരത്തിൽ ഉറങ്ങി.
theirs	അവരുടേത്	നീല ബൈക്കുകൾ അവരുടേതാണ്.
theme	പ്രമേയം	പാർട്ടിക്ക് ഒരു ബീച്ച് പ്രമേയം ഉണ്ടായിരുന്നു.
theory	സിദ്ധാന്തം	അദ്ദേഹത്തിന്റെ സിദ്ധാന്തം പ്രശ്നം വിശദീകരിക്കുന്നു.
therefore	അതുകൊണ്ട്	മഴ പെയ്തു, അതുകൊണ്ട് ഞങ്ങൾ ഉള്ളിൽ തന്നെ കഴിഞ്ഞു.
though	എങ്കിലും	ക്ഷീണമുണ്ടായിരുന്നിട്ടും, അവൾ ജോലി തുടർന്നു.
throat	തൊണ്ട	ഇന്ന് രാവിലെ എന്റെ തൊണ്ട വേദനിക്കുന്നു.
throughout	ഉടനീളം	വൈകുന്നേരമുടനീളം ആളുകൾ നൃത്തം ചെയ്തു.
tight	ഇറുകിയ	ഈ ഷൂസുകൾക്ക് വല്ലാത്ത ഇറുക്കം തോന്നുന്നു.
till	വരെ	ഞാൻ മടങ്ങിവരുന്നത് വരെ ഇവിടെ കാത്തിരിക്കുക.
tin	ടിൻ	ഒരു ടിൻ ബീൻസ് തുറക്കുക.
tiny	ചെറിയ	ഒരു ചെറിയ പക്ഷി അടുത്തു വന്നിരുന്നു.
toe	കാൽവിരൽ	ഇന്നലെ എന്റെ കാൽവിരലിന് പരിക്കേറ്റു.
tongue	നാവ്	ചായ കുടിച്ച് അവളുടെ നാവ് പൊള്ളി.
total	മൊത്തം	മൊത്തം ചിലവ് കുറവായിരുന്നു.
totally	പൂർണ്ണമായും	നിങ്ങളുടെ ആശങ്ക ഞാൻ പൂർണ്ണമായും മനസ്സിലാക്കുന്നു.
trade	വ്യാപാരം	അന്താരാഷ്ട്ര വ്യാപാരം തൊഴിലവസരങ്ങൾ സൃഷ്ടിക്കുന്നു.
translate	വിവർത്തനം ചെയ്യുക	ദയവായി ഈ വാചകം വിവർത്തനം ചെയ്യുക.
translation	വിവർത്തനം	വിവർത്തനം സ്വാഭാവികമായി തോന്നുന്നു.
treat	പെരുമാറുക	എല്ലാവരോടും ബഹുമാനത്തോടെ പെരുമാറുക.
treatment	ചികിത്സ	രോഗിക്ക് ഇന്ന് ചികിത്സ ആവശ്യമാണ്.
trend	പ്രവണത	ഈ പ്രവണത ലോകമെമ്പാടും വളരുകയാണ്.
trick	വിദ്യ	ആ കാർഡ് വിദ്യ എന്നെ അത്ഭുതപ്പെടുത്തി.
truth	സത്യം	ദയവായി സത്യം പറയുക.
tube	ട്യൂബ്	ട്യൂബ് പതുക്കെ ഞെക്കുക.
typically	സാധാരണയായി	വിദ്യാർത്ഥികൾ സാധാരണയായി ഒമ്പത് മണിക്ക് മുമ്പ് എത്തും.
tyre	ടയർ	കാറിന് ഒരു പുതിയ ടയർ ആവശ്യമാണ്.
ugly	വൃത്തികെട്ട	ആ മതിലിന്റെ നിറം കാണാൻ വൃത്തികെട്ടതാണ്.
unable	കഴിയാത്ത	അവന് മറുപടി പറയാൻ കഴിഞ്ഞില്ല.
uncomfortable	അസൗകര്യമുള്ള	ഈ കസേര അസൗകര്യമുള്ളതാണ്.
underwear	അടിവസ്ത്രം	യാത്രയ്ക്കായി വൃത്തിയുള്ള അടിവസ്ത്രം എടുക്കുക.
unemployed	തൊഴിലില്ലാത്ത	അവൾ രണ്ടുമാസമായി തൊഴിലില്ലാത്തവളായിരുന്നു.
unemployment	തൊഴിലില്ലായ്മ	ശൈത്യകാലത്ത് തൊഴിലില്ലായ്മ വർദ്ധിച്ചു.
unfair	അന്യായമായ	തീരുമാനം അന്യായമായി തോന്നി.
