source_headword	ET	example_ET
institute	instituut	Instituut avas uue uurimisprogrammi.
institution	asutus	Asutus muutis oma vastuvõtureegleid.
insurance	kindlustus	Tema kindlustus kattis haiglakulud.
intended	kavandatud	Sõnum jõudis oma sihtrühmani.
intense	intensiivne	Arutelu muutus väga kiiresti intensiivseks.
internal	sisemine	Ettevõte alustas sisemist ülevaatust.
interpret	tõlgendama	Palun tõlgendage tulemusi hoolikalt.
interrupt	katkestama	Ärge praegu kõnelejat katkestage.
investigation	uurimine	Uurimine paljastas tõsiseid vigu.
investment	investeering	Investeering lõi palju kohalikke töökohti.
joy	rõõm	Nende edu tõi suurt rõõmu.
judgement	otsustusvõime	Tema otsustusvõime paranes kogemustega.
junior	noorem	Ta liitus meeskonnaga nooremanalüütikuna.
justice	õiglus	Perekond nõudis pärast kohtuistungit õiglust.
justify	põhjendama	Te peate seda otsust selgelt põhjendama.
labour	tööjõud	Projekt nõuab kvalifitseeritud tööjõudu.
landscape	maastik	Maastik muutus pärast tormi.
largely	suures osas	Plaan oli suures osas edukas.
launch	turule tooma	Nad toovad toote turule homme.
leadership	juhtimine	Tugev juhtimine aitas meeskonnal taastuda.
league	liiga	Meie klubi liitus piirkondliku liigaga.
lean	nõjatuma	Ärge nõjatuge märja seina vastu.
licence	litsents	Luba aegub järgmisel kuul.
limited	piiratud	Meil on täna piiratud aeg.
lively	elav	Koosolek muutus pärast lõunat elavaks.
load	koorem	Veoauto kandis rasket koormat.
loan	laen	Pank kiitis laenu heaks.
logical	loogiline	Tema argument oli selge ja loogiline.
long-term	pikaajaline	See on pikaajaline lahendus.
loose	logisev	Käepide on logisev.
lord	isand	Isandale kuulus mitu küla.
lower	langetama	Nad langetavad talveks hindu.
lung	kops	Suitsetamine võib kopsu kahjustada.
maintain	säilitama	Me hoiame regulaarset kontakti.
majority	enamus	Enamus toetas ettepanekut.
mass	mass	Pilvede mass kattis taeva.
massive	massiivne	Maavärin põhjustas tohutut kahju.
master	meister	Ta sai läbirääkimiste meistriks.
matching	sobiv	Ta kandis kokkusobivaid kingi ja vööd.
maximum	maksimaalne	Tuba saavutas maksimaalse mahutavuse.
means	vahend	E-post on meie peamine suhtlusvahend.
measurement	mõõtmine	Mõõtmine oli pisut vale.
melt	sulama	Lumi sulab keskpäevaks.
military	sõjaväe-	Sõjaväebaas suleti eelmisel aastal.
mineral	mineraal	Raud on oluline mineraal.
minimum	minimaalne	Minimaalne vanus on kaheksateist.
minister	minister	Minister vastas rasketele küsimustele.
minor	väike	Õnnetus põhjustas väikest kahju.
minority	vähemus	Vähemus oli uue reegli vastu.
mission	missioon	Nende missioon lõppes turvaliselt.
mixed	vastakas	Uudis sai vastakaid reaktsioone.
modify	muuta	Saame disaini hiljem muuta.
monitor	jälgida	Õde hakkab tema seisundit jälgima.
moral	moraalne	Lool on moraalne õppetund.
motor	mootor	Mootor seiskus ilma hoiatuseta.
mount	paigaldada	Nad paigaldavad sissepääsu juurde kaamerad.
multiple	mitu	Viivituse põhjustasid mitu tegurit.
multiply	korrutada	Korruta arv kümnega.
mysterious	salapärane	Väljas ilmus salapärane valgus.
neat	korras	Tema kirjutuslaud on alati korras.
nerve	närv	Vigastus kahjustas närvi.
nevertheless	siiski	Ülesanne oli raske, siiski saime valmis.
nightmare	õudusunenägu	Reis muutus õudusunenäoks.
notion	arusaam	Lükka ümber arusaam, et muutus on võimatu.
numerous	arvukas	Arvukad uuringud toetavad seda ideed.
obey	järgida	Juhid peavad järgima märke.
objective	eesmärk	Meie eesmärk on vähendada jäätmeid.
obligation	kohustus	Vanematel on kohustus lapsi kaitsta.
observation	tähelepanek	Tema tähelepanek muutis arutelu.
observe	vaadelda	Teadlased vaatlevad linde igal kevadel.
obtain	hankida	Peate hankima kirjaliku loa.
occasionally	aeg-ajalt	Ta töötab aeg-ajalt kodus.
offence	solvang	Kommentaar põhjustas tõsise solvangu.
offend	solvata	Ma ei tahtnud kedagi solvata.
offensive	solvav	Plakat sisaldas solvavat keelt.
opening	vaba töökoht	Vaba töökoht meelitas palju kandidaate.
operate	töötada	Masin saab töötada automaatselt.
opponent	vastane	Tema vastane kritiseeris poliitikat.
oppose	vastu olla	Paljud elanikud on plaanile vastu.
opposed	vastandlik	Rühmadel olid vastandlikud seisukohad.
opposition	vastuseis	Ettepanek seisis silmitsi tugeva vastuseisuga.
organ	elund	Süda on elutähtis elund.
origin	päritolu	Tulekahju päritolu on teadmata.
otherwise	muidu	Lahkuge kohe, muidu jääte hiljaks.
outcome	tulemus	Tulemus üllatas kõiki.
outer	välimine	Välimine sein vajab parandamist.
outline	visandada	Palun visandage oma peamine argument.
overall	üldine	Üldine tulemus oli positiivne.
owe	võlgnema	Ma võlgnen sulle vabanduse.
pace	tempo	Kõndige ühtlase tempoga.
panel	paneel	Paneel arutas kliimapoliitikat.
parliament	parlament	Parlament kiitis uue seaduse heaks.
participant	osaleja	Iga osaleja allkirjastas vormi.
partly	osaliselt	Viivitus oli osaliselt meie süü.
passage	katkend	Enne vastamist lugege katkendit.
pension1	pension	Tema pension toetab teda pärast pensionile jäämist.
permanent	alaline	Nad vajavad alalist lahendust.
permit	lubada	Reeglid lubavad lühikesi külastusi.
perspective	vaatenurk	Püüdke mõista tema vaatenurka.
phase	etapp	Projekt jõudis viimasesse etappi.
phenomenon	fenomen	See fenomen esineb paljudes kultuurides.
philosophy	filosoofia	Tema filosoofia väärtustab praktilist tegutsemist.
pile	hunnik	Paberihunnik kattis lauda.
pitch	väljak	Meeskond valmistas väljaku hoolikalt ette.
plain	selge	Juhised olid selged ja otsesed.
pointed	terav	Ta tegi terava märkuse.
popularity	populaarsus	Laulja saavutas internetis populaarsuse.
pose	tekitama	Küsimus võib tekitada probleemi.
possess	omama	Vähesed õpilased omavad seda oskust.
potential	potentsiaal	Ideel on tõeline potentsiaal.
praise	kiitus	Õpetaja jagas ausat kiitust.
pregnant	rase	Ta on kuuendat kuud rase.
preparation	ettevalmistus	Hea ettevalmistus vähendab stressi.
presence	kohalolek	Tema kohalolek muutis meeleolu.
preserve	säilitama	Me peame selle ajaloolise hoone säilitama.
prime	peamine	Peamine põhjus oli halb planeerimine.
principle	põhimõte	Otsus järgis selget põhimõtet.
priority	prioriteet	Ohutus on meie esimene prioriteet.
privacy	privaatsus	Kliendid ootavad internetis privaatsust.
procedure	protseduur	Protseduur kestab kolmkümmend minutit.
proof	tõend	Enne tegutsemist vajame tõendeid.
proposal	ettepanek	Ettepanek vajab rohkem detaile.
propose	välja pakkuma	Pakun välja teistsuguse lahenduse.
prospect	väljavaade	Ebaõnnestumise väljavaade tegi neile muret.
protection	kaitse	Kiiver pakub põhikaitset.
psychologist	psühholoog	Psühholoog selgitas testi tulemusi.
psychology	psühholoogia	Ta õpib ülikoolis psühholoogiat.
publication	väljaanne	Väljaanne äratas avalikkuse tähelepanu.
pupil	õpilane	Iga õpilane sai uue õpiku.
purchase	ostma	Nad ostavad varusid iga kuu.
pure	puhas	Vesi oli puhas ja külm.
pursue	püüdlema	Ta jätkab meditsiinilist karjääri.
rank	auaste	Tal on kõrge auaste.
rapid	kiire	Riik koges kiiret kasvu.
rapidly	kiiresti	Hinnad tõusid sel aastal kiiresti.
raw	toores	Kokk valmistas tooreid köögivilju.
realistic	realistlik	Seadke realistlik tähtaeg.
reasonable	mõistlik	See tundub mõistlik palve.
recall	mäletama	Ma mäletan tema täpseid sõnu.
recover	paranema	Ta paraneb pärast ravi.
reduction	vähendamine	Vähendamine säästis raha.
regard	pidama	Paljud inimesed peavad teda ausaks.
regional	piirkondlik	Piirkondlik kontor suleti täna.
register	registreeruma	Palun registreeruge enne konverentsi.
regret	kahetsema	Ma kahetsen oma varasemat otsust.
regulation	eeskiri	Uus eeskiri mõjutab kõiki juhte.
relatively	suhteliselt	Eksam oli suhteliselt lihtne.
relevant	asjakohane	Valige ainult asjakohased üksikasjad.
relief	kergendus	Uudis tõi suure kergenduse.
rely	tuginema	Lapsed toetuvad täiskasvanute toele.
remark	märkus	Tema märkus lõpetas arutelu.
representative	esindaja	Esindaja kohtus kohalike töötajatega.
reputation	maine	Hotellil on hea maine.
requirement	nõue	Kogemus on põhinõue.
rescue	päästma	Nad päästavad inimesi üleujutustest.
reserve	reserveerima	Me reserveerime külalistele kohad.
resident	elanik	Iga elanik sai teate.
resist	vastu panna	Proovi survele vastu panna.
resolve	lahendama	Nad lahendasid vaidluse rahumeelselt.
resort	kuurort	Saare kuurort avati mais.
retain	hoidma	Ettevõte tahab töötajaid hoida.
reveal	paljastama	Aruanne paljastab tõe.
revolution	revolutsioon	Revolutsioon muutis riiki.
reward	tasu	Raske töö väärib tasu.
rhythm	rütm	Laulul on ühtlane rütm.
rid	vabanema	Vabane nendest vanadest failidest.
root	juur	Probleemi juur on raha.
rub	hõõruma	Hõõruge pinda lapiga.
rubber	kumm	Kummitihend hoiab ära lekkeid.
rural	maa-	Paljud maakoolid vajavad toetust.
rush	kiirustama	Ärge kiirustage selle otsusega.
satellite	satelliit	Satelliit saatis uusi pilte.
satisfied	rahulolev	Klient tundus rahulolev.
satisfy	rahuldama	Vastus ei rahuldanud teda.
saving	säästmine	Energiasääst vähendab igakuiseid kulusid.
scale	ulatus	Kahjustuste ulatus oli tohutu.
scheme	skeem	Skeem aitab noori töötajaid.
scream	karje	Nad kuulsid õues karjet.
sector	sektor	Tehnoloogiasektor kasvab.
secure	turvama	Lukustage uks, et seda turvata.
seek	otsima	Nad otsivad ekspertidelt nõu.
select	valima	Valige parim variant.
selection	valik	Pood pakub laia valikut.
self	mina	Ta näitas oma tõelist mina.
senior	vanem	Vanemarst kontrollis patsienti.
sensitive	tundlik	See teema on väga tundlik.
sequence	järjestus	Järgige sammude järjestust.
