source_headword	SK	example_SK
prey	korisť	Sovy lovia v noci korisť.
privatization	privatizácia	Privatizácia zmenila železničný systém.
privilege	privilégium	Vzdelanie by nemalo byť privilégiom.
probe	vyšetrovanie	Vyšetrovanie odhalilo vážne chyby.
problematic	problematický	Dohoda zostáva problematická.
proceedings	konanie	Súdne konanie sa začalo v pondelok.
proceeds	výťažok	Výťažok podporí miestne školy.
processing	spracovanie	Spracovanie obrazu trvá nejaký čas.
processor	procesor	Procesor počas testovania zlyhal.
proclaim	vyhlásiť	Lídri vyhlasujú víťazstvo príliš skoro.
productive	produktívny	Stretnutie bolo produktívne.
productivity	produktivita	Produktivita sa po tréningu zlepšila.
profitable	ziskový	Obchod sa tento rok stal ziskovým.
profound	hlboký	Prejav mal hlboký vplyv.
projection	prognóza	Prognóza ukazuje stabilný rast.
prominent	významný	Stala sa z nej významná vedkyňa.
pronounced	výrazný	Jeho prízvuk sa stal výraznejším.
propaganda	propaganda	Kampaň využívala propagandu na internete.
proposition	návrh	Tento návrh je riskantná záležitosť.
prosecute	stíhať	Úradníci stíhajú vážne prípady podvodov.
prosecution	obžaloba	Obžaloba predložila nové dôkazy.
prosecutor	prokurátor	Prokurátor vypočúval svedka.
prospective	potenciálny	Potenciálni študenti si prezreli kampus.
prosperity	prosperita	Obchod priniesol regiónu prosperitu.
protective	ochranný	Mala na sebe ochranné rukavice.
protocol	protokol	Protokol vyžaduje písomné schválenie.
province	provincia	Provincia investovala do dopravy.
provincial	provinčný	Provinční úradníci oznámili tento plán.
provision	ustanovenie	Zmluva obsahuje bezpečnostné ustanovenie.
provoke	vyvolať	Prejav môže vyvolať silné reakcie.
psychiatric	psychiatrický	Nemocnica otvorila psychiatrické oddelenie.
pulse	pulz	Zdravotná sestra mu skontrolovala pulz.
pump	čerpadlo	Čerpadlo tlačí vodu nahor.
punch	úder	V hneve uštedril úder.
query	dotaz	Pošlite svoj dotaz podpore.
quest	hľadanie	Ich hľadanie spravodlivosti pokračovalo.
quota	kvóta	Tím splnil svoju predajnú kvótu.
radar	radar	Búrka sa objavila na radare.
radical	radikálny	Skupina navrhla radikálne reformy.
rage	zúrivosť	Jeho zúrivosť rýchlo pominula.
raid	razia	Polícia vykonala raňajšiu raziu.
rally	zhromaždenie	Priaznivci sa pripojili k zhromaždeniu v centre mesta.
ranking	hodnotenie	Univerzita si zlepšila svoje hodnotenie.
rape	znásilnenie	Prípady znásilnenia si vyžadujú dôkladné vyšetrovanie.
ratio	pomer	Trieda má nízky pomer učiteľov.
rational	racionálny	Jej rozhodnutie bolo racionálne.
ray	lúč	Dovnútra prenikol slnečný lúč.
readily	ochotne	Ochotne prijal ponuku.
realization	uvedomenie	Toto uvedomenie zmenilo jej plány.
realm	oblasť	Táto otázka patrí do inej oblasti.
rear	zadný	Dnes použite zadný vchod.
reasoning	uvažovanie	Jeho uvažovanie bolo jasné.
reassure	upokojiť	Lekár sa ju snažil upokojiť.
rebel	rebel	Vodca rebelov unikol zajatiu.
rebellion	vzbura	Vzbura sa skončila po rokovaniach.
recipient	príjemca	Príjemca podpísal formulár.
reconstruction	rekonštrukcia	Rekonštrukcia sa začala po povodni.
recount1	prerozprávať	Dokáže jasne prerozprávať udalosti.
referendum	referendum	Referendum rozdelilo krajinu.
reflection	zamyslenie	Esej si vyžadovala hlbšie zamyslenie.
reform	reforma	Reforma zlepšila verejné služby.
refuge	útočisko	Rodina hľadala útočisko v zahraničí.
refusal	odmietnutie	Jej odmietnutie prekvapilo komisiu.
regain	získať späť	Tvrdo pracoval, aby získal späť dôveru.
regardless	bez ohľadu na	Pokračovali bez ohľadu na kritiku.
regime	režim	Režim obmedzil slobodu prejavu.
regulator	regulačný úrad	Regulačný úrad udelil spoločnosti pokutu.
regulatory	regulačný	Regulačné schválenie trvalo mesiace.
rehabilitation	rehabilitácia	Rehabilitácia mu pomohla opäť chodiť.
reign	vláda	Kráľova vláda trvala desaťročia.
rejection	odmietnutie	Odmietnutie zranilo jej sebavedomie.
relevance	relevancia	Údaje majú obmedzenú relevanciu.
reliability	spoľahlivosť	V núdzových systémoch záleží na spoľahlivosti.
reluctant	zdráhavý	Zdráhal sa prehovoriť.
remainder	zvyšok	Zvyšok išiel na charitu.
remains	pozostatky	Pozostatky boli starostlivo preskúmané.
remedy	náprava	Zákon poskytuje nápravu.
reminder	pripomienka	Tento e-mail bol užitočnou pripomienkou.
removal	odstránenie	Odstránenie prekážok pomohlo obchodu.
render	urobiť	Chyba urobila zmluvu neplatnou.
renew	obnoviť	Čoskoro si obnovte cestovný pas.
renowned	preslávený	Je preslávená svojím výskumom.
rental	prenájom	Prenájom zahŕňa poistenie.
replacement	náhrada	Náhradný diel dorazil dnes.
reportedly	údajne	Minister včera údajne odstúpil.
representation	zastúpenie	Spravodlivé zastúpenie zostáva dôležité.
reproduce	rozmnožovať sa	Tieto rastliny sa rýchlo rozmnožujú.
reproduction	reprodukcia	Digitálna reprodukcia zlepšila prístup.
republic	republika	Republika usporiadala voľby.
resemble	podobať sa	Tieto dva návrhy sa na seba veľmi podobajú.
reside	sídliť	Bývajú blízko hraníc.
residence	sídlo	Jeho oficiálne sídlo je strážené.
residential	obytný	Oblasť je prevažne obytná.
residue	zvyšok	Čistiaci prostriedok zanechal lepkavý zvyšok.
resignation	odstúpenie	Jej odstúpenie šokovalo predstavenstvo.
resistance	odpor	Odpor voči zmenám bol silný.
respective	príslušný	Vrátili sa do svojich príslušných kancelárií.
respectively	v tomto poradí	Skóre bolo 80 a 90 v tomto poradí.
restoration	obnova	Obnova budovy trvala roky.
restraint	zdržanlivosť	Polícia ukázala zdržanlivosť.
resume	pokračovať	Vyučovanie pokračuje budúci týždeň.
retreat	ústup	Armáda začala ústup.
retrieve	získať späť	Získala súbor späť.
revelation	odhalenie	Toto odhalenie poškodilo jeho povesť.
revenge	pomsta	Chcel pomstu za tú urážku.
reverse	zrušiť	Súd zrušil rozhodnutie.
revival	oživenie	Mesto zažilo ekonomické oživenie.
revive	oživiť	Festival pomohol oživiť miestne tradície.
revolutionary	revolučný	Tento vynález bol revolučný.
rhetoric	rétorika	Jeho rétorika znela agresívne.
rifle	puška	Puška bola bezpečne uložená.
riot	nepokoj	Nepokoje trvali niekoľko hodín.
rip	roztrhnúť	Opatrne roztrhnite papier.
ritual	rituál	Tento rituál označuje zber úrody.
robust	robustný	Systém je robustný.
rock	otriasť	Výbuch otriasol dedinou.
rod	tyč	Záves visí na tyči.
rotate	otáčať	Pomaly otáčajte rukoväťou.
rotation	rotácia	Rotácia plodín chráni pôdu.
ruling	rozhodnutie	Súd vydal rozhodnutie.
rumour	zvesť	Táto zvesť sa rýchlo rozšírila.
sack	vyhodiť	Predstavenstvo môže vyhodiť trénera.
