source_headword	BN	example_BN
toss	ছুঁড়ে মারা	সে চাবিগুলো টেবিলের ওপর ছুঁড়ে মারল।
total	মোট হওয়া	মেরামতের খরচ প্রত্যাশার চেয়ে বেশি হয়েছে।
toxic	বিষাক্ত	বিষাক্ত ধোঁয়ার কারণে সবাই বাইরে যেতে বাধ্য হয়েছিল।
trademark	ট্রেডমার্ক	লোগোটি কোম্পানির ট্রেডমার্ক হয়ে ওঠে।
trail	পথ	পথটি বনের মধ্য দিয়ে গেছে।
trailer	ট্রেলার	ট্রেলারে সিনেমার শেষ অংশ দেখানো হয়েছে।
transaction	লেনদেন	লেনদেনটি আমার ব্যাঙ্ক স্টেটমেন্টে দেখা গেছে।
transcript	ট্রান্সক্রিপ্ট	ছাত্রটি একটি অফিসিয়াল ট্রান্সক্রিপ্টের অনুরোধ করেছিল।
transformation	রূপান্তর	শহরটিতে একটি বড় রূপান্তর দেখা গেছে।
transit	ট্রানজিট	ট্রানজিটের সময় প্যাকেজটি ক্ষতিগ্রস্ত হয়েছিল।
transmission	সঞ্চালন	ডেটা সঞ্চালন নিরাপদ ছিল।
transparency	স্বচ্ছতা	প্রতিবেদনে আরও বেশি স্বচ্ছতার আহ্বান জানানো হয়েছে।
transparent	স্বচ্ছ	প্রক্রিয়াটি সবার কাছে স্বচ্ছ হওয়া উচিত।
trauma	ট্রমা	দুর্ঘটনাটি গভীর ট্রমা রেখে গেছে।
treaty	চুক্তি	দেশগুলো একটি শান্তি চুক্তিতে স্বাক্ষর করেছে।
tremendous	অসাধারণ	দলটি অসাধারণ উন্নতি করেছে।
tribal	উপজাতীয়	জাদুঘরটি উপজাতীয় শিল্প প্রদর্শন করেছে।
tribunal	ট্রাইব্যুনাল	ট্রাইব্যুনাল সারা সপ্তাহ ধরে প্রমাণ শুনেছে।
tribute	শ্রদ্ধাঞ্জলি	কনসার্টটি ছিল তার প্রতি একটি শ্রদ্ধাঞ্জলি।
trio	ত্রয়ী	ত্রয়ী উৎসবে পারফর্ম করেছিল।
triumph	বিজয়	জয়টি ছিল একটি ব্যক্তিগত বিজয়।
trophy	ট্রফি	অধিনায়ক গর্বের সাথে ট্রফিটি তুলে ধরলেন।
troubled	সমস্যাগ্রস্ত	সমস্যাগ্রস্ত কোম্পানিটির নতুন নেতৃত্বের প্রয়োজন ছিল।
trustee	ট্রাস্টি	ট্রাস্টি স্কলারশিপ ফান্ড পরিচালনা করেন।
tuition	টিউশন ফি	এই বছর তার টিউশন ফি বেড়েছে।
turnout	উপস্থিতি	ভোটার উপস্থিতি প্রত্যাশার চেয়ে বেশি ছিল।
turnover	টার্নওভার	পরিবর্তনের পর কর্মীদের টার্নওভার কমেছে।
twist	ঘোরানো	সে ঢাকনাটি ঘুরিয়ে খুলল।
undergraduate	স্নাতক ছাত্র	স্নাতক ছাত্রটি একটি গবেষণা প্রকল্পে যুক্ত হয়েছে।
underlying	অন্তর্নিহিত	প্রতিবেদনে অন্তর্নিহিত কারণগুলো ব্যাখ্যা করা হয়েছে।
undermine	দুর্বল করা	কেলেঙ্কারিটি জনগণের বিশ্বাসকে দুর্বল করে দিয়েছে।
undoubtedly	নিঃসন্দেহে	তিনি নিঃসন্দেহে সেরা প্রার্থী।
unify	ঐক্যবদ্ধ করা	পরিকল্পনার উদ্দেশ্য হলো দলগুলোকে ঐক্যবদ্ধ করা।
unprecedented	নজিরবিহীন	ঝড়টি নজিরবিহীন ক্ষতি করেছে।
unveil	উন্মোচন করা	কোম্পানি আগামীকাল নকশাটি উন্মোচন করবে।
upcoming	আসন্ন	আসন্ন নির্বাচন জনগণের দৃষ্টি আকর্ষণ করেছে।
upgrade	আপগ্রেড করা	আমরা গত রাতে সফ্টওয়্যার আপগ্রেড করেছি।
uphold	বহাল রাখা	আমরা মূল সিদ্ধান্তটি বহাল রেখেছি।
utility	ইউটিলিটি	অ্যাপার্টমেন্টে সমস্ত ইউটিলিটি খরচ অন্তর্ভুক্ত রয়েছে।
utilize	ব্যবহার করা	দলটি উপলব্ধ ডেটা ব্যবহার করেছে।
utterly	পুরোপুরি	ব্যাখ্যাটি পুরোপুরি বিভ্রান্তিকর ছিল।
vacuum	শূন্যতা	নেতৃত্বে শূন্যতা উত্তেজনা সৃষ্টি করেছিল।
vague	অস্পষ্ট	তার উত্তর ছিল অস্পষ্ট এবং দুর্বল।
validity	বৈধতা	গবেষণাটি পরীক্ষার বৈধতা নিয়ে প্রশ্ন তুলেছে।
vanish	অদৃশ্য হওয়া	ফাইলটি ফোল্ডার থেকে অদৃশ্য হয়ে গেছে।
variable	চলক	দাম একটি গুরুত্বপূর্ণ চলক।
varied	বৈচিত্র্যময়	কোর্সটি বৈচিত্র্যময় অ্যাসাইনমেন্ট প্রদান করে।
vein	শিরা	নার্স দ্রুত একটি শিরা খুঁজে পেয়েছিলেন।
venture	উদ্যোগ	নতুন উদ্যোগটি বিনিয়োগকারীদের আকর্ষণ করেছিল।
verbal	মৌখিক	তারা একটি মৌখিক চুক্তিতে পৌঁছেছে।
verdict	রায়	জুরি তাদের রায় প্রদান করেছে।
verify	যাচাই করা	অনুগ্রহ করে আপনার ইমেইল ঠিকানা যাচাই করুন।
verse	স্তবক	সে কবিতা থেকে একটি স্তবক উদ্ধৃত করেছিল।
versus	বনাম	বিতর্কটি ছিল গোপনীয়তা বনাম নিরাপত্তা।
vessel	জাহাজ	জাহাজটি সমুদ্র পাড়ি দিয়ে শস্য বহন করেছিল।
veteran	অভিজ্ঞ ব্যক্তি	অভিজ্ঞ ব্যক্তিটি নতুন কর্মীদের প্রশিক্ষণ দিয়েছিলেন।
viable	বাস্তবসম্মত	প্রস্তাবটি আর্থিকভাবে বাস্তবসম্মত।
vibrant	প্রাণবন্ত	শহরটির একটি প্রাণবন্ত শিল্প দৃশ্য রয়েছে।
vice	বদভ্যাস	লোভ ছিল তার সবচেয়ে বড় বদভ্যাস।
