source_headword	SW	example_SW
ability	uwezo; ustadi	Uwezo wake wa kuogelea uko wazi.
able	kuweza; mwenye uwezo	Anaweza kuja leo.
abroad	ngambo; nje ya nchi	Anataka kusoma nje ya nchi.
accept	kukubali	Tafadhali kubali zawadi hii ndogo.
accident	ajali	Ajali ilitokea karibu na shule.
according to	kulingana na	Kulingana na ripoti, mvua inakuja.
achieve	kufanikiwa; kufikia	Unaweza kufikia lengo lako.
act	kuigiza; kutenda	Anaweza kuigiza katika mchezo.
active	mchangamfu; amilifu	Yeye ni mchangamfu kila siku.
actually	kwa kweli	Kwa kweli, ninahitaji muda zaidi.
advantage	faida	Mpango huu una faida.
adventure	tukio la kusisimua	Safari yao ilikuwa tukio la kusisimua.
advertise	kutangaza	Wanatangaza kazi mpya.
advertisement	tangazo	Niliona tangazo.
advertising	matangazo; utangazaji	Matangazo husaidia kuuza chakula.
affect	kuathiri	Usingizi unaweza kuathiri afya yako.
against	dhidi ya; kwenye	Usiegemee ukuta.
ah	aa	Aa, sasa ninaelewa.
airline	shirika la ndege	Shirika la ndege lina shughuli nyingi.
alive	hai	Samaki mdogo yuko hai.
all right	sawa; vizuri	Kila kitu kiko sawa sasa.
allow	kuruhusu	Wanaruhusu mbwa hapa.
almost	karibu	Tuko karibu tayari.
alone	peke yake	Anaishi peke yake.
along	kando ya	Tembea kando ya barabara hii.
already	tayari	Tayari najua jibu.
alternative	chaguo jingine	Treni hii ni chaguo jingine.
although	ingawa	Ingawa ni kuchelewa, tunaweza kubaki.
among	kati ya	Alisimama kati ya miti.
amount	kiasi	Kiasi ni kidogo sana.
ancient	ya kale	Ukuta huu wa kale ni maarufu.
ankle	kifundo cha mguu	Kifundo cha mguu wangu kinauma leo.
anybody	mtu yeyote	Je, mtu yeyote anaweza kujibu hili?
any more	tena; zaidi	Sihitaji zaidi.
anyway	hata hivyo	Hata hivyo, tunaweza kuanza sasa.
anywhere	mahali popote	Kaa mahali popote unapopenda.
app	programu	Programu hii ni muhimu.
appear	kuonekana	Jina lake litaonekana hapa.
appearance	mwonekano	Mwonekano wake ni tofauti.
apply	kuomba	Omba kazi leo.
architect	mbunifu wa majengo	Mbunifu wa majengo ana mpango.
architecture	usanifu wa majengo	Napenda usanifu wa kisasa wa majengo.
argue	kubishana	Usibishane na dada yako.
argument	mabishano	Mabishano yalikuwa mafupi.
army	jeshi	Jeshi ni kubwa.
arrange	kupanga	Tafadhali panga mkutano.
arrangement	mpangilio; makubaliano	Mpangilio huu unafanya kazi vizuri.
asleep	amelala	Mtoto amelala.
assistant	msaidizi	Msaidizi alinisaidia.
athlete	mwanariadha	Mwanariadha anakimbia haraka.
attack	shambulio; kushambulia	Mbwa anaweza kushambulia.
attend	kuhudhuria	Ninahudhuria darasa leo.
attention	umakini	Tafadhali sikiliza kwa makini sasa.
attractive	ya kuvutia	Bustani inavutia.
audience	hadhira	Hadhira ilikuwa kimya.
author	mwandishi	Mwandishi aliandika kitabu hiki.
available	inapatikana	Chakula kinapatikana sasa.
average	wastani	Alama ya wastani ilikuwa nzuri.
avoid	kuepuka	Epuka barabara yenye shughuli nyingi.
award	tuzo	Alishinda tuzo.
awful	mbaya sana	Hali ya hewa ilikuwa mbaya sana.
background	mandharinyuma	Picha ina mandharinyuma meusi.
badly	vibaya	Alicheza vibaya leo.
bar	baa	Tulikutana kwenye baa ya hoteli.
baseball	mpira wa besiboli	Besiboli inapendwa hapa.
based	-msingi wa	Filamu inategemea kitabu.
basketball	mpira wa kikapu	Tunacheza mpira wa kikapu baada ya shule.
bean	haragwe	Haragwe hili ni la kijani.
bear (animal)	dubu	Dubu anaishi msituni.
beat	kushinda	Timu yetu inaweza kuwashinda.
beef	nyama ya ngombe	Nilikula nyama ya ngombe kwa chakula cha jioni.
behave	kujiendesha	Tafadhali jiendeshe vizuri darasani.
behaviour	tabia	Tabia yake ilikuwa ya adabu.
belong	kuwa mali ya	Viatu hivi ni vyangu.
belt	mkanda	Mkanda wake ni mweusi.
benefit	faida	Mazoezi yana faida ya kweli.
billion	bilioni	Bilioni ni namba kubwa sana.
bin	pipa la taka	Weka karatasi kwenye pipa la taka.
biology	biolojia	Biolojia ndiyo somo langu bora.
birth	kuzaliwa	Kuzaliwa kwake kulikuwa Mei.
biscuit	biskuti	Anakula biskuti.
bit	kidogo	Ninahitaji muda kidogo zaidi.
blank	nafasi tupu	Andika jina lako kwenye nafasi tupu.
blood	damu	Damu ni nyekundu.
blow	kuvuma	Upepo unaweza kuvuma kwa nguvu.
board	ubao	Andika hilo kwenye ubao.
boil	kuchemsha	Chemsha maji kwanza.
bone	mfupa	Mbwa ana mfupa.
borrow	kuazima	Naweza kuazima kalamu yako?
boss	bosi	Bosi wangu ni rafiki.
bottom	chini	Saini chini.
bowl	bakuli	Bakuli limejaa.
brain	ubongo	Ubongo wako unahitaji kupumzika.
bridge	daraja	Daraja ni la zamani.
bright	angavu	Chumba ni angavu.
brilliant	bora sana; akili sana	Wazo hilo ni bora sana.
