source_headword	KN	example_KN
abandon	ತ್ಯಜಿಸು	ಅವರು ನಿನ್ನೆ ಯೋಜನೆಯನ್ನು ತ್ಯಜಿಸಿದರು.
absolute	ಸಂಪೂರ್ಣ	ನಮಗೆ ಇಲ್ಲಿ ಸಂಪೂರ್ಣ ಪ್ರಾಮಾಣಿಕತೆಯ ಅಗತ್ಯವಿದೆ.
acceptable	ಸ್ವೀಕಾರಾರ್ಹ	ಅವನ ಉತ್ತರ ಸ್ವೀಕಾರಾರ್ಹವಾಗಿತ್ತು.
accompany	ಜೊತೆಗೊಯ್ಯು	ಅವಳ ಸಹೋದರ ಅವಳೊಂದಿಗೆ ಮನೆಗೆ ಹೋದನು.
accurate	ನಿಖರವಾದ	ವರದಿಯು ನಿಖರವಾಗಿದೆ ಎಂದು ತೋರುತ್ತದೆ.
accuse	ಆರೋಪಿಸು	ಅವರು ಅವನ ಮೇಲೆ ಸುಳ್ಳು ಹೇಳಿದ ಆರೋಪ ಮಾಡಿದರು.
acknowledge	ಒಪ್ಪಿಕೊಳ್ಳು	ದಯವಿಟ್ಟು ತಪ್ಪನ್ನು ಒಪ್ಪಿಕೊಳ್ಳಿ.
acquire	ಪಡೆದುಕೊಳ್ಳು	ಅವಳು ಹೊಸ ಕೌಶಲ್ಯಗಳನ್ನು ತ್ವರಿತವಾಗಿ ಪಡೆದುಕೊಂಡಳು.
actual	ನೈಜ	ನೈಜ ವೆಚ್ಚವು ಕಡಿಮೆಯಾಗಿತ್ತು.
adapt	ಹೊಂದಿಕೊಳ್ಳು	ನಾವು ಬದಲಾವಣೆಗೆ ಹೊಂದಿಕೊಂಡೆವು.
additional	ಹೆಚ್ಚುವರಿ	ಇಂದು ಹೆಚ್ಚುವರಿ ಸಹಾಯ ಬಂದಿತು.
administration	ಆಡಳಿತ	ಆಡಳಿತವು ನೀತಿಯನ್ನು ಬದಲಾಯಿಸಿತು.
adopt	ಅಳವಡಿಸಿಕೊ	ಅವರು ಹೊಸ ವಿಧಾನವನ್ನು ಅಳವಡಿಸಿಕೊಂಡರು.
advance	ಪ್ರಗತಿ	ನಾವು ಸ್ವಲ್ಪ ಪ್ರಗತಿಯನ್ನು ಸಾಧಿಸಿದೆವು.
affair	ಪ್ರಕರಣ	ಈ ಪ್ರಕರಣವು ಸಾರ್ವಜನಿಕರ ನಂಬಿಕೆಯನ್ನು ಹಾಳುಮಾಡಿತು.
afterwards	ಆಮೇಲೆ	ಆಮೇಲೆ, ಎಲ್ಲರೂ ಶಾಂತವಾಗಿರುವಂತೆ ಅನಿಸಿತು.
agency	ಸಂಸ್ಥೆ	ಸಂಸ್ಥೆಯು ಮೂವರು ಅನುವಾದಕರನ್ನು ನೇಮಿಸಿಕೊಂಡಿತು.
agenda	ಕಾರ್ಯಸೂಚಿ	ಸುರಕ್ಷತೆಯು ಕಾರ್ಯಸೂಚಿಯಲ್ಲಿದೆ.
aggressive	ಆಕ್ರಮಣಕಾರಿ	ಅವನ ದನಿ ಆಕ್ರಮಣಕಾರಿಯಾಗಿ ಕೇಳಿಸಿತು.
aid	ನೆರವು	ವೈದ್ಯಕೀಯ ನೆರವು ತ್ವರಿತವಾಗಿ ಬಂದಿತು.
aircraft	ವಿಮಾನ	ವಿಮಾನವು ಸುರಕ್ಷಿತವಾಗಿ ಇಳಿಯಿತು.
alter	ಬದಲಾಯಿಸು	ಒಪ್ಪಂದವನ್ನು ಬದಲಾಯಿಸಬೇಡಿ.
anger	ಕೋಪ	ಅವನ ಕೋಪವು ಎಲ್ಲರಿಗೂ ಆಶ್ಚರ್ಯವನ್ನುಂಟು ಮಾಡಿತು.
angle	ಕೋನ	ಮತ್ತೊಂದು ಕ್ಯಾಮೆರಾ ಕೋನವನ್ನು ಪ್ರಯತ್ನಿಸಿ.
anniversary	ವಾರ್ಷಿಕೋತ್ಸವ	ನಾಳೆ ಅವರ ವಾರ್ಷಿಕೋತ್ಸವ.
annual	ವಾರ್ಷಿಕ	ವಾರ್ಷಿಕ ಸಭೆಯು ಸೋಮವಾರ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ.
anxious	ಆತಂಕಗೊಂಡ	ಶಸ್ತ್ರಚಿಕಿತ್ಸೆಯ ಮೊದಲು ಅವಳು ಆತಂಕಗೊಂಡಿದ್ದಳು.
apparent	ಸ್ಪಷ್ಟವಾದ	ಅವನ ನಿರಾಶೆಯು ಸ್ಪಷ್ಟವಾಗಿತ್ತು.
apparently	ಮೇಲ್ನೋಟಕ್ಕೆ	ಮೇಲ್ನೋಟಕ್ಕೆ, ರೈಲು ತಡವಾಗಿದೆ.
appeal	ಮೇಲ್ಮನವಿ	ನಿರ್ಧಾರವು ಮೇಲ್ಮನವಿಯನ್ನು ಎದುರಿಸಬಹುದು.
approach	ವಿಧಾನ	ಅವಳ ವಿಧಾನವು ಸಮಸ್ಯೆಯನ್ನು ಪರಿಹರಿಸಿತು.
appropriate	ಸೂಕ್ತವಾದ	ಸೂಕ್ತವಾದ ಪ್ರತಿಕ್ರಿಯೆಯನ್ನು ಆರಿಸಿ.
approval	ಅನುಮೋದನೆ	ಯೋಜನೆಗೆ ಅನುಮೋದನೆಯ ಅಗತ್ಯವಿದೆ.
approve	ಅನುಮೋದಿಸು	ಮಂಡಳಿಯು ಬಜೆಟ್ ಅನ್ನು ಅನುಮೋದಿಸಿತು.
arise	ಉದ್ಭವಿಸು	ನಂತರ ಸಮಸ್ಯೆಗಳು ಉದ್ಭವಿಸಬಹುದು.
armed	ಶಸ್ತ್ರಸಜ್ಜಿತ	ಶಸ್ತ್ರಸಜ್ಜಿತ ಕಾವಲುಗಾರರು ಹೊರಗೆ ನಿಂತಿದ್ದರು.
arms	ಶಸ್ತ್ರಾಸ್ತ್ರಗಳು	ಅವರು ತಮ್ಮ ಶಸ್ತ್ರಾಸ್ತ್ರಗಳನ್ನು ಕೆಳಗಿಟ್ಟರು.
artificial	ಕೃತಕ	ಹೂವುಗಳು ಕೃತಕವಾಗಿ ಕಾಣುತ್ತಿದ್ದವು.
artistic	ಕಲಾತ್ಮಕ	ಅವಳಿಗೆ ಕಲಾತ್ಮಕ ಪ್ರತಿಭೆಯಿದೆ.
ashamed	ನಾಚಿಕೆಗೀಡಾದ	ಆಮೇಲೆ ಅವನಿಗೆ ನಾಚಿಕೆಯಾಯಿತು.
aspect	ಅಂಶ	ಪ್ರತಿಯೊಂದು ಅಂಶವನ್ನು ಎಚ್ಚರಿಕೆಯಿಂದ ಪರಿಗಣಿಸಿ.
assess	ಮೌಲ್ಯಮಾಪನ ಮಾಡು	ನಾವು ಹಾನಿಯನ್ನು ಮೌಲ್ಯಮಾಪನ ಮಾಡಬೇಕು.
assessment	ಮೌಲ್ಯಮಾಪನ	ಮೌಲ್ಯಮಾಪನವು ಎರಡು ಗಂಟೆ ತೆಗೆದುಕೊಂಡಿತು.
associate	ಸಂಬಂಧ ಕಲ್ಪಿಸು	ಜನರು ಹೊಗೆಯನ್ನು ಅಪಾಯದೊಂದಿಗೆ ಸಂಬಂಧ ಕಲ್ಪಿಸುತ್ತಾರೆ.
associated	ಸಂಬಂಧಿತ	ಒತ್ತಡವು ಕಾಯಿಲೆಗೆ ಸಂಬಂಧಿಸಿದೆ.
association	ಸಂಘ	ಸಂಘವು ಯುವ ಕಲಾವಿದರನ್ನು ಬೆಂಬಲಿಸುತ್ತದೆ.
assume	ಊಹಿಸು	ನೀವು ಒಪ್ಪುತ್ತೀರಿ ಎಂದು ನಾನು ಊಹಿಸುತ್ತೇನೆ.
attempt	ಪ್ರಯತ್ನ	ಅವನ ಮೊದಲ ಪ್ರಯತ್ನ ವಿಫಲವಾಯಿತು.
bacteria	ಬ್ಯಾಕ್ಟೀರಿಯಾ	ಬ್ಯಾಕ್ಟೀರಿಯಾವು ತ್ವರಿತವಾಗಿ ಹರಡಬಹುದು.
barrier	ತಡೆ	ಭಾಷೆ ಒಂದು ತಡೆಯಾಗಿತ್ತು.
basically	ಮೂಲತಃ	ಮೂಲತಃ, ನಮಗೆ ಹೆಚ್ಚಿನ ಸಮಯ ಬೇಕು.
bear (deal with)	ಸಹಿಸು	ನನಗೆ ಈ ಶಬ್ದವನ್ನು ಸಹಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ.
beg	ಬೇಡು	ದಯವಿಟ್ಟು ಸಹಾಯಕ್ಕಾಗಿ ಬೇಡಿ.
being	ಜೀವಿ	ಪ್ರತಿಯೊಂದು ಜೀವಿಗೂ ನೀರು ಬೇಕು.
bent	ಬಾಗಿದ	ಲೋಹದ ಕಡ್ಡಿ ಬಾಗಿತ್ತು.
bet	ಪಣ	ಅವನಿಗೆ ತಿಳಿದಿದೆ ಎಂದು ನಾನು ಪಣಕಟ್ಟುತ್ತೇನೆ.
beyond	ಆಚೆ	ನದಿಯ ಆಚೆ ಗ್ರಾಮವಿದೆ.
bitter	ಕಹಿ	ಔಷಧಿಯು ಕಹಿಯಾಗಿತ್ತು.
blame	ದೂಷಿಸು	ಚಾಲಕನನ್ನು ದೂಷಿಸಬೇಡಿ.
blind	ಕುರುಡು	ಅವನು ಸಣ್ಣ ವಯಸ್ಸಿನಲ್ಲೇ ಕುರುಡನಾದನು.
bond	ಬಂಧ	ನಂಬಿಕೆಯು ಬಲವಾದ ಬಂಧವನ್ನು ಸೃಷ್ಟಿಸುತ್ತದೆ.
breast	ಸ್ತನ	ಅವಳಿಗೆ ತನ್ನ ಸ್ತನದಲ್ಲಿ ನೋವು ಕಾಣಿಸಿಕೊಂಡಿತು.
brief	ಸಂಕ್ಷಿಪ್ತ	ನಿಮ್ಮ ಉತ್ತರವನ್ನು ಸಂಕ್ಷಿಪ್ತವಾಗಿರಿಸಿ.
broad	ವಿಶಾಲ	ಇಲ್ಲಿ ನದಿ ವಿಶಾಲವಾಗಿದೆ.
broadcast	ಪ್ರಸಾರ ಮಾಡು	ಭಾಷಣವನ್ನು ನೇರಪ್ರಸಾರ ಮಾಡಲಾಯಿತು.
