hsk_key	source_word	simplified	PT-BR	example_PT-BR	ES-419	example_ES-419
503:爱人	爱人	爱人	o cônjuge; a pessoa querida	O meu cônjuge está a fazer horas extra hoje.	el cónyuge; el ser querido	Mi cónyuge trabaja horas extra hoy.
508:班级	班级	班级	a turma; a classe	Na nossa turma há trinta estudantes.	la clase; el grupo de clase	En nuestra clase hay treinta estudiantes.
509:搬家	搬家	搬家	mudar de casa	Vamos mudar de casa este fim de semana.	mudarse	Nos mudamos este fin de semana.
510:办	办	办	tratar; pedir	Vou ao banco esta tarde para pedir um cartão bancário.	gestionar; tramitar	Esta tarde voy al banco a tramitar una tarjeta bancaria.
513:半天	半天	半天	meio dia; muito tempo	Esperei muito tempo até ele chegar.	medio día; mucho rato	Esperé mucho rato antes de que él llegara.
517:北	北	北	o norte	Há um parque a norte da escola.	el norte	Hay un parque al norte de la escuela.
520:笔记	笔记	笔记	as notas; os apontamentos	Ele tira apontamentos com atenção na aula.	los apuntes; las notas	Él toma apuntes con atención en clase.
526:变	变	变	mudar; ficar	O tempo ficou frio.	cambiar	El tiempo se ha vuelto frío.
528:变成	变成	变成	transformar-se em; tornar-se	A chuva transformou-se em neve.	convertirse en; transformarse en	La lluvia se convirtió en nieve.
531:别的	别的	别的	outro; diferente	Tens outras perguntas?	otro; diferente	¿Tienes otras preguntas?
533:宾馆	宾馆	宾馆	o hotel	Ficamos num hotel perto do aeroporto.	el hotel	Nos alojamos en un hotel cerca del aeropuerto.
534:冰	冰	冰	o gelo	Há gelo no copo.	el hielo	Hay hielo en el vaso.
537:病人	病人	病人	o paciente; o doente	O médico está a atender um paciente.	el paciente; el enfermo	El médico está viendo a un paciente.
538:不但	不但	不但	não só; não apenas	Ele não só fala chinês, como também inglês.	no solo	Él no solo habla chino, sino también inglés.
539:不见	不见	不见	não ver; desaparecer	Há muito tempo que não nos vemos. Como tens estado ultimamente?	no ver; desaparecer	Hace mucho que no nos vemos. ¿Cómo has estado últimamente?
540:不用	不用	不用	não ser preciso; não usar	Não precisas de esperar por mim.	no hace falta; no usar	No hace falta que me esperes.
541:不同	不同	不同	diferente	Temos ideias diferentes.	diferente	Tenemos ideas diferentes.
542:不久	不久	不久	pouco depois; em breve	Pouco depois, ele mudou-se para Xangai.	poco después; pronto	Poco después, él se mudó a Shanghái.
543:不行	不行	不行	não dá; não ser possível	Hoje não dá. Tenho aula.	no va; no se puede	Hoy no se puede. Tengo clase.
544:才1	才1	才	só então; apenas	Ele só chegou a casa às dez horas.	solo entonces; no antes de	Él no llegó a casa hasta las diez.
548:草地	草地	草地	a relva; o gramado	As crianças brincam na relva.	el césped; la hierba	Los niños juegan sobre el césped.
550:查	查	查	verificar; consultar	Quero verificar o preço do bilhete.	consultar; comprobar	Quiero comprobar el precio del billete.
554:常	常	常	com frequência; muitas vezes	Ele vai muitas vezes àquela livraria.	a menudo	Él va a menudo a esa librería.
555:常见	常见	常见	comum; frequente	Esta é uma pergunta comum.	común; frecuente	Esta es una pregunta común.
556:常用	常用	常用	de uso comum	O telemóvel é uma ferramenta de uso comum.	de uso común	El teléfono móvil es una herramienta de uso común.
557:常常	常常	常常	muitas vezes; frequentemente	Leio muitas vezes à noite.	a menudo; frecuentemente	A menudo leo por la noche.
564:出院	出院	出院	ter alta do hospital	Ele pode ter alta do hospital hoje.	salir del hospital	Él puede salir del hospital hoy.
565:初中	初中	初中	o ensino básico; a escola preparatória	A minha irmã mais nova estuda no ensino básico.	la escuela secundaria básica	Mi hermana menor estudia en la escuela secundaria básica.
568:春天	春天	春天	a primavera	A primavera chegou e as flores abriram.	la primavera	Ha llegado la primavera y las flores se han abierto.
574:大人	大人	大人	o adulto	Os adultos conversam na sala de estar.	el adulto	Los adultos charlan en la sala.
575:大小	大小	大小	o tamanho	Estas duas peças de roupa têm o mesmo tamanho.	el tamaño	Estas dos prendas son del mismo tamaño.
576:大熊猫	大熊猫	大熊猫	o panda-gigante	O panda-gigante está a comer bambu.	el panda gigante	El panda gigante está comiendo bambú.
577:大衣	大衣	大衣	o sobretudo	Está frio, por isso visto um sobretudo.	el abrigo	Hace frío, así que me pongo un abrigo.
583:得	得	得	obter; ganhar	Ele estudou muito e finalmente obteve uma pontuação alta.	obtener; ganar	Él estudió mucho y al final obtuvo una nota alta.
584:得到	得到	得到	obter; receber	Recebi ajuda do meu professor.	obtener; recibir	Recibí ayuda de mi profesor.
585:得分	得分	得分	pontuar; pontuação	Ele marcou a maior pontuação neste jogo.	anotar; puntuación	Él obtuvo la puntuación más alta en este partido.
586:的话	的话	的话	se; nesse caso	Se tiveres tempo, vamos juntos.	si; en ese caso	Si tienes tiempo, vayamos juntos.
589:地	地	地	a terra; o terreno	Neste terreno é possível cultivar legumes.	la tierra; el terreno	En este terreno se pueden cultivar verduras.
593:电	电	电	a eletricidade	Não há eletricidade no quarto.	la electricidad	No hay electricidad en la habitación.
595:电子书	电子书	电子书	o livro digital	Leio livros digitais no telemóvel.	el libro electrónico	Leo libros electrónicos en el teléfono.
598:东北	东北	东北	o nordeste	A minha casa fica no nordeste da cidade.	el noreste	Mi casa está en el noreste de la ciudad.
599:东方	东方	东方	o oriente; o leste	O sol nasce a leste.	el este; Oriente	El sol sale por el este.
600:东南	东南	东南	o sudeste	A escola fica no sudeste da cidade.	el sureste	La escuela está en el sureste de la ciudad.
