simplified	JA	example_JA
哎	ねえ; あれ	ねえ、どうして来たのですか。
唉	はあ; ため息	はあ、また遅刻してしまいました。
爱护	大切にする; 守る	私たちは環境を大切にしなければなりません。
爱惜	大切にする; 惜しむ	自分の時間を大切にしてください。
爱心	思いやり; 愛情	彼女はとても思いやりがあります。
安慰	慰める	友人が私を慰めてくれました。
安装	取り付ける; インストールする	作業員がエアコンを取り付けています。
岸	岸; 岸辺	船はゆっくり岸に近づいています。
暗	暗い	部屋の中はとても暗いです。
熬夜	夜更かしする; 徹夜する	夜更かしは体によくありません。
把握	自信; 把握する	このことをうまくやれる自信がありません。
摆	並べる; 置く	椅子をきちんと並べてください。
办理	手続きする; 処理する	銀行へ用事の手続きに行きます。
傍晚	夕方	夕方、私たちは散歩に行きます。
包裹	荷物; 小包	私は小包を一つ受け取りました。
包含	含む	料金には朝食が含まれています。
包括	含む; 含める	費用には昼食が含まれています。
薄	薄い	この本はとても薄いです。
保持	保つ; 維持する	静かにしてください。
保存	保存する	このファイルを保存してください。
保留	取っておく; 保留する	私のために席を一つ取っておいてください。
保险	保険; 安全な	私は旅行保険を買いました。
宝贝	宝物; 大切な人	これは私の宝物です。
宝贵	貴重な	時間はとても貴重です。
报到	到着を報告する; 登録する	新入生は今日学校に来て登録します。
报道	報道する; 報道	ニュースはこの件を報道しました。
报告	報告; 報告する	彼は今、報告をしています。
报社	新聞社	彼女は新聞社で働いています。
抱怨	不平を言う; 文句を言う	彼はいつも仕事が多すぎると文句を言っています。
悲观	悲観的な	あまり悲観的にならないでください。
背	背中; 背を向ける	彼はドアに背を向けて座っています。
背景	背景; 経歴	あなたの経歴を少し紹介してください。
被子	掛け布団	掛け布団はとても暖かいです。
本科	学部課程; 学部	彼は学部生です。
本领	技能; 能力	彼は新しい技能を身につけました。
本质	本質	問題の本質はとても簡単です。
彼此	互いに	私たちは互いに尊重すべきです。
比例	比率; 割合	男女の比率はほぼ同じです。
必然	必然的な; きっと	努力すれば必ず結果が出ます。
必要	必要な	心配する必要はありません。
