source_headword	RO	example_RO
absolutely	absolut	Sunt absolut de acord cu tine.
academic	academic	Anul academic începe în septembrie.
access	acces	Studenții au nevoie de acces la bibliotecă.
accommodation	cazare	Am rezervat cazare lângă gară.
account	un cont	Ea a deschis un cont bancar nou.
achievement	o realizare	Finalizarea cursului a fost o mare realizare.
ad	o reclamă	Reclama arăta un telefon nou.
addition	un adaos	Piscina este un adaos util.
admire	a admira	Admir atitudinea ei calmă.
admit	a recunoaște	A recunoscut greșeala.
advanced	avansat	Acesta este un curs avansat de engleză.
advise	a sfătui	Medicii sfătuiesc mișcarea regulată.
afford	a-și permite	Nu ne putem permite un taxi.
aged	în vârstă de	Cursul este pentru copii în vârstă de zece ani.
agent	un agent	Agentul de turism ne-a schimbat biletele.
agreement	un acord	Au ajuns la un acord astăzi.
ahead	înainte	Drumul din față este liber.
aim	a urmări	Urmărim să terminăm curând.
alarm	o alarmă	Alarma a sunat la șase.
album	un album	Acest album are zece cântece.
alcohol	alcool	Hotelul nu servește alcool.
alcoholic	alcoolic	Această băutură nu este alcoolică.
amazed	uimit	A fost uimită de rezultat.
ambition	o ambiție	Ambiția lui este să devină pilot.
ambitious	ambițios	Are un plan ambițios.
analyse	a analiza	Trebuie să analizăm rezultatele.
analysis	o analiză	Analiza ei a fost clară și atentă.
announce	a anunța	Vor anunța câștigătorul mâine.
announcement	un anunț	Anunțul i-a surprins pe toți.
annoy	a enerva	Muzica tare îi poate enerva pe vecini.
annoyed	enervat	Părea enervat după întârziere.
annoying	enervant	Sunetul acela este chiar enervant.
apart	departe unul de altul	Casele sunt la doi metri una de alta.
apologize	a-și cere scuze	Îmi cer scuze pentru întârziere.
application	o cerere	Completează cererea online.
appointment	o programare	Mâine am o programare la dentist.
appreciate	a aprecia	Apreciez ajutorul tău.
approximately	aproximativ	Plimbarea durează aproximativ douăzeci de minute.
arrest	a aresta	Poliția a arestat șoferul.
arrival	o sosire	Sosirea noastră a fost mai târzie decât se aștepta.
assignment	o temă	Tema trebuie predată vineri.
assist	a ajuta	Asistentele îl ajută pe doctor.
atmosphere	o atmosferă	Cafeneaua are o atmosferă relaxată.
attach	a atașa	Atașează fișierul la e-mailul tău.
attitude	o atitudine	Atitudinea ei s-a schimbat după întâlnire.
attract	a atrage	Florile viu colorate atrag albinele.
attraction	o atracție	Castelul este o atracție populară.
authority	o autoritate	Autoritatea locală a reparat drumul.
aware	conștient	Este conștientă de risc.
backwards	înapoi	A mers cu grijă înapoi.
bake	a coace	Coc pâine în fiecare duminică.
balance	un echilibru	Pantofii buni ajută la păstrarea echilibrului.
ban	a interzice	Orașul va interzice mașinile.
bank (river)	un mal	Am stat pe malul râului.
base	o bază	Echipa s-a întors la bază.
basic	de bază	Toată lumea are nevoie de abilități de bază la calculator.
basis	o bază	Încrederea este baza prieteniei.
battery	o baterie	Bateria telefonului meu este slabă.
battle	o bătălie	Bătălia a durat toată noaptea.
beauty	frumusețe	Am admirat frumusețea munților.
bee	o albină	O albină a aterizat pe floare.
belief	o credință	Credința lui i-a dat curaj.
bell	un clopoțel	Clopoțelul școlii a sunat tare.
bend	a îndoi	Îndoaie genunchii când ridici.
bite	a mușca	Câinele poate mușca străinii.
block	a bloca	Copacul căzut a blocat drumul.
bomb	o bombă	Bomba a avariat mai multe clădiri.
border	o graniță	Au trecut granița noaptea.
bother	a deranja	Te rog, nu o deranja pe sora ta.
branch	o ramură	O ramură s-a rupt în furtună.
brand	o marcă	Această marcă este populară printre studenți.
brave	curajos	Bărbatul curajos a salvat copilul.
breath	o respirație	Trage o respirație adâncă.
breathe	a respira	Nu pot respira în fumul acesta.
breathing	respirație	Respirația ei era lentă.
bride	o mireasă	Mireasa purta o rochie albă.
bubble	o bulă	O bulă plutea deasupra paharului.
bury	a îngropa	Au îngropat cutia în nisip.
calm	calm	Rămâi calm în timpul examenului.
campaign	o campanie	Campania a strâns bani pentru școli.
campus	un campus	Studenții locuiesc lângă campus.
candidate	un candidat	Fiecare candidat a răspuns la trei întrebări.
cap	o șapcă	Purta o șapcă de baseball.
captain	un căpitan	Căpitanul a vorbit cu echipa.
careless	neatent	O greșeală neatentă ne-a costat timp.
category	o categorie	Alege categoria corectă.
ceiling	un tavan	Tavanul a fost vopsit în alb.
celebration	o sărbătoare	Sărbătoarea a durat toată seara.
central	central	Hotelul are o poziție centrală.
ceremony	o ceremonie	Ceremonia a început la prânz.
chain	un lanț	Purta un lanț de argint.
challenge	o provocare	Acest proiect este o adevărată provocare.
champion	un campion	Campioana i-a mulțumit antrenorului.
channel	un canal	Schimbă canalul, te rog.
chapter	un capitol	Citește capitolul următor diseară.
charge	o taxă	Nu există taxă pentru copii.
cheat	a trișa	Nu trișa la test.
cheerful	vesel	Azi dimineață părea veselă.
chemical	chimic	Mirosul chimic era puternic.
chest	un piept	După alergare îl durea pieptul.
childhood	o copilărie	Îmi amintesc casa din copilărie.
claim	a afirma	Ei afirmă că produsul este sigur.
clause	o clauză	Această clauză schimbă sensul.
click	a da clic	Dă clic pe butonul albastru.
client	un client	Clientul a cerut mai multe detalii.
cloth	o cârpă	Șterge masa cu această cârpă.
clue	un indiciu	Indiciul ne-a ajutat să rezolvăm problema.
coal	cărbune	Trenul vechi folosea cărbune.
coin	o monedă	A găsit o monedă pe podea.
collection	o colecție	Colecția ei de timbre este mare.
coloured	colorat	Purta o eșarfă colorată.
combine	a combina	Combină făina cu apa.
commercial	publicitar	Pauza publicitară a durat cinci minute.
commit	a se angaja	Trebuie să ne angajăm față de plan.
communication	comunicare	Comunicarea bună previne greșelile.
comparison	o comparație	Această comparație este utilă.
competitive	competitiv	Piața este foarte competitivă.
competitor	un concurent	Concurentul nostru principal a redus prețurile.
complaint	o plângere	A făcut o plângere din cauza zgomotului.
complex	complex	Instrucțiunile sunt prea complexe.
concentrate	a se concentra	Nu mă pot concentra când se aude muzică.
conclude	a încheia	Vom încheia întâlnirea acum.
conclusion	o concluzie	Concluzia lui părea rezonabilă.
confident	încrezător	Se simțea încrezătoare înainte de interviu.
confirm	a confirma	Te rog să confirmi adresa de e-mail.
confuse	a deruta	Cele două nume mă derutează.
confused	confuz	M-am simțit confuz din cauza hărții.
connection	o conexiune	Conexiunea la internet este lentă.
consequence	o consecință	Lipsa somnului are consecințe.
consist	a consta	Masa constă din trei feluri.
consume	a consuma	Mașinile mari consumă mai mult combustibil.
consumer	un consumator	Consumatorul vrea informații clare.
contact	a contacta	Contactează-mă după prânz.
container	un recipient	Pune supa într-un recipient.
content1	conținut	Conținutul cursului este util.
continuous	continuu	Mașina făcea un zgomot continuu.
contrast	un contrast	Contrastul dintre ele este clar.
convenient	convenabil	Gara este foarte convenabilă.
convince	a convinge	A convins-o să încerce din nou.
costume	un costum	Purta un costum de pirat.
cottage	o cabană	Au închiriat o cabană mică.
cotton	bumbac	Cămașa aceasta este din bumbac.
countryside	zonă rurală	Ne-am plimbat prin zona rurală.
court	o instanță	Cazul a ajuns în instanță.
covered	acoperit	Masa era acoperită cu hârtii.
cruel	crud	A fost crud să râzi.
cultural	cultural	Muzeul oferă evenimente culturale.
currency	o monedă	Moneda locală este euro.
current	actual	Situația actuală este dificilă.
currently	în prezent	În prezent studiază în străinătate.
curtain	o perdea	Trage perdeaua noaptea.
custom	un obicei	Acest obicei este foarte vechi.
damage	o pagubă	Furtuna a provocat o pagubă serioasă.
decade	un deceniu	Au locuit acolo un deceniu.
decorate	a decora	Decorăm camera împreună.
define	a defini	Poți defini acest termen?
definite	clar	Avem nevoie de un răspuns clar.
definition	o definiție	Scrie definiția în caiet.
deliver	a livra	Livrează mâncare la domiciliu.
departure	o plecare	Ora plecării s-a schimbat.
despite	în ciuda	În ciuda ploii, am mers pe jos.
