source_headword	KA	example_KA
absolutely	სრულიად	მე თქვენთან სრულიად ვეთანხმები.
academic	აკადემიური	აკადემიური წელი სექტემბერში იწყება.
access	წვდომა	სტუდენტებს ბიბლიოთეკაზე წვდომა სჭირდებათ.
accommodation	საცხოვრებელი	ჩვენ სადგურთან ახლოს საცხოვრებელი ვიპოვეთ.
account	საბანკო ანგარიში	მან ახალი საბანკო ანგარიში გახსნა.
achievement	მიღწევა	კურსის დასრულება დიდი მიღწევა იყო.
ad	რეკლამა	რეკლამამ ახალი ტელეფონი აჩვენა.
addition	დამატება	ახალი ოთახი სასარგებლო დამატება იყო.
admire	აღფრთოვანება	მე მისი მშვიდი ქცევით აღფრთოვანებული ვარ.
admit	აღიარება	მან თავისი შეცდომა მაშინვე აღიარა.
advanced	მოწინავე	ეს მოწინავე ინგლისურის გაკვეთილია.
advise	რჩევის მიცემა	ექიმები რეგულარულ ვარჯიშს გვირჩევენ.
afford	შეძლება	ჩვენ ტაქსის გადახდა ვერ შევძელით.
aged	ასაკის	კურსი ათი წლის ასაკის ბავშვებისთვისაა.
agent	აგენტი	ტურისტულმა აგენტმა ჩვენი ბილეთები შეცვალა.
agreement	შეთანხმება	მათ დღეს შეთანხმებას მიაღწიეს.
ahead	წინ	წინ გზა ღიაა.
aim	მიზნად დასახვა	ჩვენ სამუშაოს სწრაფად დასრულებას ვისახავთ მიზნად.
alarm	მაღვიძარა	მაღვიძარა ექვს საათზე დარეკა.
album	ალბომი	ამ ალბომში ათი სიმღერაა.
alcohol	ალკოჰოლი	სასტუმრო ალკოჰოლს არ ყიდის.
alcoholic	ალკოჰოლური	ეს სასმელი ალკოჰოლური არ არის.
amazed	გაოცებული	ის შედეგით ძალიან გაოცებული იყო.
ambition	ამბიცია	მისი ამბიცია პილოტობაა.
ambitious	ამბიციური	მას ამბიციური გეგმა აქვს.
analyse	ანალიზი	ჩვენ შედეგების ანალიზი უნდა გავაკეთოთ.
analysis	ანალიზი	მისი ანალიზი ნათელი იყო.
announce	გამოცხადება	ისინი გამარჯვებულს ხვალ გამოაცხადებენ.
announcement	განცხადება	განცხადებამ ყველა გააკვირვა.
annoy	გაღიზიანება	ეს ხმაური მეზობლებს აღიზიანებს.
annoyed	გაღიზიანებული	ის გრძელი რიგის გამო გაღიზიანებული იყო.
annoying	გამაღიზიანებელი	ეს ხმა ძალიან გამაღიზიანებელია.
apart	ცალცალკე	ორი სახლი ერთმანეთისგან ცალცალკე დგას.
apologize	ბოდიშის მოხდა	მან დაგვიანებისთვის ბოდიში მოიხადა.
application	განაცხადი	განაცხადი დღეს გაგზავნე.
appointment	შეხვედრა	ექიმთან შეხვედრა შუადღესაა.
appreciate	დაფასება	ჩვენ შენს დახმარებას ძალიან ვაფასებთ.
approximately	დაახლოებით	მგზავრობა დაახლოებით ორ საათს გრძელდება.
arrest	დაკავება	პოლიციამ ეჭვმიტანილი დააკავა.
arrival	ჩამოსვლა	მატარებლის ჩამოსვლა დაგვიანდა.
assignment	დავალება	დავალება პარასკევამდე შეასრულე.
assist	დახმარება	მასწავლებელი ახალ მოსწავლეს დაეხმარა.
atmosphere	ატმოსფერო	კაფეს ატმოსფერო მყუდრო იყო.
attach	მიმაგრება	წერილს დოკუმენტი მიამაგრე.
attitude	დამოკიდებულება	მისი სამუშაოსადმი დამოკიდებულება დადებითია.
attract	მიზიდვა	ახალმა გამოფენამ ბევრი ადამიანი მიიზიდა.
attraction	ღირსშესანიშნაობა	ეს ქალაქის მთავარი ღირსშესანიშნაობაა.
authority	ხელისუფლება	ადგილობრივმა ხელისუფლებამ გზა დაკეტა.
aware	ინფორმირებული	ისინი საფრთხის შესახებ ინფორმირებულნი იყვნენ.
backwards	უკან	ის კარისკენ უკან დაიხია.
bake	გამოცხობა	დედამ დილით პური გამოაცხო.
balance	წონასწორობა	ველოსიპედზე წონასწორობა შეინარჩუნე.
ban	აკრძალვა	სკოლამ ტელეფონები აკრძალა.
bank (river)	მდინარის ნაპირი	ჩვენ მდინარის ნაპირზე ვისხედით.
base	საფუძველი	ამ გეგმას ძლიერი საფუძველი აქვს.
basic	ძირითადი	ძირითადი წესები გაიგე.
basis	საფუძველი	ეს გადაწყვეტილება ნდობის საფუძველზე მიიღეს.
battery	ბატარეა	ტელეფონის ბატარეა სწრაფად დაიცალა.
battle	ბრძოლა	ბრძოლა დიდხანს გაგრძელდა.
beauty	სილამაზე	მთის სილამაზე საოცარი იყო.
bee	ფუტკარი	ფუტკარი ყვავილზე დაჯდა.
belief	რწმენა	მისი საკუთარ ძალებში რწმენა გაიზარდა.
bell	ზარი	გაკვეთილის ზარი დაირეკა.
bend	მოხრა	ქაღალდი ზუსტად შუაში მოხარე.
bite	კბენა	ძაღლმა ბავშვი არ უკბინა.
block	კვარტალი	ჩვენ შემდეგ კვარტალამდე ვიარეთ.
bomb	ბომბი	ჯარისკაცებმა ძველი ბომბი იპოვეს.
border	საზღვარი	საზღვარი დილით გაიხსნა.
bother	შეწუხება	ახლა მას ნუ შეაწუხებ.
branch	ტოტი	ტოტი ქარმა გატეხა.
