source_headword	CS	example_CS
institute	institut	Institut otevřel nový výzkumný program.
institution	instituce	Instituce změnila pravidla pro přijetí.
insurance	pojištění	Její pojištění pokrylo náklady na nemocnici.
intended	zamýšlený	Zpráva se dostala k zamýšlenému publiku.
intense	intenzivní	Debata byla velmi rychle intenzivní.
internal	interní	Společnost zahájila interní kontrolu.
interpret	interpretovat	Interpretujte výsledky pečlivě.
interrupt	přerušit	Nyní mluvčího nepřerušujte.
investigation	vyšetřování	Vyšetřování odhalilo vážné chyby.
investment	investice	Investice vytvořila mnoho místních pracovních míst.
joy	radost	Jejich úspěch přinesl velkou radost.
judgement	úsudek	Jeho úsudek se s praxí zlepšil.
junior	mladší	Připojila se k týmu jako mladší analytička.
justice	spravedlnost	Rodina po soudu požadovala spravedlnost.
justify	odůvodnit	Toto rozhodnutí musíte jasně odůvodnit.
labour	pracovní síla	Projekt vyžaduje kvalifikovanou pracovní sílu.
landscape	krajina	Krajina se po bouři změnila.
largely	z velké části	Plán byl z velké části úspěšný.
launch	uvést na trh	Zítra produkt uvedou na trh.
leadership	vedení	Silné vedení pomohlo týmu se vzpamatovat.
league	liga	Náš klub vstoupil do regionální ligy.
lean	opírat se	Neopírejte se o mokrou zeď.
licence	licence	Licence vyprší příští měsíc.
limited	omezený	Dnes máme omezený čas.
lively	živý	Setkání začalo být po obědě velmi živé.
load	náklad	Nákladní auto vezlo těžký náklad.
loan	půjčka	Banka schválila půjčku.
logical	logický	Její argument byl jasný a logický.
long-term	dlouhodobý	Toto je dlouhodobé řešení.
loose	uvolněný	Rukojeť je uvolněná.
lord	pán	Pán vlastnil několik vesnic.
lower	snížit	Během zimy snižují ceny.
lung	plíce	Kouření může poškodit plíci.
maintain	udržovat	Udržujeme pravidelný kontakt.
majority	většina	Většina návrh podpořila.
mass	masa	Masa mraků pokryla oblohu.
massive	masivní	Zemětřesení způsobilo masivní škody.
master	mistr	Stala se mistryní ve vyjednávání.
matching	ladící	Měl na sobě ladící boty a pásek.
maximum	maximální	Místnost dosáhla maximální kapacity.
means	prostředek	E-mail je náš hlavní komunikační prostředek.
measurement	měření	Měření bylo mírně nepřesné.
melt	tát	Sníh do poledne roztaje.
military	vojenský	Vojenská základna byla loni uzavřena.
mineral	minerál	Železo je důležitý minerál.
minimum	minimální	Minimální věk je osmnáct let.
minister	ministr	Ministr zodpověděl složité otázky.
minor	menší	Nehoda způsobila menší škody.
minority	menšina	Menšina byla proti novému pravidlu.
mission	mise	Jejich mise skončila bezpečně.
mixed	smíšený	Zpráva se setkala se smíšenými reakcemi.
modify	upravit	Návrh můžeme upravit později.
monitor	sledovat	Zdravotní sestra bude sledovat jeho stav.
moral	morální	Příběh má morální ponaučení.
motor	motor	Motor se bez varování zastavil.
mount	namontovat	Kamery namontují poblíž vchodu.
multiple	několik	Zpoždění způsobilo několik faktorů.
multiply	vynásobit	Vynásobte to číslo deseti.
mysterious	záhadný	Venku se objevilo záhadné světlo.
neat	úhledný	Její stůl je vždy úhledný.
nerve	nerv	Zranění poškodilo nerv.
nevertheless	nicméně	Úkol byl těžký, nicméně jsme ho dokončili.
nightmare	noční můra	Cesta se stala noční můrou.
notion	představa	Odmítněte představu, že změna je nemožná.
numerous	četný	Tuto myšlenku podporují četné studie.
obey	dodržovat	Řidiči musí dodržovat značky.
objective	cíl	Naším cílem je snížit množství odpadu.
obligation	povinnost	Rodiče mají povinnost chránit děti.
observation	postřeh	Jeho postřeh změnil diskuzi.
observe	pozorovat	Vědci pozorují ptáky každé jaro.
obtain	získat	Musíte získat písemné povolení.
occasionally	občas	Občas pracuje z domova.
offence	urážka	Ten komentář způsobil vážnou urážku.
offend	urazit	Neměl jsem v úmyslu nikoho urazit.
offensive	urážlivý	Plakát obsahoval urážlivý jazyk.
opening	volné pracovní místo	Volné pracovní místo přilákalo mnoho uchazečů.
operate	fungovat	Stroj může fungovat automaticky.
opponent	oponent	Její oponent kritizoval politiku.
oppose	oponovat	Mnoho obyvatel se staví proti plánu.
opposed	protichůdný	Skupiny měly protichůdné názory.
opposition	odpor	Návrh čelil silnému odporu.
organ	orgán	Srdce je životně důležitý orgán.
origin	původ	Původ požáru je neznámý.
otherwise	jinak	Odejděte hned, jinak přijdete pozdě.
outcome	výsledek	Výsledek všechny překvapil.
outer	vnější	Vnější zeď potřebuje opravu.
outline	nastínit	Nastiňte prosím svůj hlavní argument.
overall	celkový	Celkový výsledek byl pozitivní.
owe	dlužit	Dlužím ti omluvu.
pace	tempo	Kráčejte stálým tempem.
panel	panel	Panel diskutoval o klimatické politice.
parliament	parlament	Parlament schválil nový zákon.
participant	účastník	Každý účastník podepsal formulář.
partly	částečně	Zpoždění byla částečně naše vina.
passage	pasáž	Před odpovědí si přečtěte pasáž.
pension1	důchod	Jeho důchod ho po odchodu do důchodu živí.
permanent	trvalý	Potřebují trvalé řešení.
permit	povolit	Pravidla povolují krátké návštěvy.
perspective	pohled	Zkuste to vidět z jejího pohledu.
phase	fáze	Projekt vstoupil do své závěrečné fáze.
phenomenon	fenomén	Tento jev se vyskytuje v mnoha kulturách.
philosophy	filozofie	Její filozofie si cení praktických činů.
pile	hromada	Stůl pokrývala hromada papírů.
pitch	hřiště	Tým hřiště pečlivě připravil.
plain	jasný	Pokyny byly jasné a přímé.
pointed	trefný	Udělal ostrou poznámku.
popularity	popularita	Zpěvák získal popularitu na internetu.
pose	představovat	Otázka může představovat problém.
possess	mít	Tuto dovednost má jen málo studentů.
potential	potenciál	Ten nápad má skutečný potenciál.
praise	chvála	Učitel vyslovil upřímnou chválu.
pregnant	těhotná	Je v šestém měsíci těhotenství.
preparation	příprava	Dobrá příprava snižuje stres.
presence	přítomnost	Jeho přítomnost změnila náladu.
preserve	zachovat	Musíme tuto historickou budovu zachovat.
prime	hlavní	Hlavní příčinou bylo špatné plánování.
principle	princip	Rozhodnutí se řídilo jasným principem.
priority	priorita	Bezpečnost je naše první priorita.
privacy	soukromí	Zákazníci očekávají na internetu soukromí.
procedure	postup	Procedura trvá třicet minut.
proof	důkaz	Než začneme jednat, potřebujeme důkaz.
proposal	návrh	Návrh potřebuje více podrobností.
propose	navrhovat	Navrhuji jiné řešení.
prospect	vyhlídka	Vyhlídka na neúspěch je znepokojovala.
protection	ochrana	Helma poskytuje základní ochranu.
psychologist	psycholog	Psycholog vysvětlil výsledky testu.
psychology	psychologie	Studuje psychologii na univerzitě.
publication	publikace	Publikace přitáhla pozornost veřejnosti.
pupil	žák	Každý žák dostal novou učebnici.
purchase	nakupovat	Nakupují zásoby každý měsíc.
pure	čistý	Voda byla čistá a studená.
pursue	usilovat	Bude usilovat o lékařskou kariéru.
rank	hodnost	Má vysokou hodnost.
rapid	rychlý	Země zaznamenala rychlý růst.
rapidly	rychle	Ceny letos rychle vzrostly.
raw	syrový	Kuchař připravil syrovou zeleninu.
realistic	realistický	Stanovte si realistický termín.
reasonable	rozumný	To se zdá být rozumný požadavek.
recall	vybavit si	Vybavuji si jeho přesná slova.
recover	zotavit se	Po léčbě se zotaví.
reduction	snížení	Snížení ušetřilo peníze.
regard	považovat	Mnoho lidí ji považuje za upřímnou.
regional	regionální	Regionální kancelář se dnes zavřela.
register	zaregistrovat se	Zaregistrujte se prosím před konferencí.
regret	litovat	Lituji svého dřívějšího rozhodnutí.
regulation	předpis	Nový předpis se týká všech řidičů.
relatively	poměrně	Zkouška byla poměrně snadná.
relevant	relevantní	Vyberte pouze relevantní detaily.
relief	úleva	Ta zpráva přinesla velkou úlevu.
rely	spoléhat se	Děti spoléhají na podporu dospělých.
remark	poznámka	Jeho poznámka ukončila diskusi.
representative	zástupce	Zástupce se setkal s místními pracovníky.
reputation	pověst	Ten hotel má dobrou pověst.
requirement	požadavek	Zkušenost je základní požadavek.
rescue	zachránit	Zachraňují lidi z povodní.
reserve	rezerva	Rezervujeme místa pro hosty.
resident	obyvatel	Každý obyvatel obdržel oznámení.
resist	odolat	Snaž se odolat tlaku.
resolve	vyřešit	Vyřešili ten spor mírovou cestou.
resort	letovisko	Ostrovní letovisko se otevřelo v květnu.
retain	udržet si	Společnost si chce udržet zaměstnance.
reveal	odhalit	Ta zpráva odhalí pravdu.
revolution	revoluce	Revoluce změnila zemi.
reward	odměna	Tvrdá práce si zaslouží odměnu.
rhythm	rytmus	Ta píseň má stálý rytmus.
rid	zbavit se	Zbav se těch starých složek.
root	kořen	Kořenem problému jsou peníze.
rub	třít	Třete povrch hadříkem.
rubber	guma	Gumové těsnění zabraňuje únikům.
rural	venkovský	Mnoho venkovských škol potřebuje podporu.
rush	spěchat	Nespěchej s tímto rozhodnutím.
satellite	satelit	Satelit poslal nové snímky.
satisfied	spokojený	Zákazník se zdál spokojený.
satisfy	uspokojit	Ta odpověď ho neuspokojila.
saving	úspora	Úspora energie snižuje měsíční náklady.
scale	rozsah	Rozsah škod byl obrovský.
scheme	program	Ten program pomáhá mladým pracovníkům.
scream	křičet	Venku uslyšeli výkřik.
sector	sektor	Technologický sektor roste.
secure	zajistit	Zamkni dveře, abys je zajistil.
seek	hledat	Hledají radu u odborníků.
select	vybrat	Vyberte nejlepší možnost.
selection	výběr	Obchod nabízí široký výběr.
self	já	Ukázala své pravé já.
senior	starší	Starší lékař vyšetřil pacienta.
sensitive	citlivý	Toto téma je velmi citlivé.
sequence	pořadí	Postupujte podle pořadí kroků.
session	sezení	Školení začíná v poledne.
settle	urovnat	Rychle ten spor urovnají.
severe	vážný	Bouře způsobila vážné záplavy.
shade	stín	Sedni si do stínu.
shadow	stín	Přes okno přešel stín.
shallow	mělký	Jezero je zde mělké.
shame	stud	Po lhaní cítil stud.
shelter	přístřeší	Škola poskytla nouzové přístřeší.
shock	šok	To rozhodnutí bylo šokem.
shocked	šokovaný	Vypadala tou zprávou šokovaně.
shooting	střelba	Ke střelbě došlo poblíž stanice.
