source_headword	NE	example_NE
crawl	घिस्रनु	बच्चा गलैँचामा घिस्रन थाल्यो।
creator	निर्माता	निर्माताले सबैलाई उनीहरूको सहयोगको लागि धन्यवाद दिए।
credibility	विश्वसनीयता	साक्षीले सोधपुछको क्रममा विश्वसनीयता गुमायो।
credible	विश्वसनीय	प्रतिवेदनले विश्वसनीय प्रमाण प्रस्तुत गर्‍यो।
creep	विस्तारै सर्नु	कुहिरो उपत्यकामा विस्तारै सर्न थाल्यो।
critique	समीक्षा	प्रोफेसरले विस्तृत समीक्षा दिए।
crown	मुकुट	रानीले चाँदीको मुकुट लगाएकी थिइन्।
crude	अपरिष्कृत	चित्र अपरिष्कृत तर स्पष्ट थियो।
crush	किच्नु	भारी चट्टानहरूले पाइपलाई किच्न सक्छन्।
crystal	स्फटिक	स्फटिकले बिहानीको किरणलाई प्रतिबिम्बित गर्‍यो।
cult	सम्प्रदाय	सम्प्रदायले आफ्ना सदस्यहरूलाई एक्ल्यायो।
cultivate	खेती गर्नु	किसानहरू यस क्षेत्रमा धान खेती गर्छन्।
curiosity	जिज्ञासा	जिज्ञासाले उनलाई विज्ञानतर्फ डोर्यायो।
custody	संरक्षण	बच्चा आफ्नो बुबाको संरक्षणमा रही।
cutting	अखबारको टुक्रा	पत्रिकाले उनको बारेमा एउटा कटिङ छाप्यो।
cynical	निन्दक	उनको निन्दक टिप्पणीले टोलीलाई निराश बनायो।
dam	बाँध	बाँधले नदीको पानीलाई रोक्छ।
damaging	हानिकारक	हानिकारक लेखले अभियानलाई नोक्सान पुर्‍यायो।
dawn	बिहानी	हामीले झिसमिसेमा गाउँ छोड्यौं।
debris	भग्नावशेष	आँधीको भग्नावशेषले सडक अवरुद्ध गर्‍यो।
debut	प्रथम उपस्थिति	उनको प्रथम उपस्थितिले राष्ट्रिय ध्यान आकर्षित गर्‍यो।
decision-making	निर्णय प्रक्रिया	राम्रो निर्णय प्रक्रियाको लागि स्पष्ट जानकारी आवश्यक छ।
decisive	निर्णायक	उनको निर्णायक कार्यले थप क्षति हुनबाट रोक्यो।
declaration	घोषणा	मन्त्रीले औपचारिक घोषणा पढे।
dedicated	समर्पित	समर्पित नर्सले रातभर काम गरिन्।
dedication	समर्पण	उनको समर्पणले युवा खेलाडीहरूलाई प्रेरित गर्‍यो।
deed	काम	साहसी कामले दुई ज्यान बचायो।
deem	मान्नु	अदालतले सम्झौतालाई अमान्य मान्न सक्छ।
default	पूर्वनिर्धारित	अहिलेको लागि पूर्वनिर्धारित सेटिङ प्रयोग गर्नुहोस्।
defect	दोष	निरीक्षकहरूले गम्भीर दोष फेला पारे।
defensive	रक्षात्मक	उनको रक्षात्मक स्वरले सबैलाई छक्क पार्‍यो।
deficiency	कमी	फलामको कमीले स्वास्थ्यलाई असर गर्न सक्छ।
deficit	घाटा	बजेट घाटाले अधिकारीहरूलाई चिन्तित तुल्यायो।
defy	अवज्ञा गर्नु	प्रदर्शनकारीहरूले प्रतिबन्धको अवज्ञा गर्ने निर्णय गरे।
delegate	प्रतिनिधि	प्रत्येक प्रतिनिधिलाई मतदान कार्ड दिइयो।
delegation	प्रतिनिधिमण्डल	प्रतिनिधिमण्डल दिउँसो अघि आइपुग्यो।
delicate	नाजुक	नाजुक सिसा सजिलै फुट्यो।
demon	राक्षस	कथाले एउटा प्राचीन राक्षसको वर्णन गर्दछ।
denial	इन्कार	उनको इन्कारले पीडितहरूलाई क्रोधित बनायो।
denounce	निन्दा गर्नु	नेताहरूले विद्यालयहरूमा हुने हिंसाको निन्दा गर्छन्।
dense	घना	घना जंगलले सूर्यको प्रकाशलाई रोक्यो।
density	घनत्व	शहरको केन्द्रमा जनसंख्या घनत्व उच्च छ।
dependence	निर्भरता	तेलमा देशको निर्भरता घट्यो।
depict	चित्रण गर्नु	भित्तेचित्रले गाउँको जीवन चित्रण गर्छ।
deploy	खटाउनु	सेनाले थप कर्मचारी खटाउनेछ।
deployment	तैनाथी	सेनाको तैनाथी सोमबार सुरु भयो।
deprive	वञ्चित गर्नु	निद्राको कमीले विद्यार्थीहरूलाई एकाग्रताबाट वञ्चित गर्न सक्छ।
deputy	उप	उपप्रमुखले सम्झौतामा हस्ताक्षर गरे।
descend	ओर्लनु	बाटो तीव्र रूपमा ओर्लन थाल्यो।
descent	अवतरण	विमानले आफ्नो अवतरण सुरु गर्‍यो।
designate	तोक्नु	शहरले एउटा नयाँ पार्क तोक्नेछ।
desirable	वांछनीय	कक्षाहरूमा राम्रो प्रकाश वांछनीय छ।
desktop	डेस्कटप	फाइल मेरो डेस्कटपमा छ।
destructive	विनाशकारी	आँधीमा विनाशकारी शक्ति थियो।
detain	हिरासतमा लिनु	प्रहरीले संदिग्धहरूलाई रातभर हिरासतमा राख्न सक्छ।
detection	पहिचान	प्रारम्भिक पहिचानले क्यान्सरको उपचारमा सुधार गर्छ।
detention	हिरासत	विद्यार्थीहरूले हिरासतको अवस्थाको विरोध गरे।
deteriorate	बिग्रनु	उनको स्वास्थ्य बिग्रन थाल्यो।
devastate	तहसनहस गर्नु	भूकम्पले तटीय शहरहरूलाई तहसनहस गर्न सक्छ।
devil	शैतान	बच्चाले मुस्कुराउँदै गरेको शैतानको चित्र कोर्‍यो।
devise	बनाउनु	इन्जिनियरहरू सुरक्षित यातायात प्रणाली बनाउँछन्।
diagnose	रोगको निदान गर्नु	डाक्टरहरूले रगत परीक्षण गरेर रोगको निदान गर्छन्।
diagnosis	निदान	निदानले उनको लक्षणहरू स्पष्ट पार्‍यो।
dictate	निर्धारण गर्नु	सम्झौताले भुक्तानी सर्तहरू निर्धारण गर्नेछ।
dictator	तानाशाह	तानाशाहले सञ्चारमाध्यमलाई नियन्त्रण गरे।
differentiate	फरक छुट्याउनु	के तपाईं तथ्य र राय बीचको फरक छुट्याउन सक्नुहुन्छ?
dignity	मर्यादा	काममा सबैले मर्यादा पाउनुपर्छ।
dilemma	दुविधा	प्रबन्धकले गम्भीर दुविधाको सामना गरे।
dimension	आयाम	समस्याको राजनीतिक आयाम छ।
diminish	कम हुनु	दुखाइ बिस्तारै कम हुनुपर्छ।
dip	घट्नु	तापक्रम शून्यभन्दा तल घट्न सक्छ।
diplomat	कूटनीतिज्ञ	कूटनीतिज्ञले विदेशी नेताहरूसँग भेट गरे।
diplomatic	कूटनीतिक	कूटनीतिक वार्ता रातभर जारी रह्यो।
directory	निर्देशिका	उनको नम्बरको लागि निर्देशिका खोज्नुहोस्।
disastrous	विनाशकारी	विनाशकारी बाढीले धेरै पुलहरू नष्ट गर्‍यो।
discard	फ्याँक्नु	उपयोगी रेकर्डहरू नफ्याँक्नुहोस्।
discharge	डिस्चार्ज गर्नु	अस्पतालले उनलाई भोलि डिस्चार्ज गर्नेछ।
disclose	खुलासा गर्नु	अधिकारीहरूले तथ्याङ्क खुलासा गर्न अस्वीकार गरे।
disclosure	खुलासा	खुलासाले बोर्डलाई चकित पार्‍यो।
discourse	विमर्श	सार्वजनिक विमर्श अधिक विनम्र बन्यो।
discretion	विवेक	संवेदनशील मामिलाहरूमा आफ्नो विवेक प्रयोग गर्नुहोस्।
discrimination	भेदभाव	कानूनले रोजगारीमा भेदभावलाई प्रतिबन्ध लगाएको छ।
dismissal	बर्खास्ती	उनको बर्खास्तीले सार्वजनिक आक्रोश निम्त्यायो।
displace	विस्थापित गर्नु	युद्धले हजारौंलाई विस्थापित गर्न सक्छ।
disposal	व्यवस्थापन	फोहोर व्यवस्थापन स्थानीय समस्या बनेको छ।
dispose	व्यवस्थापन गर्नु	कम्पनीले रसायनहरू सुरक्षित रूपमा फ्याँक्नुपर्छ।
dispute	विवाद	विवाद महिनौंसम्म चल्यो।
disrupt	अवरोध पुर्याउनु	हल्लाले एकाग्रतामा अवरोध पुर्याउन सक्छ।
disruption	अवरोध	हडतालले ठूलो अवरोध निम्त्यायो।
dissolve	घुल्नु	चिनी तातो चियामा घुल्छ।
distinction	भिन्नता	तिनीहरू बीचको भिन्नता महत्त्वपूर्ण छ।
distinctive	विशिष्ट	उनको स्वर विशिष्ट छ।
distort	विकृत गर्नु	ऐनाले तपाईंको प्रतिबिम्बलाई विकृत गर्न सक्छ।
distress	संकट	फोन कलले गम्भीर संकट निम्त्यायो।
disturbing	विचलित गर्ने	वृत्तचित्रले विचलित गर्ने दृश्यहरू देखायो।
divert	मोड्नु	प्रहरीले ट्राफिक मोड्नुपर्‍यो।
divine	ईश्वरीय	चैपलको वातावरण ईश्वरीय छ।
doctrine	सिद्धान्त	पार्टीले पुरानो सिद्धान्तलाई अस्वीकार गर्‍यो।
documentation	कागजात	सुरु गर्नुअघि कागजात पूरा गर्नुहोस्।
domain	डोमेन	वेबसाइटले सुरक्षित डोमेन प्रयोग गर्दछ।
dominance	प्रभुत्व	टोलीको प्रभुत्व एक दशकसम्म चल्यो।
donor	दाता	दाताले आज रगत दिए।
dose	मात्रा	बिहानको खाजा पछि एक मात्रा लिनुहोस्।
drain	तान्नु / बगाउनु	पानी नदीमा बग्नेछ।
drift	बहकनु	धुवाँ सडकमा बहकन थाल्यो।
driving	मुख्य	वर्षा ढिलाइको पछाडिको मुख्य कारण थियो।
drown	डुब्नु	छालले डुबाउन सक्ने ठाउँमा कहिल्यै नपौडिनुहोस्।
dual	दोहोरो	यन्त्रको दोहोरो काम छ।
dub	नामकरण गर्नु	आलोचकहरूले शहरलाई सांस्कृतिक राजधानीको नामकरण गरे।
dumb	मुर्ख	त्यो एउटा मुर्ख गल्ती थियो।
duo	जोडी	कमेडी जोडीले युरोपको भ्रमण गरे।
eager	उत्सुक	विद्यार्थीहरू सुरु गर्न उत्सुक थिए।
earnings	आम्दानी	कम्पनीको आम्दानी तीव्र रूपमा बढ्यो।
