hsk_key	source_word	simplified	ES	example_ES	FR	example_FR	DE	example_DE	IT	example_IT	PT	example_PT	RU	example_RU
503:爱人	爱人	爱人	el cónyuge; el ser querido	Mi cónyuge trabaja horas extra hoy.	le conjoint; l'être aimé	Mon conjoint fait des heures supplémentaires aujourd'hui.	der Ehepartner; die geliebte Person	Mein Ehepartner macht heute Überstunden.	il coniuge; la persona amata	Il mio coniuge fa straordinari oggi.	o cônjuge; a pessoa querida	O meu cônjuge está a fazer horas extra hoje.	супруг; любимый человек	Мой супруг сегодня работает сверхурочно.
508:班级	班级	班级	la clase; el grupo de clase	En nuestra clase hay treinta estudiantes.	la classe; le groupe de classe	Il y a trente élèves dans notre classe.	die Klasse; die Lerngruppe	In unserer Klasse sind dreißig Schüler.	la classe; il gruppo classe	Nella nostra classe ci sono trenta studenti.	a turma; a classe	Na nossa turma há trinta estudantes.	класс; учебная группа	В нашем классе тридцать учеников.
509:搬家	搬家	搬家	mudarse	Nos mudamos este fin de semana.	déménager	Nous déménageons ce week-end.	umziehen	Wir ziehen dieses Wochenende um.	traslocare	Traslochiamo questo fine settimana.	mudar de casa	Vamos mudar de casa este fim de semana.	переезжать; переехать	Мы переезжаем в эти выходные.
510:办	办	办	gestionar; tramitar	Esta tarde voy al banco a tramitar una tarjeta bancaria.	s'occuper de; traiter	Je vais à la banque cet après-midi pour faire une carte bancaire.	erledigen; beantragen	Ich gehe heute Nachmittag zur Bank, um eine Bankkarte zu beantragen.	sbrigare; richiedere	Oggi pomeriggio vado in banca a richiedere una carta bancaria.	tratar; pedir	Vou ao banco esta tarde para pedir um cartão bancário.	оформлять; заниматься делом	После обеда я пойду в банк оформлять банковскую карту.
513:半天	半天	半天	medio día; mucho rato	Esperé mucho rato antes de que él llegara.	une demi-journée; longtemps	J'ai attendu longtemps avant qu'il arrive.	der halbe Tag; lange Zeit	Ich wartete lange, bis er kam.	mezza giornata; molto tempo	Ho aspettato molto tempo prima che arrivasse.	meio dia; muito tempo	Esperei muito tempo até ele chegar.	полдня; долгое время	Я долго ждал, пока он пришел.
517:北	北	北	el norte	Hay un parque al norte de la escuela.	le nord	Il y a un parc au nord de l'école.	der Norden	Nördlich der Schule gibt es einen Park.	il nord	A nord della scuola c'è un parco.	o norte	Há um parque a norte da escola.	север	К северу от школы есть парк.
520:笔记	笔记	笔记	los apuntes; las notas	Él toma apuntes con atención en clase.	les notes	Il prend soigneusement des notes en classe.	die Notizen	Er macht im Unterricht sorgfältig Notizen.	gli appunti	Lui prende appunti con attenzione a lezione.	as notas; os apontamentos	Ele tira apontamentos com atenção na aula.	заметки; конспект	На уроке он внимательно делает записи.
526:变	变	变	cambiar	El tiempo se ha vuelto frío.	changer	Il s'est mis à faire froid.	sich verändern; werden	Das Wetter ist kalt geworden.	cambiare	Il tempo è diventato freddo.	mudar; ficar	O tempo ficou frio.	меняться; становиться	Погода стала холодной.
528:变成	变成	变成	convertirse en; transformarse en	La lluvia se convirtió en nieve.	devenir; se transformer en	La pluie s'est changée en neige.	zu etwas werden; sich verwandeln in	Der Regen wurde zu Schnee.	diventare; trasformarsi in	La pioggia si è trasformata in neve.	transformar-se em; tornar-se	A chuva transformou-se em neve.	превращаться в; стать	Дождь превратился в снег.
531:别的	别的	别的	otro; diferente	¿Tienes otras preguntas?	autre; différent	As-tu d'autres questions ?	anderer; sonstiger	Hast du noch andere Fragen?	altro; diverso	Hai altre domande?	outro; diferente	Tens outras perguntas?	другой; иной	У тебя есть другие вопросы?
