source_headword	LT	example_LT
abandon	atsisakyti	Vakar jie atsisakė plano.
absolute	absoliutus	Čia reikia absoliutaus sąžiningumo.
acceptable	priimtinas	Jo atsakymas buvo priimtinas.
accompany	lydėti	Jos brolis palydėjo ją namo.
accurate	tikslus	Ataskaita atrodo tiksli.
accuse	apkaltinti	Jie apkaltino jį melu.
acknowledge	pripažinti	Prašau pripažinti klaidą.
acquire	įgyti	Ji greitai įgijo naujų įgūdžių.
actual	faktinis	Faktinė kaina buvo mažesnė.
adapt	prisitaikyti	Prisitaikėme prie pokyčio.
additional	papildomas	Šiandien atvyko papildoma pagalba.
administration	administracija	Administracija pakeitė taisykles.
adopt	priimti	Jie priėmė naują metodą.
advance	pažanga	Padarėme nedidelę pažangą.
affair	afera	Afera pakenkė visuomenės pasitikėjimui.
afterwards	po to	Po to visi nusiramino.
agency	agentūra	Agentūra pasamdė tris vertėjus.
agenda	darbotvarkė	Saugumas yra darbotvarkėje.
aggressive	agresyvus	Jo tonas skambėjo agresyviai.
aid	pagalba	Medicininė pagalba atvyko greitai.
aircraft	orlaivis	Orlaivis saugiai nusileido.
alter	pakeisti	Nekeisk sutarties.
anger	pyktis	Jo pyktis visus nustebino.
angle	kampas	Pabandyk kitą kameros kampą.
anniversary	metinės	Jų metinės yra rytoj.
annual	kasmetinis	Kasmetinis susitikimas prasideda pirmadienį.
anxious	nerimastingas	Prieš operaciją ji jautė nerimą.
apparent	akivaizdus	Jo nusivylimas buvo akivaizdus.
apparently	matyt	Matyt, traukinys vėluoja.
appeal	apeliacija	Sprendimas gali sulaukti apeliacijos.
approach	požiūris	Jos požiūris išsprendė problemą.
appropriate	tinkamas	Pasirink tinkamą atsakymą.
approval	patvirtinimas	Projektui reikia patvirtinimo.
approve	patvirtinti	Valdyba patvirtino biudžetą.
arise	kilti	Problemų gali kilti vėliau.
armed	ginkluotas	Lauke stovėjo ginkluoti sargybiniai.
arms	ginklai	Jie sudėjo ginklus.
artificial	dirbtinis	Gėlės atrodė dirbtinės.
artistic	meninis	Ji turi meninį talentą.
ashamed	susigėdęs	Vėliau jis jautėsi susigėdęs.
aspect	aspektas	Apgalvok kiekvieną aspektą.
assess	įvertinti	Turime įvertinti žalą.
