source_headword	LO	example_LO
hunt	ລ່າຫາ	ພວກເຂົາລ່າຫາເຫັດໃນລະດູໃບໄມ້ລົ່ນ.
hurricane	ພາຍຸເຮີຣິເຄນ	ພາຍຸເຮີຣິເຄນເຮັດໃຫ້ເຮືອນຫຼາຍຫຼັງເສຍຫາຍ.
hurry	ຄວາມຮີບຮ້ອນ	ມື້ນີ້ບໍ່ມີຄວາມຮີບຮ້ອນ.
identity	ຕົວຕົນ	ຕົວຕົນຂອງນາງຍັງເປັນຄວາມລັບ.
ignore	ເມີນເສີຍ	ຢ່າເມີນເສີຍຄຳເຕືອນນີ້.
illegal	ຜິດກົດໝາຍ	ຈອດລົດຢູ່ບ່ອນນີ້ຜິດກົດໝາຍ.
imaginary	ຈິນຕະນາການ	ເລື່ອງນີ້ມີເກາະຈິນຕະນາການໜຶ່ງ.
immediate	ທັນທີ	ພວກເຮົາຕ້ອງການຄຳຕອບທັນທີ.
immigrant	ຜູ້ອົບພະຍົບ	ຜູ້ອົບພະຍົບຮຽນພາສາອັງກິດໄດ້ໄວ.
impact	ຜົນກະທົບ	ຂ່າວນັ້ນມີຜົນກະທົບແຮງ.
import	ນຳເຂົ້າ	ປະເທດຈະນຳເຂົ້າເຂົ້າຫຼາຍຂຶ້ນ.
importance	ຄວາມສຳຄັນ	ນາງເຂົ້າໃຈຄວາມສຳຄັນຂອງການນອນ.
impression	ຄວາມປະທັບໃຈ	ຄວາມປະທັບໃຈຄັ້ງທຳອິດຂອງລາວເປັນບວກ.
impressive	ນ່າປະທັບໃຈ	ພິພິທະພັນມີທາງເຂົ້ານ່າປະທັບໃຈ.
improvement	ການປັບປຸງ	ເດືອນນີ້ມີການປັບປຸງຊັດເຈນ.
incredibly	ຢ່າງຫຼາຍ	ການສອບເສັງຍາກຢ່າງຫຼາຍ.
indeed	ແທ້ຈິງ	ມັນເປັນມື້ແປກແທ້ຈິງ.
indicate	ຊີ້ບອກ	ປ້າຍຈະຊີ້ບອກທາງອອກ.
indirect	ທາງອ້ອມ	ນາງໃຫ້ຄຳຕອບທາງອ້ອມ.
indoor	ໃນອາຄານ	ໂຮງແຮມມີສະລອຍນ້ຳໃນອາຄານ.
indoors	ຢູ່ໃນເຮືອນ	ພວກເຮົາຢູ່ໃນເຮືອນລະຫວ່າງພາຍຸ.
influence	ອິດທິພົນ	ຄູຂອງລາວມີອິດທິພົນແຮງ.
ingredient	ສ່ວນປະສົມ	ແປ້ງແມ່ນສ່ວນປະສົມຫຼັກ.
injure	ເຮັດໃຫ້ບາດເຈັບ	ຢ່າເຮັດໃຫ້ຫຼັງຂອງເຈົ້າບາດເຈັບ.
injured	ບາດເຈັບ	ນັກກິລາບາດເຈັບອອກຈາກສະໜາມ.
innocent	ບໍ່ມີຄວາມຜິດ	ເດັກເບິ່ງຄືບໍ່ມີຄວາມຜິດເລີຍ.
intelligence	ສະຕິປັນຍາ	ນາງສະແດງສະຕິປັນຍາດີໃນຫ້ອງຮຽນ.
intend	ຕັ້ງໃຈ	ຂ້ອຍຕັ້ງໃຈໄປຮຽນຕ່າງປະເທດ.
intention	ຄວາມຕັ້ງໃຈ	ຄວາມຕັ້ງໃຈຂອງລາວແມ່ນຊ່ວຍ.
invest	ລົງທຶນ	ພວກເຂົາລົງທຶນເງິນໃນການສຶກສາ.
investigate	ສືບສວນ	ຕຳຫຼວດຈະສືບສວນອຸບັດເຫດນີ້.
involved	ກ່ຽວຂ້ອງ	ນັກຮຽນຫຼາຍຄົນກ່ຽວຂ້ອງ.
iron	ເຫຼັກ	ປະຕູເຮັດດ້ວຍເຫຼັກ.
issue	ບັນຫາ	ນີ້ເປັນບັນຫາຮ້າຍແຮງ.
IT	ໄອທີ	ນາງເຮັດວຽກໃນດ້ານໄອທີ.
journal	ບັນທຶກປະຈຳວັນ	ລາວຂຽນໃນບັນທຶກປະຈຳວັນ.
judge	ຜູ້ພິພາກສາ	ຜູ້ພິພາກສາຟັງຢ່າງລະມັດລະວັງ.
keen	ກະຕືລືລົ້ນ	ນາງກະຕືລືລົ້ນຢາກຮຽນ.
keyboard	ແປ້ນພິມ	ແປ້ນພິມຂອງຂ້ອຍຢຸດເຮັດວຽກ.
kick	ເຕະ	ເຕະບານເບົາໆ.
killing	ການຂ້າ	ການຂ້ານັ້ນເຮັດໃຫ້ບ້ານຕົກໃຈ.
kind (caring)	ໃຈດີ	ນັ້ນເປັນການກະທຳໃຈດີ.
kiss	ຈູບ	ນາງຈູບເດັກນ້ອຍ.
label	ປ້າຍ	ອ່ານປ້າຍກ່ອນໃຊ້.
laboratory	ຫ້ອງທົດລອງ	ຫ້ອງທົດລອງປິດມື້ນີ້.
lack	ການຂາດແຄນ	ການຂາດການນອນທຳລາຍຄວາມຈຳ.
latest	ຫຼ້າສຸດ	ເຈົ້າໄດ້ອ່ານລາຍງານຫຼ້າສຸດບໍ.
lay	ວາງ	ວາງປຶ້ມໄວ້ເທິງໂຕະ.
layer	ຊັ້ນ	ເພີ່ມຊັ້ນສີອີກຊັ້ນ.
leading	ນຳໜ້າ	ນາງເປັນນັກວິທະຍາສາດນຳໜ້າ.
leaf	ໃບໄມ້	ໃບໄມ້ໜຶ່ງຕົກໃສ່ເສື້ອຂ້ອຍ.
leather	ໜັງ	ກະເປົາຂອງລາວເຮັດດ້ວຍໜັງ.
legal	ທາງກົດໝາຍ	ພວກເຮົາຕ້ອງການຄຳແນະນຳທາງກົດໝາຍ.
leisure	ເວລາວ່າງ	ການອ່ານແມ່ນກິດຈະກຳເວລາວ່າງທີ່ຂ້ອຍມັກ.
length	ຄວາມຍາວ	ວັດຄວາມຍາວຂອງຫ້ອງ.
lie2 (tell a lie)	ຕົວະ	ຢ່າຕົວະພໍ່ແມ່ຂອງເຈົ້າ.
