source_headword	PL	example_PL
toss	rzucać	Ona rzuciła klucze na stół.
total	wynosić	Naprawy wyniosły więcej, niż się spodziewano.
toxic	toksyczny	Toksyczny dym zmusił wszystkich do wyjścia.
trademark	znak towarowy	Logo stało się znakiem towarowym firmy.
trail	szlak	Szlak prowadził przez las.
trailer	zwiastun	Zwiastun pokazał zakończenie filmu.
transaction	transakcja	Transakcja pojawiła się na moim wyciągu bankowym.
transcript	odpis	Student poprosił o oficjalny odpis.
transformation	transformacja	Miasto przeszło poważną transformację.
transit	transport	Paczka uległa uszkodzeniu w transporcie.
transmission	transmisja	Transmisja danych była bezpieczna.
transparency	przejrzystość	Raport wzywał do większej przejrzystości.
transparent	przejrzysty	Proces powinien być przejrzysty dla wszystkich.
trauma	trauma	Wypadek pozostawił głęboką traumę.
treaty	traktat	Kraje podpisały traktat pokojowy.
tremendous	ogromny	Zespół poczynił ogromne postępy.
tribal	plemienny	Muzeum zaprezentowało sztukę plemienną.
tribunal	trybunał	Trybunał wysłuchiwał dowodów przez cały tydzień.
tribute	hołd	Koncert był hołdem dla niej.
trio	trio	Trio wystąpiło na festiwalu.
triumph	triumf	Zwycięstwo było osobistym triumfem.
trophy	trofeum	Kapitan z dumą podniósł trofeum.
troubled	borykający się z problemami	Borykająca się z problemami firma potrzebowała nowego kierownictwa.
trustee	powiernik	Powiernik zarządza funduszem stypendialnym.
tuition	czesne	Jej czesne wzrosło w tym roku.
turnout	frekwencja	Frekwencja wyborcza była wyższa niż oczekiwano.
turnover	rotacja	Rotacja pracowników spadła po wprowadzonych zmianach.
twist	odkręcić	Odkręciła pokrywkę.
undergraduate	student studiów licencjackich	Student studiów licencjackich dołączył do projektu badawczego.
underlying	leżący u podstaw	Raport wyjaśnił przyczyny leżące u podstaw problemu.
undermine	podważać	Skandal podważył zaufanie publiczne.
undoubtedly	niewątpliwie	Ona jest niewątpliwie najlepszą kandydatką.
unify	jednoczyć	Plan ma na celu zjednoczenie zespołów.
unprecedented	bezprecedensowy	Burza spowodowała bezprecedensowe zniszczenia.
unveil	zaprezentować	Firma zaprezentuje projekt jutro.
upcoming	nadchodzący	Nadchodzące wybory przyciągnęły uwagę opinii publicznej.
upgrade	aktualizować	Zaktualizowaliśmy oprogramowanie zeszłej nocy.
uphold	podtrzymywać	Podtrzymujemy pierwotną decyzję.
utility	media	Mieszkanie zawiera wszystkie opłaty za media.
utilize	wykorzystywać	Zespół wykorzystał dostępne dane.
utterly	całkowicie	Wyjaśnienie było całkowicie mylące.
vacuum	próżnia	Próżnia w przywództwie stworzyła napięcie.
vague	niejasny	Jego odpowiedź była niejasna i słaba.
validity	trafność	Badanie zakwestionowało trafność testu.
vanish	zniknąć	Plik zniknął z folderu.
variable	zmienna	Cena jest jedną z ważnych zmiennych.
varied	różnorodny	Kurs oferuje różnorodne zadania.
vein	żyła	Pielęgniarka szybko znalazła żyłę.
venture	przedsięwzięcie	Nowe przedsięwzięcie przyciągnęło inwestorów.
verbal	ustny	Osiągnęli ustne porozumienie.
verdict	werdykt	Ława przysięgłych ogłosiła swój werdykt.
verify	zweryfikować	Proszę zweryfikować swój adres e-mail.
verse	zwrotka	Zacytowała zwrotkę z wiersza.
versus	kontra	Debata dotyczyła prywatności kontra bezpieczeństwo.
vessel	statek	Statek przewoził zboże przez morze.
veteran	weteran	Weteran przeszkolił nowy personel.
viable	opłacalny	Propozycja jest opłacalna finansowo.
vibrant	tętniący życiem	Miasto ma tętniącą życiem scenę artystyczną.
vice	wada	Chciwość była jego największą wadą.
vicious	brutalny	Brutalny atak zszokował miasto.
villager	mieszkaniec wioski	Mieszkaniec wioski poprowadził nas do rzeki.
violate	naruszać	Firma może naruszać zasady bezpieczeństwa.
violation	naruszenie	Inspektor zgłosił poważne naruszenie.
virtue	cnota	Cierpliwość jest ważną cnotą.
vocal	głośny	Głośno wyrażała swoje zdanie na temat decyzji.
vow	przysięgać	Przysiągł dokończyć pracę.
vulnerability	luka	Audyt ujawnił lukę w zabezpieczeniach.
vulnerable	podatny	Dzieci są narażone podczas ekstremalnych upałów.
ward	oddział	Pacjent przeniósł się na inny oddział.
warehouse	magazyn	Magazyn przechowuje części zamienne.
warfare	działania wojenne	Współczesne działania wojenne opierają się na technologii.
warrant	nakaz	Policja pokazała nakaz przeszukania.
warrior	wojownik	Wojownik chronił wioskę.
weaken	osłabić	Kontuzja osłabiła jego uścisk.
weave	pleść	Nauczyła się pleść koszyki.
weed	chwast	Między kamieniami wyrósł chwast.
well	studnia	Wiejska studnia wyschła.
well-being	dobrostan	Sen jest niezbędny dla dobrostanu.
whatsoever	w ogóle	Nie okazał w ogóle żadnego zainteresowania.
whereby	dzięki któremu	Prawo stworzyło system, dzięki któremu rodziny mogły się odwoływać.
whilst	podczas gdy	Ona pracowała, podczas gdy on odpoczywał.
whip	smagać	Wiatr może smagać flagi.
wholly	całkowicie	Decyzja była całkowicie niespodziewana.
widen	poszerzyć	Miasto planuje poszerzyć drogę.
widow	wdowa	Wdowa mieszka blisko szkoły.
width	szerokość	Zmierz szerokość drzwi.
willingness	chęć	Jej chęć pomocy zaimponowała wszystkim.
wipe	przetrzeć	Przetrzyj ekran szmatką.
wit	dowcip	Jego dowcip sprawił, że przemówienie było żywe.
withdrawal	wycofanie	Wycofanie finansowania opóźniło projekt.
workout	trening	Trening trwał czterdzieści minut.
worship	nabożeństwo	Ludzie zebrali się na nabożeństwo o świcie.
worthwhile	warty zachodu	Wycieczka była warta zachodu.
worthy	godny	Organizacja charytatywna jest godna wsparcia.
yell	krzyczeć	Nie krzycz na personel.
yield	plon	Plony z farmy poprawiły się w tym sezonie.
youngster	młodzieniec	Młodzieniec zadał wiele pytań.
