source_headword	LO	example_LO
strengthen	ເຮັດໃຫ້ເຂັ້ມແຂງ	ນະໂຍບາຍໃໝ່ຈະເຮັດໃຫ້ຄວາມປອດໄພທາງອອນລາຍເຂັ້ມແຂງຂຶ້ນ.
strictly	ຢ່າງເຂັ້ມງວດ	ປີ້ແມ່ນຈຳກັດຢ່າງເຂັ້ມງວດພຽງແຕ່ສອງໃບຕໍ່ຄົນ.
striking	ໂດດເດັ່ນ	ຮູບແຕ້ມມີສີສັນທີ່ໂດດເດັ່ນ.
stroke	ຮອຍຂີດ	ລາວທາສີໜຶ່ງຮອຍຂີດຜ່ານເຈ້ຍ.
stunning	ງົດງາມຫຼາຍ	ວິວພູເຂົາແມ່ນງົດງາມຫຼາຍ.
subsequent	ຕໍ່ມາ	ກອງປະຊຸມຕໍ່ມາໄດ້ຢືນຢັນງົບປະມານ.
subsequently	ຫຼັງຈາກນັ້ນ	ຖະໜົນປິດ; ຫຼັງຈາກນັ້ນ, ການສັນຈອນກໍເຄື່ອນຕົວຊ້າ.
suburb	ຊານເມືອງ	ພວກເຂົາອາໄສຢູ່ໃນຊານເມືອງທີ່ງຽບສະຫງົບ.
suffering	ຄວາມທຸກທໍລະມານ	ຢາໄດ້ຫຼຸດຜ່ອນຄວາມທຸກທໍລະມານຂອງລາວ.
sufficient	ພຽງພໍ	ທີມງານມີເວລາພຽງພໍ.
sufficiently	ຢ່າງພຽງພໍ	ຫ້ອງແມ່ນອົບອຸ່ນຢ່າງພຽງພໍ.
super	ສຸດຍອດ	ແທັບເລັດໃໝ່ແມ່ນໄວສຸດຍອດ.
surgeon	ໝໍຜ່າຕັດ	ໝໍຜ່າຕັດໄດ້ສ້ອມແປງຫົວເຂົ່າທີ່ເສຍຫາຍ.
survival	ການຢູ່ລອດ	ນໍ້າສະອາດແມ່ນຈຳເປັນຕໍ່ການຢູ່ລອດ.
survivor	ຜູ້ລອດຊີວິດ	ຜູ້ລອດຊີວິດໄດ້ອະທິບາຍເຖິງເຫດການນໍ້າຖ້ວມ.
suspend	ໂຈະ	ໂຮງຮຽນອາດຈະໂຈະການເດີນທາງ.
sustainable	ຍືນຍົງ	ຟາມໃຊ້ວິທີການທີ່ຍືນຍົງ.
swallow	ກືນ	ກືນຢາພ້ອມກັບນໍ້າ.
sympathetic	ເຫັນອົກເຫັນໃຈ	ຜູ້ຈັດການເຫັນອົກເຫັນໃຈຕໍ່ບັນຫາຂອງນາງ.
tackle	ແກ້ໄຂ	ພວກເຮົາຈຳເປັນຕ້ອງແກ້ໄຂບັນຫາທີ່ຢູ່ອາໄສ.
tag	ປ້າຍ	ກະເປົ໋າມີປ້າຍລາຄາ.
tap	ກ໊ອກນໍ້າ	ນາງປິດກ໊ອກນໍ້າ.
technological	ທາງດ້ານເຕັກໂນໂລຊີ	ການປ່ຽນແປງທາງດ້ານເຕັກໂນໂລຊີສົ່ງຜົນກະທົບຕໍ່ທຸກບ່ອນເຮັດວຽກ.
teens	ໄວລຸ້ນ	ໄວລຸ້ນຫຼາຍຄົນໃຊ້ສື່ສັງຄົມອອນລາຍທຸກມື້.
temple	ວັດ	ວັດຕັ້ງຢູ່ໃກ້ກັບແມ່ນໍ້າ.
temporarily	ຊົ່ວຄາວ	ຫ້ອງການຖືກປິດຊົ່ວຄາວ.
tendency	ແນວໂນ້ມ	ລາວມີແນວໂນ້ມທີ່ຈະມາຊ້າ.
tension	ຄວາມເຄັ່ງຕຶງ	ຄວາມເຄັ່ງຕຶງເພີ່ມຂຶ້ນໃນລະຫວ່າງການສົນທະນາ.
terms	ເງື່ອນໄຂ	ເງື່ອນໄຂຂອງສັນຍາແມ່ນຊັດເຈນ.
terribly	ຢ່າງໜັກ	ເດັກນ້ອຍຮູ້ສຶກເສຍໃຈຢ່າງໜັກ.
terrify	ເຮັດໃຫ້ຢ້ານກົວ	ສຽງດັງເຮັດໃຫ້ໝາຢ້ານກົວ.
territory	ອານາເຂດ	ແຜນທີ່ສະແດງໃຫ້ເຫັນອານາເຂດໃໝ່.
terror	ຄວາມຢ້ານກົວ	ຄວາມຢ້ານກົວໄດ້ແຜ່ຂະຫຍາຍຫຼັງຈາກການໂຈມຕີ.
terrorism	ການກໍ່ການຮ້າຍ	ການກໍ່ການຮ້າຍຂົ່ມຂູ່ຄວາມປອດໄພຂອງປະຊາຊົນ.
terrorist	ຜູ້ກໍ່ການຮ້າຍ	ຕຳຫຼວດໄດ້ຈັບກຸມຜູ້ກໍ່ການຮ້າຍມື້ວານນີ້.
testing	ການທົດສອບ	ການທົດສອບຜະລິດຕະພັນເລີ່ມຕົ້ນໃນວັນຈັນ.
textbook	ປຶ້ມແບບຮຽນ	ນາງລືມປຶ້ມແບບຮຽນຊີວະສາດຂອງລາວ.
theft	ການລັກຂະໂມຍ	ການລັກຂະໂມຍເພີ່ມຂຶ້ນໃນພື້ນທີ່.
therapist	ນັກບຳບັດ	ນັກບຳບັດໄດ້ຊ່ວຍລາວຈັດການກັບຄວາມກັງວົນ.
thesis	ບົດວິທະຍານິພົນ	ບົດວິທະຍານິພົນຂອງນາງກວດກາການຮຽນຮູ້ທາງອອນລາຍ.
thorough	ລະອຽດ	ການກວດກາຢ່າງລະອຽດບໍ່ພົບຂໍ້ຜິດພາດ.
thoroughly	ຢ່າງລະອຽດ	ທຳຄວາມສະອາດບາດແຜຢ່າງລະອຽດ.
thumb	ໂປ້ມື	ລາວຍົກໂປ້ມືຂຶ້ນເພື່ອສະແດງການອະນຸມັດ.
timing	ຈັງຫວະເວລາ	ຈັງຫວະເວລາຂອງການໂທແມ່ນສົມບູນແບບ.
tissue	ເຈ້ຍທິດຊູ	ນາງເຊັດແກ້ວດ້ວຍເຈ້ຍທິດຊູ.
ton	ໂຕນ	ລົດບັນທຸກໄດ້ບັນທຸກຊາຍໜຶ່ງໂຕນ.
tonne	ໂຕນ	ສິນຄ້າມີນໍ້າໜັກໜຶ່ງໂຕນ.
tournament	ການແຂ່ງຂັນ	ການແຂ່ງຂັນເທັນນິດເລີ່ມຕົ້ນມື້ອື່ນ.
trace	ຕິດຕາມ	ນັກວິທະຍາສາດສາມາດຕິດຕາມແຫຼ່ງທີ່ມາຂອງໄວຣັສໄດ້.
trading	ການຊື້ຂາຍ	ການຊື້ຂາຍຫຼັກຊັບຢຸດຕິລົງໃນຕອນທ່ຽງ.
tragedy	ໂສກນາດຕະກຳ	ອຸບັດຕິເຫດຄັ້ງນີ້ເປັນໂສກນາດຕະກຳທີ່ຮ້າຍແຮງ.
tragic	ທີ່ໜ້າເສົ້າສະຫຼົດໃຈ	ການຕົກມີຜົນສະທ້ອນທີ່ໜ້າເສົ້າສະຫຼົດໃຈ.
trait	ລັກສະນະ	ຄວາມອົດທົນແມ່ນລັກສະນະທີ່ເປັນປະໂຫຍດ.
transmit	ແຜ່	ຍຸງສາມາດແຜ່ພະຍາດໄດ້.
transportation	ການຂົນສົ່ງ	ການຂົນສົ່ງສາທາລະນະມີຄົນແໜ້ນໜາໃນມື້ນີ້.
trap	ດັກ	ກ່ອງສາມາດດັກແມງໄມ້ໄດ້ຢ່າງປອດໄພ.
treasure	ສົມບັດ	ຫີບເກົ່າເກັບສົມບັດໄວ້.
tribe	ຊົນເຜົ່າ	ຊົນເຜົ່າໄດ້ປົກປ້ອງປະເພນີຂອງຕົນ.
trigger	ກະຕຸ້ນ	ຄວັນໄຟສາມາດກະຕຸ້ນສັນຍານເຕືອນໄພໄດ້.
trillion	ພັນຕື້	ໜີ້ສິນບັນລຸເຖິງໜຶ່ງພັນຕື້ໂດລາ.
troop	ກອງທະຫານ	ກອງທະຫານໄດ້ເຄື່ອນຍ້າຍໄປສູ່ຊາຍແດນ.
tsunami	ສຶນາມິ	ສຶນາມິໄດ້ທຳລາຍເຮືອນແຄມຝັ່ງທະເລ.
ultimate	ສູງສຸດ	ເປົ້າໝາຍສູງສຸດແມ່ນສັນຕິພາບ.
unacceptable	ຍອມຮັບບໍ່ໄດ້	ການຊັກຊ້າແມ່ນເປັນທີ່ຍອມຮັບບໍ່ໄດ້ສຳລັບຜູ້ໂດຍສານ.
uncertainty	ຄວາມບໍ່ແນ່ນອນ	ຄວາມບໍ່ແນ່ນອນເຮັດໃຫ້ນັກລົງທຶນກັງວົນ.
undergo	ຮັບການ	ຄົນເຈັບຈະໄດ້ຮັບການຜ່າຕັດໃນມື້ອື່ນ.
undertake	ດຳເນີນການ	ທີມງານຈະດຳເນີນການສຳຫຼວດ.
unfold	ເປີດເຜີຍ	ລະຄອນເລີ່ມເປີດເຜີຍອອກມາຢ່າງຊ້າໆ.
unfortunate	ໂຊກຮ້າຍ	ຂໍ້ຜິດພາດແມ່ນໂຊກຮ້າຍແຕ່ສາມາດແກ້ໄຂໄດ້.
unite	ເຕົ້າໂຮມ	ບັນດາຜູ້ນຳພະຍາຍາມເຕົ້າໂຮມພັກ.
unity	ຄວາມສາມັກຄີ	ບົດປາໄສຮຽກຮ້ອງໃຫ້ມີຄວາມສາມັກຄີແຫ່ງຊາດ.
universal	ສາກົນ	ແອັບນີ້ໃຊ້ການອອກແບບທີ່ເປັນສາກົນ.
urgent	ດ່ວນ	ໂຮງໝໍໄດ້ຮັບສາຍດ່ວນ.
usage	ການນຳໃຊ້	ຄູ່ມືອະທິບາຍການນຳໃຊ້ທີ່ຖືກຕ້ອງ.
useless	ບໍ່ມີປະໂຫຍດ	ສາຍສາກທີ່ເພແລ້ວແມ່ນບໍ່ມີປະໂຫຍດ.
valid	ໃຊ້ໄດ້	ໜັງສືຜ່ານແດນຂອງທ່ານຍັງສາມາດໃຊ້ໄດ້.
variation	ຄວາມແຕກຕ່າງ	ມີຄວາມແຕກຕ່າງກັນຫຼາຍໃນລາຄາ.
vertical	ລວງຕັ້ງ	ແຜນພູມມີແກນຕັ້ງ.
viewpoint	ມຸມມອງ	ມຸມມອງຂອງນາງປ່ຽນໄປຫຼັງຈາກການໂຕ້ວາທີ.
visa	ວີຊາ	ລາວໄດ້ຍື່ນຂໍວີຊານັກຮຽນ.
visible	ເບິ່ງເຫັນໄດ້	ປ້າຍສາມາດເບິ່ງເຫັນໄດ້ຈາກທີ່ນີ້.
voluntary	ດ້ວຍຄວາມສະໝັກໃຈ	ຫຼັກສູດລວມມີກອງປະຊຸມແບບສະໝັກໃຈ.
voting	ການລົງຄະແນນສຽງ	ການລົງຄະແນນສຽງລ່ວງໜ້າເລີ່ມຕົ້ນໃນອາທິດໜ້າ.
wander	ຍ່າງເລາະ	ນັກທ່ອງທ່ຽວຍ່າງເລາະຜ່ານຕະຫຼາດເກົ່າ.
warming	ພາວະໂລກຮ້ອນ	ພາວະໂລກຮ້ອນສົ່ງຜົນກະທົບຕໍ່ລະດັບນໍ້າທະເລ.
weekly	ປະຈຳອາທິດ	ທີມງານຈັດກອງປະຊຸມປະຈຳອາທິດ.
weird	ແປກ	ສຽງນັ້ນຟັງເບິ່ງແປກໆ.
welfare	ສະຫວັດດີການ	ໂຄງການນີ້ສະໜັບສະໜູນສະຫວັດດີການເດັກ.
wheat	ເຂົ້າສາລີ	ຊາວນາປູກເຂົ້າສາລີ.
whoever	ໃຜກໍຕາມ	ໃຜກໍຕາມທີ່ມາຮອດກ່ອນຄວນລໍຖ້າຢູ່ຂ້າງນອກ.
widespread	ເປັນວົງກວ້າງ	ພະຍຸໄດ້ສ້າງຄວາມເສຍຫາຍເປັນວົງກວ້າງ.
