source_headword	TA	example_TA
ability	திறன்	அவளின் நீந்தும் திறன் தெளிவாக தெரிகிறது.
able	முடியும்	அவன் இன்று வர முடியும்.
abroad	வெளிநாட்டில்	அவள் வெளிநாட்டில் படிக்க விரும்புகிறாள்.
accept	ஏற்றுக்கொள்	தயவுசெய்து இந்த சிறிய பரிசை ஏற்றுக்கொள்.
accident	விபத்து	விபத்து பள்ளிக்கு அருகில் நடந்தது.
according to	படி	அறிக்கையின்படி, மழை வரும்.
achieve	அடை	நீ உன் இலக்கை அடைய முடியும்.
act	நடி; செயல்	அவன் நாடகத்தில் நடிக்க முடியும்.
active	சுறுசுறுப்பான	அவள் ஒவ்வொரு நாளும் சுறுசுறுப்பாக இருக்கிறாள்.
actually	உண்மையில்	உண்மையில், எனக்கு இன்னும் நேரம் தேவை.
advantage	நன்மை	இந்த திட்டத்தில் ஒரு நன்மை உள்ளது.
adventure	சாகசம்	அவர்களின் பயணம் ஒரு சாகசமாக இருந்தது.
advertise	விளம்பரம் செய்	அவர்கள் புதிய வேலையை விளம்பரம் செய்கிறார்கள்.
advertisement	விளம்பரம்	நான் ஒரு விளம்பரத்தை பார்த்தேன்.
advertising	விளம்பரப்படுத்தல்	விளம்பரப்படுத்தல் உணவை விற்க உதவுகிறது.
affect	பாதிப்பு ஏற்படுத்து	தூக்கம் உன் உடல்நலத்தை பாதிக்கலாம்.
against	எதிராக; சாய்ந்து	சுவரில் சாய்ந்து நிற்காதே.
ah	ஆஹா	ஆஹா, இப்போது எனக்கு புரிகிறது.
airline	விமான நிறுவனம்	விமான நிறுவனம் மிகவும் பிஸியாக உள்ளது.
alive	உயிருடன்	சிறிய மீன் உயிருடன் உள்ளது.
all right	சரி	இப்போது எல்லாம் சரி.
allow	அனுமதி	அவர்கள் இங்கே நாய்களை அனுமதிக்கிறார்கள்.
almost	கிட்டத்தட்ட	நாம் கிட்டத்தட்ட தயாராக இருக்கிறோம்.
alone	தனியாக	அவள் தனியாக வாழ்கிறாள்.
along	வழியாக	இந்த சாலையை வழியாக நட.
already	ஏற்கனவே	எனக்கு பதில் ஏற்கனவே தெரியும்.
alternative	மாற்று	இந்த ரயில் ஒரு மாற்று.
although	என்றாலும்	நேரம் ஆகிவிட்டாலும், நாம் தங்கலாம்.
among	மத்தியில்	அவன் மரங்களின் மத்தியில் நின்றான்.
amount	அளவு	அளவு மிகவும் சிறியது.
ancient	பண்டைய	இந்த பண்டைய சுவர் பிரபலமானது.
ankle	கணுக்கால்	இன்று என் கணுக்கால் வலிக்கிறது.
anybody	யாராவது	இதற்கு யாராவது பதில் சொல்ல முடியுமா?
any more	இனி மேலும்	எனக்கு இனி மேலும் தேவையில்லை.
anyway	எப்படியாயினும்	எப்படியாயினும், நாம் இப்போது தொடங்கலாம்.
anywhere	எங்கும்	உனக்கு பிடித்த இடத்தில் எங்கும் உட்கார்.
app	செயலி	இந்த செயலி பயனுள்ளதாக உள்ளது.
appear	தோன்று	அவளின் பெயர் இங்கே தோன்றும்.
appearance	தோற்றம்	அவனின் தோற்றம் வேறுபட்டது.
apply	விண்ணப்பி	இன்றே வேலைக்கு விண்ணப்பி.
architect	கட்டிடக் கலைஞர்	கட்டிடக் கலைஞரிடம் ஒரு திட்டம் உள்ளது.
architecture	கட்டிடக்கலை	எனக்கு நவீன கட்டிடக்கலை பிடிக்கும்.
argue	வாதிடு	உன் சகோதரியுடன் வாதிடாதே.
argument	வாதம்	வாதம் சுருக்கமாக இருந்தது.
army	இராணுவம்	இராணுவம் பெரியது.
arrange	ஏற்பாடு செய்	தயவுசெய்து கூட்டத்தை ஏற்பாடு செய்.
arrangement	ஏற்பாடு	இந்த ஏற்பாடு நன்றாக வேலை செய்கிறது.
asleep	தூங்கிக் கொண்டிருக்கும்	குழந்தை தூங்கிக் கொண்டிருக்கிறது.
assistant	உதவியாளர்	உதவியாளர் எனக்கு உதவினார்.
athlete	விளையாட்டு வீரர்	விளையாட்டு வீரர் வேகமாக ஓடுகிறார்.
attack	தாக்குதல்; தாக்கு	நாய் தாக்கக்கூடும்.
attend	கலந்துகொள்	நான் இன்று வகுப்பில் கலந்துகொள்கிறேன்.
attention	கவனம்	தயவுசெய்து இப்போது கவனம் செலுத்து.
attractive	கவர்ச்சியான	தோட்டம் கவர்ச்சியாக உள்ளது.
audience	பார்வையாளர்கள்	பார்வையாளர்கள் அமைதியாக இருந்தனர்.
author	ஆசிரியர்	ஆசிரியர் இந்த புத்தகத்தை எழுதினார்.
available	கிடைக்கக்கூடிய	உணவு இப்போது கிடைக்கிறது.
average	சராசரி	சராசரி மதிப்பெண் நல்லதாக இருந்தது.
avoid	தவிர்	பிஸியான சாலையை தவிர்.
award	விருது	அவள் ஒரு விருதை வென்றாள்.
awful	மோசமான	வானிலை மோசமாக இருந்தது.
background	பின்னணி	படத்தில் இருண்ட பின்னணி உள்ளது.
badly	மோசமாக	அவன் இன்று மோசமாக விளையாடினான்.
bar	மதுபானக் கூடம்	நாம் விடுதியின் மதுபானக் கூடத்தில் சந்தித்தோம்.
baseball	பேஸ்பால்	பேஸ்பால் இங்கே பிரபலமானது.
based	அடிப்படையாகக் கொண்ட	படம் ஒரு புத்தகத்தை அடிப்படையாகக் கொண்டது.
basketball	கூடைப்பந்து	நாங்கள் பள்ளிக்குப் பிறகு கூடைப்பந்து விளையாடுகிறோம்.
bean	பயறு	இந்த பயறு பச்சையாக உள்ளது.
bear (animal)	கரடி	ஒரு கரடி காட்டில் வாழ்கிறது.
beat	வெல்லு; அடி	எங்கள் அணி அவர்களை வெல்ல முடியும்.
beef	மாட்டிறைச்சி	நான் இரவு உணவுக்கு மாட்டிறைச்சி சாப்பிட்டேன்.
behave	நடந்து கொள்	வகுப்பில் நன்றாக நடந்து கொள்.
behaviour	நடத்தை	அவனின் நடத்தை மரியாதையாக இருந்தது.
belong	சேர்ந்திரு	இந்த காலணிகள் எனக்கு சேர்ந்தவை.
belt	பெல்ட்	அவனின் பெல்ட் கருப்பாக உள்ளது.
benefit	நன்மை	உடற்பயிற்சியில் உண்மையான நன்மை உள்ளது.
billion	பில்லியன்	ஒரு பில்லியன் மிகப் பெரிய எண்.
bin	குப்பைத்தொட்டி	காகிதத்தை குப்பைத்தொட்டியில் போடு.
biology	உயிரியல்	உயிரியல் என் சிறந்த வகுப்பு.
birth	பிறப்பு	அவளின் பிறப்பு மே மாதத்தில் நடந்தது.
biscuit	பிஸ்கட்	அவள் ஒரு பிஸ்கட் சாப்பிடுகிறாள்.
bit	சிறு அளவு	எனக்கு இன்னும் சிறு அளவு நேரம் தேவை.
blank	வெற்று இடம்	வெற்று இடத்தில் உன் பெயரை எழுது.
blood	இரத்தம்	இரத்தம் சிவப்பாக இருக்கும்.
blow	வீசு	காற்று பலமாக வீசலாம்.
board	பலகை	அதை பலகையில் எழுது.
boil	கொதிக்க வை	முதலில் தண்ணீரை கொதிக்க வை.
bone	எலும்பு	நாயிடம் ஒரு எலும்பு உள்ளது.
borrow	கடன் வாங்கு	உன் பேனாவை நான் கடன் வாங்கலாமா?
boss	மேலாளர்	என் மேலாளர் நட்பாக இருக்கிறார்.
bottom	அடிப்பகுதி	அடிப்பகுதியில் கையொப்பமிடு.
bowl	கிண்ணம்	கிண்ணம் நிறைந்துள்ளது.
brain	மூளை	உன் மூளைக்கு ஓய்வு தேவை.
bridge	பாலம்	பாலம் பழமையானது.
bright	பிரகாசமான	அறை பிரகாசமாக உள்ளது.
brilliant	அருமையான	அந்த யோசனை அருமையானது.
broken	உடைந்த	நாற்காலி உடைந்துள்ளது.
brush	துலக்கு	இப்போது உன் பற்களை துலக்கு.
burn	எரி	ரொட்டியை எரிக்காதே.
businessman	தொழிலதிபர்	தொழிலதிபர் சீக்கிரம் வந்தார்.
button	பொத்தான்	சிவப்பு பொத்தானை அழுத்து.
camp	முகாம்	நாங்கள் ஏரிக்கரையில் முகாம் இடுகிறோம்.
camping	முகாமிடுதல்	கோடையில் முகாமிடுதல் மகிழ்ச்சியானது.
can2	டின்	டினை கவனமாகத் திற.
care	கவனிப்பு	உன் உடல்நலத்தை கவனித்துக் கொள்.
careful	கவனமான	படிகளில் கவனமாக இரு.
carefully	கவனமாக	கேள்வியை கவனமாக படி.
carpet	கம்பளம்	கம்பளம் மென்மையாக உள்ளது.
cartoon	கார்ட்டூன்	இந்த கார்ட்டூன் நகைச்சுவையாக உள்ளது.
case	பெட்டி; நிலை	அதை பெட்டியில் வை.
cash	பணம்	நான் பணமாக செலுத்தினேன்.
castle	கோட்டை	கோட்டை மிகவும் பழமையானது.
catch	பிடி	இப்போது பந்தை பிடி.
cause	காரணம்; ஏற்படுத்து	மழை பிரச்சினைகளை ஏற்படுத்தலாம்.
celebrate	கொண்டாடு	நாங்கள் என் பிறந்தநாளை கொண்டாடுகிறோம்.
celebrity	பிரபலம்	பிரபலம் மிகவும் அன்பாக இருந்தார்.
certain	உறுதியான	இதில் நான் உறுதியாக இருக்கிறேன்.
certainly	நிச்சயமாக	நான் நிச்சயமாக உதவுவேன்.
chance	வாய்ப்பு	உனக்கு ஒரு வாய்ப்பு உள்ளது.
character	கதாபாத்திரம்	இந்த கதாபாத்திரம் தைரியமானது.
