hsk_key	source_word	simplified	TR	example_TR	SW	example_SW	AZ	example_AZ	UZ	example_UZ
3606:白白	白白	白白	boşuna; nafile	Bir saat boşuna bekledi.	bure; bila faida	Alisubiri kwa saa moja bure.	boş yerə; əbəs	O, bir saat boş yerə gözlədi.	bekorga; behuda	U bir soat bekorga kutdi.
3607:白领	白领	白领	beyaz yakalı çalışan	Bu şehirde çok sayıda genç beyaz yakalı çalışan var.	mfanyakazi wa ofisini	Jiji hili lina wafanyakazi wengi vijana wa ofisini.	ofis işçisi; ağ yaxalı işçi	Bu şəhərdə çox gənc ofis işçisi var.	ofis xodimi; oq yoqali xodim	Bu shaharda ko‘p yosh ofis xodimlari bor.
3609:摆放	摆放	摆放	yerleştirmek; düzenlemek	Lütfen belgeleri masanın üzerine düzgünce yerleştirin.	kuweka; kupanga	Tafadhali panga nyaraka vizuri mezani.	yerləşdirmək; düzmək	Zəhmət olmasa, materialları masanın üstünə səliqə ilə düzün.	joylashtirmoq; tartiblash	Iltimos, materiallarni stol ustiga tartib bilan joylashtiring.
3610:百分点	百分点	百分点	yüzde puanı	İşsizlik oranı iki yüzde puanı düştü.	alama ya asilimia	Kiwango cha ukosefu wa ajira kilishuka kwa alama mbili za asilimia.	faiz bəndi	İşsizlik səviyyəsi iki faiz bəndi azaldı.	foiz punkti	Ishsizlik darajasi ikki foiz punktiga pasaydi.
3611:百货	百货	百货	büyük mağaza ürünleri; genel mal	Bu büyük mağaza hafta sonları çok kalabalık oluyor.	bidhaa za duka kubwa; bidhaa mbalimbali	Duka hili kubwa huwa na watu wengi wikendi.	univermaq malları; müxtəlif mallar	Bu univermaq həftə sonları çox izdihamlı olur.	univermag tovarlari; turli mollar	Bu univermag dam olish kunlari juda gavjum bo‘ladi.
3613:败	败	败	yenilmek; kaybetmek	Takımımız sonunda bir sayı farkla yenildi.	kushindwa; kupoteza	Timu yetu hatimaye ilishindwa kwa tofauti ya pointi moja.	məğlub olmaq; uduzmaq	Komandamız sonda bir xal fərqi ilə uduzdu.	yutqazmoq; mag‘lub bo‘lmoq	Jamoamiz oxirida bir ochko farqi bilan yutqazdi.
3616:版	版	版	baskı; sürüm	Bu kitabın yeni baskısı çıktı.	toleo; chapa	Toleo jipya la kitabu hiki limetoka.	nəşr; versiya	Bu kitabın yeni nəşri çıxdı.	nashr; versiya	Bu kitobning yangi nashri chiqdi.
3621:棒球	棒球	棒球	beyzbol	Çocuklar parkta beyzbol oynuyor.	besiboli	Watoto wanacheza besiboli bustanini.	beysbol	Uşaqlar parkda beysbol oynayırlar.	beysbol	Bolalar parkda beysbol o‘ynayapti.
3623:保健	保健	保健	sağlık bakımı; sağlığı koruma	Yaşlı insanlar sağlık bakımına giderek daha çok önem veriyor.	huduma ya afya; utunzaji wa afya	Wazee wanazidi kutilia maanani afya.	sağlamlıq qayğısı; sağlamlığı qoruma	Yaşlı insanlar sağlamlığın qorunmasına getdikcə daha çox diqqət verirlər.	sog‘liqni saqlash; salomatlik parvarishi	Keksalar sog‘liqni saqlashga tobora ko‘proq e’tibor bermoqda.
3624:保暖	保暖	保暖	sıcak tutmak; üşümemek	Kışın dışarı çıkarken sıcak kalmaya dikkat etmelisin.	kupata joto; kujikinga na baridi	Unapotoka wakati wa baridi, zingatia kujikinga na baridi.	isti saxlamaq; isinmək	Qışda çölə çıxanda isti qalmağa diqqət et.	issiq tutmoq; sovqotmaslik	Qishda ko‘chaga chiqqanda issiq kiyinishga e’tibor berish kerak.
3625:保修	保修	保修	garanti kapsamında onarmak	Bu bilgisayar bir yıl ücretsiz garanti kapsamında onarılabilir.	kukarabati chini ya dhamana	Kompyuta hii inaweza kukarabatiwa bure chini ya dhamana kwa mwaka mmoja.	zəmanətlə təmir etmək	Bu kompüter bir il ərzində zəmanətlə pulsuz təmir oluna bilər.	kafolat bo‘yicha ta’mirlamoq	Bu kompyuter bir yil davomida kafolat bo‘yicha bepul ta’mirlanadi.
3627:爆	爆	爆	patlamak	Balon aniden patladı.	kupasuka; kulipuka	Puto lilipasuka ghafla.	partlamaq	Şar qəfil partladı.	yorilmoq; portlamoq	Shar birdan yorilib ketdi.
