source_headword	SK	example_SK
toss	hodiť	Hodila kľúče na stôl.
total	činiť	Opravy činia viac, ako sa očakávalo.
toxic	toxický	Toxický dym všetkých prinútil ísť von.
trademark	ochranná známka	Logo sa stalo ochrannou známkou spoločnosti.
trail	chodník	Chodník viedol lesom.
trailer	upútavka	Upútavka ukázala koniec filmu.
transaction	transakcia	Transakcia sa objavila na mojom výpise z účtu.
transcript	výpis známok	Študent požiadal o oficiálny výpis známok.
transformation	premena	Mesto prešlo veľkou premenou.
transit	preprava	Balíček bol poškodený počas prepravy.
transmission	prenos	Prenos dát bol bezpečný.
transparency	transparentnosť	Správa vyzývala k väčšej transparentnosti.
transparent	transparentný	Proces by mal byť transparentný pre všetkých.
trauma	trauma	Nehoda zanechala hlbokú traumu.
treaty	zmluva	Krajiny podpísali mierovú zmluvu.
tremendous	obrovský	Tím urobil obrovský pokrok.
tribal	kmeňový	Múzeum vystavilo kmeňové umenie.
tribunal	tribunál	Tribunál počúval dôkazy celý týždeň.
tribute	pocta	Koncert bol poctou pre ňu.
trio	trio	Trio vystúpilo na festivale.
triumph	triumf	Víťazstvo bolo osobným triumfom.
trophy	trofej	Kapitán hrdo zdvihol trofej.
troubled	problémový	Problémová spoločnosť potrebovala nové vedenie.
trustee	správca	Správca spravuje štipendijný fond.
tuition	školné	Jej školné sa tento rok zvýšilo.
turnout	volebná účasť	Volebná účasť bola vyššia, ako sa očakávalo.
turnover	fluktuácia	Fluktuácia zamestnancov po zmenách klesla.
twist	otočiť	Otočením otvorila viečko.
undergraduate	vysokoškolák	Vysokoškolák sa pripojil k výskumnému projektu.
underlying	základný	Správa vysvetlila základné príčiny.
undermine	podkopať	Škandál podkopal dôveru verejnosti.
undoubtedly	nepochybne	Ona je nepochybne najlepšia kandidátka.
unify	zjednotiť	Plán si kladie za cieľ zjednotiť tímy.
unprecedented	nevídaný	Búrka spôsobila nevídané škody.
unveil	odhaliť	Spoločnosť zajtra odhalí dizajn.
upcoming	nadchádzajúci	Nadchádzajúce voľby pritiahli pozornosť verejnosti.
upgrade	aktualizovať	Včera v noci sme aktualizovali softvér.
uphold	podporiť	Podporujeme pôvodné rozhodnutie.
utility	energie	Byt zahŕňa všetky náklady na energie.
utilize	využiť	Tím využil dostupné dáta.
utterly	úplne	Vysvetlenie bolo úplne mätúce.
vacuum	prázdnota	Prázdnota vo vedení vytvorila napätie.
vague	vágny	Jeho odpoveď bola vágna a slabá.
validity	platnosť	Štúdia spochybnila platnosť testu.
vanish	zmiznúť	Súbor zmizol zo zložky.
variable	premenná	Cena je jednou dôležitou premennou.
varied	rozmanitý	Kurz ponúka rozmanité úlohy.
vein	žila	Zdravotná sestra rýchlo našla žilu.
venture	podnik	Nový podnik prilákal investorov.
verbal	ústny	Dosiahli ústnu dohodu.
verdict	verdikt	Porota vyniesla svoj verdikt.
verify	overiť	Overte prosím svoju e-mailovú adresu.
verse	verš	Citovala verš z básne.
versus	proti	Debata bola súkromie proti bezpečnosti.
vessel	plavidlo	Plavidlo prepravovalo obilie cez more.
veteran	veterán	Veterán vyškolil nový personál.
viable	životaschopný	Návrh je finančne životaschopný.
vibrant	pulzujúci	Mesto má pulzujúcu umeleckú scénu.
vice	neresť	Chamtivosť bola jeho najväčšou neresťou.
vicious	krutý	Krutý útok šokoval mesto.
villager	dedinčan	Dedinčan nás priviedol k rieke.
violate	porušiť	Spoločnosť môže porušiť bezpečnostné pravidlá.
violation	porušenie	Inšpektor ohlásil vážne porušenie.
virtue	cnosť	Trpezlivosť je dôležitá cnosť.
vocal	hlasitý	O rozhodnutí hovorila veľmi hlasno.
vow	sľúbiť	Sľúbil, že prácu dokončí.
vulnerability	zraniteľnosť	Audit odhalil bezpečnostnú zraniteľnosť.
vulnerable	zraniteľný	Deti sú počas extrémnych horúčav zraniteľné.
ward	oddelenie	Pacient sa presunul na iné oddelenie.
warehouse	sklad	Sklad uchováva náhradné diely.
warfare	vojenstvo	Moderné vojenstvo sa spolieha na technológie.
warrant	povolenie	Polícia ukázala povolenie na prehliadku.
warrior	bojovník	Bojovník chránil dedinu.
weaken	oslabiť	Zranenie oslabilo jeho stisk.
weave	tkať	Naučila sa tkať košíky.
weed	burina	Medzi kameňmi rástla burina.
well	studňa	Dedinská studňa vyschla.
well-being	pohoda	Spánok je pre pohodu životne dôležitý.
whatsoever	vôbec	Nejavil vôbec žiadny záujem.
whereby	pomocou ktorého	Zákon vytvoril systém, pomocou ktorého sa rodiny mohli odvolať.
whilst	zatiaľ čo	Pracovala, zatiaľ čo on odpočíval.
whip	bičovať	Vietor môže bičovať vlajkami.
wholly	úplne	Rozhodnutie bolo úplne nečakané.
widen	rozšíriť	Mesto plánuje rozšíriť cestu.
widow	vdova	Vdova žije neďaleko školy.
width	šírka	Zmerajte šírku dverí.
willingness	ochota	Jej ochota pomôcť na všetkých urobila dojem.
wipe	utrieť	Utrite obrazovku handričkou.
wit	vtip	Jeho vtip oživil prejav.
withdrawal	stiahnutie	Stiahnutie financovania zdržalo projekt.
workout	tréning	Tréning trval štyridsať minút.
worship	bohoslužba	Ľudia sa za úsvitu zhromaždili k bohoslužbe.
worthwhile	stojaci za to	Výlet stál za to.
worthy	hodný	Charita je hodná podpory.
yell	kričať	Nekričte na personál.
yield	výnos	Výnos farmy sa v tejto sezóne zlepšil.
youngster	mladík	Mladík sa pýtal na veľa otázok.
