source_headword	MY	example_MY
strengthen	ခိုင်မာစေသည်	မူဝါဒသစ်သည် အွန်လိုင်းလုံခြုံရေးကို ခိုင်မာစေလိမ့်မည်။
strictly	တင်းကြပ်စွာ	လက်မှတ်များကို တစ်ဦးလျှင် နှစ်စောင်သာ တင်းကြပ်စွာ ကန့်သတ်ထားသည်။
striking	ထင်ရှားသော	ပန်းချီကားတွင် ထင်ရှားသော အရောင်များ ပါရှိသည်။
stroke	ဆွဲချက်	သူမသည် စက္ကူပေါ်တွင် ဆွဲချက်တစ်ခု ဆွဲခဲ့သည်။
stunning	အလွန်လှပသော	တောင်တန်းရှုခင်းသည် အလွန်လှပသည်။
subsequent	နောက်ပိုင်း	နောက်ပိုင်း အစည်းအဝေးတွင် ဘတ်ဂျက်ကို အတည်ပြုခဲ့သည်။
subsequently	ထို့နောက်	လမ်းပိတ်သွားပြီး ထို့နောက် ယာဉ်ကြောအသွားအလာ နှေးကွေးသွားသည်။
suburb	ဆင်ခြေဖုံး	သူတို့သည် တိတ်ဆိတ်သော ဆင်ခြေဖုံးရပ်ကွက်တွင် နေထိုင်ကြသည်။
suffering	ဝေဒနာ	ဆေးက သူ၏ ဝေဒနာကို သက်သာစေသည်။
sufficient	လုံလောက်သော	အဖွဲ့တွင် လုံလောက်သော အချိန်ရှိသည်။
sufficiently	လုံလောက်စွာ	အခန်းသည် လုံလောက်စွာ နွေးထွေးသည်။
super	အလွန်	တက်ဘလက်အသစ်သည် အလွန်မြန်သည်။
surgeon	ခွဲစိတ်ဆရာဝန်	ခွဲစိတ်ဆရာဝန်က ဒဏ်ရာရနေသော ဒူးကို ပြုပြင်ပေးခဲ့သည်။
survival	အသက်ရှင်ကျန်ရစ်ခြင်း	သန့်ရှင်းသောရေသည် အသက်ရှင်ကျန်ရစ်ခြင်းအတွက် မရှိမဖြစ်လိုအပ်သည်။
survivor	အသက်ရှင်ကျန်ရစ်သူ	အသက်ရှင်ကျန်ရစ်သူက ရေကြီးမှုကို ဖော်ပြခဲ့သည်။
suspend	ဆိုင်းငံ့သည်	ကျောင်းသည် ခရီးစဉ်ကို ဆိုင်းငံ့ထားနိုင်သည်။
sustainable	ရေရှည်တည်တံ့သော	ခြံသည် ရေရှည်တည်တံ့သော နည်းလမ်းများကို အသုံးပြုသည်။
swallow	မျိုချသည်	တက်ဘလက်ကို ရေဖြင့် မျိုချပါ။
sympathetic	စာနာသော	မန်နေဂျာသည် သူမ၏ပြဿနာကို စာနာခဲ့သည်။
tackle	ကိုင်တွယ်ဖြေရှင်းသည်	ကျွန်ုပ်တို့သည် အိမ်ရာပြဿနာကို ကိုင်တွယ်ဖြေရှင်းရမည်။
tag	အမှတ်အသား	အိတ်တွင် စျေးနှုန်းအမှတ်အသား ပါရှိသည်။
tap	ရေပိုက်ခေါင်း	သူမသည် ရေပိုက်ခေါင်းကို ပိတ်ခဲ့သည်။
technological	နည်းပညာပိုင်းဆိုင်ရာ	နည်းပညာပိုင်းဆိုင်ရာ ပြောင်းလဲမှုသည် လုပ်ငန်းခွင်တိုင်းကို သက်ရောက်မှုရှိသည်။
teens	ဆယ်ကျော်သက်များ	ဆယ်ကျော်သက်များစွာသည် ဆိုရှယ်မီဒီယာကို နေ့စဉ်အသုံးပြုကြသည်။
temple	ဘုရားကျောင်း	ဘုရားကျောင်းသည် မြစ်နားတွင် ရှိသည်။
temporarily	ယာယီ	ရုံးကို ယာယီပိတ်ထားသည်။
tendency	အလေ့အထ	သူသည် နောက်ကျမှရောက်လာတတ်သော အလေ့အထရှိသည်။
tension	တင်းမာမှု	ဆွေးနွေးပွဲအတွင်း တင်းမာမှု မြင့်တက်လာသည်။
terms	စည်းကမ်းချက်များ	စာချုပ်စည်းကမ်းချက်များသည် ရှင်းလင်းပါသည်။
terribly	ဆိုးရွားစွာ	ကလေးသည် ဆိုးရွားစွာ စိတ်ဆိုးနေသည်။
terrify	ထိတ်လန့်စေသည်	ကျယ်လောင်သော အသံများက ခွေးကို ထိတ်လန့်စေသည်။
territory	နယ်မြေ	မြေပုံက နယ်မြေသစ်ကို ပြသထားသည်။
terror	ထိတ်လန့်မှု	တိုက်ခိုက်မှုအပြီးတွင် ထိတ်လန့်မှု ပျံ့နှံ့သွားသည်။
terrorism	အကြမ်းဖက်ဝါဒ	အကြမ်းဖက်ဝါဒသည် ပြည်သူ့လုံခြုံရေးကို ခြိမ်းခြောက်နေသည်။
terrorist	အကြမ်းဖက်သမား	ရဲက အကြမ်းဖက်သမားကို မနေ့က ဖမ်းဆီးခဲ့သည်။
testing	စမ်းသပ်ခြင်း	ထုတ်ကုန်စမ်းသပ်ခြင်းကို တနင်္လာနေ့တွင် စတင်မည်။
textbook	ဖတ်စာအုပ်	သူမသည် ဇီဝဗေဒ ဖတ်စာအုပ်ကို မေ့ကျန်ခဲ့သည်။
theft	ခိုးယူမှု	ဧရိယာအတွင်း ခိုးယူမှုများပြားလာသည်။
therapist	ကုထုံးပညာရှင်	ကုထုံးပညာရှင်က သူ့ကို စိုးရိမ်ပူပန်မှု ထိန်းချုပ်ရန် ကူညီပေးခဲ့သည်။
thesis	ကျမ်း	သူမ၏ကျမ်းသည် အွန်လိုင်းသင်ယူမှုကို လေ့လာထားသည်။
thorough	စေ့စပ်သေချာသော	စေ့စပ်သေချာသော သုံးသပ်ချက်တွင် အမှားအယွင်းများ မတွေ့ရပါ။
thoroughly	စေ့စပ်သေချာစွာ	ဒဏ်ရာကို စေ့စပ်သေချာစွာ ဆေးကြောပါ။
thumb	လက်မ	သူသည် သဘောတူညီကြောင်းပြသရန် လက်မကို မြှောက်ခဲ့သည်။
timing	အချိန်ကိုက်	ဖုန်းခေါ်ဆိုမှု၏ အချိန်ကိုက်သည် ပြီးပြည့်စုံသည်။
tissue	တစ်ရှူး	သူမသည် ဖန်ခွက်ကို တစ်ရှူးဖြင့် သုတ်ခဲ့သည်။
ton	တန်	ထရပ်ကားသည် သဲတစ်တန်ကို သယ်ဆောင်ခဲ့သည်။
tonne	တန်	ကုန်စည်သည် တစ်တန်အလေးချိန်ရှိသည်။
tournament	ပြိုင်ပွဲ	တင်းနစ်ပြိုင်ပွဲ မနက်ဖြန် စတင်မည်။
trace	ခြေရာခံသည်	သိပ္ပံပညာရှင်များသည် ဗိုင်းရပ်စ်အရင်းအမြစ်ကို ခြေရာခံနိုင်သည်။
trading	ကုန်သွယ်မှု	စတော့ရှယ်ယာ ကုန်သွယ်မှု မွန်းတည့်ချိန်တွင် ရပ်တန့်သွားသည်။
tragedy	အဖြစ်ဆိုး	ယာဉ်တိုက်မှုသည် ဆိုးရွားသော အဖြစ်ဆိုးတစ်ခုဖြစ်သည်။
tragic	အလွန်ဝမ်းနည်းဖွယ်ကောင်းသော	ယာဉ်တိုက်မှုတွင် အလွန်ဝမ်းနည်းဖွယ်ကောင်းသော အကျိုးဆက်များရှိခဲ့သည်။
trait	စရိုက်လက္ခဏာ	စိတ်ရှည်ခြင်းသည် အသုံးဝင်သော စရိုက်လက္ခဏာတစ်ခုဖြစ်သည်။
transmit	ကူးစက်သည်	ခြင်များသည် ရောဂါကို ကူးစက်စေနိုင်သည်။
transportation	သယ်ယူပို့ဆောင်ရေး	ယနေ့ အများပြည်သူ သယ်ယူပို့ဆောင်ရေးတွင် လူကြပ်နေသည်။
trap	ထောင်ချောက်ဆင်သည်	သေတ္တာသည် အင်းဆက်များကို ဘေးကင်းစွာ ထောင်ချောက်ဆင်နိုင်သည်။
treasure	ရတနာ	သေတ္တာဟောင်းတွင် ရတနာများ ပါရှိသည်။
tribe	မျိုးနွယ်စု	မျိုးနွယ်စုသည် ၎င်းတို့၏ အစဉ်အလာများကို ကာကွယ်ခဲ့သည်။
trigger	ဖြစ်ပေါ်စေသည်	မီးခိုးသည် အချက်ပေးသံကို ဖြစ်ပေါ်စေနိုင်သည်။
trillion	ထရီလီယံ	အကြွေးသည် ဒေါ်လာတစ်ထရီလီယံအထိ ရောက်ရှိခဲ့သည်။
troop	တပ်ဖွဲ့	တပ်ဖွဲ့သည် နယ်စပ်ဆီသို့ ရွေ့လျားသွားသည်။
tsunami	ဆူနာမီ	ဆူနာမီသည် ကမ်းရိုးတန်းနေအိမ်များကို ဖျက်ဆီးခဲ့သည်။
ultimate	အန္တိမ	အန္တိမပန်းတိုင်မှာ ငြိမ်းချမ်းရေးဖြစ်သည်။
unacceptable	လက်မခံနိုင်သော	နှောင့်နှေးမှုကို ခရီးသည်များက လက်မခံနိုင်ပါ။
uncertainty	မသေချာမရေရာမှု	မသေချာမရေရာမှုက ရင်းနှီးမြှုပ်နှံသူများကို စိုးရိမ်စေခဲ့သည်။
undergo	ခံယူသည်	လူနာသည် မနက်ဖြန်တွင် ခွဲစိတ်မှု ခံယူရမည်။
undertake	လုပ်ဆောင်သည်	အဖွဲ့သည် စစ်တမ်းတစ်ခုကို လုပ်ဆောင်မည်။
unfold	ဖွင့်ဟပြသည်	ပြဇာတ်သည် ဖြည်းဖြည်းချင်း ဖွင့်ဟပြလာသည်။
