source_headword	KO	example_KO
fridge	냉장고	우유는 냉장고 안에 있어요.
frog	개구리	개구리가 연못으로 뛰어들었어요.
furniture	가구	이 가구는 낡았지만 튼튼해요.
further	더 먼;추가의	우리는 추가 정보가 필요해요.
gallery	화랑;갤러리	갤러리는 오늘 열려 있어요.
gap	틈;차이	벽에 틈이 있어요.
gas	휘발유;가스	그 차에는 휘발유가 필요해요.
gate	문;대문	문을 닫아 주세요.
general	일반적인	이것은 일반적인 규칙이에요.
gift	선물	그녀는 선물을 샀어요.
goal	목표	우리의 목표는 간단해요.
god	신	많은 사람들이 신에게 기도해요.
gold	금;금색	그 반지는 금이에요.
golf	골프	그는 오늘 골프를 쳐요.
government	정부	정부가 법을 바꾸었어요.
grass	풀;잔디	잔디가 젖어 있어요.
greet	인사하다	각 손님에게 공손히 인사하세요.
ground	땅;바닥	바닥에 앉으세요.
guest	손님	우리 손님은 일찍 도착했어요.
guide	안내자;안내하다	안내자가 우리에게 박물관을 보여 주었어요.
gun	총	경찰이 총을 찾았어요.
guy	남자;녀석	저 남자는 내 형이에요.
habit	습관	매일 읽는 것은 좋은 습관이에요.
hall	홀;복도	복도에서 기다리세요.
happily	행복하게	그들은 함께 행복하게 살았어요.
headache	두통	나는 두통이 있어요.
heart	심장;마음	그녀의 심장이 빨리 뛰어요.
heat	데우다;열	수프를 천천히 데우세요.
heavy	무거운	이 가방은 무거워요.
height	높이;키	탁자의 높이를 재세요.
helpful	도움이 되는	당신의 조언은 도움이 되었어요.
hero	영웅	그는 나의 영웅이에요.
hers	그녀의 것	파란 코트는 그녀의 것이에요.
herself	그녀 자신	그녀는 저녁을 직접 만들었어요.
hide	숨기다	열쇠를 상자 밑에 숨기세요.
hill	언덕	우리는 언덕에 올랐어요.
himself	그 자신	그는 그것을 직접 고쳤어요.
hit	치다;부딪치다	문을 치지 마세요.
hockey	하키	우리는 어젯밤 하키를 봤어요.
hold	잡다;들다	내 손을 잡으세요.
hole	구멍	내 양말에 구멍이 있어요.
huge	거대한	방이 아주 커요.
human	인간;인간의	모든 인간에게 물이 필요해요.
hurt	아프다;다치게 하다	내 무릎이 아파요.
ideal	이상적인	이 방은 공부하기에 이상적이에요.
identify	확인하다;식별하다	이 새를 식별할 수 있나요?
ill	아픈	그녀는 오늘 아파 보여요.
illness	병	그 병은 일주일 동안 계속되었어요.
image	이미지;그림	그 이미지는 선명해요.
immediately	즉시	즉시 여기로 오세요.
impossible	불가능한	이 퍼즐은 불가능해 보여요.
included	포함된	아침 식사가 포함되어 있어요.
including	포함하여	나를 포함해 열 명이 왔어요.
increase	증가하다;늘리다	여름에는 가격이 올라요.
incredible	믿기 어려운;놀라운	그 경치는 놀라웠어요.
independent	독립적인	내 여동생은 독립적이에요.
individual	개인;개별의	각 개인에게 번호가 있어요.
industry	산업;업계	지역 산업이 성장하고 있어요.
informal	비공식적인	이 이메일은 비공식적이에요.
injury	부상	그의 부상은 심각하지 않아요.
insect	곤충	곤충이 컵 위에 내려앉았어요.
inside	안에;안쪽	집 안에서 기다리세요.
instead	대신에	대신 물을 마시세요.
instruction	지시;설명	각 지시를 주의 깊게 읽으세요.
instructor	강사;지도자	강사가 운동을 설명했어요.
instrument	악기;기구	그녀는 악기를 연주해요.
