simplified	JA	example_JA	KO	example_KO	VI	example_VI
爱情	恋愛; 愛情	これは感動的な恋愛物語です。	사랑; 연애	이것은 감동적인 사랑 이야기예요.	tình yêu; tình yêu lãng mạn	Đây là một câu chuyện tình yêu cảm động.
安排	手配する; 予定	今週末はどんな予定がありますか。	배치하다; 계획; 일정	이번 주말에 무슨 계획이 있어요?	sắp xếp; kế hoạch	Cuối tuần này bạn có kế hoạch gì?
安全	安全な; 安全	安全に注意してください。	안전하다; 안전	안전에 주의하세요.	an toàn	Xin hãy chú ý an toàn.
按时	時間どおりに; 期限どおりに	私は時間どおりに任務を終えました。	제때; 정시에	저는 제때 임무를 끝냈어요.	đúng giờ; đúng hạn	Tôi đã hoàn thành nhiệm vụ đúng hạn.
按照	〜に従って; 〜どおりに	この計画はとてもいいので、そのとおりにやりましょう。	따라서; 에 맞추어	이 계획은 아주 좋으니 그대로 하세요.	theo; căn cứ vào	Kế hoạch này rất tốt, bạn cứ làm theo nó nhé.
百分之	パーセント	任務は八十パーセント終わりました。	퍼센트	임무가 80퍼센트 완료됐어요.	phần trăm	Nhiệm vụ đã hoàn thành tám mươi phần trăm.
棒	すばらしい; すごい	あなたの字は本当にすばらしいです。	훌륭하다; 멋지다	글씨를 정말 잘 썼어요!	tuyệt; giỏi	Chữ của bạn viết thật tuyệt!
包子	包子; 肉まん	この店の包子はとてもおいしいです。	바오쯔; 찐빵	이 식당의 바오쯔는 맛이 아주 좋아요.	bánh bao	Bánh bao của nhà hàng này rất ngon.
保护	保護する; 守る	人々は環境を守るべきです。	보호하다	사람들은 환경을 보호해야 해요.	bảo vệ	Mọi người nên bảo vệ môi trường.
保证	保証する; 約束する	私はもう遅刻しないと約束します。	보장하다; 약속하다	저는 앞으로 지각하지 않겠다고 약속해요.	bảo đảm; cam đoan	Tôi cam đoan sau này sẽ không đi muộn nữa.
报名	申し込む; 登録する	申し込みにはどんな資料が必要ですか。	신청하다; 등록하다	등록에는 어떤 자료가 필요해요?	đăng ký	Đăng ký cần những tài liệu gì?
抱	抱く; 抱える	彼は子どもを抱き上げました。	안다; 안아 들다	그는 아이를 안아 올렸어요.	ôm; bế	Anh ấy bế đứa trẻ lên.
抱歉	申し訳ない; すみません	長くお待たせして、本当に申し訳ありません。	미안하다; 죄송하다	오래 기다리게 해서 정말 죄송합니다.	xin lỗi; áy náy	Thật xin lỗi vì đã để ngài đợi lâu như vậy.
倍	倍	私たちの学校の留学生は去年より倍に増えました。	배; 갑절	우리 학교의 유학생 수가 작년보다 두 배 늘었어요.	lần; gấp đôi	Số du học sinh của trường chúng tôi đã tăng gấp đôi so với năm ngoái.
本来	もともと; 本来	私は公演を見に行くつもりでしたが、急に用事ができました。	원래; 본래	저는 원래 공연을 보러 가려고 했지만 갑자기 일이 생겼어요.	vốn dĩ; ban đầu	Tôi vốn định đi xem buổi biểu diễn, nhưng đột nhiên có việc.
笨	愚かな; 不器用な	あなたは愚かではなく、もっと努力が必要なだけです。	멍청하다; 서툴다	당신은 멍청하지 않고, 더 노력할 필요가 있을 뿐이에요.	ngốc; vụng về	Bạn không ngốc, chỉ là cần cố gắng hơn.
比如	例えば	私には水泳や読書など、たくさんの趣味があります。	예를 들면; 예컨대	저는 수영과 독서 같은 취미가 많아요.	ví dụ; chẳng hạn	Tôi có nhiều sở thích, ví dụ như bơi lội và đọc sách.
毕业	卒業する; 卒業	私は今年大学三年生で、来年卒業します。	졸업하다; 졸업	저는 올해 대학교 3학년이고 내년에 졸업해요.	tốt nghiệp; sự tốt nghiệp	Năm nay tôi học năm ba đại học, sang năm sẽ tốt nghiệp.
遍	回; 一度	彼はそのことをもう一度言い直しました。	번; 차례	그는 그 일을 다시 한 번 말했어요.	lần; lượt	Anh ấy nói lại việc đó một lần nữa.
标准	標準; 基準	あなたの普通話はとても標準的です。	표준; 기준	당신의 표준중국어는 아주 표준적이에요.	tiêu chuẩn; chuẩn	Tiếng phổ thông của bạn nói rất chuẩn.
表格	フォーム; 表	フォームにお名前を記入してください。	양식; 표	양식에 성명을 써 주세요.	biểu mẫu; bảng	Xin hãy điền họ tên của ngài vào biểu mẫu.
表示	表す; 示す	彼に感謝の気持ちを伝えてください。	표시하다; 표현하다	그에게 감사의 뜻을 전해 주세요.	biểu thị; bày tỏ	Xin hãy bày tỏ lời cảm ơn với anh ấy.
表演	演じる; 公演	あなたたちはどんな出し物を披露しますか。	공연하다; 공연	여러분은 어떤 프로그램을 공연할 거예요?	biểu diễn; màn biểu diễn	Các bạn định biểu diễn tiết mục gì?
