simplified	TR	example_TR	SW	example_SW	PT-BR	example_PT-BR	ES-419	example_ES-419	AZ	example_AZ	UZ	example_UZ
白天	gündüz; gün boyunca	Gündüz okulda ders çalışırım.	mchana; wakati wa mchana	Mchana nasoma shuleni.	dia; durante o dia	Durante o dia, estudo na escola.	día; durante el día	Durante el día estudio en la escuela.	gündüz; gün ərzində	Gündüz məktəbdə oxuyuram.	kunduz; kun davomida	Kunduzi maktabda o'qiyman.
边	yan; kenar	Kitap masanın yanında.	kando; ukingo	Kitabu kiko kando ya meza.	lado; borda	O livro está ao lado da mesa.	lado; borde	El libro está al lado de la mesa.	yan; kənar	Kitab masanın yanındadır.	yon; chet	Kitob stol yonida turibdi.
病	hastalık; hasta olmak	O hasta.	ugonjwa; kuwa mgonjwa	Yeye ni mgonjwa.	doença; estar doente	Ele está doente.	enfermedad; estar enfermo	Él está enfermo.	xəstəlik; xəstə olmaq	O xəstədir.	kasallik; kasal bo'lish	U kasal.
不要	yapma; istememek	Çok fazla kahve içme.	usifanye; kutotaka	Usinywe kahawa nyingi sana.	não; não querer	Não beba café demais.	no; no querer	No tomes demasiado café.	eləmə; istəməmək	Çox qəhvə içmə.	yo'q; xohlamaslik	Juda ko'p qahva ichma.
唱	şarkı söylemek	Küçük kız kardeşim Çince şarkılar söylemeyi sever.	kuimba	Dada yangu mdogo hupenda kuimba nyimbo za Kichina.	cantar	Minha irmã mais nova gosta de cantar músicas chinesas.	cantar	A mi hermana menor le gusta cantar canciones chinas.	oxumaq	Kiçik bacım Çin mahnıları oxumağı sevir.	kuylamoq	Singlim xitoycha qo'shiqlar kuylashni yaxshi ko'radi.
车	araba; taşıt	Kapının yanında bir araba var.	gari; chombo cha usafiri	Gari lipo karibu na mlango.	carro; veículo	Há um carro perto da porta.	auto; vehículo	Hay un auto junto a la puerta.	maşın; nəqliyyat vasitəsi	Qapının yanında maşın var.	mashina; transport vositasi	Eshik oldida mashina turibdi.
大学	üniversite	Ağabeyim üniversitede okuyor.	chuo kikuu	Kaka yangu mkubwa anasoma chuo kikuu.	universidade	Meu irmão mais velho estuda na universidade.	universidad	Mi hermano mayor estudia en la universidad.	universitet	Böyük qardaşım universitetdə oxuyur.	universitet	Akam universitetda o'qiydi.
大学生	üniversite öğrencisi	O bir üniversite öğrencisi.	mwanafunzi wa chuo kikuu	Yeye ni mwanafunzi wa chuo kikuu.	estudante universitário	Ela é estudante universitária.	estudiante universitario	Ella es estudiante universitaria.	universitet tələbəsi	O, universitet tələbəsidir.	universitet talabasi	U universitet talabasi.
第	sıra sayısı öneki	Bu birinci ders.	kiambishi cha nambari ya mpangilio	Hili ni somo la kwanza.	prefixo ordinal	Esta é a primeira aula.	prefijo ordinal	Esta es la primera lección.	sıra sayının prefiksi	Bu, birinci dərsdir.	tartib son old qo'shimchasi	Bu birinchi dars.
店	dükkan; mağaza	Bu mağaza küçük.	duka	Duka hili ni dogo.	loja	Esta loja é pequena.	tienda	Esta tienda es pequeña.	mağaza	Bu mağaza kiçikdir.	do'kon	Bu do'kon kichik.
电话	telefon; telefon görüşmesi	Telefon numaran nedir?	simu; simu ya kupiga	Nambari yako ya simu ni ipi?	telefone; ligação telefônica	Qual é o seu número de telefone?	teléfono; llamada telefónica	¿Cuál es tu número de teléfono?	telefon; telefon zəngi	Telefon nömrən nədir?	telefon; telefon qo'ng'irog'i	Telefon raqamingiz nima?
电影院	sinema	Sinema okulun yanında.	sinema	Sinema iko kando ya shule.	cinema	O cinema fica ao lado da escola.	cine	El cine está al lado de la escuela.	kinoteatr	Kinoteatr məktəbin yanındadır.	kinoteatr	Kinoteatr maktab yonida.
读书	okumak; ders çalışmak	Çocuk odada kitap okuyor.	kusoma; kujifunza	Mtoto anasoma chumbani.	ler; estudar	A criança lê no quarto.	leer; estudiar	El niño lee en la habitación.	oxumaq; təhsil almaq	Uşaq otaqda kitab oxuyur.	o'qimoq; o'rganmoq	Bola xonada kitob o'qiyapti.
饭	yemek; pişmiş pirinç	Şu anda yemek yiyorum.	chakula; wali uliopikwa	Ninakula sasa hivi.	refeição; arroz cozido	Estou comendo agora.	comida; arroz cocido	Estoy comiendo ahora.	yemək; bişmiş düyü	Hazırda yemək yeyirəm.	ovqat; pishgan guruch	Hozir ovqat yeyapman.
饭店	restoran; otel	Bu restoran çok ünlü.	mgahawa; hoteli	Mgahawa huu unajulikana sana.	restaurante; hotel	Este restaurante é muito famoso.	restaurante; hotel	Este restaurante es muy conocido.	restoran; otel	Bu restoran çox məşhurdur.	restoran; mehmonxona	Bu restoran juda mashhur.
歌	şarkı	Bu şarkı güzel geliyor.	wimbo	Wimbo huu unasikika vizuri.	canção	Esta canção soa bonita.	canción	Esta canción suena bonita.	mahnı	Bu mahnı gözəl səslənir.	qo'shiq	Bu qo'shiq chiroyli eshitiladi.
国	ülke; devlet	Çin büyük bir ülkedir.	nchi; taifa	China ni nchi kubwa.	país; estado	A China é um país grande.	país; estado	China es un país grande.	ölkə; dövlət	Çin böyük ölkədir.	mamlakat; davlat	Xitoy katta mamlakat.
还	hala; ayrıca	Hala çay içmek istiyorum.	bado; pia	Bado ninataka kunywa chai.	ainda; também	Ainda quero tomar chá.	todavía; también	Todavía quiero tomar té.	hələ; həmçinin	Hələ çay içmək istəyirəm.	haligacha; yana	Men hali ham choy ichmoqchiman.
汉字	Çince karakter	Bu Çince karakter zor değil.	herufi ya Kichina	Herufi hii ya Kichina si ngumu.	caractere chinês	Este caractere chinês não é difícil.	caracter chino	Este carácter chino no es difícil.	Çin yazı işarəsi	Bu Çin yazı işarəsi çətin deyil.	xitoy ieroglifi	Bu xitoy ieroglifi qiyin emas.
