source_headword	SW	example_SW
abandon	kuacha	Waliacha mpango jana.
absolute	kamili	Tunahitaji uaminifu kamili hapa.
acceptable	inayokubalika	Jibu lake lilikubalika.
accompany	kusindikiza	Kaka yake alimsindikiza nyumbani.
accurate	sahihi	Ripoti inaonekana sahihi.
accuse	kushtaki	Walimshtaki kwa kusema uongo.
acknowledge	kukubali	Tafadhali kubali kosa.
acquire	kupata	Alipata ujuzi mpya haraka.
actual	halisi	Gharama halisi ilikuwa ya chini.
adapt	kuzoea	Tulizoea mabadiliko.
additional	ya ziada	Msaada wa ziada uliwasili leo.
administration	utawala	Utawala ulibadilisha sera.
adopt	kupitisha	Walipitisha mbinu mpya.
advance	maendeleo	Tulifanya maendeleo madogo.
affair	jambo	Jambo hilo liliharibu imani ya umma.
afterwards	baadaye	Baadaye, kila mtu alijisikia mtulivu.
agency	shirika	Shirika liliajiri watafsiri watatu.
agenda	ajenda	Usalama upo kwenye ajenda.
aggressive	ya fujo	Sauti yake ilisikika ya fujo.
aid	msaada	Msaada wa matibabu uliwasili haraka.
aircraft	ndege	Ndege ilitua salama.
alter	kubadili	Usibadili makubaliano.
anger	hasira	Hasira yake ilishangaza kila mtu.
angle	pembe	Jaribu pembe nyingine ya kamera.
anniversary	maadhimisho	Maadhimisho yao ni kesho.
annual	ya kila mwaka	Mkutano wa kila mwaka unaanza Jumatatu.
anxious	mwenye wasiwasi	Alihisi wasiwasi kabla ya upasuaji.
apparent	dhahiri	Kusononeka kwake kulikuwa dhahiri.
apparently	inaonekana	Inaonekana, treni imechelewa.
appeal	rufaa	Uamuzi unaweza kukabiliwa na rufaa.
approach	mbinu	Mbinu yake ilitatua tatizo.
appropriate	inayofaa	Chagua jibu linalofaa.
approval	idhini	Mradi unahitaji idhini.
approve	kuidhinisha	Bodi iliidhinisha bajeti.
arise	kutokea	Matatizo yanaweza kutokea baadaye.
armed	yenye silaha	Walinzi wenye silaha walisimama nje.
arms	silaha	Waliweka silaha zao chini.
artificial	bandia	Maua yalionekana bandia.
artistic	ya kisanaa	Ana kipaji cha kisanaa.
ashamed	mwenye aibu	Alihisi aibu baadaye.
aspect	kipengele	Fikiria kila kipengele kwa makini.
assess	kutathmini	Lazima tutathmini uharibifu.
assessment	tathmini	Tathmini ilichukua saa mbili.
