source_headword	NO	example_NO
institute	et institutt	Instituttet åpnet et nytt forskningsprogram.
institution	en institusjon	Institusjonen endret sine opptaksregler.
insurance	en forsikring	Forsikringen hennes dekket sykehuskostnadene.
intended	tiltenkt	Meldingen nådde sitt tiltenkte publikum.
intense	intens	Debatten ble raskt intens.
internal	intern	Selskapet startet en intern gjennomgang.
interpret	tolke	Vennligst tolk resultatene nøye.
interrupt	avbryte	Ikke avbryt taleren nå.
investigation	en etterforskning	Etterforskningen avslørte alvorlige feil.
investment	en investering	Investeringen skapte mange lokale jobber.
joy	en glede	Deres suksess brakte stor glede.
judgement	en dømmekraft	Hans dømmekraft ble bedre med erfaring.
junior	junior	Hun ble med i teamet som junioranalytiker.
justice	en rettferdighet	Familien krevde rettferdighet etter rettssaken.
justify	rettferdiggjøre	Du må rettferdiggjøre den avgjørelsen tydelig.
labour	en arbeidskraft	Prosjektet krever faglært arbeidskraft.
landscape	et landskap	Landskapet endret seg etter stormen.
largely	i stor grad	Planen var i stor grad vellykket.
launch	lansere	De vil lansere produktet i morgen.
leadership	et lederskap	Sterkt lederskap hjalp laget å komme seg.
league	en liga	Klubben vår ble med i en regional liga.
lean	lene seg	Ikke len deg mot den våte veggen.
licence	en lisens	Lisensen utløper neste måned.
limited	begrenset	Vi har begrenset med tid i dag.
lively	livlig	Møtet ble livlig etter lunsjen.
load	en last	Lastebilen bar en tung last.
loan	et lån	Banken godkjente lånet.
logical	logisk	Hennes argument var tydelig og logisk.
long-term	langsiktig	Dette er en langsiktig løsning.
loose	løs	Håndtaket føles løst.
lord	en herre	Herren eide flere landsbyer.
lower	senke	De senker prisene om vinteren.
lung	en lunge	Røyking kan skade en lunge.
maintain	opprettholde	Vi opprettholder regelmessig kontakt.
majority	en majoritet	Majoriteten støttet forslaget.
mass	en masse	En masse skyer dekket himmelen.
massive	massiv	Jordskjelvet forårsaket massive skader.
master	en mester	Hun ble en mester i forhandling.
matching	matchende	Han hadde på seg matchende sko og belte.
maximum	maksimal	Rommet nådde maksimal kapasitet.
means	et middel	E-post er vårt viktigste middel for kontakt.
measurement	en måling	Målingen var litt feil.
melt	smelte	Snøen vil smelte innen klokken tolv.
military	militær	Militærbasen stengte i fjor.
mineral	et mineral	Jern er et viktig mineral.
minimum	minimal	Den minimale alderen er atten.
minister	en minister	Ministeren svarte på vanskelige spørsmål.
minor	mindre	Ulykken forårsaket mindre skader.
minority	en minoritet	En minoritet var imot den nye regelen.
mission	et oppdrag	Oppdraget deres endte trygt.
mixed	blandet	Nyheten fikk blandede reaksjoner.
modify	modifisere	Vi kan modifisere designet senere.
monitor	en monitor / overvåke	Sykepleieren vil overvåke tilstanden hans.
moral	moralsk	Historien har en moralsk lekse.
motor	en motor	Motoren stoppet uten forvarsel.
mount	montere	De monterer kameraer nær inngangen.
multiple	flere	Flere faktorer forårsaket forsinkelsen.
multiply	multiplisere	Multipliser tallet med ti.
mysterious	mystisk	Et mystisk lys dukket opp utenfor.
neat	ryddig	Skrivebordet hennes er alltid ryddig.
