source_headword	NL	example_NL
abolish	afschaffen	De wet zal de oude vergoeding afschaffen.
abortion	de abortus	Abortus blijft een gevoelig medisch probleem.
absence	de afwezigheid	Haar afwezigheid vertraagde de uiteindelijke beslissing.
absent	afwezig	Twee leden waren afwezig in de les.
absurd	absurd	De bewering klonk voor iedereen absurd.
abundance	de overvloed	De vallei heeft een overvloed aan water.
abuse	het misbruik	Het rapport beschreef misbruik op de werkplek.
academy	de academie	De academie leidt jonge muzikanten op.
accelerate	versnellen	Nieuwe financiering zal het onderzoek versnellen.
acceptance	de acceptatie	Zijn acceptatie van kritiek maakte indruk op me.
accessible	toegankelijk	Het museum is toegankelijk voor rolstoelgebruikers.
accomplishment	de prestatie	Het uitlezen van het boek was een echte prestatie.
accordance	de overeenstemming	Het werk werd gedaan in overeenstemming met het beleid.
accordingly	dienovereenkomstig	Het bewijs veranderde en we handelden dienovereenkomstig.
accountability	de verantwoordelijkheid	Het beleid vergroot de verantwoordelijkheid voor managers.
accountable	verantwoordelijk	Managers zijn verantwoordelijk voor de veiligheid.
accumulate	zich ophopen	Stof kan zich ophopen achter het scherm.
accumulation	de opeenhoping	De opeenhoping van gegevens duurde maanden.
accusation	de beschuldiging	De beschuldiging schokte de commissie.
accused	de beklaagde	De beklaagde verscheen in de rechtbank.
acquisition	de overname	De overname breidde het bedrijf snel uit.
acre	de acre	De boerderij beslaat één acre.
activation	de activering	Activering van de kaart duurt minuten.
activist	de activist	De activist sprak op de bijeenkomst.
acute	acuut	Ze voelde acute pijn na het hardlopen.
adaptation	de bewerking	De bewerking veranderde het einde van de roman.
adhere	zich houden aan	Het personeel moet zich houden aan de veiligheidsregels.
adjacent	aangrenzend	Het hotel grenst aan het station.
adjustment	de aanpassing	Een kleine aanpassing verhielp het probleem.
administer	toedienen	Verpleegkundigen dienen het vaccin zorgvuldig toe.
administrative	administratief	Administratief personeel handelt de formulieren af.
administrator	de beheerder	De beheerder heeft mijn wachtwoord opnieuw ingesteld.
admission	de toegang	Toegang tot het museum is gratis.
adolescent	de adolescent	De adolescent had extra steun nodig.
adoption	de adoptie	Adoptie gaf het kind een stabiel thuis.
adverse	nadelig	Het medicijn veroorzaakte nadelige effecten.
advocate	de advocaat	De advocaat verdedigde de rechten van de huurder.
aesthetic	esthetisch	De kamer heeft een rustige esthetische stijl.
affection	de genegenheid	Ze toonde genegenheid voor haar familie.
aftermath	de nasleep	De nasleep van de storm was moeilijk.
aggression	de agressie	De leraar merkte agressie op tijdens de pauze.
agricultural	agrarisch	De landbouwexport is dit jaar gestegen.
aide	de assistent	De assistent organiseerde de agenda van de minister.
albeit	zij het	Het plan werkte, zij het langzaam.
alert	waarschuwen	Waarschuw het personeel alstublieft onmiddellijk.
align	uitlijnen	De pijlen lopen gelijk met de weg.
alignment	de uitlijning	De wieluitlijning verbeterde de wegligging van de auto.
alike	hetzelfde	De tweeling kleedt zich hetzelfde in het weekend.
allegation	de bewering	De aantijging verscheen in de krant.
allege	beweren	Ze beweren dat er geld verloren is gegaan.
allegedly	naar verluidt	De bestuurder negeerde naar verluidt de waarschuwing.
alliance	het bondgenootschap	De partijen vormden een tijdelijk bondgenootschap.
allocate	toewijzen	De stad zal geld toewijzen aan scholen.
allocation	de toewijzing	De toewijzing van de stoelen was oneerlijk.
allowance	de toelage	Haar toelage dekt de lunch en het vervoer.
ally	de bondgenoot	Canada werd een nauwe bondgenoot.
aluminium	het aluminium	Het frame is gemaakt van aluminium.
amateur	de amateur	Een amateurfotograaf nam de foto.
ambassador	de ambassadeur	De ambassadeur ontmoette lokale studenten.
amend	wijzigen	Het parlement stemde om de wet te wijzigen.
amendment	het amendement	Het amendement veranderde één paragraaf.
amid	te midden van	De toespraak kwam te midden van groeiende spanning.
analogy	de analogie	De leraar gebruikte een eenvoudige analogie.
anchor	het anker	De boot liet het anker vallen nabij het eiland.
angel	de engel	Het kind droeg een engelenkostuum.
anonymous	anoniem	De klacht was anoniem.
apparatus	het apparaat	Het laboratoriumapparaat moet worden schoongemaakt.
appealing	aantrekkelijk	De aanbieding ziet er aantrekkelijk uit voor studenten.
appetite	de eetlust	Lichaamsbeweging vergrootte zijn eetlust.
applaud	applaudisseren	Het publiek begon luid te applaudisseren.
applicable	van toepassing	De korting is vandaag van toepassing.
appoint	benoemen	Het bestuur zal een directeur benoemen.
appreciation	de waardering	Ze uitte haar waardering voor hun hulp.
arbitrary	willekeurig	De deadline leek willekeurig voor het personeel.
architectural	architectonisch	De stad beschermt haar architectonische erfgoed.
archive	het archief	Het archief bewaart oude foto's.
arena	de arena	Het debat verplaatste zich naar de publieke arena.
arguably	aantoonbaar	Dit is aantoonbaar zijn beste roman.
arm	bewapenen	De bewakers zullen het konvooi bewapenen.
array	de reeks	De winkel biedt een reeks gereedschappen.
articulate	formuleren	Ze kan complexe ideeën helder formuleren.
ash	de as	As bedekte de auto na de brand.
aspiration	de ambitie	Haar ambitie is om chirurg te worden.
aspire	streven	Veel studenten streven ernaar om in het buitenland te studeren.
assassination	de moord	De moord veranderde de politiek van het land.
assault	de aanval	De aanval vond plaats in de buurt van het station.
assemble	monteren	Arbeiders monteren de meubels met de hand.
assembly	de bijeenkomst	De schoolbijeenkomst begint om negen uur.
assert	doen gelden	Hij probeerde zijn gezag te doen gelden.
assertion	de bewering	Haar bewering verraste het panel.
assurance	de verzekering	De manager gaf de verzekering van steun.
asylum	het asiel	Het gezin vroeg asiel aan bij de grens.
atrocity	de gruweldaad	De film beschreef een oorlogsgruweldaad.
attain	bereiken	Weinig hardlopers bereiken die snelheid.
attendance	de opkomst	De opkomst verbeterde na de aankondiging.
attorney	de advocaat	De advocaat ondervroeg de getuige.
attribute	toeschrijven	Wetenschappers schrijven de stijging toe aan vervuiling.
audit	de audit	De audit bracht verschillende fouten aan het licht.
authentic	authentiek	Het restaurant serveert authentiek regionaal eten.
authorize	autoriseren	Alleen managers kunnen terugbetalingen autoriseren.
auto	de auto	De auto-industrie veranderde snel.
autonomy	de autonomie	De regio wil meer autonomie.
availability	de beschikbaarheid	De beschikbaarheid van stoelen is beperkt.
await	afwachten	Verschillende berichten wachten op uw antwoord.
backdrop	de achtergrond	De bergen vormden een dramatische achtergrond.
backing	de steun	Het voorstel kreeg steun van kiezers.
backup	de back-up	Het systeem maakt dagelijks een back-up.
bail	de borgtocht	De rechter stelde 's middags de borgtocht vast.
ballot	het stembiljet	Elke kiezer ontving een stembiljet.
banner	het spandoek	Het spandoek hing boven de ingang.
bare	kaal	De kamer had kale muren.
barrel	het vat	Het vat was vol water.
bass1	de bas	De bas klonk diep en warm.
battlefield	het slagveld	Het oude slagveld werd een monument.
bay	de baai	Het dorp ligt aan een rustige baai.
beam	de balk	Een stalen balk ondersteunt het dak.
beast	het beest	Het verhaal beschrijft een woest beest.
behalf	de naam	Ze sprak namens haar team.
beloved	geliefd	De geliefde leraar is vandaag met pensioen gegaan.
bench	de bank	Ze zaten op een houten bank.
benchmark	de maatstaf	De test werd een maatstaf voor de sector.
beneath	onder	De documenten lagen onder de map.
beneficiary	de begunstigde	Haar zoon was de belangrijkste begunstigde.
betray	verraden	Verraad het vertrouwen van je vriend niet.
bind	binden	De overeenkomst zal beide bedrijven binden.
biography	de biografie	Zijn biografie verkocht veel exemplaren.
bishop	de bisschop	De bisschop bezocht de dorpskerk.
bizarre	bizar	De film had een bizar einde.
blade	het lemmet	Het mes sneed het touw door.
blast	de explosie	De explosie brak de nabijgelegen ramen.
bleed	bloeden	De snee begon hevig te bloeden.
blend	mengen	Meng de saus tot een glad mengsel.
bless	zegenen	De priester zal het huis zegenen.
blessing	de zegen	Het hebben van steun was een zegen.
boast	opscheppen	Hij schept graag op over geld.
bonus	de bonus	De werknemers kregen een vakantiebonus.
boom	de hausse	De stad ervoer een bouwboom.
bounce	stuiteren	De bal kan heel hoog stuiteren.
boundary	de grens	De rivier markeert de grens.
bow1	buigen	De acteur maakte een diepe buiging.
breach	de inbreuk	De inbreuk legde privégegevens bloot.
breakdown	de specificatie	Het rapport bevat een kostenspecificatie.
breakthrough	de doorbraak	De ontdekking was een grote doorbraak.
breed	broeden	Deze vogels broeden in het voorjaar.
broadband	de breedband	Het kantoor heeft sneller breedband nodig.
browser	de browser	Update uw browser voordat u inlogt.
brutal	bruut	De aanval was bruut en plotseling.
buck	de dollar	Het kaartje kost tien dollar.
buddy	de maat	Zijn maat wachtte buiten.
buffer	de buffer	De bomen creëren een geluidsbuffer.
bulk	de bulk	Ze kochten rijst in bulk.
burden	de last	De schuld werd een zware last.
bureaucracy	de bureaucratie	De bureaucratie vertraagde de vergunning.
burial	de begrafenis	De begrafenis vond plaats bij zonsopgang.
burst	barsten	De leiding kan barsten onder druk.
cabinet	het kabinet	Het kabinet keurde het plan goed.
calculation	de berekening	De berekening duurde enkele minuten.
canvas	het canvas	De kunstenaar schilderde op een groot canvas.
capability	de capaciteit	Het apparaat heeft draadloze capaciteit.
capitalism	het kapitalisme	Het kapitalisme vormde de moderne economie.
capitalist	kapitalistisch	Het kapitalistische systeem beloont particuliere investeringen.
cargo	de lading	Het schip vervoerde medische lading.
carriage	de wagon	De treinwagon was bijna leeg.
carve	snijden	Hij zal het hout voorzichtig bewerken.
casino	het casino	Het casino opende nabij het hotel.
casualty	het slachtoffer	De crash veroorzaakte één slachtoffer.
catalogue	de catalogus	De catalogus vermeldt elk product.
cater	cateren	Het restaurant kan grote evenementen cateren.
cattle	het vee	Het vee graasde nabij de rivier.
caution	de voorzichtigheid	Gebruik voorzichtigheid op ijzige wegen.
cautious	voorzichtig	Beleggers blijven deze week voorzichtig.
cease	stoppen	De fabriek zal de productie binnenkort stoppen.
cemetery	de begraafplaats	De begraafplaats kijkt uit over de zee.
chamber	de kamer	De kamer was stil tijdens de stemming.
chaos	de chaos	De vertraging veroorzaakte chaos op de luchthaven.
characterize	kenmerken	Experts kenmerken het plan als riskant.
charm	de charme	De stad heeft ouderwetse charme.
charter	het handvest	Het handvest beschermt de basisrechten.
chronic	chronisch	Hij lijdt aan chronische rugpijn.
chunk	het stuk	Snijd de kaas in een groot stuk.
circulate	circuleren	Circuleer de agenda vandaag alstublieft.
circulation	de oplage	De oplage van de krant daalde sterk.
citizenship	het burgerschap	Ze vroeg het Franse burgerschap aan.
civic	maatschappelijk	Lokale leiders woonden de vergadering bij.
civilian	de burger	Verschillende burgerwoningen werden beschadigd.
clarity	de duidelijkheid	Het diagram voegde duidelijkheid toe aan het rapport.
clash	de botsing	De botsing begon na de mars.
classification	de classificatie	De classificatie is afhankelijk van de grootte.
cling	plakken	Natte kleding plakt aan de huid.
clinical	klinisch	De klinische proef begint volgende maand.
closure	de afsluiting	De familie wilde afsluiting na de zaak.
cluster	de cluster	Een cluster van huizen stond vlakbij.
coalition	de coalitie	De coalitie verloor haar meerderheid.
coastal	kust-	Kustdorpen bereidden zich voor op overstromingen.
cocktail	de cocktail	Ze bestelde een fruitcocktail.
cognitive	cognitief	Cognitieve vaardigheden verbeteren door oefening.
coincide	samenvallen	Het festival zal samenvallen met het afstuderen.
collaborate	samenwerken	De teams werken samen aan software.
collaboration	de samenwerking	Hun samenwerking leverde sterke resultaten op.
