source_headword	RO	example_RO
incur	a atrage (după sine)	Întârzierile pot atrage costuri suplimentare.
indicator	un indicator	Șomajul este un indicator economic.
indictment	un rechizitoriu	Rechizitoriul enumera trei capete de acuzare.
indigenous	indigen	Plantele indigene cresc bine aici.
induce	a induce	Medicamentul poate induce somnul.
indulge	a se răsfăța	Ea nu se răsfață cu obiceiuri scumpe.
inequality	o inegalitate	Inegalitatea veniturilor rămâne o problemă majoră.
infamous	infam	Închisoarea a devenit infamă la nivel mondial.
infant	un sugar	Sugarul a adormit în pătuț.
infect	a infecta	Virusul poate infecta celulele sănătoase.
inflict	a provoca	Nu provocați durere animalelor.
influential	influent	Ea este o savantă influentă în domeniul juridic.
inherent	inerent	Designul prezintă riscuri inerente.
inhibit	a inhiba	Frica poate inhiba o discuție sinceră.
initiate	a iniția	Managerul va iniția evaluarea.
inject	a injecta	Asistenta va injecta vaccinul.
injection	o injecție	Injecția a redus durerea.
injustice	o nedreptate	Hotărârea a expus o nedreptate clară.
inmate	un deținut	Deținutul a solicitat consiliere juridică.
insertion	o inserare	Formularul necesită o inserare de text.
insider	un inițiat	O persoană din interior a divulgat raportul.
inspect	a inspecta	Oficialii inspectează podul anual.
inspection	o inspecție	Inspecția a constatat daune grave.
inspiration	o inspirație	Discursul ei mi-a oferit inspirație.
instinct	un instinct	Primul său instinct a fost să ajute.
institutional	instituțional	Regulile instituționale au conturat decizia.
instruct	a instrui	Manualul va instrui noul personal.
instrumental	esențial	Sfatul ei a fost esențial în negocieri.
insufficient	insuficient	Dovezile au fost insuficiente pentru a formula acuzații.
insult	o insultă	Insulta lui a pus capăt conversației.
intact	intact	Zidul antic a rămas intact.
intake	un aport	Aportul de zahăr ar trebui să rămână moderat.
integral	esențial	Încrederea este esențială pentru echipă.
integrated	integrat	Școala oferă sprijin integrat.
integration	o integrare	Integrarea a îmbunătățit întregul sistem.
integrity	o integritate	Judecătorul a dat dovadă de o mare integritate.
intensify	a se intensifica	Furtuna s-ar putea intensifica peste noapte.
intensity	o intensitate	Intensitatea antrenamentului a crescut.
intensive	intensiv	Ei au finalizat cursuri intensive de limbă.
intent	o intenție	Intenția lui a fost greu de dovedit.
interactive	interactiv	Muzeul are expoziții interactive.
interface	o interfață	Interfața este ușor de navigat.
interfere	a se amesteca	Nu vă amestecați în investigație.
interference	o interferență	Interferența semnalului a întrerupt apelul.
interim	interimar	Un raport interimar ajunge mâine.
interior	interior	Pereții interiori au nevoie de vopsea.
intermediate	intermediar	Ea s-a alăturat clasei intermediare.
intervene	a interveni	Poliția a trebuit să intervină rapid.
intervention	o intervenție	Intervenția timpurie a ajutat pacientul.
intimate	intim	Au organizat o ceremonie familială intimă.
intriguing	intrigant	Datele au dezvăluit un tipar intrigant.
investigator	un investigator	Investigatorul a intervievat fiecare martor.
invisible	invizibil	Gazul este invizibil și periculos.
invoke	a invoca	Avocatul a încercat să invoce precedentul.
involvement	o implicare	Implicarea lui a rămas neclară.
ironic	ironic	Comentariul ironic i-a făcut pe toți să râdă.
ironically	în mod ironic	În mod ironic, traseul a durat mai mult.
irony	o ironie	Ironia a fost evidentă pentru toată lumea.
irrelevant	irelevant	Acel detaliu este irelevant aici.
isolation	o izolare	Izolarea poate dăuna sănătății mintale.
judicial	judiciar	Revizuirea judiciară începe luni.
junction	o intersecție	Faceți stânga la intersecție.
jurisdiction	o jurisdicție	Instanța are jurisdicție limitată.
just	just	Judecătorul a luat o decizie justă.
justification	o justificare	Avem nevoie de o justificare clară pentru cheltuieli.
kidnap	a răpi	Infractorii au încercat să-l răpească pe diplomat.
kidney	un rinichi	Funcția ei renală s-a îmbunătățit.
kingdom	un regat	Regatul s-a extins sub domnia sa.
lad	un flăcău	Tânărul flăcău a cărat bagajele.
landlord	un proprietar	Proprietarul a reparat încălzirea.
landmark	un punct de reper	Turnul a devenit un punct de reper al orașului.
lap	o poală	Copilul s-a așezat în poala ei.
large-scale	la scară largă	Orașul a planificat reparații la scară largă.
laser	un laser	Laserul a măsurat distanța.
latter	cel din urmă	Ultima opțiune pare mai sigură.
lawn	o peluză	Copiii s-au jucat pe peluză.
lawsuit	un proces	Compania a soluționat procesul.
layout	un aspect	Aspectul paginii pare mai clar.
leak	o scurgere	O scurgere a țevii a inundat bucătăria.
leap	un salt	Vânzările au făcut un salt brusc.
legacy	o moștenire	Moștenirea ei a modelat universitatea.
legendary	legendar	Cântărețul legendar a revenit pe scenă.
legislation	o legislație	Noua legislație protejează chiriașii.
legislative	legislativ	Comitetul legislativ s-a întrunit astăzi.
legislature	o legislatură	Legislativul a aprobat bugetul.
legitimate	legitim	Au ridicat preocupări legitime.
lengthy	lung	Dezbaterea lungă a amânat votul.
lesbian	lesbiană	Activista lesbiană a vorbit la forum.
lesser	mai mic	Alegeți riscul mai mic.
lethal	letal	Substanța chimică poate fi letală.
liable	răspunzător	Șoferii sunt răspunzători pentru daune.
liberal	liberal	El susține politicile sociale liberale.
liberation	o eliberare	Eliberarea a schimbat viitorul țării.
liberty	o libertate	Legea protejează libertatea personală.
license	a autoriza	Statul poate autoriza noi clinici.
lifelong	pe viață	Ea și-a făcut prieteni pe viață acolo.
likelihood	o probabilitate	Probabilitatea de ploaie a crescut.
limb	un membru	Membrul rănit s-a vindecat încet.
linear	liniar	Graficul arată o tendință liniară.
line-up	un program	Programul festivalului include trupe locale.
linger	a persista	Mirosul poate persista ore întregi.
listing	anunțul	Anunțul apartamentului părea precis.
literacy	alfabetizarea	Programele de alfabetizare a adulților s-au extins.
liver	ficatul	Ficatul filtrează substanțele nocive.
lobby	holul	Holul a fost aglomerat după prânz.
log	jurnalul	Sistemul păstrează un jurnal zilnic.
logic	logica	Logica argumentului său a dat greș.
long-standing	de lungă durată	Au rezolvat o dispută de lungă durată.
long-time	de mult timp	Este o voluntară de mult timp.
loom	a se prefigura	Nori întunecați se prefigurează deasupra văii.
loop	bucla	Traseul formează o buclă.
loyalty	loialitatea	Loialitatea lui a impresionat echipa.
machinery	utilajele	Fabrica a instalat utilaje noi.
magical	magic	Grădina arăta magic noaptea.
magistrate	magistratul	Magistratul a audiat cazul.
magnetic	magnetic	Câmpul magnetic a afectat busola.
magnitude	amploarea	Amploarea pagubelor a fost clară.
mainland	continentul	Feribotul leagă insulele de continent.
mainstream	curentul principal	Ideea a intrat în politica de masă.
maintenance	întreținerea	Întreținerea regulată previne defecțiunile.
mandate	mandatul	Președintele a revendicat un mandat puternic.
mandatory	obligatoriu	Prezența este obligatorie pentru stagiari.
manifest	a se manifesta	Simptomele se pot manifesta după săptămâni.
manipulate	a manipula	Nu manipulați rezultatele sondajului.
manipulation	manipularea	Manipularea datelor a fost descoperită.
manuscript	manuscrisul	Editorul i-a acceptat manuscrisul.
march	a mărșălui	Protestatarii vor mărșălui spre centrul orașului.
marginal	marginal	Schimbarea a avut beneficii marginale.
marine	marin	Viața marină are nevoie de apă curată.
marketplace	piața	Piața online s-a extins rapid.
mask	masca	Muncitorii trebuie să poarte o mască.
massacre	masacrul	Masacrul a șocat întreaga regiune.
mathematical	matematic	Modelul matematic a prezis cererea.
mature	matur	Copacii maturi oferă umbră.
maximize	a maximiza	Actualizarea va maximiza durata de viață a bateriei.
meaningful	semnificativ	Au avut o conversație semnificativă.
meantime	timpul	Între timp, așteptați afară.
medieval	medieval	Castelul are ziduri medievale.
meditation	meditația	Meditația zilnică îi calmează mintea.
melody	melodia	Melodia mi-a rămas în minte.
memo	memoriul	Memoriul a explicat politica.
memoir	memoriile	Memoriile ei descriu exilul din copilărie.
memorial	memorialul	Memorialul onorează soldații locali.
mentor	mentorul	Mentorul ei a revizuit propunerea.
merchant	negustorul	Negustorul vindea mătase și condimente.
mercy	mila	Judecătorul a arătat milă.
mere	simplu	O simplă privire a scos la iveală eroarea.
merely	pur și simplu	Ea pur și simplu a repetat instrucțiunile.
merge	a fuziona	Cele două companii vor fuziona.
merger	fuziunea	Fuziunea a creat o bancă mai mare.
merit	meritul	Propunerea are un merit clar.
methodology	metodologia	Studiul își explică metodologia.
midst	mijlocul	Au lucrat în mijlocul haosului.
migration	migrația	Migrația sezonieră afectează locurile de muncă locale.
militant	militantul	Grupul militant a respins negocierile.
militia	miliția	Miliția controla drumul.
mill	moara	Vechea moară a devenit muzeu.
minimal	minim	Planul necesită efort minim.
minimize	a minimiza	Trebuie să minimizăm riscurile inutile.
mining	mineritul	Mineritul a deteriorat valea râului.
ministry	ministerul	Ministerul a anunțat noi reguli.
minute2	minuscul	O crăpătură minusculă a apărut în sticlă.
miracle	miracolul	Recuperarea lui a părut un miracol.
misery	suferința	Refugiații au îndurat ani de mizerie.
misleading	înșelător	Graficul înșelător a derutat cititorii.
missile	racheta	Testul rachetei a crescut tensiunile.
mob	mulțimea	Mulțimea furioasă a blocat traficul.
mobility	mobilitatea	Autobuzele mai bune îmbunătățesc mobilitatea urbană.
mobilize	a mobiliza	Liderii mobilizează rapid voluntarii.
moderate	moderat	Candidatul are opinii moderate.
modification	modificarea	Designul necesită o singură modificare.
momentum	impulsul	Campania a câștigat impuls rapid.
monk	călugărul	Călugărul trăia în liniște.
monopoly	monopolul	Firma deținea un monopol.
morality	moralitatea	Cursul examinează moralitatea publică.
motive	motivul	Poliția i-a pus la îndoială motivul.
motorist	șoferul	Șoferul a oprit la semafoarele roșii.
municipal	municipal	Serviciile municipale s-au îmbunătățit anul acesta.
mutual	reciproc	Au ajuns la un acord reciproc.
namely	și anume	Rămâne o singură problemă, și anume finanțarea.
nationwide	la nivel național	Greva a provocat întârzieri la nivel național.
naval	naval	Baza navală s-a închis anul trecut.
neglect	a neglija	Nu neglijați siguranța de bază.
neighbouring	învecinat	Orașele învecinate împărțeau spitalul.
nest	cuibul	Pasărea a construit un cuib.
net	net	Profitul net a crescut brusc.
newsletter	buletinul informativ	Buletinul informativ sosește în fiecare vineri.
niche	nișa	Compania a găsit o nișă profitabilă.
noble	nobil	Gestul ei nobil i-a impresionat pe toți.
nod	a da din cap	Te rog să dai din cap dacă înțelegi.
nominate	a nominaliza	Ei vor nominaliza un nou președinte.
nomination	nominalizarea	Nominalizarea ei a surprins comitetul.
nominee	candidatul	Candidatul a răspuns la întrebări dificile.
nonetheless	cu toate acestea	Cu toate acestea, planul a mers înainte.
non-profit	non-profit	Ea lucrează pentru o clinică non-profit.
nonsense	nonsensul	Acest zvon este un nonsens total.
noon	amiaza	Întâlnirea începe la prânz.
notable	notabil	Raportul a făcut progrese notabile.
notably	în special	În special, costurile au scăzut în mai.
notify	a notifica	Vă rugăm să notificați personalul înainte de plecare.
notorious	notoriu	Drumul este notoriu pentru accidente.
novel	inedit	Au propus o soluție inedită.
nursery	creșa	Creșa îngrijește sugari.
objection	obiecția	Avocatul a ridicat o obiecție.
oblige	a obliga	Regulile obligă șoferii să oprească.
obsess	a obseda	Nu fi obsedat de micile erori.
obsession	obsesia	Obsesia lui i-a dăunat muncii.
occasional	ocazional	Sunt de așteptat întârzieri ocazionale.
occurrence	apariția	Un astfel de eveniment este rar.
odds	șansele	Șansele de succes s-au îmbunătățit.
offering	oferta	Universitatea și-a extins oferta.
offspring	puiul	Vulpea și-a protejat puiul.
operational	operațional	Noul sistem este operațional.
opt	a opta	Mulți studenți optează pentru cursuri online.
optical	optic	Lentila optică trebuie curățată.
optimism	optimismul	Optimismul a revenit după anunț.
oral	oral	Examenul oral începe mâine.
organizational	organizațional	Schimbările organizaționale au început imediat.
orientation	orientarea	Atelierul a acoperit orientarea angajaților.
originate	a proveni	Multe tradiții provin din satele rurale.
outbreak	focarul	Focarul s-a răspândit în întregul oraș.
outing	excursia	Clasa s-a bucurat de o excursie la muzeu.
outlet	magazinul	Magazinul vinde îmbrăcăminte cu reducere.
outlook	perspectiva	Perspectiva economică rămâne incertă.
outrage	indignarea	Decizia a provocat indignare publică.
outsider	străinul	Ca străin, ea a observat probleme.
overlook	a trece cu vederea	Nu trece cu vederea detaliile minore.
overly	excesiv	Instrucțiunile au fost excesiv de complexe.
oversee	a supraveghea	Ea va supraveghea proiectul.
overturn	a anula	Instanța poate anula hotărârea.
overwhelm	a copleși	Prea multe informații pot copleși cursanții.
overwhelming	copleșitor	Dovezile au fost copleșitoare.
pad	pernuța	Folosește pernuța pentru a-ți proteja genunchii.
parameter	parametrul	Ajustați un parametru o dată.
parental	parental	Sprijinul parental a îmbunătățit prezența.
parish	parohia	Parohia a organizat o cină de caritate.
parliamentary	parlamentar	Dezbaterea parlamentară a durat ore.
partial	parțial	Raportul a dat un răspuns parțial.
partially	parțial	Fereastra era parțial deschisă.
passing	decesul	Decesul ei a fost brusc.
passive	pasiv	Investitorii pasivi au acceptat profituri stabile.
pastor	pastorul	Pastorul a vizitat familia.
patch	peticul	Jacheta are nevoie de un mic petic.
patent	brevetul	Compania a depus un brevet.
pathway	calea	Calea duce la certificare.
patrol	a patrula	Poliția patrulează zona noaptea.
patron	protectorul	Muzeul i-a mulțumit protectorului său.
peak	apogeul	Cererea a atins un apogeu de iarnă.
peasant	țăranul	Țăranul deținea puțin pământ.
