source_headword	JA	example_JA
rock (music)	ロック音楽	ロック音楽が好きです。
role	役割	彼女の役割は重要です。
roof	屋根	屋根は修理が必要です。
round	丸い	そのテーブルは丸いです。
route	ルート	このルートの方が短いです。
rubbish	ゴミ	ゴミを外に出してください。
rude	失礼な	その発言は失礼でした。
runner	ランナー	そのランナーは疲れて見えます。
running	ランニング	ランニングは健康に良いです。
sadly	残念ながら	残念ながら、電車に乗り遅れました。
safe	安全な	この通りは安全に感じます。
sail	帆走する	私たちは土曜日に帆走します。
sailing	セーリング	ここではセーリングが人気です。
salary	給料	彼の給料は今は高いです。
sale	セール	セールは明日始まります。
sauce	ソース	ご飯にソースを加えてください。
save	保存する	今すぐ作業を保存してください。
scared	怖がっている	その子どもは怖がっています。
scary	怖い	この話は怖いです。
scene	場面	最後の場面は面白かったです。
schedule	予定表	今日、予定表を確認してください。
score	点数	スコアはいくつですか？
screen	画面	画面を丁寧に拭いてください。
search	検索する	ウェブで写真を検索してください。
season	季節	夏は忙しい季節です。
seat	席	この席に座ってください。
second1 (next after the first)	第二に	第二に、手を洗ってください。
secondly	第二に	第二に、答えを確認してください。
secret	秘密	この秘密を安全に守ってください。
secretary	秘書	秘書が今日電話しました。
seem	〜のように見える	あなたは疲れているように見えます。
sense	意味	この計画は意味があります。
separate	別々の	書類を別々にしてください。
series	シリーズ	このシリーズは人気があります。
serious	深刻な	この問題は深刻です。
serve	出す	彼らは正午に昼食を出します。
service	サービス	サービスは速かったです。
several	いくつかの	何人かの学生が早く着きました。
shake	振る	まずボトルを振ってください。
shall modal	しましょうか	今始めましょうか？
shape	形	正方形を描いてください。
sheet	シーツ	シーツをベッドにかけてください。
ship	船	その船は今日出発しました。
shoulder	肩	肩が痛いです。
shout	叫ぶ	授業中に叫ばないでください。
shut	閉める	窓を閉めてください。
side	側	こちら側に座ってください。
sign	標識	標識を注意して読んでください。
silver	銀	銀は明るい金属です。
simple	簡単な	この練習は簡単です。
since	〜以来	正午から待っています。
singing	歌うこと	歌うことは私をリラックスさせます。
single	片道の	片道切符を買いました。
sir	お客様	お客様、バッグの準備ができました。
site	サイト	このサイトは安全です。
