source_headword	MS	example_MS
crawl	merangkak	Bayi itu mula merangkak di atas permaidani.
creator	pencipta	Pencipta itu mengucapkan terima kasih kepada semua orang atas sokongan mereka.
credibility	kredibiliti	Saksi itu hilang kredibiliti semasa disoal siasat.
credible	boleh dipercayai	Laporan itu menawarkan bukti yang boleh dipercayai.
creep	merayap	Kabus mula merayap melalui lembah.
critique	kritikan	Profesor itu memberikan kritikan terperinci.
crown	mahkota	Permaisuri itu memakai mahkota perak.
crude	kasar	Lukisan itu kasar tetapi jelas.
crush	menghancurkan	Batu-batu berat boleh menghancurkan paip itu.
crystal	kristal	Kristal itu memantulkan cahaya pagi.
cult	ajaran sesat	Ajaran sesat itu mengasingkan ahlinya.
cultivate	menanam	Petani menanam padi di rantau ini.
curiosity	rasa ingin tahu	Rasa ingin tahu membawanya ke dalam bidang sains.
custody	hak penjagaan	Kanak-kanak itu kekal dalam hak penjagaan bapanya.
cutting	keratan	Surat khabar itu menerbitkan keratan tentangnya.
cynical	sinis	Komen sinisnya mengguris perasaan pasukan itu.
dam	empangan	Empangan itu menahan air sungai.
damaging	merosakkan	Artikel yang merosakkan itu menjejaskan kempen tersebut.
dawn	fajar	Kami meninggalkan kampung itu pada waktu fajar.
debris	serpihan	Serpihan ribut menghalang jalan.
debut	kemunculan sulung	Kemunculan sulungnya menarik perhatian negara.
decision-making	pembuatan keputusan	Pembuatan keputusan yang baik memerlukan maklumat yang jelas.
decisive	tegas	Tindakan tegasnya mengelakkan kerosakan yang lebih teruk.
declaration	pengisytiharan	Menteri itu membaca satu pengisytiharan rasmi.
dedicated	berdedikasi	Jururawat yang berdedikasi itu bekerja sepanjang malam.
dedication	dedikasi	Dedikasinya memberi inspirasi kepada pemain yang lebih muda.
deed	perbuatan	Perbuatan berani itu menyelamatkan dua nyawa.
deem	menganggap	Mahkamah mungkin menganggap kontrak itu tidak sah.
default	lalai	Gunakan tetapan lalai buat masa ini.
defect	kecacatan	Pemeriksa mendapati kecacatan yang serius.
defensive	defensif	Nada defensifnya mengejutkan semua orang.
deficiency	kekurangan	Kekurangan zat besi boleh menjejaskan kesihatan.
deficit	defisit	Defisit bajet itu membimbangkan pegawai.
defy	menentang	Penunjuk perasaan memilih untuk menentang larangan itu.
delegate	perwakilan	Setiap perwakilan menerima kad undian.
delegation	delegasi	Delegasi itu tiba sebelum tengah hari.
delicate	rapuh	Kaca rapuh itu mudah pecah.
demon	syaitan	Cerita itu menerangkan tentang syaitan purba.
denial	penafian	Penafiannya memarahkan mangsa.
denounce	mengecam	Pemimpin mengecam keganasan di sekolah.
dense	lebat	Hutan lebat itu menghalang cahaya matahari.
density	kepadatan	Kepadatan penduduk tinggi di pusat bandar.
dependence	kebergantungan	Kebergantungan negara itu kepada minyak menurun.
depict	menggambarkan	Lukisan dinding itu menggambarkan kehidupan kampung.
deploy	mengatur gerak	Tentera akan mengatur gerak kakitangan tambahan.
deployment	atur gerak	Atur gerak tentera bermula pada hari Isnin.
deprive	melucutkan	Kekurangan tidur boleh melucutkan tumpuan pelajar.
deputy	timbalan	Timbalan itu menandatangani perjanjian tersebut.
descend	menurun	Laluan itu mula menurun dengan tajam.
descent	penurunan	Kapal terbang itu memulakan penurunannya.
designate	menetapkan	Bandar itu akan menetapkan sebuah taman baharu.
desirable	wajar	Pencahayaan yang baik adalah wajar di dalam bilik darjah.
desktop	paparan utama	Fail itu berada di paparan utama saya.
destructive	memusnahkan	Ribut itu mempunyai kuasa memusnahkan.
detain	menahan	Polis mungkin menahan suspek semalaman.
detection	pengesanan	Pengesanan awal meningkatkan rawatan kanser.
detention	tahanan	Pelajar membantah keadaan tahanan.
deteriorate	merosot	Kesihatannya mula merosot.
devastate	memusnahkan	Gempa bumi boleh memusnahkan bandar-bandar pantai.
devil	syaitan	Kanak-kanak itu melukis syaitan yang sedang tersenyum.
devise	merangka	Jurutera merangka sistem pengangkutan yang lebih selamat.
diagnose	mendiagnosis	Doktor mendiagnosis penyakit itu dengan ujian darah.
diagnosis	diagnosis	Diagnosis itu menjelaskan gejala-gejalanya.
dictate	menentukan	Kontrak itu akan menentukan syarat pembayaran.
dictator	diktator	Diktator itu mengawal media.
differentiate	membezakan	Bolehkah anda membezakan fakta daripada pendapat?
dignity	maruah	Semua orang berhak mendapat maruah di tempat kerja.
dilemma	dilema	Pengurus itu menghadapi dilema yang serius.
dimension	dimensi	Masalah itu mempunyai dimensi politik.
diminish	berkurang	Kesakitan itu sepatutnya berkurang dengan perlahan.
dip	menurun	Suhu mungkin menurun di bawah takat beku.
diplomat	diplomat	Diplomat itu bertemu dengan pemimpin asing.
diplomatic	diplomatik	Rundingan diplomatik diteruskan semalaman.
directory	direktori	Cari direktori untuk nombornya.
disastrous	membawa bencana	Banjir yang membawa bencana itu memusnahkan beberapa buah jambatan.
discard	membuang	Jangan buang rekod yang berguna.
discharge	membenarkan pulang	Pihak hospital akan membenarkannya pulang esok.
