simplified	NE	example_NE	SI	example_SI	TA	example_TA
爱情	प्रेम; रोमान्टिक प्रेम	यो मन छुने प्रेमकथा हो.	ආදරය; ප්‍රේමය	මෙය හදවතට දැනෙන ආදර කතාවකි.	காதல்; அன்பு	இது மனதை உருக்கும் காதல் கதை.
安排	व्यवस्था गर्नु; योजना बनाउनु	यो सप्ताहन्तमा तिम्रो के योजना छ?	සැලසුම් කිරීම; සකස් කිරීම	මෙම සති අන්තයට ඔබට ඇති සැලසුම් මොනවාද?	ஏற்பாடு செய்யுதல்; திட்டமிடுதல்	இந்த வார இறுதிக்கு உனக்கு என்ன திட்டம் இருக்கிறது?
安全	सुरक्षित; सुरक्षा	कृपया सुरक्षामा ध्यान दिनुहोस्.	ආරක්ෂිත; ආරක්ෂාව	කරුණාකර ආරක්ෂාව ගැන සැලකිලිමත් වන්න.	பாதுகாப்பான; பாதுகாப்பு	தயவுசெய்து பாதுகாப்பில் கவனம் செலுத்துங்கள்.
按时	समयमै; समयअनुसार	मैले काम समयमै पूरा गरेँ.	නියමිත වේලාවට	මම කාර්යය නියමිත වේලාවට අවසන් කළෙමි.	நேரத்திற்கு; காலக்கெடுவுக்குள்	நான் பணியை நேரத்திற்கு முடித்தேன்.
按照	अनुसार; बमोजिम	यो योजना निकै राम्रो छ, त्यसैअनुसार गर.	අනුව; පරිදි	මෙම සැලැස්ම ඉතා හොඳයි, එය අනුව කරන්න.	படி; ஏற்ப	இந்தத் திட்டம் மிகவும் நல்லது, அதன்படி செய்.
百分之	प्रतिशत	कामको असी प्रतिशत पूरा भयो.	ප්‍රතිශතය	කාර්යයෙන් සියයට අසූවක් අවසන් වී ඇත.	சதவீதம்	பணியின் எண்பது சதவீதம் முடிந்துவிட்டது.
棒	उत्कृष्ट; धेरै राम्रो	तिम्रो अक्षर साँच्चै राम्रो छ!	විශිෂ්ට; ඉතා හොඳ	ඔබේ අකුරු ඇත්තටම විශිෂ්ටයි!	அருமையான; சிறந்த	உன் எழுத்து உண்மையிலேயே அருமை!
包子	बाफमा पकाइएको भरिएको रोटी	यो रेस्टुरेन्टका बाउजीको स्वाद धेरै राम्रो छ.	වාෂ්පයෙන් පිසූ පිරවූ බනිස්	මෙම අවන්හලේ පිරවූ බනිස්වල රසය ඉතා හොඳයි.	ஆவியில் வேகவைத்த பூரண ரொட்டி	இந்த உணவகத்தின் பூரண ரொட்டியின் சுவை மிகவும் நல்லது.
保护	जोगाउनु; संरक्षण गर्नु	मानिसहरूले वातावरण जोगाउनुपर्छ.	ආරක්ෂා කිරීම; සුරැකීම	මිනිසුන් පරිසරය ආරක්ෂා කළ යුතුය.	பாதுகாத்தல்; காக்குதல்	மக்கள் சுற்றுச்சூழலை பாதுகாக்க வேண்டும்.
保证	ग्यारेन्टी; प्रतिज्ञा गर्नु	म प्रतिज्ञा गर्छु, अबदेखि ढिलो हुने छैन.	සහතිකය; සහතික කිරීම	මම සහතික වෙමි, ඉදිරියේදී ප්‍රමාද නොවෙමි.	உத்தரவாதம்; உறுதி அளித்தல்	நான் உறுதி அளிக்கிறேன், இனிமேல் தாமதமாக வரமாட்டேன்.
