simplified	HR	example_HR
哎	hej; ej	Hej, kako to da si došao?
唉	ah; uzdah	Ah, opet kasnim.
爱护	čuvati; brinuti se o	Trebamo čuvati okoliš.
爱惜	cijeniti; štedljivo koristiti	Molim te, cijeni svoje vrijeme.
爱心	suosjećanje; brižnost	Ona je vrlo brižna.
安慰	tješiti	Prijatelj me utješio.
安装	instalirati; montirati	Radnik montira klima-uređaj.
岸	obala	Čamac se polako približava obali.
暗	taman; mračan	U sobi je vrlo mračno.
熬夜	ostati budan do kasno	Ostajanje budnim do kasno loše je za zdravlje.
把握	sigurnost; uhvatiti	Nisam siguran da to mogu dobro napraviti.
摆	posložiti; namjestiti	Molim te, uredno posloži stolice.
办理	obaviti; riješiti	Idem u banku obaviti neke poslove.
傍晚	predvečer	Navečer ćemo ići u šetnju.
包裹	paket	Primio sam paket.
包含	sadržavati; uključivati	Cijena uključuje doručak.
包括	uključivati	Trošak uključuje ručak.
薄	tanak	Ova knjiga je vrlo tanka.
保持	održavati; zadržati	Molim vas, održavajte tišinu.
保存	spremiti; sačuvati	Molim te, spremi ovu datoteku.
保留	zadržati; rezervirati	Molim vas, rezervirajte mi jedno mjesto.
保险	osiguranje	Kupio sam putno osiguranje.
宝贝	blago; dragocjenost	Ovo je moje blago.
宝贵	dragocjen	Vrijeme je dragocjeno.
报到	prijaviti se	Novi učenici danas dolaze u školu na prijavu.
报道	izvještaj; izvještavati	Vijesti su izvijestile o tom događaju.
报告	izvješće; izvijestiti	On upravo drži izvješće.
报社	novinska redakcija	Ona radi u novinskoj redakciji.
抱怨	žaliti se	On se uvijek žali da ima previše posla.
悲观	pesimističan	Nemoj biti previše pesimističan.
背	leđa	On sjedi leđima okrenut prema vratima.
背景	pozadina; kontekst	Molim vas, ukratko predstavite svoju pozadinu.
被子	pokrivač	Pokrivač je vrlo topao.
本科	preddiplomski studij	On je student preddiplomskog studija.
本领	vještina	Naučio je novu vještinu.
本质	bit; priroda	Bit problema vrlo je jednostavna.
彼此	međusobno	Trebamo se međusobno poštovati.
比例	omjer	Omjer muškaraca i žena otprilike je isti.
必然	neizbježan	Trud će neizbježno donijeti rezultate.
必要	potreban; nužan	Nema potrebe za brigom.
毕竟	ipak	Ipak je on još dijete.
避免	izbjegavati	Molim vas, izbjegavajte kašnjenje.
编辑	uređivati; urednik	On je odgovoran za uređivanje ovog članka.
鞭炮	petarde	Za Blagdan proljeća neki ljudi pale petarde.
便	onda; zatim	Nakon jela otišao je na nastavu.
辩论	rasprava; raspravljati	Raspravljaju o tom pitanju.
标点	interpunkcija	Molim vas, obratite pozornost na interpunkciju.
标志	znak; simbol	Crveno svjetlo znak je za zaustavljanje.
表达	izraziti	On je izrazio svoje mišljenje.
表面	površina	Površina stola vrlo je čista.
表明	pokazati; jasno navesti	Rezultat pokazuje da je bio u pravu.
表情	izraz lica	Njezin izraz lica vrlo je ozbiljan.
表现	nastup; ponašanje	Danas se vrlo dobro pokazao.
冰激凌	sladoled	Djeca vole jesti sladoled.
病毒	virus	Ova vrsta virusa brzo se širi.
播放	pustiti; emitirati	Molim te, pusti ovu pjesmu.
玻璃	staklo	Staklena čaša se razbila.
博物馆	muzej	Za vikend idemo u muzej.
脖子	vrat	Vrat me malo boli.
不断	neprestano	Cijene neprestano rastu.
不见得	ne nužno	To nije nužno loša stvar.
不耐烦	nestrpljiv	Nakon dugog čekanja postao je pomalo nestrpljiv.
不要紧	nije važno; nije ozbiljno	U redu je, nije važno.
补充	dopuniti; dodati	Želio bih dodati jedno mišljenje.
不安	nelagodan; nemiran	Kad je čula tu vijest, osjetila je nelagodu.
不得了	vrlo ozbiljan	Ova stvar je zaista ozbiljna.
不然	inače	Kreni brzo, inače ćeš zakasniti.
不如	bolje nego	Umjesto da idemo vozilom, bolje je hodati.
不足	nedovoljan	Ovdje nema dovoljno vode.
布	tkanina	Ovaj komad tkanine vrlo je mekan.
步骤	korak	Molim vas, postupajte prema koracima.
部门	odjel	Radim u prodajnom odjelu.
财产	imovina	Ova kuća je njegova imovina.
彩虹	duga	Nakon kiše pojavila se duga.
踩	nagaziti	Nemoj gaziti travu.
采访	intervjuirati	Novinar intervjuira liječnika.
采取	poduzeti; usvojiti	Usvojili smo novu metodu.
参考	referenca; posavjetovati se	Molim vas, poslužite se ovom knjigom.
参与	sudjelovati	On aktivno sudjeluje u aktivnostima.
惭愧	posramljen	Sramim se zbog svoje pogreške.
操场	igralište	Učenici trče na igralištu.
操心	brinuti se	Nemoj se brinuti za mene.
册	svezak; knjižica	Kupio sam jedan svezak knjige.
测验	test	Sutra imamo mali test.
曾经	nekada; jednom	Nekada sam živio u Pekingu.
叉子	vilica	Jedem salatu vilicom.
差距	razlika; jaz	Postoji razlika između grada i sela.
插	umetnuti; staviti	Molim te, stavi cvijeće u vazu.
拆	rušiti; rastaviti	Radnici ruše staru kuću.
产品	proizvod	Ovaj proizvod je vrlo dobre kvalitete.
产生	nastati; proizvesti	Ovaj problem stvorio je novi utjecaj.
常识	opće znanje; zdrav razum	To je osnovno opće znanje.
长途	duga udaljenost	Putovanje na dugu udaljenost je naporno.
抄	prepisivati	Molim vas, nemojte prepisivati tuđu zadaću.
超级	super; izniman	Ovo je supermarket.
朝	dinastija	Dinastija Tang vrlo je poznata.
潮湿	vlažan	Ljeta na jugu vrlo su vlažna.
吵	bučan	Vani je vrlo bučno.
吵架	svađati se	Opet su se posvađali.
炒	pržiti	Mama prži povrće.
车库	garaža	Auto je parkiran u garaži.
车厢	vagon	Ovaj vagon je vrlo tih.
彻底	potpuno	On je potpuno razumio.
沉默	šutnja; šutljiv	Cijelo vrijeme je šutio.
趁	iskoristiti priliku	Krenimo dok još nije mrak.
称	vagati; nazivati	Molim vas, izvažite ovaj paket.
称呼	osloviti	Ne znam kako da ga oslovim.
称赞	pohvaliti	Učitelj je pohvalio njegov napredak.
成分	sastav; sastojak	Sastav ovog lijeka vrlo je jednostavan.
成果	rezultat; postignuće	Ovaj projekt postigao je rezultate.
成就	postignuće	On ima mnogo postignuća u karijeri.
成立	osnovati	Tvrtka je osnovana prošle godine.
成人	odrasla osoba	Karte za odrasle skuplje su od dječjih.
成熟	zreo	Jabuke su već zrele.
成语	idiom	Taj idiom se često koristi.
成长	odrastati; rast	Dijete polako odrasta.
承担	preuzeti	On je spreman preuzeti odgovornost.
承认	priznati	Priznao je da je pogriješio.
承受	podnijeti	Ne mogu podnijeti tako velik pritisak.
程度	stupanj; razina	Njegova razina kineskog vrlo je visoka.
程序	postupak; procedura	Molim vas, riješite to prema postupku.
诚恳	iskren	Njegov stav je vrlo iskren.
吃亏	pretrpjeti gubitak	Prije kupnje dobro pogledaj, da ne budeš na gubitku.
持续	trajati; nastaviti	Kiša je trajala tri dana.
池塘	ribnjak	U ribnjaku ima mnogo riba.
迟早	prije ili kasnije	Prije ili kasnije ćeš razumjeti.
尺子	ravnalo	Molim te, izmjeri to ravnalom.
翅膀	krilo	Ptičje krilo je ozlijeđeno.
充电器	punjač	Moj punjač je pokvaren.
充分	dovoljan; potpun	Dobro smo se pripremili.
充满	biti pun	Soba je bila puna smijeha.
冲	isprati	Molim te, isperi čašu vodom.
重复	ponoviti	Molim te, nemoj ponavljati istu pogrešku.
宠物	kućni ljubimac	Ona ima psa kućnog ljubimca.
抽屉	ladica	Ključ je u ladici.
抽象	apstraktan	Taj pojam je previše apstraktan.
丑	ružan	Ova fotografija je malo ružna.
臭	smrdljiv	Smeće jako smrdi.
出版	objaviti; izdati	Ova knjiga je objavljena prošle godine.
出口	izlaz	Izlaz je naprijed.
出色	izvrstan	Njezin nastup je izvrstan.
出示	pokazati	Molim vas, pokažite putovnicu.
出席	prisustvovati	On će prisustvovati sastanku.
初级	početni	Učim kineski u početnom razredu.
除非	osim ako	Osim ako bude kiše, sutra idemo planinariti.
除夕	novogodišnja večer	Na novogodišnju večer cijela obitelj jede zajedno.
处理	rješavati; obraditi	Riješit ću ovaj problem.
传播	širiti se	Ova vijest se vrlo brzo proširila.
传染	zaraziti se; prenositi se	Prehlada se lako prenosi.
传说	legenda	Ovo je drevna legenda.
传统	tradicija; tradicionalan	Blagdan proljeća tradicionalni je kineski praznik.
窗帘	zavjese	Molim te, razmakni zavjese.
闯	projuriti; neoprezno prekršiti	On je nepažnjom prošao kroz crveno svjetlo.
创造	stvoriti	Ljudi su stvorili nove alate.
吹	puhati	Vjetar jako puše.
词汇	vokabular; riječ	Ta riječ se često koristi.
辞职	dati otkaz	Odlučio je dati otkaz.
此外	osim toga	Osim toga, imam još jedno pitanje.
刺激	uzbudljiv; poticati	Ova igra je vrlo uzbudljiva.
次要	sporedan	Ovaj problem je sporedan.
匆忙	užurban	On je užurbano otišao od kuće.
从此	od tada	Od tada svaki dan vježba.
从而	time; tako	On je marljivo učio i tako položio ispit.
从前	nekad	Nekad ovdje nije bilo podzemne željeznice.
从事	baviti se	Ona se bavi obrazovanjem.
粗糙	grub	Ovaj list papira je vrlo grub.
促进	promicati; poticati	Vježbanje može promicati zdravlje.
促使	potaknuti	Ta stvar ga je potaknula da promijeni plan.
醋	ocat	U jelo je dodan ocat.
催	požurivati	Mama me požurivala da brzo izađem.
存在	postojati	Taj problem i dalje postoji.
措施	mjera	Škola je poduzela sigurnosne mjere.
答应	pristati; obećati	Pristao mi je pomoći.
达到	dostići; postići	Njegove ocjene dosegnule su standard.
打工	raditi honorarno	On tijekom ljetnih praznika radi honorarno u restoranu.
打交道	imat posla s	Često imam posla s klijentima.
打喷嚏	kihati	Prehlađen je i stalno kiše.
打听	raspitati se	Želio bih se raspitati o kartama za vlak.
大方	velikodušan	Ona je vrlo velikodušna s novcem.
大厦	velika zgrada	Ona velika zgrada vrlo je visoka.
大象	slon	Djeca gledaju slonove u zoološkom vrtu.
大型	velikih razmjera	Ovdje će se izgraditi veliki trgovački centar.
呆	ostati; zadržati se	On ostaje kod kuće i čita.
代表	predstavljati; predstavnik	Ovaj cvijet predstavlja prijateljstvo.
代替	zamijeniti	Danas ću ja umjesto njega prisustvovati sastanku.
待遇	uvjeti; beneficije	Beneficije u ovoj tvrtki su dobre.
贷款	zajam; kredit	Podnijeli su zahtjev za stambeni kredit.
单纯	jednostavan	Njezina ideja je vrlo jednostavna.
单调	jednoličan	Ovaj posao je malo jednoličan.
单独	nasamo; sam	Želim razgovarati s tobom nasamo.
单位	jedinica; ustanova	On radi u javnoj ustanovi.
单元	jedinica	Danas učimo treću jedinicu.
担任	obnašati; biti zadužen za	Ona je zadužena za ovu aktivnost.
耽误	odgoditi; gubiti vrijeme	Nemoj gubiti vrijeme svima.
胆小鬼	kukavica	Nemoj ga zvati kukavicom.
淡	blag; razvodnjen	Ova juha je malo blaga.
当地	lokalan	Lokalni ljudi svi vole ovu tržnicu.
当心	paziti	Cesta je skliska, budi oprezan.
挡	blokirati	Ovaj auto blokira ulaz.
倒霉	loša sreća	Danas baš nemam sreće, izgubio sam mobitel.
导演	redatelj	Ovaj redatelj je vrlo poznat.
导致	dovesti do	Jaka kiša dovela je do prometne gužve.
岛屿	otok	Ova zemlja ima mnogo otoka.
到达	stigći	Vlak je stigao u Šangaj na vrijeme.
道德	moral	Čovjek treba imati moralna načela.
道理	razlog; smisao	To što je rekao ima mnogo smisla.
登记	registrirati se	Molim vas, prvo se registrirajte na recepciji.
等待	čekati	Čekamo rezultat.
等于	jednako je	Pet plus pet jednako je deset.
滴	kap	Kap vode pala je na stol.
敌人	neprijatelj	Oni nisu neprijatelji.
的确	doista	Ta stvar je doista vrlo važna.
地道	autentičan	On govori autentičnim pekinškim dijalektom.
