source_headword	KM	example_KM
toss	បោះ	នាងបានបោះសោនៅលើតុ។
total	សរុប	ការជួសជុលសរុបមានចំនួនច្រើនជាងការរំពឹងទុក។
toxic	ពុល	ផ្សែងពុលបានបង្ខំឱ្យមនុស្សគ្រប់គ្នាចេញទៅក្រៅ។
trademark	និមិត្តសញ្ញាពាណិជ្ជកម្ម	និមិត្តសញ្ញានេះបានក្លាយជានិមិត្តសញ្ញាពាណិជ្ជកម្មរបស់ក្រុមហ៊ុន។
trail	ផ្លូវលំ	ផ្លូវលំនាំកាត់ព្រៃ។
trailer	វីដេអូផ្សព្វផ្សាយ	វីដេអូផ្សព្វផ្សាយបានបង្ហាញពីទីបញ្ចប់នៃខ្សែភាពយន្ត។
transaction	ប្រតិបត្តិការ	ប្រតិបត្តិការបានលេចឡើងនៅលើរបាយការណ៍ធនាគាររបស់ខ្ញុំ។
transcript	ប្រតិចារិក	សិស្សបានស្នើសុំប្រតិចារិកជាផ្លូវការមួយ។
transformation	ការផ្លាស់ប្តូរ	ទីក្រុងនេះបានឃើញការផ្លាស់ប្តូរដ៏ធំមួយ។
transit	ការដឹកជញ្ជូន	កញ្ចប់នេះត្រូវបានខូចខាតក្នុងអំឡុងពេលដឹកជញ្ជូន។
transmission	ការបញ្ជូន	ការបញ្ជូនទិន្នន័យមានសុវត្ថិភាព។
transparency	តម្លាភាព	របាយការណ៍នេះបានអំពាវនាវឱ្យមានតម្លាភាពជាងមុន។
transparent	មានតម្លាភាព	ដំណើរការនេះគួរតែមានតម្លាភាពសម្រាប់មនុស្សគ្រប់គ្នា។
trauma	របួសផ្លូវចិត្ត	គ្រោះថ្នាក់នេះបានបន្សល់ទុករងរបួសផ្លូវចិត្តយ៉ាងជ្រៅ។
treaty	សន្ធិសញ្ញា	ប្រទេសទាំងនោះបានចុះហត្ថលេខាលើសន្ធិសញ្ញាសន្តិភាព។
tremendous	ធំធេង	ក្រុមនេះមានការរីកចម្រើនយ៉ាងធំធេង។
tribal	កុលសម្ព័ន្ធ	សារមន្ទីរបានបង្ហាញសិល្បៈកុលសម្ព័ន្ធ។
tribunal	តុលាការ	តុលាការបានស្តាប់ភស្តុតាងពេញមួយសប្តាហ៍។
tribute	ការគោរព	ការប្រគំតន្ត្រីនេះគឺជាការគោរពចំពោះនាង។
trio	ក្រុមមនុស្សបីនាក់	ក្រុមមនុស្សបីនាក់បានសម្តែងនៅក្នុងពិធីបុណ្យ។
triumph	ជ័យជំនះ	ជ័យជំនះគឺជាជោគជ័យផ្ទាល់ខ្លួនមួយ។
trophy	ពានរង្វាន់	ប្រធានក្រុមបានលើកពានរង្វាន់ដោយមោទនភាព។
troubled	ដែលមានបញ្ហា	ក្រុមហ៊ុនដែលមានបញ្ហាត្រូវការថ្នាក់ដឹកនាំថ្មី។
trustee	អ្នកគ្រប់គ្រងទ្រព្យសម្បត្តិ	អ្នកគ្រប់គ្រងទ្រព្យសម្បត្តិគ្រប់គ្រងមូលនិធិអាហារូបករណ៍។
tuition	ថ្លៃសិក្សា	ថ្លៃសិក្សារបស់នាងបានកើនឡើងនៅឆ្នាំនេះ។
turnout	ចំនួនអ្នកចូលរួម	ចំនួនអ្នកចូលរួមបោះឆ្នោតមានច្រើនជាងការរំពឹងទុក។
turnover	ការផ្លាស់ប្តូរបុគ្គលិក	ការផ្លាស់ប្តូរបុគ្គលិកបានធ្លាក់ចុះបន្ទាប់ពីមានការផ្លាស់ប្តូរ។
twist	មួល	នាងបានមួលគម្របបើកវា។
undergraduate	និស្សិតបរិញ្ញាបត្រ	និស្សិតបរិញ្ញាបត្របានចូលរួមគម្រោងស្រាវជ្រាវមួយ។
underlying	ជាមូលដ្ឋាន	របាយការណ៍នេះបានពន្យល់ពីមូលហេតុជាមូលដ្ឋាន។
undermine	បំផ្លាញ	រឿងអាស្រូវនេះបានបំផ្លាញទំនុកចិត្តរបស់សាធារណជន។
undoubtedly	ដោយគ្មានការសង្ស័យ	នាងគឺដោយគ្មានការសង្ស័យជាបេក្ខជនល្អបំផុត។
unify	បង្រួបបង្រួម	ផែនការនេះមានគោលបំណងបង្រួបបង្រួមក្រុម។
unprecedented	ដែលមិនធ្លាប់មានពីមុនមក	ព្យុះនេះបានបណ្តាលឱ្យមានការខូចខាតដែលមិនធ្លាប់មានពីមុនមក។
unveil	បង្ហាញ	ក្រុមហ៊ុននឹងបង្ហាញការរចនានៅថ្ងៃស្អែក។
upcoming	នាពេលខាងមុខ	ការបោះឆ្នោតនាពេលខាងមុខបានទាក់ទាញចំណាប់អារម្មណ៍សាធារណៈ។
upgrade	ធ្វើឱ្យប្រសើរឡើង	យើងបានធ្វើឱ្យកម្មវិធីប្រសើរឡើងកាលពីយប់មិញ។
uphold	គាំទ្រ	យើងគាំទ្រសេចក្តីសម្រេចដើម។
utility	សេវាទឹកភ្លើង	អាផាតមិនរួមបញ្ចូលថ្លៃសេវាទឹកភ្លើងទាំងអស់។
utilize	ប្រើប្រាស់	ក្រុមនេះបានប្រើប្រាស់ទិន្នន័យដែលមានស្រាប់។
utterly	ទាំងស្រុង	ការពន្យល់នេះគឺមានភាពច្របូកច្របល់ទាំងស្រុង។
vacuum	ភាពទទេរ	ភាពទទេរនៅក្នុងភាពជាអ្នកដឹកនាំបានបង្កើតភាពតានតឹង។
vague	មិនច្បាស់លាស់	ចម្លើយរបស់គាត់គឺមិនច្បាស់លាស់ និងខ្សោយ។
validity	សុពលភាព	ការសិក្សានេះបានចោទសួរពីសុពលភាពនៃការធ្វើតេស្ត។
vanish	បាត់ខ្លួន	ឯកសារបានបាត់ពីថតឯកសារ។
variable	អថេរ	តម្លៃគឺជាអថេរដ៏សំខាន់មួយ។
varied	ចម្រុះ	វគ្គសិក្សានេះផ្តល់នូវកិច្ចការចម្រុះ។
vein	សរសៃឈាមវ៉ែន	គិលានុបដ្ឋាយិកាបានរកឃើញសរសៃឈាមវ៉ែនយ៉ាងឆាប់រហ័ស។
venture	សហគ្រាស	សហគ្រាសថ្មីនេះបានទាក់ទាញអ្នកវិនិយោគ។
verbal	ដោយផ្ទាល់មាត់	ពួកគេសម្រេចបានកិច្ចព្រមព្រៀងដោយផ្ទាល់មាត់។
verdict	សាលក្រម	គណៈវិនិច្ឆ័យបានផ្តល់សាលក្រមរបស់ខ្លួន។
verify	ផ្ទៀងផ្ទាត់	សូមផ្ទៀងផ្ទាត់អាសយដ្ឋានអ៊ីមែលរបស់អ្នក។
verse	ខគម្ពីរ	នាងបានដកស្រង់ខគម្ពីរមួយពីកំណាព្យ។
versus	ទល់នឹង	ការជជែកដេញដោលគឺភាពឯកជនទល់នឹងសន្តិសុខ។
vessel	នាវា	នាវានេះបានដឹកគ្រាប់ធញ្ញជាតិឆ្លងកាត់សមុទ្រ។
veteran	អ្នកមានបទពិសោធន៍	អ្នកមានបទពិសោធន៍បានបណ្តុះបណ្តាលបុគ្គលិកថ្មី។
viable	ដែលអាចទៅរួច	សំណើនេះអាចទៅរួចផ្នែកហិរញ្ញវត្ថុ។
vibrant	រស់រវើក	ទីក្រុងនេះមានទិដ្ឋភាពសិល្បៈរស់រវើក។
vice	ទម្លាប់អាក្រក់	ភាពលោភលន់គឺជាទម្លាប់អាក្រក់បំផុតរបស់គាត់។
vicious	ឃោរឃៅ	ការវាយប្រហារដ៏ឃោរឃៅបានធ្វើឱ្យទីក្រុងមានការភ្ញាក់ផ្អើល។
villager	អ្នកភូមិ	អ្នកភូមិម្នាក់បាននាំយើងទៅកាន់ទន្លេ។
violate	រំលោភបំពាន	ក្រុមហ៊ុនអាចរំលោភបំពានច្បាប់សុវត្ថិភាព។
violation	ការរំលោភបំពាន	អធិការបានរាយការណ៍ពីការរំលោភបំពានដ៏ធ្ងន់ធ្ងរមួយ។
virtue	គុណធម៌	ការអត់ធ្មត់គឺជាគុណធម៌ដ៏សំខាន់មួយ។
vocal	ដែលបញ្ចេញមតិដោយបើកចំហ	នាងបានបញ្ចេញមតិយ៉ាងបើកចំហអំពីការសម្រេចចិត្តនេះ។
vow	ស្បថ	គាត់បានស្បថថានឹងបញ្ចប់ការងារនេះ។
vulnerability	ភាពងាយរងគ្រោះ	សវនកម្មបានបង្ហាញពីភាពងាយរងគ្រោះផ្នែកសន្តិសុខ។
vulnerable	ងាយរងគ្រោះ	កុមារងាយរងគ្រោះក្នុងអំឡុងពេលកម្តៅខ្លាំង។
ward	វួដអ្នកជំងឺ	អ្នកជំងឺបានផ្លាស់ទៅវួដមួយផ្សេងទៀត។
warehouse	ឃ្លាំង	ឃ្លាំងនេះស្តុកទុកគ្រឿងបន្លាស់។
warfare	សង្គ្រាម	សង្គ្រាមសម័យទំនើបពឹងផ្អែកលើបច្ចេកវិទ្យា។
warrant	ដីកា	ប៉ូលីសបានបង្ហាញដីកាឆែកឆេរ។
warrior	អ្នកចម្បាំង	អ្នកចម្បាំងបានការពារភូមិ។
weaken	ធ្វើឱ្យចុះខ្សោយ	របួសបានធ្វើឱ្យការក្តាប់របស់គាត់ចុះខ្សោយ។
weave	ត្បាញ	នាងបានរៀនត្បាញកញ្ច្រែង។
weed	ស្មៅ	ស្មៅដុះនៅចន្លោះថ្ម។
well	អណ្តូង	អណ្តូងទឹកភូមិរីងស្ងួត។
well-being	សុខុមាលភាព	ការគេងមានសារៈសំខាន់សម្រាប់សុខុមាលភាព។
whatsoever	ទាល់តែសោះ	គាត់មិនបានបង្ហាញចំណាប់អារម្មណ៍ទាល់តែសោះ។
whereby	ដែលតាមរយៈនោះ	ច្បាប់នេះបានបង្កើតប្រព័ន្ធមួយដែលតាមរយៈនោះគ្រួសារអាចប្តឹងឧទ្ធរណ៍បាន។
whilst	ខណៈពេលដែល	នាងបានធ្វើការខណៈពេលដែលគាត់សម្រាក។
whip	វាយ	ខ្យល់អាចវាយទង់ជាតិ។
wholly	ទាំងស្រុង	ការសម្រេចចិត្តនេះគឺមិននឹកស្មានដល់ទាំងស្រុង។
widen	ពង្រីក	ទីក្រុងគ្រោងនឹងពង្រីកផ្លូវ។
widow	ស្ត្រីមេម៉ាយ	ស្ត្រីមេម៉ាយរស់នៅក្បែរសាលារៀន។
width	ទទឹង	វាស់ទទឹងទ្វារ។
willingness	ឆន្ទៈ	ឆន្ទៈរបស់នាងក្នុងការជួយធ្វើឱ្យមនុស្សគ្រប់គ្នាចាប់អារម្មណ៍។
wipe	ជូត	ជូតអេក្រង់ដោយក្រណាត់។
wit	ភាពឆ្លាតវៃ	ភាពឆ្លាតវៃរបស់គាត់ធ្វើឱ្យសុន្ទរកថារស់រវើក។
withdrawal	ការដកចេញ	ការដកថវិកាបានពន្យារពេលគម្រោងនេះ។
workout	ការហាត់ប្រាណ	ការហាត់ប្រាណចំណាយពេលសែសិបនាទី។
worship	ការគោរពបូជា	ប្រជាជនបានប្រមូលផ្តុំគ្នាសម្រាប់ការគោរពបូជានៅពេលព្រឹកព្រលឹម។
worthwhile	ដែលមានតម្លៃ	ការធ្វើដំណើរនេះគឺមានតម្លៃ។
worthy	សក្តិសម	សប្បុរសធម៌នេះសក្តិសមទទួលបានការគាំទ្រ។
yell	ស្រែក	កុំស្រែកដាក់បុគ្គលិក។
yield	ទិន្នផល	ទិន្នផលកសិដ្ឋានបានប្រសើរឡើងនៅរដូវកាលនេះ។
youngster	ក្មេង	ក្មេងនេះបានសួរសំណួរជាច្រើន។
