source_headword	UZ	example_UZ
incur	duchor bo'lmoq	Kechikishlar qo'shimcha xarajatlarga olib kelishi mumkin.
indicator	ko'rsatkich	Ishsizlik bitta iqtisodiy ko'rsatkichdir.
indictment	ayblov	Ayblov xulosasida uchta ayblov keltirilgan.
indigenous	mahalliy	Mahalliy o'simliklar bu yerda yaxshi o'sadi.
induce	keltirib chiqarmoq	Dori uyquni keltirib chiqarishi mumkin.
indulge	berilmoq	U qimmat odatlarga berilmaydi.
inequality	tengsizlik	Daromadlar tengsizligi asosiy muammo bo'lib qolmoqda.
infamous	yomon nom chiqargan	Qamoqxona butun dunyoga yomon nom chiqargan edi.
infant	go'dak	Go'dak beshikda uxlab yotgan edi.
infect	zararlamoq	Virus sog'lom hujayralarni zararlashi mumkin.
inflict	yetkazmoq	Hayvonlarga og'riq yetkazmang.
influential	nufuzli	U nufuzli huquqshunos olim.
inherent	ajralmas	Loyihada ajralmas xavf-xatarlar mavjud.
inhibit	to'sqinlik qilmoq	Qo'rquv ochiqchasiga suhbatlashishga to'sqinlik qilishi mumkin.
initiate	boshlamoq	Menejer tekshiruvni boshlaydi.
inject	inyeksiya qilmoq	Hamshira vaksinani inyeksiya qiladi.
injection	ukol	Ukol og'riqni kamaytirdi.
injustice	adolatsizlik	Qaror aniq adolatsizlikni fosh qildi.
inmate	mahbus	Mahbus yuridik maslahat so'radi.
insertion	kiritish	Shaklga bitta matn kiritish kerak.
insider	ichki odam	Ichki odam hisobotni tarqatib yubordi.
inspect	tekshirmoq	Rasmiylar ko'prikni har yili tekshiradilar.
inspection	tekshiruv	Tekshiruv jiddiy zararni aniqladi.
inspiration	ilhom	Uning nutqi menga ilhom berdi.
instinct	instinkt	Uning birinchi instinkti yordam berish edi.
institutional	muassasaviy	Muassasaviy qoidalar qarorni shakllantirdi.
instruct	ko'rsatma bermoq	Qo'llanma yangi xodimlarga ko'rsatma beradi.
instrumental	muhim rol o'ynagan	Uning maslahati muzokaralarda muhim rol o'ynadi.
insufficient	yetarli emas	Ayblovlar uchun dalillar yetarli emas edi.
insult	haqorat	Uning haqorati suhbatni yakunladi.
intact	buzilmagan	Qadimiy devor buzilmagan holda qoldi.
intake	iste'mol qilish	Shakar iste'mol qilish me'yorida bo'lishi kerak.
integral	ajralmas	Ishonch jamoaning ajralmas qismidir.
integrated	integratsiyalashgan	Maktab integratsiyalashgan yordamni taklif qiladi.
integration	integratsiya	Integratsiya butun tizimni yaxshiladi.
integrity	halollik	Sudya katta halollik ko'rsatdi.
intensify	kuchaymoq	Bo'ron kechasi kuchayishi mumkin.
intensity	jadallik	Mashg'ulotlarning jadalligi oshdi.
intensive	jadal	Ular jadal til o'rganish kursini tugatdilar.
intent	niyat	Uning niyatini isbotlash qiyin edi.
interactive	interaktiv	Muzeyda interaktiv ko'rgazmalar mavjud.
interface	interfeys	Interfeysdan foydalanish oson.
interfere	xalaqit bermoq	Tergovga xalaqit bermang.
interference	xalaqit	Signalga xalaqit berish qo'ng'iroqni to'xtatdi.
interim	oraliq	Oraliq hisobot ertaga yetib keladi.
interior	ichki	Ichki devorlarni bo'yash kerak.
intermediate	o'rta	U o'rta darajadagi sinfga qo'shildi.
intervene	aralashmoq	Politsiya tezda aralashishga majbur bo'ldi.
intervention	aralashuv	Erta aralashuv bemorga yordam berdi.
intimate	yaqin	Ular yaqin oilaviy marosim o'tkazdilar.
intriguing	qiziqarli	Ma'lumotlar qiziqarli naqshni ochib berdi.
investigator	tergovchi	Tergovchi har bir guvoh bilan suhbatlashdi.
invisible	ko'rinmas	Gaz ko'rinmas va xavflidir.
invoke	asos qilib keltirmoq	Advokat avvalgi sud qarorini asos qilib keltirishga urindi.
involvement	ishtirok	Uning ishtiroki noaniqligicha qoldi.
ironic	kinoyali	Kinoyali izoh hammani kuldirdi.
ironically	aksiga olib	Aksiga olib, yo'l ko'proq vaqt oldi.
irony	kinoya	Kinoya hammaga ayon edi.
irrelevant	ahamiyatsiz	Bu tafsilot bu yerda ahamiyatsiz.
isolation	yakkalanish	Yakkalanish ruhiy salomatlikka zarar yetkazishi mumkin.
judicial	sudga oid	Sud tekshiruvi dushanba kuni boshlanadi.
junction	chorraha	Chorrahadan chapga buriling.
jurisdiction	yurisdiksiya	Sud cheklangan yurisdiksiyaga ega.
just	adolatli	Sudya adolatli qaror qabul qildi.
justification	asoslash	Bizga xarajatlarni aniq asoslash kerak.
kidnap	o'g'irlab ketmoq	Jinoyatchilar diplomatni o'g'irlab ketishga urindi.
kidney	buyrak	Uning buyrak faoliyati yaxshilandi.
kingdom	qirollik	Qirollik uning boshqaruvi ostida kengaydi.
lad	yigitcha	Yosh yigitcha sumkalarni ko'tarib oldi.
landlord	uy egasi	Uy egasi isitish tizimini ta'mirladi.
landmark	diqqatga sazovor joy	Minora shaharning diqqatga sazovor joyiga aylandi.
lap	tizza	Bola uning tizzasiga o'tirdi.
large-scale	keng ko'lamli	Shahar keng ko'lamli ta'mirlash ishlarini rejalashtirgan.
laser	lazer	Lazer masofani o'lchadi.
latter	ikkinchisi	Ikkinchi variant xavfsizroq ko'rinadi.
lawn	maysazor	Bolalar maysazorda o'ynashdi.
lawsuit	sud da'vosi	Kompaniya sud da'vosini hal qildi.
layout	maket	Sahifa maketi aniqroq ko'rinadi.
leak	oqish	Quvurning oqishi oshxonani suvga bostirdi.
leap	sakrash	Savdo-sotiqda to'satdan sakrash kuzatildi.
legacy	meros	Uning merosi universitetni shakllantirdi.
legendary	afsonaviy	Afsonaviy xonanda sahnaga qaytdi.
legislation	qonunchilik	Yangi qonunchilik ijarachilarni himoya qiladi.
legislative	qonun chiqaruvchi	Qonun chiqaruvchi qo'mita bugun yig'ildi.
legislature	qonun chiqaruvchi organ	Qonun chiqaruvchi organ byudjetni tasdiqladi.
legitimate	qonuniy	Ular qonuniy xavotirlarni bildirishdi.
lengthy	uzoq davom etgan	Uzoq davom etgan bahs ovoz berishni kechiktirdi.
lesbian	lesbiyan	Lesbiyan faoli forumda nutq so'zladi.
lesser	kamroq	Kamroq xavfni tanlang.
lethal	o'ldiradigan	Kimyoviy modda o'ldiradigan bo'lishi mumkin.
liable	javobgar	Haydovchilar zararlar uchun javobgardir.
liberal	liberal	U liberal ijtimoiy siyosatni qo'llab-quvvatlaydi.
liberation	ozodlik	Ozodlik mamlakat kelajagini o'zgartirdi.
liberty	erkinlik	Qonun shaxsiy erkinlikni himoya qiladi.
license	litsenziya bermoq	Davlat yangi klinikalarga litsenziya berishi mumkin.
lifelong	butun umrlik	U u yerda butun umrlik do'stlar orttirdi.
likelihood	ehtimollik	Yomg'ir yog'ish ehtimolligi oshdi.
limb	tana a'zosi	Jarohatlangan tana a'zosi sekin tuzaldi.
linear	chiziqli	Jadval chiziqli tendensiyani ko'rsatmoqda.
line-up	ro'yxat	Festival ishtirokchilari ro'yxatiga mahalliy guruhlar kiritilgan.
linger	uzoq qolmoq / saqlanib qolmoq	Hid soatlab saqlanib qolishi mumkin.
listing	ro'yxat	Kvartira ro'yxati aniq ko'rindi.
literacy	savodxonlik	Kattalar savodxonligi dasturlari kengaytirildi.
liver	jigar	Jigar zararli moddalarni filtrlaydi.
lobby	qabulxona	Tushdan keyin qabulxona gavjum edi.
log	jurnal / qayd	Tizim kundalik jurnalni yuritadi.
logic	mantiq	Uning dalillarining mantig'i mantiqsiz edi.
long-standing	uzoq muddatli	Ular uzoq muddatli nizonihoyasiga yetkazishdi.
long-time	uzoq vaqtdan beri	U uzoq vaqtdan beri ko'ngilli bo'lib keladi.
loom	qoplamoq / ko'rinmoq	Vodiy uzra qora bulutlar qopladi.
loop	aylana / halqa	Yo'l aylana hosil qiladi.
loyalty	sadoqat	Uning sadoqati jamoani hayratda qoldirdi.
machinery	mexanizmlar / texnika	Zavod yangi texnikalarni o'rnatdi.
magical	sehrli	Bog' tunda sehrli ko'rinar edi.
magistrate	sudya / magistrat	Sudya ishni ko'rib chiqdi.
magnetic	magnit	Magnit maydon kompasga ta'sir qildi.
magnitude	ko'lam	Zararning ko'lami aniq edi.
mainland	materik / qit'a	Parom orollarni materik bilan bog'laydi.
mainstream	asosiy oqim	Bu g'oya asosiy siyosatga kirdi.
maintenance	texnik xizmat ko'rsatish	Muntazam texnik xizmat ko'rsatish nosozliklarning oldini oladi.
mandate	mandat / vakolat	Prezident kuchli mandatga da'vo qildi.
mandatory	majburiy	Stajyorlar uchun davomat majburiy hisoblanadi.
manifest	namoyon bo'lmoq	Alomatlar haftalar o'tgach namoyon bo'lishi mumkin.
manipulate	manipulyatsiya qilmoq	So'rov natijalarini manipulyatsiya qilmang.
manipulation	manipulyatsiya	Ma'lumotlar manipulyatsiyasi aniqlandi.
manuscript	qo'lyozma	Nashriyot uning qo'lyozmasini qabul qildi.
march	marsh / yurish	Namoyishchilar shahar markaziga yurish qiladilar.
marginal	arzimagan / kam	O'zgarishning foydasi kam bo'ldi.
marine	dengiz	Dengiz hayoti toza suvga muhtoj.
marketplace	bozor	Onlayn bozor tez kengaydi.
mask	niqob	Ishchilar niqob taqishlari shart.
massacre	qirg'in	Qirg'in butun mintaqani larzaga soldi.
mathematical	matematik	Matematik model talabni bashorat qildi.
mature	yetuk / katta	Katta daraxtlar soya beradi.
maximize	maksimal darajaga ko'tarmoq	Yangilanish batareya ishlash muddatini uzaytiradi.
meaningful	mazmunli	Ular mazmunli suhbat qurishdi.
meantime	bu orada / ayni paytda	Ayni paytda, tashqarida kuting.
medieval	o'rta asrlarga oid	Qal'aning o'rta asrlarga oid devorlari bor.
meditation	meditatsiya	Har kungi meditatsiya uning aqlini tinchlantiradi.
melody	kuy / ohang	Kuy esimda qoldi.
memo	eslatma	Eslatmada siyosat tushuntirilgan edi.
memoir	memuar	Uning memuarida bolalikdagi surgun tasvirlangan.
memorial	yodgorlik	Yodgorlik mahalliy askarlar xotirasiga bag'ishlangan.
mentor	ustoz	Uning ustozi taklifni ko'rib chiqdi.
merchant	savdogar	Savdogar ipak va ziravorlar sotgan.
mercy	rahm-shafqat	Sudya rahm-shafqat ko'rsatdi.
mere	shunchaki / oddiy	Oddiygina nigoh xatoni ko'rsatdi.
merely	shunchaki	U ko'rsatmalarni shunchaki takrorladi.
merge	birlashmoq	Ikki kompaniya birlashadi.
merger	birlashish	Birlashish yirikroq bankni yaratdi.
merit	afzallik / qadr-qimmat	Taklifning aniq afzalligi bor.
methodology	metodologiya	Tadqiqot uning metodologiyasini tushuntiradi.
midst	o'rtasida	Ular tartibsizliklar o'rtasida ishladilar.
migration	migratsiya / ko'chish	Mavsumiy migratsiya mahalliy ishlarga ta'sir qiladi.
militant	jangarilar	Jangarilar guruhi muzokaralarni rad etdi.
militia	militsiya / qurolli guruh	Militsiya yo'lni nazorat qildi.
mill	tegirmon	Eski tegirmon muzeyga aylandi.
minimal	minimal	Reja minimal harakatni talab qiladi.
minimize	minimallashtirmoq	Biz keraksiz xavfni kamaytirishimiz kerak.
mining	qazib olish	Qazib olish daryo vodiysiga zarar yetkazdi.
ministry	vazirlik	Vazirlik yangi qoidalarni e'lon qildi.
minute2	mayda / kichik	Oynada kichik yoriq paydo bo'ldi.
miracle	mo''jiza	Uning tuzalishi mo''jizaga o'xshardi.
misery	azob	Qochqinlar yillar davomida azob-uqubatlarni boshdan kechirdilar.
misleading	chalg'ituvchi	Chalg'ituvchi jadval o'quvchilarni adashtirdi.
missile	raketa	Raketa sinovi keskinlikni oshirdi.
mob	olomon	G'azablangan olomon harakatni to'sib qo'ydi.
mobility	harakatchanlik	Yaxshi avtobuslar shahardagi harakatchanlikni yaxshilaydi.
mobilize	safarbar qilmoq	Rahbarlar ko'ngillilarni tezda safarbar qiladilar.
moderate	mo'tadil	Nomzod mo'tadil qarashlarga ega.
modification	o'zgartirish	Dizayn bitta o'zgartirishni talab qiladi.
momentum	jadal / kuch	Kampaniya tezda jadallashdi.
monk	rohib	Rohib jimjitlikda yashadi.
monopoly	monopoliya	Kompaniya monopoliyaga ega edi.
morality	axloq	Kurs jamoat axloqini o'rganadi.
motive	sabab	Politsiya uning sababini so'roq qildi.
motorist	avtomobilchi	Avtomobilchi qizil chiroqda to'xtadi.
municipal	munitsipal	Bu yil munitsipal xizmatlar yaxshilandi.
mutual	o'zaro	Ular o'zaro kelishuvga erishdilar.
namely	aynan	Bitta muammo qolmoqda, aynan moliyalashtirish.
nationwide	umummilliy	Ish tashlash butun mamlakat bo'ylab kechikishlarga sabab bo'ldi.
naval	dengiz	Dengiz bazasi o'tgan yili yopildi.
neglect	e'tiborsiz qoldirmoq	Asosiy xavfsizlikni e'tiborsiz qoldirmang.
neighbouring	qo'shni	Qo'shni shaharlar kasalxonadan birgalikda foydalanishdi.
nest	in / uya	Qush in qildi.
net	sof	Sof foyda keskin oshdi.
newsletter	axborotnoma	Axborotnoma har juma keladi.
niche	o'z o'rni / joyi	Kompaniya foydali joy topdi.
noble	olijanob	Uning olijanob ishorasi barchani hayratda qoldirdi.
nod	bosh irg'amoq	Tushungan bo'lsangiz, iltimos, bosh irg'ating.
nominate	nomzod qilib ko'rsatmoq	Ular yangi raisni nomzod qilib ko'rsatadilar.
nomination	nomzodlik	Uning nomzodligi qo'mitani ajablantirdi.
nominee	nomzod	Nomzod qiyin savollarga javob berdi.
nonetheless	shunga qaramay	Shunga qaramay, reja oldinga siljidi.
non-profit	notijorat	U notijorat klinikasida ishlaydi.
nonsense	bema'nilik	Bu mish-mish butunlay bema'nilikdir.
noon	tush	Uchrashuv tushda boshlanadi.
notable	e'tiborga loyiq	Hisobot e'tiborga loyiq yutuqlarga erishdi.
notably	ayniqsa	Ayniqsa, may oyida xarajatlar tushdi.
notify	xabar bermoq	Ketishdan oldin xodimlarga xabar bering.
notorious	yomon otliq	Bu yo'l avariyalar bilan yomon otliq bo'lgan.
novel	yangi	Ular yangi yechim taklif qilishdi.
nursery	yasli	Yasli chaqaloqlarga g'amxo'rlik qiladi.
objection	e'tiroz	Advokat e'tiroz bildirdi.
oblige	majbur qilmoq	Qoidalar haydovchilarni to'xtashga majbur qiladi.
obsess	mukkasidan ketmoq	Kichik xatolar ustida haddan tashqari o'ylamang.
obsession	telbalik	Uning telbaligi ishiga zarar yetkazdi.
occasional	vaqti-vaqti bilan	Vaqti-vaqti bilan kechikishlar kutiladi.
occurrence	hodisa	Bunday hodisa kam uchraydi.
odds	ehtimollik	Muvaffaqiyat ehtimoli yaxshilandi.
offering	taklif	Universitet o'z takliflarini kengaytirdi.
offspring	nasl	Tulki o'z naslini himoya qildi.
operational	ishchi holatda	Yangi tizim ishchi holatda.
opt	tanlamoq	Ko'plab talabalar onlayn darslarni tanlaydilar.
optical	optik	Optik linzani tozalash kerak.
optimism	optimizm	E'londan keyin optimizm qaytdi.
oral	og'zaki	Og'zaki imtihon ertaga boshlanadi.
organizational	tashkiliy	Tashkiliy o'zgarishlar darhol boshlandi.
orientation	yo'naltirish	Seminar xodimlarni yo'naltirishni qamrab oldi.
originate	paydo bo'lmoq	Ko'plab an'analar qishloqlarda paydo bo'ladi.
outbreak	avj olish	Kasallik avj olishi butun shahar bo'ylab tarqaldi.
outing	sayr	Sinf muzey sayridan zavqlandi.
outlet	savdo shoxobchasi	Savdo shoxobchasi arzon kiyimlarni sotadi.
outlook	istiqbol	Iqtisodiy istiqbol noaniqligicha qolmoqda.
outrage	g'azab	Qaror xalq g'azabini keltirib chiqardi.
outsider	begona	Begona sifatida u muammolarni payqadi.
