source_headword	IS	example_IS
stranger	ókunnugur	Ókunnugur maður spurði til vegar.
strength	styrkur	Styrkur hennar hjálpaði liðinu.
string	band	Bittu kassann með bandi.
strongly	eindregið	Ég er eindregið ósammála þeirri hugmynd.
studio	vinnustofa	Listamaðurinn vinnur á lítilli vinnustofu.
stuff	dót	Settu dótið þitt á hilluna.
substance	efni	Lögreglan fann einkennilegt efni.
successfully	með árangri	Þeir kláruðu verkefnið með árangri.
sudden	skyndilegur	Skyndilegur hávaði vakti okkur.
suffer	þjást	Margar plöntur þjást í þurru veðri.
suitable	hentugur	Þessi jakki er hentugur fyrir skólann.
summarize	draga saman	Geturðu dregið greinina saman?
summary	samantekt	Skrifaðu stutta samantekt í kvöld.
supply	birgðir	Bærinn þarf hreinar vatnsbirgðir.
supporter	stuðningsmaður	Hver einasti stuðningsmaður fagnaði ákaft.
surely	áreiðanlega	Við getum áreiðanlega leyst þetta.
surface	yfirborð	Yfirborðið var kalt og slétt viðkomu.
survive	lifa af	Þessi dýr lifa af kalda vetur.
switch	slökkva	Slökktu ljósið í eldhúsinu.
symptom	einkenni	Hósti getur verið einkenni.
tail	skott	Hundurinn er með langt skott.
talent	hæfileiki	Hún hefur hæfileika fyrir tónlist.
talented	hæfileikaríkur	Hann er hæfileikaríkur ungur leikari.
tape	límband	Notaðu límband til að loka kassanum.
tax	skattur	Allir verða að greiða þennan skatt.
technical	tæknilegur	Við fengum tæknilegt vandamál.
technique	tækni	Þessi tækni sparar tíma.
tend	hafa tilhneigingu til	Börn hafa tilhneigingu til að læra hratt.
tent	tjald	Við sváfum í litlu tjaldi.
theirs	þeirra	Bláu hjólin eru þeirra.
theme	þema	Veislan var með strandarþema.
theory	kenning	Kenning hans útskýrir vandamálið.
therefore	þess vegna	Það rigndi og þess vegna héldum við okkur inni.
though	þótt	Þótt hún væri þreytt hélt hún áfram að vinna.
throat	háls	Ég er með sárt í hálsinum í morgun.
throughout	allt	Fólk dansaði allt kvöldið.
tight	þröngur	Þessir skór eru of þröngir.
till	þangað til	Bíddu hér þangað til ég kem aftur.
tin	dós	Opnaðu baunadós.
tiny	pínulítill	Pínulítill fugl lenti þar rétt hjá.
toe	tá	Ég meiddi mig á tánni í gær.
tongue	tunga	Hún brenndi sig á tungunni af teinu.
total	heildar-	Heildarkostnaðurinn var lágur.
totally	algerlega	Ég skil áhyggjur þínar algerlega.
trade	viðskipti	Alþjóðaviðskipti skapa störf.
translate	þýða	Vinsamlegast þýddu þessa setningu.
translation	þýðing	Þýðingin hljómar eðlilega.
treat	koma fram við	Komdu fram við alla af virðingu.
treatment	meðferð	Sjúklingurinn þarfnast meðferðar í dag.
trend	þróun	Þessi þróun fer vaxandi um allan heim.
trick	bragð	Þetta spilabragð kom mér á óvart.
truth	sannleikur	Vinsamlegast segðu sannleikann.
tube	túpa	Kreistu túpuna varlega.
typically	venjulega	Nemendur mæta venjulega fyrir klukkan níu.
tyre	dekk	Bíllinn þarf nýtt dekk.
ugly	ljótur	Þessi vegglitur er ljótur.
unable	ófær	Hann var ófær um að svara.
uncomfortable	óþægilegur	Þessi stóll er óþægilegur.
underwear	nærföt	Pakkaðu hreinum nærfötum fyrir ferðina.
unemployed	atvinnulaus	Hún var atvinnulaus í tvo mánuði.
unemployment	atvinnuleysi	Atvinnuleysi jókst yfir veturinn.
unfair	ósanngjarn	Ákvörðunin virtist ósanngjörn.
union	stéttarfélag	Stéttarfélagið fór fram á öruggara vinnuumhverfi.
unless	nema	Ekki fara nema ég hringi.
unlike	ólíkt	Ólíkt Tommi elskar Ana veturinn.
unlikely	ólíklegur	Það er ólíklegt að það snjói í þessari viku.
unnecessary	óþarfur	Aukapokar eru óþarfir.
unpleasant	ónotalegur	Það var ónotaleg lykt í herberginu.
update	uppfæra	Ég þarf að uppfæra símann minn.
upon	einu sinni var	Einu sinni var konungur.
upset	miður sín	Hún var miður sín eftir símtalið.
used1	notaður	Þetta herbergi er notað fyrir fundi.
used2	vanur	Ég er vanur því að vakna snemma.
valuable	verðmætur	Þetta úr er verðmætt.
value	verðgildi	Húsið tapaði verðgildi sínu á síðasta ári.
various	ýmiss	Við prófuðum ýmsa staðbundna rétti.
version	útgáfa	Þessi útgáfa virkar betur.
victim	fórnarlamb	Fórnarlambið hringdi í lögregluna.
viewer	áhorfandi	Einn áhorfandi spurði spurningar.
violent	ofbeldisfullur	Kvikmyndin var of ofbeldisfull.
volunteer	sjálfboðaliði	Ég vinn sjálfboðastarf á bókasafninu.
vote	kjósa	Mundu að kjósa á morgun.
warn	vara við	Ég reyndi að vara hann við.
warning	viðvörun	Viðvörunin birtist á skjánum.
waste	sóa	Ekki sóa hreinu vatni.
weapon	vopn	Hnífurinn varð að vopni.
weigh	vigta	Vigtaðu hveitið vandlega.
western	vestrænn	Þau horfðu á vestræna kvikmynd.
whatever	hvað sem er	Veldu það sem þú vilt.
whenever	hvenær sem	Hringdu hvenær sem þú þarft hjálp.
whether	hvort	Ég veit ekki hvort hún er sammála.
wing	vængur	Fuglinn meiddi sig á öðrum vængnum.
within	innan	Vinsamlegast svaraðu innan tveggja daga.
wonder	velta fyrir sér	Ég velti því fyrir mér hvað gerðist.
wool	ull	Þessi úlpa er úr ull.
worldwide	um allan heim	Lagið varð vinsælt um allan heim.
worth	þess virði	Þessi bók er þess virði að lesa.
written	skriflegur	Vinsamlegast sendu skriflegar leiðbeiningar.
yard	garður	Börnin léku sér í garðinum.
youth	ungmenni	Ungmennafélög styðja við unglinga í nærsamfélaginu.
