source_headword	NL	example_NL
hunt	zoeken naar	Ze zoeken in de herfst naar paddenstoelen.
hurricane	de orkaan	De orkaan beschadigde veel huizen.
hurry	de haast	Er is vandaag geen haast.
identity	de identiteit	Haar identiteit bleef geheim.
ignore	negeren	Negeer deze waarschuwing niet.
illegal	illegaal	Het is illegaal om hier te parkeren.
imaginary	denkbeeldig	Het verhaal heeft een denkbeeldig eiland.
immediate	onmiddellijk	We hebben een onmiddellijk antwoord nodig.
immigrant	de immigrant	De immigrant leerde snel Engels.
impact	de impact	Het nieuws had een sterke impact.
import	importeren	Het land zal meer rijst importeren.
importance	het belang	Zij begreep het belang van slaap.
impression	de indruk	Zijn eerste indruk was positief.
impressive	indrukwekkend	Het museum heeft een indrukwekkende ingang.
improvement	de verbetering	Er was deze maand duidelijke verbetering.
incredibly	ongelooflijk	De toets was ongelooflijk moeilijk.
indeed	inderdaad	Het was inderdaad een vreemde dag.
indicate	aangeven	Het bord zal de uitgang aangeven.
indirect	indirect	Zij gaf een indirect antwoord.
indoor	overdekt	Het hotel heeft een overdekt zwembad.
indoors	binnen	We bleven binnen tijdens de storm.
influence	de invloed	Zijn leraar had een sterke invloed.
ingredient	het ingrediënt	Bloem is het belangrijkste ingrediënt.
injure	blesseren	Blesseer je rug niet.
injured	gewond	De gewonde speler verliet het veld.
innocent	onschuldig	Het kind leek volledig onschuldig.
intelligence	de intelligentie	Zij toonde veel intelligentie in de klas.
intend	van plan zijn	Ik ben van plan in het buitenland te studeren.
intention	de bedoeling	Zijn bedoeling was om te helpen.
invest	investeren	Zij investeren geld in onderwijs.
investigate	onderzoeken	De politie zal het ongeluk onderzoeken.
involved	betrokken	Verschillende studenten waren betrokken.
iron	het ijzer	Het hek is gemaakt van ijzer.
issue	de kwestie	Dit is een ernstige kwestie.
IT	de IT	Zij werkt in de IT.
journal	het dagboek	Hij schrijft in een dagboek.
judge	de rechter	De rechter luisterde aandachtig.
keen	enthousiast	Zij is enthousiast om te leren.
keyboard	het toetsenbord	Mijn toetsenbord werkt niet meer.
kick	schoppen	Schop de bal voorzichtig.
killing	de doding	De doding schokte het dorp.
kind (caring)	vriendelijk	Dat was vriendelijk om te doen.
kiss	de kus	Zij gaf de baby een kus.
label	het etiket	Lees het etiket voor gebruik.
laboratory	het laboratorium	Het laboratorium is vandaag gesloten.
lack	het gebrek	Een gebrek aan slaap schaadt het geheugen.
latest	laatste	Heb je het laatste rapport gelezen?
lay	leggen	Leg het boek op de tafel.
layer	de laag	Voeg nog een laag verf toe.
leading	toonaangevend	Zij is een toonaangevende wetenschapper.
leaf	het blad	Een blad viel op mijn jas.
leather	het leer	Zijn tas is gemaakt van leer.
legal	juridisch	We hebben juridisch advies nodig.
leisure	de vrije tijd	Lezen is mijn favoriete activiteit in de vrije tijd.
length	de lengte	Meet de lengte van de kamer.
lie2 (tell a lie)	liegen	Lieg niet tegen je ouders.
limit	de limiet	De snelheidslimiet is vijftig.
lip	de lip	Zij beet op haar lip.
liquid	de vloeistof	Water is een heldere vloeistof.
literature	de literatuur	Zij studeert Franse literatuur.
live2	live	De band speelde gisteravond live.
