source_headword	TH	example_TH
toss	โยน	เธอโยนกุญแจลงบนโต๊ะ.
total	มีจำนวนรวม	ค่าซ่อมแซมมีจำนวนรวมมากกว่าที่คาดไว้.
toxic	มีพิษ	ควันพิษบังคับให้ทุกคนต้องออกไปข้างนอก.
trademark	เครื่องหมายการค้า	โลโก้กลายเป็นเครื่องหมายการค้าของบริษัท.
trail	เส้นทาง	เส้นทางทอดยาวไปในป่า.
trailer	ตัวอย่างภาพยนตร์	ตัวอย่างภาพยนตร์แสดงให้เห็นตอนจบของเรื่อง.
transaction	ธุรกรรม	ธุรกรรมปรากฏในใบแจ้งยอดบัญชีธนาคารของฉัน.
transcript	ใบแสดงผลการเรียน	นักศึกษาขอใบแสดงผลการเรียนอย่างเป็นทางการ.
transformation	การเปลี่ยนแปลง	เมืองนี้ได้เห็นการเปลี่ยนแปลงครั้งใหญ่.
transit	การขนส่ง	พัสดุได้รับความเสียหายระหว่างการขนส่ง.
transmission	การส่งผ่าน	การส่งผ่านข้อมูลมีความปลอดภัย.
transparency	ความโปร่งใส	รายงานเรียกร้องให้มีความโปร่งใสมากขึ้น.
transparent	โปร่งใส	กระบวนการควรมีความโปร่งใสสำหรับทุกคน.
trauma	บาดแผลทางใจ	อุบัติเหตุทิ้งบาดแผลทางใจอย่างลึกซึ้ง.
treaty	สนธิสัญญา	ทั้งสองประเทศได้ลงนามในสนธิสัญญาสันติภาพ.
tremendous	มหาศาล	ทีมมีความก้าวหน้าอย่างมหาศาล.
tribal	ของชนเผ่า	พิพิธภัณฑ์จัดแสดงศิลปะของชนเผ่า.
tribunal	ศาล	ศาลรับฟังพยานหลักฐานตลอดทั้งสัปดาห์.
tribute	การแสดงความเคารพ	คอนเสิร์ตนี้เป็นการแสดงความเคารพต่อเธอ.
trio	กลุ่มสามคน	กลุ่มสามคนแสดงในงานเทศกาล.
triumph	ชัยชนะ	ชัยชนะครั้งนี้คือความสำเร็จส่วนตัว.
trophy	ถ้วยรางวัล	กัปตันยกถ้วยรางวัลขึ้นอย่างภาคภูมิใจ.
troubled	มีปัญหา	บริษัทที่มีปัญหากำลังต้องการผู้นำใหม่.
trustee	ผู้ดูแลผลประโยชน์	ผู้ดูแลผลประโยชน์เป็นผู้จัดการกองทุนทุนการศึกษา.
tuition	ค่าเล่าเรียน	ค่าเล่าเรียนของเธอเพิ่มขึ้นในปีนี้.
turnout	จำนวนผู้เข้าร่วม	จำนวนผู้มาใช้สิทธิเลือกตั้งสูงกว่าที่คาดไว้.
turnover	อัตราการลาออก	อัตราการลาออกของพนักงานลดลงหลังจากการเปลี่ยนแปลง.
twist	บิด	เธอบิดฝาเปิดออก.
undergraduate	นักศึกษาระดับปริญญาตรี	นักศึกษาระดับปริญญาตรีเข้าร่วมโครงการวิจัย.
underlying	ที่ซ่อนอยู่	รายงานอธิบายถึงสาเหตุที่ซ่อนอยู่.
undermine	บ่อนทำลาย	เรื่องอื้อฉาวบ่อนทำลายความไว้วางใจของสาธารณชน.
undoubtedly	อย่างไม่ต้องสงสัย	เธอคือผู้สมัครที่ดีที่สุดอย่างไม่ต้องสงสัย.
unify	รวมเป็นหนึ่ง	แผนนี้มีจุดมุ่งหมายเพื่อรวมทีมให้เป็นหนึ่ง.
unprecedented	ที่ไม่เคยเกิดขึ้นมาก่อน	พายุทำให้เกิดความเสียหายที่ไม่เคยเกิดขึ้นมาก่อน.
unveil	เปิดเผย	บริษัทจะเปิดตัวการออกแบบในวันพรุ่งนี้.
upcoming	ที่กำลังจะมาถึง	การเลือกตั้งที่กำลังจะมาถึงดึงดูดความสนใจของประชาชน.
upgrade	อัปเกรด	เราได้อัปเกรดซอฟต์แวร์เมื่อคืนนี้.
uphold	ยึดถือ	เรายึดถือการตัดสินใจเดิม.
utility	สาธารณูปโภค	อพาร์ตเมนต์รวมค่าสาธารณูปโภคทั้งหมดแล้ว.
utilize	ใช้ประโยชน์	ทีมงานใช้ประโยชน์จากข้อมูลที่มีอยู่.
utterly	อย่างสิ้นเชิง	คำอธิบายนั้นทำให้สับสนอย่างสิ้นเชิง.
vacuum	ช่องว่าง	ช่องว่างในความเป็นผู้นำก่อให้เกิดความตึงเครียด.
vague	คลุมเครือ	คำตอบของเขาคลุมเครือและอ่อนแอ.
validity	ความถูกต้อง	การศึกษานี้ตั้งคำถามถึงความถูกต้องของการทดสอบ.
vanish	หายไป	ไฟล์หายไปจากโฟลเดอร์.
variable	ตัวแปร	ราคาเป็นตัวแปรสำคัญอย่างหนึ่ง.
varied	หลากหลาย	หลักสูตรนี้มีการบ้านที่หลากหลาย.
vein	เส้นเลือดดำ	พยาบาลพบเส้นเลือดดำอย่างรวดเร็ว.
venture	กิจการ	กิจการใหม่ดึงดูดนักลงทุน.
verbal	ทางวาจา	พวกเขาบรรลุข้อตกลงทางวาจา.
verdict	คำตัดสิน	คณะลูกขุนได้ส่งมอบคำตัดสิน.
verify	ตรวจสอบยืนยัน	โปรดตรวจสอบยืนยันที่อยู่อีเมลของคุณ.
verse	บทกวี	เธออ้างอิงบทกวีหนึ่งบท.
versus	เทียบกับ	การโต้วาทีคือเรื่องความเป็นส่วนตัวเทียบกับความปลอดภัย.
vessel	เรือ	เรือบรรทุกเมล็ดพืชข้ามทะเล.
veteran	ผู้มีประสบการณ์	ผู้มีประสบการณ์ได้ฝึกอบรมพนักงานใหม่.
viable	เป็นไปได้	ข้อเสนอนี้มีความเป็นไปได้ทางการเงิน.
vibrant	มีชีวิตชีวา	เมืองนี้มีวงการศิลปะที่มีชีวิตชีวา.
vice	ความชั่วร้าย	ความโลภคือความชั่วร้ายที่ยิ่งใหญ่ที่สุดของเขา.
vicious	ดุร้าย	การโจมตีที่โหดร้ายทำให้เมืองตกใจ.
