source_headword	LV	example_LV
abolish	atcelt	Likums atcels veco nodevu.
abortion	aborts	Aborts joprojām ir jutīgs medicīnas jautājums.
absence	prombūtne	Viņas prombūtne aizkavēja galīgo lēmumu.
absent	klātneesošs	Divi dalībnieki nebija klāt stundā.
absurd	absurds	Apgalvojums visiem šķita absurds.
abundance	pārpilnība	Ielejā ir ūdens pārpilnība.
abuse	vardarbība	Ziņojumā tika aprakstīta vardarbība darba vietā.
academy	akadēmija	Akadēmija apmāca jaunos mūziķus.
accelerate	paātrināt	Jauns finansējums paātrinās pētījumu.
acceptance	pieņemšana	Viņa kritikas pieņemšana atstāja uz mani iespaidu.
accessible	pieejams	Muzejs ir pieejams ratiņkrēslu lietotājiem.
accomplishment	sasniegums	Grāmatas pabeigšana bija īsts sasniegums.
accordance	saskaņa	Darbs tika veikts saskaņā ar politiku.
accordingly	atbilstoši	Pierādījumi mainījās, un mēs attiecīgi rīkojāmies.
accountability	atbildība	Politika palielina vadītāju atbildību.
accountable	atbildīgs	Vadītāji ir atbildīgi par drošību.
accumulate	uzkrāties	Aiz ekrāna var uzkrāties putekļi.
accumulation	uzkrāšanās	Datu uzkrāšanās prasīja vairākus mēnešus.
accusation	apsūdzība	Apsūdzība šokēja komiteju.
accused	apsūdzētais	Apsūdzētais ieradās tiesā.
acquisition	iegāde	Iegāde ātri paplašināja uzņēmumu.
acre	akrs	Ferma aizņem vienu akru.
activation	aktivizēšana	Kartes aktivizēšana aizņem dažas minūtes.
activist	aktīvists	Aktīvists uzstājās mītiņā.
acute	akūts	Pēc skriešanas viņa juta akūtas sāpes.
adaptation	adaptācija	Adaptācija mainīja romāna beigas.
adhere	ievērot	Darbiniekiem ir jāievēro drošības noteikumi.
adjacent	blakus esošs	Viesnīca atrodas blakus stacijai.
adjustment	pielāgošana	Neliela pielāgošana atrisināja problēmu.
administer	ievadīt	Medmāsas uzmanīgi ievada vakcīnu.
administrative	administratīvs	Administratīvais personāls apstrādā veidlapas.
administrator	administrators	Administrators atiestatīja manu paroli.
admission	ieeja	Ieeja muzejā ir bez maksas.
adolescent	pusaudzis	Pusaudzim bija nepieciešams papildu atbalsts.
adoption	adopcija	Adopcija sniedza bērnam stabilas mājas.
adverse	nelabvēlīgs	Zāles izraisīja nelabvēlīgu ietekmi.
advocate	aizstāvis	Aizstāvis aizstāvēja īrnieku tiesības.
aesthetic	estētisks	Istabai ir mierīgs estētiskais stils.
affection	pieķeršanās	Viņa izrādīja pieķeršanos savai ģimenei.
aftermath	sekas	Vētras sekas bija smagas.
aggression	agresija	Skolotājs pamanīja agresiju starpbrīdī.
agricultural	lauksaimniecības	Lauksaimniecības eksports šogad pieauga.
aide	palīgs	Palīgs organizēja ministra grafiku.
albeit	lai gan	Plāns nostrādāja, lai gan lēni.
alert	brīdināt	Lūdzu, nekavējoties brīdiniet personālu.
align	sakrist	Bultiņas sakrīt ar ceļu.
alignment	savirze	Riteņu savirze uzlaboja automašīnas vadāmību.
alike	vienādi	Dvīņi brīvdienās ģērbjas vienādi.
allegation	apgalvojums	Apgalvojums parādījās avīzē.
allege	apgalvot	Viņi apgalvo, ka līdzekļi tika pazaudēti.
allegedly	domājams	Autovadītājs domājams ignorēja brīdinājumu.
alliance	alianse	Partijas izveidoja pagaidu aliansi.
allocate	piešķirt	Pilsēta piešķirs naudu skolām.
allocation	sadale	Vietu sadale bija netaisnīga.
allowance	kabatas nauda	Viņas kabatas nauda sedz pusdienas un transportu.
ally	sabiedrotais	Kanāda kļuva par tuvu sabiedroto.
aluminium	alumīnijs	Rāmis ir izgatavots no alumīnija.
amateur	amatieru	Amatieru fotogrāfs uzņēma šo attēlu.
ambassador	vēstnieks	Vēstnieks tikās ar vietējiem studentiem.
amend	grozīt	Parlaments nobalsoja par likuma grozīšanu.
amendment	grozījums	Grozījums mainīja vienu rindkopu.
amid	vidū	Runa notika pieaugošas spriedzes vidū.
analogy	analoģija	Skolotājs izmantoja vienkāršu analoģiju.
anchor	enkurs	Laiva nolaida enkuru netālu no salas.
angel	eņģelis	Bērns valkāja eņģeļa kostīmu.
anonymous	anonīms	Sūdzība bija anonīma.
apparatus	aparatūra	Laboratorijas aparatūra ir jānotīra.
appealing	pievilcīgs	Piedāvājums studentiem šķiet pievilcīgs.
appetite	apetīte	Fiziskās aktivitātes palielināja viņa apetīti.
applaud	aplaudēt	Skatītāji sāka skaļi aplaudēt.
applicable	piemērojams	Atlaide ir piemērojama šodien.
appoint	iecelt	Valde iecels direktoru.
appreciation	pateicība	Viņa izteica pateicību par viņu palīdzību.
arbitrary	patvaļīgs	Termiņš personālam šķita patvaļīgs.
architectural	arhitektūras	Pilsēta aizsargā savu arhitektūras mantojumu.
archive	arhīvs	Arhīvā tiek glabātas vecas fotogrāfijas.
arena	arēna	Debates pārcēlās uz publisko arēnu.
arguably	iespējams	Šis, iespējams, ir viņa labākais romāns.
arm	apbruņot	Sargi apbruņos konvoju.
array	klāsts	Veikals piedāvā instrumentu klāstu.
articulate	skaidri izteikt	Viņa spēj skaidri izteikt sarežģītas idejas.
ash	pelni	Pēc ugunsgrēka automašīnu pārklāja pelni.
aspiration	tiekšanās	Viņas mērķis ir kļūt par ķirurģi.
aspire	tiekties	Daudzi studenti tiecas studēt ārzemēs.
assassination	slepkavība	Slepkavība mainīja valsts politiku.
assault	uzbrukums	Uzbrukums notika netālu no stacijas.
assemble	samontēt	Strādnieki ar rokām samontē mēbeles.
assembly	sapulce	Skolas sapulce sākas deviņos.
assert	apliecināt	Viņš mēģināja apliecināt savu autoritāti.
assertion	apgalvojums	Viņas apgalvojums pārsteidza komisiju.
assurance	apliecinājums	Vadītājs sniedza atbalsta apliecinājumu.
asylum	patvērums	Ģimene uz robežas lūdza patvērumu.
atrocity	zvērība	Filma aprakstīja kara laika zvērību.
attain	sasniegt	Tikai daži skrējēji sasniedz tādu ātrumu.
attendance	apmeklētība	Apmeklētība uzlabojās pēc paziņojuma.
attorney	advokāts	Advokāts izjautāja liecinieku.
attribute	piedēvēt	Zinātnieki piedēvē pieaugumu piesārņojumam.
audit	audits	Audits atklāja vairākas kļūdas.
authentic	autentisks	Restorāns pasniedz autentisku reģionālo pārtiku.
authorize	apstiprināt	Tikai vadītāji var apstiprināt naudas atmaksu.
auto	auto	Auto nozare strauji mainījās.
autonomy	autonomija	Reģions vēlas lielāku autonomiju.
availability	pieejamība	Vietu pieejamība ir ierobežota.
await	gaidīt	Vairāki ziņojumi gaida tavu atbildi.
backdrop	fons	Kalni veidoja dramatisku fonu.
backing	atbalsts	Priekšlikums guva vēlētāju atbalstu.
backup	rezerves kopija	Sistēma katru dienu izveido rezerves kopiju.
bail	drošības nauda	Tiesnesis pusdienlaikā noteica drošības naudu.
ballot	vēlēšanu zīme	Katrs vēlētājs saņēma vēlēšanu zīmi.
banner	plakāts	Plakāts karājās virs ieejas.
bare	kails	Istabā bija kailas sienas.
barrel	muca	Muca bija pilna ar ūdeni.
bass1	bass	Bass izklausījās dziļš un silts.
battlefield	kaujas lauks	Vecais kaujas lauks kļuva par memoriālu.
bay	līcis	Ciemats atrodas blakus klusam līcim.
beam	sija	Tērauda sija atbalsta jumtu.
beast	zvērs	Stāsts apraksta nežēlīgu zvēru.
