source_headword	SW	example_SW
incur	kusababisha	Ucheleweshaji unaweza kusababisha gharama za ziada.
indicator	kiashiria	Ukosefu wa ajira ni kiashiria kimoja cha kiuchumi.
indictment	mashtaka	Hati ya mashtaka iliorodhesha mashtaka matatu.
indigenous	asili	Mimea ya asili inakua vizuri hapa.
induce	kusababisha	Dawa inaweza kusababisha usingizi.
indulge	kujifurahisha	Yeye hajifurahishi na tabia za gharama kubwa.
inequality	ukosefu wa usawa	Ukosefu wa usawa wa kipato unabaki kuwa suala kuu.
infamous	mwenye sifa mbaya	Gereza lilipata sifa mbaya ulimwenguni kote.
infant	mtoto mchanga	Mtoto mchanga alilala kwenye kitanda cha mtoto.
infect	kuambukiza	Virusi vinaweza kuambukiza seli zenye afya.
inflict	kusababisha	Usisababishe maumivu kwa wanyama.
influential	mwenye ushawishi	Yeye ni msomi mwenye ushawishi wa sheria.
inherent	ya asili	Muundo una hatari za asili.
inhibit	kuzuia	Hofu inaweza kuzuia majadiliano ya wazi.
initiate	kuanzisha	Meneja ataanzisha ukaguzi.
inject	kudunga	Muuguzi atadunga chanjo.
injection	sindano	Sindano ilipunguza maumivu.
injustice	dhuluma	Uamuzi huo ulionyesha dhuluma wazi.
inmate	mfungwa	Mfungwa aliomba ushauri wa kisheria.
insertion	uingizaji	Fomu inahitaji uingizaji wa maandishi mmoja.
insider	mtu wa ndani	Mtu wa ndani alivujisha ripoti.
inspect	kukagua	Maofisa hukagua daraja kila mwaka.
inspection	ukaguzi	Ukaguzi ulibaini uharibifu mkubwa.
inspiration	msukumo	Hotuba yake ilinipa msukumo.
instinct	silika	Silika yake ya kwanza ilikuwa kusaidia.
institutional	ya kitaasisi	Sheria za kitaasisi ziliunda uamuzi.
instruct	kuelekeza	Mwongozo utaelekeza wafanyakazi wapya.
instrumental	muhimu	Ushauri wake ulikuwa muhimu katika mazungumzo.
insufficient	haikutosha	Ushahidi haukutosha kwa mashtaka.
insult	matusi	Matusi yake yalimaliza mazungumzo.
intact	kamili	Ukuta wa kale ulibaki kamili.
intake	ulaji	Ulaji wa sukari unapaswa kubaki wastani.
integral	muhimu	Uaminifu ni muhimu kwa timu.
integrated	jumuishi	Shule inatoa msaada jumuishi.
integration	muungano	Muungano uliboresha mfumo mzima.
integrity	uadilifu	Jaji alionyesha uadilifu mkubwa.
intensify	kuzidisha	Dhoruba inaweza kuzidi usiku.
intensity	ukubwa	Ukubwa wa mazoezi uliongezeka.
intensive	kali	Walikamilisha mafunzo ya lugha ya kina.
intent	nia	Nia yake ilikuwa ngumu kuthibitisha.
interactive	shirikishi	Jumba la makumbusho lina maonyesho shirikishi.
interface	kiolesura	Kiolesura ni rahisi kutumia.
interfere	kuingilia	Usiingilie uchunguzi.
interference	uingiliaji	Uingiliaji wa mawimbi ulitatiza simu.
interim	ya mpito	Ripoti ya mpito inafika kesho.
interior	ndani	Kuta za ndani zinahitaji rangi.
intermediate	kati	Alijiunga na darasa la kati.
intervene	kuingilia kati	Polisi walilazimika kuingilia kati haraka.
intervention	uingiliaji kati	Uingiliaji kati wa mapema ulimsaidia mgonjwa.
intimate	ya karibu	Walifanya sherehe ya karibu ya familia.
intriguing	ya kuvutia	Takwimu zilionyesha mtindo wa kuvutia.
investigator	mpelelezi	Mpelelezi alihoji kila shahidi.
invisible	isiyoonekana	Gesi hiyo haionekani na ni hatari.
invoke	kutumia	Mwanasheria alijaribu kutumia maamuzi ya awali.
involvement	ushiriki	Ushiriki wake haukuwa wazi.
ironic	kejeli	Maoni ya kejeli yaliwafanya wote wacheke.
ironically	kwa kejeli	Kwa kejeli, njia hiyo ilichukua muda mrefu zaidi.
irony	kejeli	Kejeli ilikuwa wazi kwa kila mtu.
irrelevant	isiyohusika	Maelezo hayo hayahusiki hapa.
isolation	kutengwa	Kutengwa kunaweza kudhuru afya ya akili.
judicial	ya kimahakama	Ukaguzi wa kimahakama unaanza Jumatatu.
junction	makutano	Kunja kushoto kwenye makutano.
jurisdiction	mamlaka	Mahakama ina mamlaka madogo.
just	haki	Jaji alifanya uamuzi wa haki.
justification	uhalali	Tunahitaji uhalali wazi wa matumizi.
kidnap	kuteka nyara	Wahalifu walijaribu kumteka nyara mwanadiplomasia.
kidney	figo	Utendaji wa figo yake uliboreka.
kingdom	ufalme	Ufalme ulipanuka chini ya utawala wake.
lad	kijana	Kijana huyo alibeba mifuko.
landlord	mwenye nyumba	Mwenye nyumba alitengeneza joto.
landmark	alama	Mnara ukawa alama ya jiji.
lap	mapaja	Mtoto alikaa kwenye mapaja yake.
large-scale	kwa kiwango kikubwa	Jiji lilipanga matengenezo makubwa.
laser	leza	Leza ilipima umbali.
latter	ya pili	Chaguo la pili linaonekana salama zaidi.
lawn	uwanja wa nyasi	Watoto walicheza kwenye uwanja wa nyasi.
lawsuit	kesi	Kampuni ilimaliza kesi hiyo.
layout	mpangilio	Mpangilio wa ukurasa unaonekana wazi zaidi.
leak	uvujaji	Uvujaji wa bomba ulifurika jikoni.
leap	mruko	Mauzo yalifanya mruko wa ghafla.
legacy	urithi	Urithi wake uliunda chuo kikuu.
legendary	maarufu sana	Mwimbaji maarufu sana alirudi jukwaani.
legislation	sheria	Sheria mpya inalinda wapangaji.
legislative	kisheria	Kamati ya sheria ilikutana leo.
legislature	bunge	Bunge liliidhinisha bajeti.
legitimate	halali	Waliibua wasiwasi halali.
lengthy	ndefu	Mjadala mrefu ulichelewesha kura.
lesbian	msagaji	Mwanaharakati msagaji alizungumza kwenye jukwaa.
lesser	ndogo	Chagua hatari ndogo zaidi.
lethal	inayoua	Kemikali hiyo inaweza kuwa hatari.
liable	wajibika	Madereva wanawajibika kwa uharibifu.
liberal	huru	Anaunga mkono sera huru za kijamii.
liberation	ukombozi	Ukombozi ulibadilisha mustakabali wa nchi.
liberty	uhuru	Sheria inalinda uhuru wa kibinafsi.
license	kutoa leseni	Jimbo linaweza kutoa leseni kwa kliniki mpya.
lifelong	ya maisha yote	Alipata marafiki wa maisha yote huko.
likelihood	uwezekano	Uwezekano wa mvua uliongezeka.
limb	kiungo	Kiungo kilichojeruhiwa kilipona polepole.
linear	mstari	Chati inaonyesha mwelekeo wa mstari.
line-up	orodha	Orodha ya tamasha inajumuisha bendi za mitaa.
linger	dumu	Harufu inaweza kudumu kwa saa kadhaa.
listing	orodha	Orodha ya ghorofa ilionekana kuwa sahihi.
literacy	kujua kusoma na kuandika	Programu za watu wazima za kujua kusoma na kuandika zilipanuliwa.
liver	ini	Ini huchuja vitu vyenye madhara.
lobby	ukumbi	Ukumbi ulikuwa na watu wengi baada ya saa sita mchana.
log	rekodi	Mfumo huweka rekodi ya kila siku.
logic	mantiki	Mantiki ya hoja yake ilishindwa.
long-standing	ya muda mrefu	Walitatua mzozo wa muda mrefu.
long-time	wa muda mrefu	Yeye ni mfanyakazi wa kujitolea wa muda mrefu.
loom	jitokeza	Mawingu meusi yanajitokeza juu ya bonde.
loop	mzingo	Njia inaunda mzingo.
loyalty	uaminifu	Uaminifu wake uliifurahisha timu.
machinery	mashine	Kiwanda kiliweka mashine mpya.
magical	ya kichawi	Bustani ilionekana ya kichawi usiku.
magistrate	hakimu	Hakimu alisikiliza kesi hiyo.
magnetic	ya sumaku	Uga wa sumaku uliathiri dira.
magnitude	ukubwa	Ukubwa wa uharibifu ulikuwa wazi.
mainland	bara	Feri huunganisha visiwa na bara.
mainstream	mkondo mkuu	Wazo liliingia kwenye siasa za mkondo mkuu.
maintenance	matengenezo	Matengenezo ya kawaida huzuia kuharibika.
mandate	mamlaka	Rais alidai kuwa na mamlaka thabiti.
mandatory	ya lazima	Kuhudhuria ni lazima kwa wafunzwa.
manifest	dhihirika	Dalili zinaweza kudhihirika baada ya wiki.
manipulate	endesha	Usibadilishe matokeo ya utafiti.
manipulation	ubadilishaji	Ubadilishaji wa data uligunduliwa.
manuscript	muswada	Mchapishaji alikubali muswada wake.
march	maandamano	Waandamanaji wataandamana mjini.
marginal	ndogo	Mabadiliko hayo yalikuwa na faida ndogo.
marine	ya baharini	Viumbe vya baharini vinahitaji maji safi.
marketplace	soko	Soko la mtandaoni lilipanuka haraka.
mask	barakoa	Wafanyakazi lazima wavae barakoa.
massacre	mauaji	Mauaji hayo yalishangaza eneo lote.
mathematical	ya hisabati	Mfano wa hisabati ulitabiri mahitaji.
mature	komavu	Miti iliyokomaa hutoa kivuli.
maximize	ongeza kikamilifu	Sasisho litaongeza maisha ya betri kikamilifu.
meaningful	yenye maana	Walikuwa na mazungumzo yenye maana.
meantime	wakati huo	Wakati huo, subiri nje.
medieval	ya enzi za kati	Kasri lina kuta za enzi za kati.
meditation	tafakari	Tafakari ya kila siku hutuliza akili yake.
melody	melodia	Melodia ilibaki kichwani mwangu.
memo	memo	Memo ilielezea sera hiyo.
memoir	kumbukumbu	Kitabu chake cha kumbukumbu kinaelezea uhamisho wa utotoni.
memorial	mnara	Mnara huo wa kumbukumbu unawaenzi wanajeshi wa eneo hilo.
mentor	mshauri	Mshauri wake alikagua pendekezo hilo.
merchant	mfanyabiashara	Mfanyabiashara aliuza hariri na viungo.
mercy	huruma	Hakimu alionyesha huruma.
mere	tu	Kutazama tu kulifichua kosa hilo.
merely	tu	Alirudia tu maagizo hayo.
merge	ungana	Kampuni hizo mbili zitaungana.
merger	muungano	Muungano huo uliunda benki kubwa zaidi.
merit	thamani	Pendekezo lina thamani ya wazi.
methodology	mbinu	Utafiti unaeleza mbinu zake.
midst	katikati	Walifanya kazi katikati ya machafuko.
migration	uhamiaji	Uhamiaji wa msimu huathiri kazi za ndani.
militant	mwanamgambo	Kundi la wanamgambo lilikataa mazungumzo.
militia	wanamgambo	Wanamgambo walidhibiti barabara hiyo.
mill	kinu	Kinu cha zamani kikawa jumba la makumbusho.
minimal	ndogo sana	Mpango huo unahitaji juhudi ndogo sana.
minimize	punguza	Lazima tupunguze hatari isiyo ya lazima.
mining	uchimbaji madini	Uchimbaji madini uliharibu bonde la mto.
ministry	wizara	Wizara ilitangaza sheria mpya.
minute2	dogo sana	Ufa mdogo sana ulitokea kwenye kioo.
miracle	muujiza	Kupona kwake kulionekana kama muujiza.
misery	taabu	Wakimbizi walivumilia miaka ya taabu.
misleading	ya kupotosha	Chati ya kupotosha iliwachanganya wasomaji.
missile	kombora	Jaribio la kombora liliongeza mivutano.
mob	umati	Umati wenye hasira ulizuia trafiki.
mobility	uhamaji	Mabasi bora huboresha uhamaji mijini.
