source_headword	ES-419	example_ES-419
heal	sanar	El descanso ayuda al cuerpo a sanar.
healthcare	la atención médica	Los costos de atención médica subieron este año.
helmet	el casco	Usa un casco en la bicicleta.
hence	por lo tanto	Por lo tanto, cambiamos el horario.
herb	la hierba	La albahaca es una hierba útil.
hidden	escondido	La llave estaba escondida bajo el tapete.
highway	la autopista	La autopista fue cerrada después de la nieve.
hilarious	divertidísimo	La película estuvo divertidísima.
hip	la cadera	Ella se lastimó la cadera durante la práctica.
historian	el historiador	El historiador estudió cartas antiguas.
homeless	sin hogar	El refugio ayuda a familias sin hogar.
honesty	la honestidad	La honestidad construye confianza.
hook	el gancho	Cuelga el abrigo en el gancho.
hopefully	con suerte	Con suerte, el tren llegará pronto.
hunger	el hambre	El hambre puede afectar la concentración.
hypothesis	la hipótesis	El experimento probó la hipótesis.
icon	el ícono	El ícono de la aplicación cambió hoy.
ID	la identificación	Muestra tu identificación en la recepción.
identical	idéntico	Los gemelos usaban chaquetas idénticas.
illusion	la ilusión	El espejo crea una ilusión.
immigration	la inmigración	La política de inmigración cambió el año pasado.
immune	inmune	La vacunación puede hacer a las personas inmunes.
implement	implementar	La escuela implementará la política.
implication	la implicación	La implicación era clara.
incentive	el incentivo	El bono dio un incentivo a los trabajadores.
incorporate	incorporar	Incorpora más vegetales a las comidas.
incorrect	incorrecto	La respuesta era incorrecta.
independence	la independencia	El país celebró la independencia.
index	el índice	Revisa el índice para el tema.
indication	la indicación	La sonrisa fue una indicación de alivio.
inevitable	inevitable	Algún retraso era inevitable.
inevitably	inevitablemente	Inevitablemente, los precios subieron tras la escasez.
infer	inferir	Podemos inferir la respuesta del contexto.
inflation	la inflación	La inflación aumentó los precios de los alimentos.
info	la información	El sitio web enumera información útil.
infrastructure	la infraestructura	La tormenta dañó la infraestructura local.
inhabitant	el habitante	Cada habitante recibió agua limpia.
inherit	heredar	Ella heredará la casa de la familia.
ink	la tinta	La impresora necesita tinta negra.
innovation	la innovación	La innovación impulsa a la industria hacia adelante.
innovative	innovador	La empresa lanzó un producto innovador.
input	el aporte	El gerente pidió aportes.
insert	insertar	Inserta la tarjeta en la máquina.
inspector	el inspector	El inspector revisó el edificio.
installation	la instalación	La instalación tomó dos horas.
instant	instantáneo	La aplicación envió una respuesta instantánea.
instantly	al instante	La pantalla se encendió al instante.
integrate	integrar	El software puede integrar nuevas herramientas.
intellectual	intelectual	El debate fue intelectual pero amistoso.
interact	interactuar	Los estudiantes interactúan durante el trabajo grupal.
interaction	la interacción	La interacción fue educada.
interpretation	la interpretación	Su interpretación del poema fue original.
interval	el intervalo	Hubo un breve intervalo entre actos.
invade	invadir	El ejército intentó invadir la isla.
invasion	la invasión	La invasión dañó muchos pueblos.
investor	el inversionista	El inversionista financió una nueva empresa.
isolate	aislar	Los médicos aíslan a los pacientes con infecciones graves.
isolated	aislado	El pueblo quedó aislado por la nieve.
jail	la cárcel	El ladrón fue a la cárcel.
jet	el jet	El jet aterrizó al mediodía.
joint	conjunto	Anunciaron un proyecto conjunto.
journalism	el periodismo	El periodismo requiere hechos precisos.
jury	el jurado	El jurado llegó a una decisión.
kit	el kit	El kit de reparación incluye tornillos.
ladder	la escalera	La escalera estaba apoyada contra la pared.
landing	el aterrizaje	El avión hizo un aterrizaje suave.
lane	el carril	Mantente en el carril derecho.
lately	últimamente	He dormido mal últimamente.
leaflet	el folleto	El folleto explica el servicio.
legend	la leyenda	La leyenda habla de una ciudad escondida.
lens	el lente	Limpia el lente de la cámara con cuidado.
lifetime	toda la vida	Él ahorró dinero durante toda la vida.
lighting	la iluminación	Una buena iluminación mejora la habitación.
likewise	igualmente	Ella sonrió; él hizo lo mismo.
limitation	la limitación	El plan tiene una limitación.
literally	literalmente	Ella literalmente corrió hacia el autobús.
literary	literario	El festival rinde homenaje al trabajo literario.
litre	el litro	Compra un litro de leche.
litter	la basura	No tires basura.
logo	el logotipo	El logotipo aparece en cada página.
lottery	la lotería	Él ganó un pequeño premio de lotería.
loyal	leal	El perro era leal a su dueño.
lyric	la letra	La letra repetía la idea principal.
magnificent	magnífico	El palacio se veía magnífico.
make-up	el maquillaje	Ella usaba un maquillaje sencillo.
making	la producción	La producción de la película fue difícil.
manufacture	fabricar	La fábrica manufacturará teléfonos.
manufacturing	la manufactura	Los empleos de manufactura aumentaron localmente.
marathon	el maratón	Ella terminó el maratón.
margin	el margen	Escribe notas en el margen.
marker	el marcador	Usa un marcador para la etiqueta.
martial	marcial	Él estudia artes marciales.
mate	el compañero	Mi viejo compañero de escuela llamó ayer.
mayor	el alcalde	El alcalde inauguró la biblioteca.
mechanic	el mecánico	El mecánico reparó el autobús.
mechanical	mecánico	El reloj tiene una falla mecánica.
mechanism	el mecanismo	El mecanismo de la cerradura es simple.
medal	la medalla	Ella ganó una medalla de oro.
medication	el medicamento	Toma el medicamento con agua.
membership	la membresía	La membresía del gimnasio cuesta menos en línea.
memorable	memorable	El viaje fue memorable.
metaphor	la metáfora	El poema usa una metáfora fuerte.
miner	el minero	El minero trabajaba bajo tierra.
miserable	miserable	La lluvia hizo que el pícnic fuera miserable.
mode	el modo	Cambia la cámara al modo nocturno.
modest	modesto	Viven en una casa modesta.
monster	el monstruo	La historia tiene un monstruo aterrador.
monthly	mensual	Pagamos el alquiler mensualmente.
monument	el monumento	El monumento está cerca del río.
moreover	además	Además, el plan ahorra dinero.
mortgage	la hipoteca	Solicitaron una hipoteca.
mosque	la mezquita	La mezquita está cerca del mercado.
motion	el movimiento	El sensor detecta movimiento.
motivate	motivar	Los elogios pueden motivar a los estudiantes.
motivation	la motivación	Su motivación se mantuvo fuerte.
moving	conmovedor	El discurso fue conmovedor.
myth	el mito	El mito explica el nombre de la montaña.
naked	desnudo	El bebé estaba desnudo después del baño.
nasty	feo	El corte se veía feo.
navigation	la navegación	La aplicación mejora la navegación.
nearby	cercano	Un café cercano abre temprano.
necessity	la necesidad	El agua limpia es una necesidad.
negotiate	negociar	Negocian el contrato mañana.
negotiation	la negociación	La negociación duró toda la mañana.
neutral	neutral	El juez se mantuvo neutral.
newly	recién	La puerta recién pintada se veía brillante.
norm	la norma	El trabajo remoto se convirtió en la norma.
notebook	el cuaderno	Escribe notas en tu cuaderno.
novelist	el novelista	La novelista firmó su libro.
nowadays	hoy en día	Hoy en día, muchas personas trabajan en línea.
nursing	la enfermería	Ella está estudiando enfermería.
nutrition	la nutrición	La buena nutrición favorece la salud.
obesity	la obesidad	La obesidad aumenta los riesgos para la salud.
observer	el observador	El observador registró los resultados.
obstacle	el obstáculo	El árbol caído era un obstáculo.
occupation	la ocupación	Por favor, escriba su ocupación aquí.
occupy	ocupar	La familia ocupará el apartamento.
offender	el infractor	El infractor se disculpó en el tribunal.
ongoing	en curso	La investigación está en curso.
openly	abiertamente	Habló abiertamente sobre sus miedos.
opera	la ópera	Vimos una ópera en Milán.
operator	el operador	El operador conectó la llamada.
optimistic	optimista	Se siente optimista sobre el futuro.
orchestra	la orquesta	La orquesta tocó suavemente.
organic	orgánico	Compraron verduras orgánicas.
outfit	el atuendo	Su atuendo combinaba con la ocasión.
output	la producción	La producción de la máquina aumentó.
outstanding	sobresaliente	Su actuación fue sobresaliente.
overcome	superar	Superan los problemas juntos.
overnight	durante la noche	El paquete llegó durante la noche.
overseas	en el extranjero	Encontró trabajo en el extranjero.
ownership	la propiedad	La propiedad de la tierra cambió.
oxygen	el oxígeno	Las plantas producen oxígeno.
packet	el paquete	Abre el paquete con cuidado.
palm	la palma	Sostén la moneda en tu palma.
panic	el pánico	El pánico se extendió entre la multitud.
parade	el desfile	El desfile comenzó al mediodía.
parallel	paralelo	Las carreteras corren paralelas.
participation	la participación	La participación en clase mejoró.
partnership	la asociación	La asociación ayudó a ambas empresas.
part-time	de medio tiempo	Encontró un trabajo de medio tiempo.
passionate	apasionado	Es un apasionado de la música.
password	la contraseña	Elige una contraseña segura.
patience	la paciencia	Enseñar a los niños pequeños requiere paciencia.
pause	pausar	Pausa el video ahora.
peer	el compañero	La presión de sus compañeros influyó en su elección.
penalty	la penalización	El jugador recibió una penalización.
perceive	percibir	Las personas perciben el riesgo de manera diferente.
perception	la percepción	Su percepción del peligro cambió.
permanently	permanentemente	La tienda cerró permanentemente.
pill	la pastilla	Toma una pastilla después del desayuno.
pity	la pena	Es una pena.
placement	la ubicación	La ubicación del sofá importa.
portion	la porción	Sirve una pequeña porción de arroz.
potentially	potencialmente	Este cambio es potencialmente útil.
precede	preceder	Las nubes oscuras suelen preceder a la lluvia.
precious	precioso	El anillo es precioso.
precise	preciso	Las instrucciones fueron precisas.
precisely	precisamente	Mide la distancia precisamente.
predictable	predecible	El final fue predecible.
preference	la preferencia	Expresó una preferencia por el té.
pride	el orgullo	Sintió orgullo después de terminar.
primarily	principalmente	El curso es principalmente en línea.
principal	el director	El director saludó a los nuevos estudiantes.
prior	previo	Necesitamos aprobación previa.
probability	la probabilidad	La probabilidad de lluvia es alta.
probable	probable	La lluvia es probable esta noche.
proceed	proceder	Por favor, proceda a la siguiente habitación.
programming	la programación	La programación requiere práctica.
progressive	progresista	La política fue progresista para su época.
prohibit	prohibir	Las reglas prohíben fumar.
promising	prometedor	Los resultados parecen prometedores.
promotion	el ascenso	Consiguió un ascenso en el trabajo.
prompt	rápido	La respuesta rápida ahorró tiempo.
proportion	la proporción	Una gran proporción votó que sí.
