simplified	DA	example_DA
挨	holde ud	Han holdt ud hele natten og ventede endelig til daggry
癌症	kræft	Det er meget vigtigt at opdage kræft tidligt
暧昧	tvetydig	Hans svar var meget tvetydigt
爱不释手	ikke kunne lægge fra sig	Hun elskede bogen så meget at hun næsten ikke kunne lægge den fra sig
爱戴	elske og respektere	Denne lærer er dybt elsket og respekteret af eleverne
安宁	fredelig	Nætterne her er meget fredelige
安详	rolig	Den gamle persons ansigtsudtryk var meget roligt
安置	genhuse	Regeringen genhusede de mennesker der var ramt af katastrofen
按摩	en massage	Jeg har bestilt en massage
暗示	antyde	Hun antydede at jeg ikke skulle spørge mere
案件	en retssag	Politiet efterforsker denne sag
案例	et eksempeltilfælde	Denne sag er et meget repræsentativt eksempeltilfælde
昂贵	dyr	Dette udstyr er meget dyrt
凹凸	ujævn	Denne vejbelægning er ujævn
熬	holde ud	Han holdt ud gennem tre hårde arbejdsdage før rapporten var færdig
奥秘	en gåde	Forskeren vil afsløre denne gåde
巴不得	næsten ikke kunne vente	Jeg kan næsten ikke vente med at tage af sted med det samme
巴结	smigre	Han vil ikke smigre lederne
扒	klamre sig til	Barnet klamrede sig til døren og kiggede ud
疤	et ar	Der er et ar på hans arm
拔苗助长	forhaste noget	At presse et barn til at studere sådan vil kun forhaste læringen
把关	kvalitetssikre	Denne kontrakt skal kvalitetssikres af en advokat
把手	et håndtag	Dørhåndtaget er i stykker
罢工	en strejke	Arbejderne besluttede at gå i strejke i morgen
霸道	dominerende	Han taler på en alt for dominerende måde
掰	brække med hænderne	Hun brækkede brødet i to halvdele
摆脱	slippe af med	Han slap endelig af med den dårlige vane
拜访	besøge	Vi besøger læreren i weekenden
拜年	ønske godt nytår	Ved forårsfesten besøger vi bedsteforældrene for at ønske godt nytår
拜托	regne med nogen	Jeg regner med dig i denne sag
败坏	skade	Denne slags adfærd vil skade virksomhedens omdømme
斑	en plet	Der er en sort plet på katten
颁布	udstede	De nye regler bliver udstedt i næste uge
颁发	uddele	Skolen uddelte diplomer til fremragende elever
版本	en version	Dette program har en ny version
伴侣	en ledsager	Hun betragter hunden som sin ledsager
伴随	ledsage	Succes ledsages ofte af pres
半途而废	give op halvvejs	Man kan ikke give op halvvejs når man laver forskning
扮演	spille rollen som	Han spiller en læge i filmen
榜样	et forbillede	Forældre er forbilleder for børn
绑架	en kidnapning	Politiet forhindrede en kidnapningssag
磅	et pund	Denne kasse vejer tyve pund
包庇	dække over	Ingen må dække over en forbrydelse
包袱	en byrde	Efter at have lagt byrden fra sig følte han sig meget mere afslappet
包围	omringe	Journalisterne omringede skuespilleren
包装	en emballage	Emballagen på denne gave er meget flot
保管	opbevare	Disse dokumenter bliver opbevaret hos mig
保密	holde hemmelig	Indholdet af mødet skal holdes hemmeligt
保姆	en barnepige	De ansatte en barnepige
保守	konservativ	Hans ideer er forholdsvis konservative
保卫	forsvare	Soldater forsvarer grænsen
保养	vedligeholde	Denne bil skal vedligeholdes regelmæssigt
保障	beskytte	Loven beskytter borgernes rettigheder
保重	passe på sig selv	Pas godt på dig selv når du er ude at rejse
饱和	mættet	Dette marked er allerede tæt på at være mættet
饱经沧桑	have oplevet mange prøvelser	Denne gamle person har oplevet mange prøvelser
报酬	en betaling	Han fik en rimelig betaling
报仇	hævne sig	Han vil ikke hævne sig, han vil bare begynde forfra
报答	gengælde	Jeg vil gengælde din hjælp gennem handling
报复	hævn	Hævn vil kun gøre konflikten dybere
报警	ringe til politiet	Når man opdager brand skal man straks ringe til politiet
报销	få refunderet	Rejseudgifter kan refunderes
抱负	en ambition	Han har haft store ambitioner siden han var lille
暴力	vold	Vi er imod vold i enhver form
暴露	komme frem	Dette problem kom gradvist frem
曝光	blive offentliggjort	Efter at dette foto blev offentliggjort vakte det opmærksomhed
爆发	bryde ud	Vulkanen brød pludselig ud
爆炸	en eksplosion	Der skete en eksplosion i laboratoriet
卑鄙	foragtelig	Denne foragtelige metode gør folk vrede
悲哀	sørgelig	Efter at have hørt nyheden følte han sig meget trist
悲惨	tragisk	Det var en tragisk periode i historien
北极	Arktis	Forskere laver forskning i Arktis
备份	en sikkerhedskopi	Lav først en sikkerhedskopi af vigtige filer
备忘录	et notat	Hun skrev hovedpunkterne i notatet
背叛	et forræderi	Han kunne ikke acceptere sin vens forræderi
背诵	recitere	Eleverne reciterer teksten
被动	passiv	Vi må ikke være for passive i forhandlingen
