source_headword	BG	example_BG
stranger	непознат	Един непознат попита за посоката.
strength	сила	Нейната сила помогна на отбора.
string	връв	Завържи кутията с връв.
strongly	категорично	Категорично не съм съгласен с тази идея.
studio	студио	Художникът работи в малко студио.
stuff	неща	Сложи нещата си на рафта.
substance	вещество	Полицията намери странно вещество.
successfully	успешно	Те завършиха проекта успешно.
sudden	внезапен	Внезапен шум ни събуди.
suffer	страдам	Много растения страдат в сухо време.
suitable	подходящ	Това яке е подходящо за училище.
summarize	обобщавам	Можеш ли да обобщиш статията?
summary	резюме	Напиши кратко резюме довечера.
supply	снабдяване	Градът има нужда от снабдяване с чиста вода.
supporter	поддръжник	Всеки поддръжник викаше силно.
surely	със сигурност	Със сигурност можем да решим това.
surface	повърхност	Повърхността се усещаше студена и гладка.
survive	оцелявам	Тези животни оцеляват в студени зими.
switch	изключвам	Изключи осветлението в кухнята.
symptom	симптом	Кашлицата може да бъде симптом.
tail	опашка	Кучето има дълга опашка.
talent	талант	Тя има талант за музика.
talented	талантлив	Той е талантлив млад актьор.
tape	тиксо	Използвай тиксо, за да затвориш кутията.
tax	данък	Всеки трябва да плати този данък.
technical	технически	Имахме технически проблем.
technique	техника	Тази техника пести време.
tend	склонен съм	Децата са склонни да учат бързо.
tent	палатка	Спахме в малка палатка.
theirs	техен	Сините велосипеди са техни.
theme	тема	Партито имаше плажна тема.
theory	теория	Неговата теория обяснява проблема.
therefore	следователно	Валеше, затова останахме вътре.
though	въпреки че	Макар че беше уморена, тя продължи да работи.
throat	гърло	Гърлото ме боли тази сутрин.
throughout	през целия	Хората танцуваха през цялата вечер.
tight	тесен	Тези обувки се усещат твърде тесни.
till	докато	Чакай тук, докато се върна.
tin	консерва	Отвори консерва с боб.
tiny	мъничък	Една мъничка птичка кацна наблизо.
toe	пръст на крака	Нараних си пръста на крака вчера.
tongue	език	Тя си изгори езика с чай.
total	общ	Общата цена беше ниска.
totally	напълно	Напълно разбирам притеснението ти.
trade	търговия	Международната търговия създава работни места.
translate	превеждам	Моля, преведете това изречение.
translation	превод	Преводът звучи естествено.
treat	отнасям се	Отнасяй се към всички с уважение.
treatment	лечение	Пациентът се нуждае от лечение днес.
trend	тенденция	Тази тенденция расте по целия свят.
trick	фокус	Този фокус с карти ме изненада.
truth	истина	Моля, кажи истината.
tube	туба	Изстискайте тубата внимателно.
typically	обикновено	Обикновено учениците пристигат преди девет.
tyre	гума	Колата се нуждае от нова гума.
ugly	грозен	Този цвят на стената изглежда грозен.
unable	неспособен	Той беше неспособен да отговори.
uncomfortable	неудобен	Този стол е неудобен.
underwear	бельо	Опаковай чисто бельо за пътуването.
unemployed	безработен	Тя беше безработна два месеца.
unemployment	безработица	Безработицата се покачи през зимата.
unfair	несправедлив	Решението изглеждаше несправедливо.
union	синдикат	Синдикатът поиска по-безопасна работа.
unless	освен ако	Не тръгвай, освен ако не се обадя.
unlike	за разлика от	За разлика от Том, Ана обича зимата.
unlikely	малко вероятен	Малко вероятно е да вали сняг тази седмица.
unnecessary	ненужен	Допълнителните чанти са ненужни.
unpleasant	неприятен	Стаята имаше неприятна миризма.
update	актуализирам	Трябва да актуализирам телефона си.
upon	върху	Имало едно време един цар.
upset	разстроен	Тя се почувства разстроена след разговора.
used1	използван	Тази стая се използва за срещи.
used2	свикнал	Свикнал съм на ранни сутрини.
valuable	ценен	Този часовник е ценен.
value	стойност	Къщата загуби стойност миналата година.
various	различен	Опитахме различни местни ястия.
version	версия	Тази версия работи по-добре.
victim	жертва	Жертвата се обади на полицията.
viewer	зрител	Един зрител зададе въпрос.
violent	жесток	Филмът беше твърде жесток.
volunteer	доброволец	Аз съм доброволец в библиотеката.
vote	гласувам	Не забравяй да гласуваш утре.
warn	предупреждавам	Опитах се да го предупредя.
warning	предупреждение	Предупреждението се появи на екрана.
waste	пилея	Не пилей чиста вода.
weapon	оръжие	Ножът се превърна в оръжие.
weigh	претеглям	Претегли брашното внимателно.
western	западен	Те гледаха западен филм.
whatever	каквото и да е	Избери каквото ти харесва.
whenever	когато и да е	Обади се, когато и да имаш нужда от помощ.
whether	дали	Не знам дали тя е съгласна.
wing	крило	Птицата нарани едното си крило.
within	в рамките на	Моля, отговорете в рамките на два дни.
wonder	чудя се	Чудя се какво се е случило.
wool	вълна	Това палто е направено от вълна.
worldwide	по целия свят	Песента стана популярна по целия свят.
worth	струва си	Тази книга си струва да се прочете.
written	писмен	Моля, изпратете писмени инструкции.
yard	двор	Децата играеха в двора.
youth	младеж	Младежките клубове подкрепят местните тийнейджъри.
