source_headword	KA	example_KA
institute	ინსტიტუტი	ინსტიტუტმა ახალი კვლევითი პროგრამა გახსნა.
institution	დაწესებულება	დაწესებულებამ მიღების წესები შეცვალა.
insurance	დაზღვევა	მისმა დაზღვევამ საავადმყოფოს ხარჯები დაფარა.
intended	გამიზნული	შეტყობინებამ გამიზნულ აუდიტორიას მიაღწია.
intense	დაძაბული	დებატები ძალიან მალე დაძაბული გახდა.
internal	შიდა	კომპანიამ შიდა შემოწმება დაიწყო.
interpret	ინტერპრეტირება	გთხოვთ, შედეგები ყურადღებით განმარტოთ.
interrupt	შეწყვეტა	ახლა გამომსვლელს ნუ შეაწყვეტინებთ.
investigation	გამოძიება	გამოძიებამ სერიოზული შეცდომები გამოავლინა.
investment	ინვესტიცია	ინვესტიციამ მრავალი ადგილობრივი სამუშაო ადგილი შექმნა.
joy	სიხარული	მათმა წარმატებამ დიდი სიხარული მოიტანა.
judgement	განსჯა	მისი განსჯის უნარი გამოცდილებასთან ერთად გაუმჯობესდა.
junior	უმცროსი	ის გუნდს უმცროსი ანალიტიკოსის სტატუსით შეუერთდა.
justice	სამართლიანობა	სასამართლოს შემდეგ ოჯახმა სამართლიანობა მოითხოვა.
justify	დასაბუთება	ეს გადაწყვეტილება ნათლად უნდა დაასაბუთოთ.
labour	შრომა	პროექტს კვალიფიციური მუშახელი სჭირდება.
landscape	პეიზაჟი	ქარიშხლის შემდეგ პეიზაჟი შეიცვალა.
largely	მეტწილად	გეგმა მეტწილად წარმატებული იყო.
launch	გამოშვება	ისინი პროდუქტს ხვალ გამოუშვებენ.
leadership	ლიდერობა	ძლიერი ლიდერობა გუნდს აღდგენაში დაეხმარა.
league	ლიგა	ჩვენი კლუბი რეგიონალურ ლიგას შეუერთდა.
lean	მიყრდნობა	სველ კედელს ნუ მიეყრდნობით.
licence	ლიცენზია	ლიცენზიას ვადა მომავალ თვეში გასდის.
limited	შეზღუდული	დღეს შეზღუდული დრო გვაქვს.
lively	ხალისიანი	შეხვედრა სადილის შემდეგ ხალისიანი გახდა.
load	ტვირთი	სატვირთო მანქანას მძიმე ტვირთი მიჰქონდა.
loan	სესხი	ბანკმა სესხი დაამტკიცა.
logical	ლოგიკური	მისი არგუმენტი ცხადი და ლოგიკური იყო.
long-term	გრძელვადიანი	ეს არის გრძელვადიანი გამოსავალი.
loose	მოშვებული	სახელური მოშვებულია.
lord	ლორდი	ლორდი რამდენიმე სოფელს ფლობდა.
lower	შემცირება	ისინი ზამთარში ფასებს ამცირებენ.
lung	ფილტვი	მოწევამ შეიძლება ფილტვი დააზიანოს.
maintain	შენარჩუნება	ჩვენ რეგულარულ კონტაქტს ვინარჩუნებთ.
majority	უმრავლესობა	უმრავლესობამ წინადადებას მხარი დაუჭირა.
mass	მასა	ღრუბლების მასამ ცა დაფარა.
massive	მასიური	მიწისძვრამ მასიური ზიანი გამოიწვია.
master	ოსტატი	იგი მოლაპარაკებების ოსტატი გახდა.
matching	შეხამებული	მას შეხამებული ფეხსაცმელი და ქამარი ეკეთა.
maximum	მაქსიმალური	ოთახმა მაქსიმალურ ტევადობას მიაღწია.
means	საშუალება	ელფოსტა კონტაქტის ჩვენი მთავარი საშუალებაა.
measurement	გაზომვა	გაზომვა ოდნავ მცდარი იყო.
melt	დნობა	თოვლი შუადღისთვის დადნება.
military	სამხედრო	სამხედრო ბაზა გასულ წელს დაიხურა.
mineral	მინერალი	რკინა მნიშვნელოვანი მინერალია.
minimum	მინიმალური	მინიმალური ასაკი თვრამეტი წელია.
minister	მინისტრი	მინისტრმა რთულ კითხვებს უპასუხა.
minor	მცირე	ავარიამ მცირე ზიანი გამოიწვია.
minority	უმცირესობა	უმცირესობა ახალ წესს შეეწინააღმდეგა.
mission	მისია	მათი მისია მშვიდობიანად დასრულდა.
mixed	შერეული	სიახლეს შერეული რეაქციები მოჰყვა.
modify	შეცვლა	დიზაინის შეცვლა მოგვიანებითაც შეგვიძლია.
monitor	მონიტორინგი	ექთანი მის მდგომარეობას მონიტორინგს გაუწევს.
moral	მორალური	ამბავს მორალური გაკვეთილი აქვს.
motor	ძრავი	ძრავი გაფრთხილების გარეშე გაჩერდა.
mount	დამონტაჟება	ისინი შესასვლელთან კამერებს ამონტაჟებენ.
multiple	მრავალი	დაგვიანება მრავალმა ფაქტორმა გამოიწვია.
multiply	გამრავლება	გაამრავლეთ რიცხვი ათზე.
mysterious	იდუმალი	გარეთ იდუმალი სინათლე გამოჩნდა.
neat	სუფთა	მისი მაგიდა ყოველთვის სუფთაა.
nerve	ნერვი	ტრავმამ ნერვი დააზიანა.
nevertheless	მიუხედავად ამისა	დავალება რთული იყო; მიუხედავად ამისა, ჩვენ ის დავასრულეთ.
nightmare	კოშმარი	მოგზაურობა კოშმარად იქცა.
notion	წარმოდგენა	უარყავით წარმოდგენა, რომ ცვლილება შეუძლებელია.
numerous	მრავალრიცხოვანი	მრავალრიცხოვანი კვლევა უჭერს მხარს ამ იდეას.
obey	დამორჩილება	მძღოლები ნიშნებს უნდა დაემორჩილონ.
objective	მიზანი	ჩვენი მიზანი ნარჩენების შემცირებაა.
obligation	ვალდებულება	მშობლებს ბავშვების დაცვის ვალდებულება აქვთ.
observation	დაკვირვება	მისმა დაკვირვებამ დისკუსია შეცვალა.
observe	დაკვირვება	მეცნიერები ყოველ გაზაფხულზე აკვირდებიან ფრინველებს.
obtain	მოპოვება	თქვენ წერილობითი ნებართვა უნდა მოიპოვოთ.
occasionally	ხანდახან	ის ხანდახან სახლიდან მუშაობს.
offence	შეურაცხყოფა	კომენტარმა სერიოზული შეურაცხყოფა გამოიწვია.
offend	წყენინება	არავის წყენინება არ მინდოდა.
offensive	შეურაცხმყოფელი	პოსტერი შეურაცხმყოფელ სიტყვებს შეიცავდა.
opening	ვაკანსია	სამუშაო ვაკანსიამ ბევრი აპლიკანტი მიიზიდა.
operate	მუშაობა	მანქანას ავტომატურად მუშაობა შეუძლია.
opponent	მოწინააღმდეგე	მისმა მოწინააღმდეგემ პოლიტიკა გააკრიტიკა.
oppose	წინააღმდეგობის გაწევა	ბევრი მაცხოვრებელი გეგმას ეწინააღმდეგება.
opposed	საპირისპირო	ჯგუფებს საპირისპირო შეხედულებები ჰქონდათ.
opposition	წინააღმდეგობა	წინადადება ძლიერ წინააღმდეგობას წააწყდა.
organ	ორგანო	გული სასიცოცხლო ორგანოა.
origin	წარმოშობა	ხანძრის წარმოშობა უცნობია.
otherwise	სხვაგვარად	ახლავე წადით; სხვაგვარად, დააგვიანებთ.
outcome	შედეგი	შედეგმა ყველა გააკვირვა.
outer	გარე	გარე კედელს შეკეთება სჭირდება.
outline	მოხაზვა	გთხოვთ, მოხაზოთ თქვენი მთავარი არგუმენტი.
overall	საერთო	საერთო შედეგი დადებითი იყო.
owe	დავალება	მე თქვენი ბოდიში მმართებს.
pace	ტემპი	იარეთ სტაბილური ტემპით.
panel	პანელი	პანელმა კლიმატის პოლიტიკა განიხილა.
parliament	პარლამენტი	პარლამენტმა ახალი კანონი დაამტკიცა.
participant	მონაწილე	თითოეულმა მონაწილემ მოაწერა ხელი ფორმას.
partly	ნაწილობრივ	დაგვიანება ნაწილობრივ ჩვენი ბრალი იყო.
passage	ნაწყვეტი	პასუხის გაცემამდე წაიკითხეთ ნაწყვეტი.
pension1	პენსია	მისი პენსია მას პენსიაზე გასვლის შემდეგ უზრუნველყოფს.
permanent	მუდმივი	მათ მუდმივი გამოსავალი სჭირდებათ.
permit	ნებართვის მიცემა	წესები მოკლე ვიზიტების ნებართვას იძლევა.
perspective	პერსპექტივა	შეეცადეთ მისი პერსპექტივიდან დაინახოთ.
phase	ფაზა	პროექტი ბოლო ფაზაში შევიდა.
phenomenon	მოვლენა	ეს მოვლენა ბევრ კულტურაში ხდება.
philosophy	ფილოსოფია	მისი ფილოსოფია პრაქტიკულ ქმედებას აფასებს.
pile	გროვა	მაგიდაზე ქაღალდების გროვა იდო.
pitch	მოედანი	გუნდმა მოედანი გულდასმით მოამზადა.
plain	ნათელი	ინსტრუქციები ნათელი და პირდაპირი იყო.
pointed	მწვავე	მან მწვავე შენიშვნა გამოთქვა.
popularity	პოპულარობა	მომღერალმა ონლაინ პოპულარობა მოიპოვა.
pose	შექმნა	კითხვამ შეიძლება პრობლემა შექმნას.
possess	ფლობა	ცოტა სტუდენტი ფლობს ამ უნარს.
potential	პოტენციალი	ამ იდეას ნამდვილი პოტენციალი აქვს.
praise	შექება	მასწავლებელმა ის გულწრფელად შეაქო.
pregnant	ორსული	ის ექვსი თვის ორსულია.
preparation	მომზადება	კარგი მომზადება სტრესს ამცირებს.
presence	დასწრება	მისმა ყოფნამ განწყობა შეცვალა.
preserve	შენარჩუნება	ჩვენ უნდა შევინარჩუნოთ ეს ისტორიული შენობა.
prime	მთავარი	მთავარი მიზეზი ცუდი დაგეგმარება იყო.
principle	პრინციპი	გადაწყვეტილება ნათელ პრინციპს ეფუძნებოდა.
priority	პრიორიტეტი	უსაფრთხოება ჩვენი პირველი პრიორიტეტია.
privacy	კონფიდენციალურობა	მომხმარებლები ონლაინ კონფიდენციალურობას ელიან.
procedure	პროცედურა	პროცედურას ოცდაათი წუთი სჭირდება.
proof	მტკიცებულება	მოქმედებამდე მტკიცებულება გვჭირდება.
proposal	წინადადება	წინადადებას მეტი დეტალი სჭირდება.
propose	შეთავაზება	მე სხვა გამოსავალს გთავაზობთ.
prospect	პერსპექტივა	წარუმატებლობის პერსპექტივამ ისინი შეაშფოთა.
protection	დაცვა	ჩაფხუტი ძირითად დაცვას უზრუნველყოფს.
psychologist	ფსიქოლოგი	ფსიქოლოგმა ტესტის შედეგები ახსნა.
psychology	ფსიქოლოგია	ის უნივერსიტეტში ფსიქოლოგიას სწავლობს.
publication	პუბლიკაცია	პუბლიკაციამ საზოგადოების ყურადღება მიიქცია.
pupil	მოსწავლე	თითოეულმა მოსწავლემ ახალი სახელმძღვანელო მიიღო.
purchase	ყიდვა	ისინი ყოველთვიურად ყიდულობენ მარაგებს.
pure	სუფთა	წყალი სუფთა და ცივი იყო.
pursue	გაყოლა	ის სამედიცინო კარიერას გაჰყვება.
rank	წოდება	მას მაღალი წოდება აქვს.
rapid	სწრაფი	ქვეყანამ სწრაფი ზრდა განიცადა.
rapidly	სწრაფად	წელს ფასები სწრაფად გაიზარდა.
raw	უმი	მზარეულმა უმი ბოსტნეული მოამზადა.
realistic	რეალისტური	დააწესეთ რეალისტური ვადა.
reasonable	გონივრული	ეს გონივრულ თხოვნას ჰგავს.
recall	გახსენება	მე მისი ზუსტი სიტყვები მახსენდება.
recover	გამოჯანმრთელება	ის მკურნალობის შემდეგ გამოჯანმრთელდება.
reduction	შემცირება	შემცირებამ ფული დაზოგა.
regard	მიჩნევა	ბევრი ადამიანი მას პატიოსნად მიიჩნევს.
regional	რეგიონული	რეგიონული ოფისი დღეს დაიკეტა.
register	რეგისტრაცია	გთხოვთ, კონფერენციამდე დარეგისტრირდეთ.
regret	სინანული	მე ვნანობ ჩემს ადრინდელ გადაწყვეტილებას.
regulation	რეგულაცია	ახალი რეგულაცია ყველა მძღოლზე მოქმედებს.
relatively	შედარებით	გამოცდა შედარებით მარტივი იყო.
relevant	შესაბამისი	აირჩიეთ მხოლოდ შესაბამისი დეტალები.
