simplified	TR	example_TR
啊	onay veya kabul bildiren kip parçacığı	Tamam, şimdi gidelim.
阿姨	teyze; çocuk bakıcısı; yaşça büyük kadın	Teyze büyük mağazada çalışıyor.
矮	kısa; alçak	Bu masa biraz alçak.
爱好	hobi; ilgi alanı	Hobim müzik dinlemek.
安静	sessiz; sakin	Kütüphanede çok sessiz.
把	tutmak; kavramak; nesne parçacığı	Lütfen kapıyı kapat.
搬	taşınmak; taşımak	Yarın taşınıyoruz.
班	sınıf; grup	Sınıfımızda yirmi öğrenci var.
办法	yöntem; çözüm	Bu yöntem çok iyi.
办公室	büro; ofis	Yönetici büroda.
半	yarım; yarısı	Yarım saat bekledim.
帮忙	yardım etmek; el uzatmak	Yardım edebilir misin?
包	çanta; paketlemek; sarmak	O yeni bir çanta aldı.
饱	tok	Ben zaten tokum.
北方	kuzey; kuzey bölgesi	Kuzeyde kış çok soğuk olur.
被	edilgenlik parçacığı; tarafından	Bisikletim bir arkadaş tarafından ödünç alındı.
鼻子	burun	Onun burnu biraz kırmızı.
比较	karşılaştırmak; oldukça	Bugün hava oldukça sıcak.
比赛	maç; yarışma	Bu maç çok önemli.
笔记本	defter; not defteri	Defteri masanın üzerine koydum.
必须	mecbur olmak; gerekli	Dikkatle tekrar yapmalısın.
变化	değişiklik; değişmek	Bu şehir çok değişti.
别人	başkaları	Başkalarının eşyalarını alma.
冰箱	buzdolabı	Meyveler buzdolabında.
不但…而且…	sadece... değil, aynı zamanda...	O sadece zeki değil, aynı zamanda çalışkan.
菜单	yemek listesi	Lütfen bana yemek listesini ver.
参加	katılmak	Bu toplantıya katılmak istiyorum.
草	çimen; ot	Köpek yavrusu çimende koşuyor.
层	kat; tabaka	Bu binanın üç katı var.
差	kötü; farklı olmak; eksik olmak	Bugün hava kötü.
超市	büyük mağaza	Ekmek almak için büyük mağazaya gidiyorum.
衬衫	gömlek; bluz	Bu gömlek çok temiz.
城市	şehir	Pekin büyük bir şehir.
成绩	sonuç; not	Onun matematik notları çok iyi.
迟到	geç kalmak	Derse geç kalma.
