hsk_key	source_word	simplified	gloss	example_zh	example_pinyin	example_en
3606:白白	白白	白白	for nothing; in vain	他白白等了一个小时。	Tā báibái děng le yí gè xiǎo shí.	He waited for an hour in vain.
3607:白领	白领	白领	white-collar worker	这座城市有很多年轻白领。	Zhè zuò chéng shì yǒu hěn duō nián qīng báilǐng.	This city has many young white-collar workers.
3609:摆放	摆放	摆放	to place; arrange	请把资料整齐地摆放在桌上。	Qǐng bǎ zī liào zhěng qí de bǎifàng zài zhuō shang.	Please arrange the materials neatly on the desk.
3610:百分点	百分点	百分点	percentage point	失业率下降了两个百分点。	Shī yè lǜ xià jiàng le liǎng gè bǎifēn diǎn.	The unemployment rate fell by two percentage points.
3611:百货	百货	百货	department-store goods; general merchandise	这家百货商店周末人很多。	Zhè jiā bǎihuò shāng diàn zhōu mò rén hěn duō.	This department store is very crowded on weekends.
3613:败	败	败	to lose; be defeated	我们队最后以一分之差败了。	Wǒ men duì zuì hòu yǐ yì fēn zhī chā bài le.	Our team finally lost by one point.
3616:版	版	版	edition; version	这本书出了新版。	Zhè běn shū chū le xīn bǎn.	A new edition of this book has come out.
3621:棒球	棒球	棒球	baseball	孩子们在公园里打棒球。	Hái zi men zài gōng yuán lǐ dǎ bàngqiú.	The children are playing baseball in the park.
3623:保健	保健	保健	health care; health maintenance	老年人越来越重视保健。	Lǎo nián rén yuè lái yuè zhòng shì bǎojiàn.	Older people are paying more and more attention to health care.
3624:保暖	保暖	保暖	to keep warm	冬天出门要注意保暖。	Dōng tiān chū mén yào zhù yì bǎonuǎn.	When going out in winter, you should keep warm.
3625:保修	保修	保修	to repair under warranty	这台电脑可以免费保修一年。	Zhè tái diàn nǎo kě yǐ miǎn fèi bǎoxiū yì nián.	This computer can be repaired free under warranty for one year.
3627:爆	爆	爆	to burst; explode	气球突然爆了。	Qì qiú tū rán bào le.	The balloon suddenly burst.
3629:报刊	报刊	报刊	newspapers and periodicals	图书馆里有很多中文报刊。	Tú shū guǎn lǐ yǒu hěn duō Zhōng wén bàokān.	The library has many Chinese newspapers and periodicals.
3635:悲剧	悲剧	悲剧	tragedy	这场事故是一场悲剧。	Zhè chǎng shì gù shì yì chǎng bēijù.	This accident was a tragedy.
3636:悲伤	悲伤	悲伤	sad; sorrowful	听到这个消息，他很悲伤。	Tīng dào zhè ge xiāo xi, tā hěn bēishāng.	After hearing the news, he was very sad.
3638:北美洲	北美洲	北美洲	North America	加拿大位于北美洲。	Jiā ná dà wèi yú Běiměizhōu.	Canada is located in North America.
3640:被迫	被迫	被迫	to be forced; compelled	因为大雨，比赛被迫取消。	Yīn wèi dà yǔ, bǐ sài bèipò qǔ xiāo.	Because of heavy rain, the match was forced to be canceled.
3641:背心	背心	背心	vest; tank top	夏天他常穿一件背心。	Xià tiān tā cháng chuān yí jiàn bèixīn.	In summer he often wears a tank top.
3642:备用	备用	备用	spare; for backup use	请准备一把备用钥匙。	Qǐng zhǔn bèi yì bǎ bèiyòng yào shi.	Please prepare a spare key.
3643:倍增	倍增	倍增	to multiply; increase greatly	今年的订单数量倍增。	Jīn nián de dìng dān shù liàng bèizēng.	The number of orders increased greatly this year.
3644:奔跑	奔跑	奔跑	to run	孩子在操场上奔跑。	Hái zi zài cāo chǎng shang bēnpǎo.	The child is running on the playground.
3647:本土	本土	本土	local; native land	这家公司重视本土文化。	Zhè jiā gōng sī zhòng shì běntǔ wén huà.	This company values local culture.
3648:逼	逼	逼	to force; press	不要逼孩子做不喜欢的事。	Bú yào bī hái zi zuò bù xǐ huān de shì.	Do not force children to do things they dislike.
3651:闭	闭	闭	to close; shut	请把门闭上。	Qǐng bǎ mén bì shang.	Please close the door.
3652:避	避	避	to avoid	开车时要避开高峰时间。	Kāi chē shí yào bì kāi gāo fēng shí jiān.	When driving, avoid rush hour.
3653:必修	必修	必修	required; compulsory	这门课是大学一年级的必修课。	Zhè mén kè shì dà xué yì nián jí de bìxiū kè.	This course is required for first-year university students.
3654:编	编	编	to compile; edit	他正在编一本汉语教材。	Tā zhèng zài biān yì běn Hàn yǔ jiào cái.	He is compiling a Chinese textbook.
3656:编写	编写	编写	to compile and write	老师编写了一套练习题。	Lǎo shī biānxiě le yí tào liàn xí tí.	The teacher compiled and wrote a set of exercises.
3657:遍地	遍地	遍地	everywhere; all over	春天公园里遍地都是花。	Chūn tiān gōng yuán lǐ biàndì dōu shì huā.	In spring, flowers are everywhere in the park.
3658:便捷	便捷	便捷	convenient; handy	这个支付方式很便捷。	Zhè ge zhī fù fāng shì hěn biànjié.	This payment method is very convenient.
3660:兵	兵	兵	soldier	这个兵在边境服役。	Zhè ge bīng zài biān jìng fú yì.	This soldier serves at the border.
3662:播	播	播	to broadcast; play	电视台今晚播这部纪录片。	Diàn shì tái jīn wǎn bō zhè bù jì lù piàn.	The TV station will broadcast this documentary tonight.
3670:不适	不适	不适	discomfort; unwell	吃完药后，他感到身体不适。	Chī wán yào hòu, tā gǎn dào shēn tǐ búshì.	After taking the medicine, he felt physically unwell.
3671:不至于	不至于	不至于	not to the extent of	这点小错不至于影响结果。	Zhè diǎn xiǎo cuò búzhìyú yǐng xiǎng jié guǒ.	This small mistake should not affect the result.
3672:补	补	补	to supplement; mend	这篇报告还需要补一些数据。	Zhè piān bào gào hái xū yào bǔ yì xiē shù jù.	This report still needs some data added.
3673:捕	捕	捕	to catch; capture	警方很快捕到了嫌疑人。	Jǐng fāng hěn kuài bǔ dào le xián yí rén.	The police quickly caught the suspect.
3675:补课	补课	补课	to make up missed lessons	他生病后需要补课。	Tā shēng bìng hòu xū yào bǔkè.	After being sick, he needs to make up lessons.
3677:补习	补习	补习	to take extra lessons; tutor	她周末去补习数学。	Tā zhōu mò qù bǔxí shù xué.	She goes to take extra math lessons on weekends.
3680:不曾	不曾	不曾	never; not once	我不曾听说过这件事。	Wǒ bùcéng tīng shuō guo zhè jiàn shì.	I have never heard of this matter.
3681:不成	不成	不成	not work; fail	这样做恐怕不成。	Zhè yàng zuò kǒng pà bùchéng.	I am afraid doing it this way will not work.
3682:不得	不得	不得	must not; may not	公共场所不得吸烟。	Gōng gòng chǎng suǒ bùdé xī yān.	Smoking is not permitted in public places.
3683:部队	部队	部队	troops; army unit	这支部队正在山区训练。	Zhè zhī bùduì zhèng zài shān qū xùn liàn.	This army unit is training in the mountains.
3687:不许	不许	不许	not allow; must not	这里不许停车。	Zhè lǐ bùxǔ tíng chē.	Parking is not allowed here.
3688:不宜	不宜	不宜	not suitable; inadvisable	饭后不宜马上运动。	Fàn hòu bùyí mǎ shàng yùn dòng.	It is not advisable to exercise immediately after a meal.
3689:不已	不已	不已	endlessly; without stopping	听到好消息，大家激动不已。	Tīng dào hǎo xiāo xi, dà jiā jī dòng bùyǐ.	After hearing the good news, everyone was extremely excited.
3693:猜测	猜测	猜测	to guess; speculate	他只是猜测，还没有证据。	Tā zhǐ shì cāicè, hái méi yǒu zhèng jù.	He is only guessing and has no evidence yet.
3696:才华	才华	才华	talent; gift	她在音乐方面很有才华。	Tā zài yīn yuè fāng miàn hěn yǒu cáihuá.	She has great talent in music.
3697:才能	才能	才能	ability; talent	这个项目需要管理才能。	Zhè ge xiàng mù xū yào guǎn lǐ cáinéng.	This project requires management ability.
