source_headword	TR	example_TR
incur	maruz kalmak	Gecikmeler ek maliyetlere yol açabilir.
indicator	gösterge	İşsizlik ekonomik bir göstergedir.
indictment	iddianame	İddianamede üç suçlama yer aldı.
indigenous	yerli	Yerli bitkiler burada iyi yetişir.
induce	neden olmak	İlaç uyku getirebilir.
indulge	kendini kaptırmak	Pahalı alışkanlıklara kapılmaz.
inequality	eşitsizlik	Gelir eşitsizliği önemli bir sorun olmaya devam ediyor.
infamous	kötü şöhretli	Hapishane dünya çapında kötü şöhrete kavuştu.
infant	bebek	Bebek beşikte uyudu.
infect	enfekte etmek	Virüs sağlıklı hücreleri enfekte edebilir.
inflict	acı vermek	Hayvanlara acı çektirmeyin.
influential	etkili	O, etkili bir hukuk bilginidir.
inherent	doğasında olan	Tasarımın doğasında riskler var.
inhibit	engellemek	Korku dürüst tartışmayı engelleyebilir.
initiate	başlatmak	Yönetici incelemeyi başlatacak.
inject	enjekte etmek	Hemşire aşıyı enjekte edecek.
injection	iğne	İğne ağrıyı azalttı.
injustice	adaletsizlik	Karar açık bir adaletsizliği ortaya çıkardı.
inmate	mahkum	Mahkum hukuki tavsiye istedi.
insertion	ekleme	Formda bir metin eklemesine ihtiyaç var.
insider	içeriden biri	İçeriden biri raporu sızdırdı.
inspect	denetlemek	Yetkililer köprüyü her yıl denetler.
inspection	denetim	İnceleme ciddi hasar tespit etti.
inspiration	ilham	Onun konuşması bana ilham verdi.
instinct	içgüdü	İlk içgüdüsü yardım etmekti.
institutional	kurumsal	Kurumsal kurallar kararı şekillendirdi.
instruct	talimat vermek	Kılavuz yeni personele talimat verecek.
instrumental	etkili	Onun tavsiyesi müzakerelerde etkili oldu.
insufficient	yetersiz	Deliller suçlamalar için yetersizdi.
insult	hakaret	Onun hakareti konuşmayı bitirdi.
intact	sağlam	Antik duvar sağlam kaldı.
intake	tüketim	Şeker alımı orta düzeyde kalmalıdır.
integral	ayrılmaz	Güven ekibin ayrılmaz bir parçasıdır.
integrated	entegre	Okul entegre destek sunuyor.
integration	entegrasyon	Entegrasyon tüm sistemi iyileştirdi.
integrity	dürüstlük	Hakim büyük bir dürüstlük gösterdi.
intensify	şiddetlenmek	Fırtına gece boyunca şiddetlenebilir.
intensity	yoğunluk	Eğitimin yoğunluğu arttı.
intensive	yoğun	Yoğun dil eğitimini tamamladılar.
intent	niyet	Niyetini kanıtlamak zordu.
interactive	etkileşimli	Müzede etkileşimli sergiler var.
interface	arayüz	Arayüzde gezinmek kolaydır.
interfere	müdahale etmek	Soruşturmaya müdahale etmeyin.
interference	parazit	Sinyal paraziti aramayı böldü.
interim	geçici	Geçici rapor yarın geliyor.
interior	iç	İç duvarların boyanması gerekiyor.
intermediate	orta seviye	Orta seviye sınıfına katıldı.
intervene	müdahale etmek	Polisin hızla müdahale etmesi gerekti.
intervention	müdahale	Erken müdahale hastaya yardımcı oldu.
intimate	samimi	Samimi bir aile töreni düzenlediler.
intriguing	ilgi çekici	Veriler ilgi çekici bir model ortaya çıkardı.
investigator	soruşturmacı	Soruşturmacı her tanıkla görüştü.
invisible	görünmez	Gaz görünmez ve tehlikelidir.
invoke	başvurmak	Avukat emsal kararlara başvurmaya çalıştı.
involvement	katılım	Onun katılımı belirsizliğini korudu.
ironic	ironik	İronik yorum herkesi güldürdü.
ironically	ironik bir şekilde	İronik bir şekilde, rota daha uzun sürdü.
irony	ironi	İroni herkes için açıktı.
irrelevant	ilgisiz	O detay burada alakasız.
isolation	izolasyon	İzolasyon ruh sağlığına zarar verebilir.
judicial	adli	Yargı incelemesi pazartesi günü başlıyor.
junction	kavşak	Kavşaktan sola dönün.
jurisdiction	yargı yetkisi	Mahkemenin sınırlı yargı yetkisi var.
just	adil	Hakim adil bir karar verdi.
justification	gerekçe	Harcamalar için net bir gerekçeye ihtiyacımız var.
kidnap	kaçırmak	Suçlular diplomatı kaçırmaya çalıştı.
kidney	böbrek	Böbrek fonksiyonu iyileşti.
kingdom	krallık	Krallık onun yönetimi altında genişledi.
lad	delikanlı	Genç delikanlı çantaları taşıdı.
landlord	ev sahibi	Ev sahibi ısıtmayı tamir etti.
landmark	simgesel yapı	Kule şehrin simgesel bir yapısı haline geldi.
lap	kucak	Çocuk onun kucağında oturdu.
large-scale	büyük ölçekli	Şehir büyük ölçekli onarımlar planladı.
laser	lazer	Lazer mesafeyi ölçtü.
latter	ikincisi	İkinci seçenek daha güvenli görünüyor.
lawn	çim	Çocuklar çimlerde oynadı.
lawsuit	dava	Şirket davayı anlaşmayla sonuçlandırdı.
layout	düzen	Sayfa düzeni daha net görünüyor.
leak	sızıntı	Bir boru sızıntısı mutfağı su bastırdı.
leap	sıçrama	Satışlar ani bir sıçrama yaptı.
legacy	miras	Onun mirası üniversiteyi şekillendirdi.
legendary	efsanevi	Efsanevi şarkıcı sahneye döndü.
legislation	mevzuat	Yeni mevzuat kiracıları koruyor.
legislative	yasama	Yasama komitesi bugün toplandı.
legislature	meclis	Meclis bütçeyi onayladı.
legitimate	haklı	Haklı endişeler dile getirdiler.
lengthy	uzun	Uzun süren tartışma oylamayı geciktirdi.
lesbian	lezbiyen	Lezbiyen aktivist forumda konuştu.
lesser	daha az	Daha az olan riski seçin.
lethal	ölümcül	Kimyasal madde ölümcül olabilir.
liable	sorumlu	Sürücüler hasarlardan sorumludur.
liberal	liberal	Liberal sosyal politikaları destekliyor.
liberation	kurtuluş	Kurtuluş ülkenin geleceğini değiştirdi.
liberty	özgürlük	Yasa kişisel özgürlüğü korur.
license	ruhsat vermek	Eyalet yeni kliniklere ruhsat verebilir.
lifelong	ömür boyu	Orada ömür boyu sürecek dostluklar kurdu.
likelihood	olasılık	Yağmur olasılığı arttı.
limb	uzuv	Yaralı uzuv yavaşça iyileşti.
linear	doğrusal	Grafik doğrusal bir eğilim gösteriyor.
line-up	program	Festival programında yerel gruplar yer alıyor.
linger	oyalanmak	Koku saatlerce geçmeyebilir.
listing	ilan	Daire ilanı doğru görünüyordu.
literacy	okuryazarlık	Yetişkin okuryazarlık programları genişletildi.
liver	karaciğer	Karaciğer zararlı maddeleri filtreler.
lobby	lobi	Lobi öğleden sonra kalabalıktı.
log	kayıt	Sistem günlük bir kayıt tutar.
logic	mantık	Argümanının mantığı çöktü.
long-standing	köklü	Uzun süredir devam eden bir anlaşmazlığı çözdüler.
long-time	uzun süreli	O, uzun süreli bir gönüllüdür.
loom	belirmek	Vadinin üzerinde kara bulutlar beliriyor.
loop	döngü	Patika bir döngü oluşturur.
loyalty	sadakat	Sadakati takımı etkiledi.
machinery	makine	Fabrika yeni makineler kurdu.
magical	büyülü	Bahçe geceleri büyülü görünüyordu.
magistrate	yargıç	Yargıç davayı dinledi.
magnetic	manyetik	Manyetik alan pusulayı etkiledi.
magnitude	büyüklük	Hasarın büyüklüğü belliydi.
mainland	anakara	Feribot adaları anakaraya bağlar.
mainstream	ana akım	Fikir ana akım siyasete girdi.
maintenance	bakım	Düzenli bakım arızaları önler.
mandate	yetki	Başkan güçlü bir yetki iddia etti.
mandatory	zorunlu	Stajyerler için katılım zorunludur.
manifest	ortaya çıkmak	Belirtiler haftalar sonra ortaya çıkabilir.
manipulate	manipüle etmek	Anket sonuçlarını manipüle etmeyin.
manipulation	manipülasyon	Veri manipülasyonu keşfedildi.
manuscript	el yazması	Yayıncı onun el yazmasını kabul etti.
march	yürüyüş	Protestocular şehir merkezine yürüyecek.
marginal	marjinal	Değişikliğin çok küçük faydaları oldu.
marine	deniz	Deniz yaşamı temiz suya ihtiyaç duyar.
marketplace	pazar yeri	Çevrimiçi pazar yeri hızla genişledi.
mask	maske	İşçiler maske takmalıdır.
massacre	katliam	Katliam tüm bölgeyi şoke etti.
mathematical	matematiksel	Matematiksel model talebi tahmin etti.
mature	olgun	Olgun ağaçlar gölge sağlar.
maximize	en üst düzeye çıkarmak	Güncelleme pil ömrünü en üst düzeye çıkaracak.
meaningful	anlamlı	Anlamlı bir konuşma yaptılar.
meantime	bu arada	Bu arada, dışarıda bekleyin.
medieval	orta çağ	Kalenin orta çağ surları var.
meditation	meditasyon	Günlük meditasyon zihnini sakinleştirir.
melody	melodi	Melodi aklımda kaldı.
memo	not	Not politikayı açıkladı.
memoir	anı	Anısı çocukluk sürgününü anlatıyor.
memorial	anıt	Anıt yerel askerleri onurlandırıyor.
mentor	mentor	Mentoru teklifi inceledi.
merchant	tüccar	Tüccar ipek ve baharat sattı.
mercy	merhamet	Yargıç merhamet gösterdi.
mere	sırf	Sırf bir bakış hatayı ortaya çıkardı.
merely	sadece	O sadece talimatları tekrarladı.
merge	birleşmek	İki şirket birleşecek.
merger	birleşme	Birleşme daha büyük bir banka yarattı.
merit	değer	Teklifin açık bir değeri var.
methodology	metodoloji	Çalışma metodolojisini açıklar.
midst	orta	Kaosun ortasında çalıştılar.
migration	göç	Mevsimsel göç yerel işleri etkiler.
militant	militan	Militan grup müzakereleri reddetti.
militia	milis	Milisler yolu kontrol etti.
mill	değirmen	Eski değirmen bir müze oldu.
minimal	minimal	Plan en az çaba gerektiriyor.
minimize	en aza indirmek	Gereksiz riski en aza indirmeliyiz.
mining	madencilik	Madencilik nehir vadisine zarar verdi.
ministry	bakanlık	Bakanlık yeni kuralları duyurdu.
minute2	ufacık	Camda ufacık bir çatlak belirdi.
miracle	mucize	İyileşmesi bir mucize gibi göründü.
misery	sefalet	Mülteciler yıllarca sefalete katlandı.
misleading	yanıltıcı	Yanıltıcı grafik okuyucuların kafasını karıştırdı.
missile	füze	Füze testi gerginliği artırdı.
mob	kalabalık	Öfkeli kalabalık trafiği kapattı.
mobility	hareketlilik	Daha iyi otobüsler kentsel hareketliliği iyileştirir.
mobilize	seferber etmek	Liderler gönüllüleri hızla seferber eder.
moderate	ılımlı	Aday ılımlı görüşlere sahip.
modification	değişiklik	Tasarımın bir değişikliğe ihtiyacı var.
momentum	ivme	Kampanya hızla ivme kazandı.
monk	keşiş	Keşiş sessizlik içinde yaşadı.
monopoly	tekel	Firma tekel konumundaydı.
morality	ahlak	Ders kamu ahlakını inceler.
motive	sebep	Polis onun sebebini sorguladı.
motorist	sürücü	Sürücü kırmızı ışıkta durdu.
municipal	belediye	Belediye hizmetleri bu yıl iyileşti.
mutual	karşılıklı	Karşılıklı bir anlaşmaya vardılar.
namely	yani	Bir sorun kalıyor, yani finansman.
nationwide	ülke çapında	Grev ülke çapında gecikmelere neden oldu.
naval	donanma	Deniz üssü geçen yıl kapandı.
neglect	ihmal etmek	Temel güvenliği ihmal etmeyin.
neighbouring	komşu	Komşu kasabalar hastaneyi paylaştı.
nest	yuva	Kuş bir yuva yaptı.
net	net	Net kâr keskin bir şekilde arttı.
newsletter	bülten	Bülten her cuma gelir.
niche	niş	Şirket kârlı bir niş buldu.
noble	asil	Asil jesti herkesi etkiledi.
nod	başını sallamak	Anladıysanız lütfen başınızı sallayın.
nominate	aday göstermek	Yeni bir başkan aday gösterecekler.
nomination	adaylık	Adaylığı komiteyi şaşırttı.
nominee	aday	Aday zor soruları yanıtladı.
nonetheless	yine de	Yine de plan ilerledi.
non-profit	kâr amacı gütmeyen	O kâr amacı gütmeyen bir klinikte çalışıyor.
nonsense	saçmalık	O söylenti tamamen saçmalık.
noon	öğle	Toplantı öğlen başlar.
notable	dikkate değer	Rapor dikkate değer bir ilerleme kaydetti.
notably	özellikle	Özellikle, maliyetler Mayıs'ta düştü.
notify	bildirmek	Ayrılmadan önce lütfen personele bildirin.
notorious	kötü şöhretli	Yol kazalarıyla kötü şöhretlidir.
novel	yeni	Yeni bir çözüm önerdiler.
nursery	kreş	Kreş bebeklerin bakımını üstlenir.
objection	itiraz	Avukat bir itirazda bulundu.
oblige	mecbur etmek	Kurallar sürücüleri durmaya mecbur eder.
obsess	kafaya takmak	Küçük hataları kafaya takmayın.
obsession	takıntı	Takıntısı işine zarar verdi.
occasional	ara sıra olan	Ara sıra olan gecikmeler beklenmektedir.
occurrence	olay	Böyle bir olay nadirdir.
odds	ihtimal	Başarı ihtimali arttı.
offering	teklif	Üniversite sunduğu imkanları genişletti.
offspring	yavru	Tilki yavrusunu korudu.
operational	faaliyette	Yeni sistem faaliyettedir.
opt	tercih etmek	Birçok öğrenci çevrimiçi dersleri tercih ediyor.
optical	optik	Optik merceğin temizlenmesi gerekiyor.
optimism	iyimserlik	Duyurudan sonra iyimserlik geri döndü.
oral	sözlü	Sözlü sınav yarın başlıyor.
organizational	kurumsal	Kurumsal değişiklikler derhal başladı.
orientation	oryantasyon	Çalıştay personel oryantasyonunu kapsadı.
originate	ortaya çıkmak	Birçok gelenek kırsal köylerde ortaya çıkar.
outbreak	salgın	Salgın şehrin dört bir yanına yayıldı.
outing	gezi	Sınıf müze gezisinin tadını çıkardı.
outlet	satış mağazası	Satış mağazası indirimli kıyafetler satıyor.
outlook	görünüm	Ekonomik görünüm belirsizliğini koruyor.
outrage	infial	Karar kamuoyunda infiale yol açtı.
outsider	dışarıdan biri	Dışarıdan biri olarak sorunları fark etti.
overlook	gözden kaçırmak	Küçük detayları gözden kaçırmayın.
overly	aşırı derecede	Talimatlar aşırı derecede karmaşıktı.
oversee	denetlemek	Projeyi o denetleyecek.
overturn	bozmak	Mahkeme kararı bozabilir.
overwhelm	bunaltmak	Çok fazla bilgi öğrencileri bunaltabilir.
overwhelming	ezici	Kanıtlar eziciydi.
pad	koruyucu yastık	Dizleri korumak için pedi kullanın.
parameter	parametre	Her seferinde bir parametreyi ayarlayın.
parental	ebeveyn	Ebeveyn desteği katılımı artırdı.
parish	cemaat	Cemaat bir yardım yemeği düzenledi.
parliamentary	parlamenter	Meclis tartışması saatlerce sürdü.
partial	kısmi	Rapor kısmi bir cevap verdi.
partially	kısmen	Pencere kısmen açıktı.
passing	vefat	Vefatı ani oldu.
passive	pasif	Pasif yatırımcılar istikrarlı getirileri kabul ettiler.
pastor	papaz	Papaz aileyi ziyaret etti.
patch	yama	Ceketin küçük bir yamaya ihtiyacı var.
patent	patent	Şirket bir patent başvurusunda bulundu.
pathway	yol	Yol sertifikasyona çıkıyor.
patrol	devriye gezmek	Polis geceleri bölgede devriye gezer.
patron	destekçi	Müze hamisine teşekkür etti.
peak	zirve	Talep kışın zirveye ulaştı.
peasant	köylü	Köylü az miktarda toprağa sahipti.
peculiar	tuhaf	Odanın tuhaf bir kokusu vardı.
